,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1637,James Mcatee,eng ENG,MFFW,Manchester City,eng Premier League,22-162,2002,10,0,130,1.4,2,0,2,2,0,0,0,0,1.3,1.3,0.0,1.3,4,3,12,1.38,0.00,1.38,1.38,1.38,0.93,0.00,0.93,0.93,0.93,Matches
1638,Kasey McAteer,ie IRL,FWMF,Leicester City,eng Premier League,23-127,2001,12,4,395,4.4,0,1,1,0,0,0,1,0,0.6,0.6,0.4,0.9,13,8,36,0.00,0.23,0.23,0.00,0.23,0.13,0.08,0.21,0.13,0.21,Matches
1639,Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28-298,1996,24,11,1103,12.3,0,5,5,0,0,0,0,0,2.1,2.1,2.3,4.5,5,22,56,0.00,0.41,0.41,0.00,0.41,0.18,0.19,0.36,0.18,0.36,Matches
1640,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,35-116,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1641,John McGinn,sct SCO,MFFW,Aston Villa,eng Premier League,30-162,1994,25,22,1777,19.7,0,3,3,0,0,0,6,0,2.0,2.0,2.7,4.7,26,83,64,0.00,0.15,0.15,0.00,0.15,0.10,0.13,0.24,0.10,0.24,Matches
1642,Scott McKenna,sct SCO,DF,Las Palmas,es La Liga,28-137,1996,22,21,1836,20.4,0,0,0,0,0,0,5,1,0.8,0.8,0.2,1.0,6,30,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
1643,Weston McKennie,us USA,MFDF,Juventus,it Serie A,26-213,1998,23,19,1643,18.3,2,3,5,2,0,0,2,0,2.4,2.4,2.5,4.9,20,67,103,0.11,0.16,0.27,0.11,0.27,0.13,0.14,0.27,0.13,0.27,Matches
1644,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,26-032,1999,24,23,2020,22.4,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,7,77,3,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches
1645,Dwight McNeil,eng ENG,MFFW,Everton,eng Premier League,25-127,1999,13,13,1140,12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34,Matches
1646,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,28-111,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
1647,Scott McTominay,sct SCO,MF,Napoli,it Serie A,28-111,1996,26,25,2239,24.9,6,2,8,6,0,0,3,0,5.6,5.6,1.6,7.2,41,85,106,0.24,0.08,0.32,0.24,0.32,0.23,0.06,0.29,0.23,0.29,Matches
1648,Jakov Medić,hr CRO,DF,Bochum,de Bundesliga,26-203,1998,19,14,1339,14.9,1,0,1,1,0,0,2,0,0.7,0.7,0.2,0.8,2,18,3,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
1649,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,25-305,1999,22,22,1914,21.3,0,1,1,0,0,0,9,1,1.3,1.3,1.6,2.9,40,131,32,0.00,0.05,0.05,0.00,0.05,0.06,0.08,0.14,0.06,0.14,Matches
1650,Ben Mee,eng ENG,DF,Brentford,eng Premier League,35-189,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1651,Jayden Meghoma,eng ENG,DF,Brentford,eng Premier League,18-274,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1652,Henrik Meister,dk DEN,FW,Rennes,fr Ligue 1,21-132,2003,4,0,63,0.7,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.3,2,1,4,1.43,0.00,1.43,1.43,1.43,0.09,0.37,0.45,0.09,0.45,Matches
1653,Bamo Meïté,ci CIV,DF,Montpellier,fr Ligue 1,23-116,2001,4,4,248,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1654,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,23-116,2001,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1655,Mohamed Meité,fr FRA,FW,Rennes,fr Ligue 1,17-169,2007,6,2,215,2.4,0,0,0,0,0,0,0,0,0.9,0.9,0.1,0.9,3,2,15,0.00,0.00,0.00,0.00,0.00,0.36,0.03,0.39,0.36,0.39,Matches
1656,Mateo Mejía,es ESP,FW,Sevilla,es La Liga,21-363,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1657,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,27-328,1997,24,18,1551,17.2,2,2,4,2,0,0,1,0,2.5,2.5,2.9,5.4,53,28,93,0.12,0.12,0.23,0.12,0.23,0.14,0.17,0.31,0.14,0.31,Matches
1658,Filippo Melegoni,it ITA,MFFW,Genoa,it Serie A,26-039,1999,3,1,89,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,2,0.00,1.01,1.01,0.00,1.01,0.04,0.51,0.55,0.04,0.55,Matches
1659,Arthur Melo,br BRA,MF,Girona,es La Liga,28-229,1996,5,2,220,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,26,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
1660,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,22-283,2002,18,16,1350,15.0,1,2,3,1,0,0,2,0,2.0,2.0,4.0,5.9,43,101,84,0.07,0.13,0.20,0.07,0.20,0.13,0.26,0.39,0.13,0.39,Matches
1661,Brais Méndez,es ESP,MF,Real Sociedad,es La Liga,28-081,1997,21,15,1259,14.0,3,1,4,3,0,0,4,0,2.8,2.8,1.7,4.5,24,74,74,0.21,0.07,0.29,0.21,0.29,0.20,0.12,0.32,0.20,0.32,Matches
1662,Antoine Mendy,sn SEN,DF,Nice,fr Ligue 1,20-306,2004,12,5,546,6.1,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,9,21,12,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.09,0.07,0.09,Matches
1663,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,29-294,1995,14,12,1005,11.2,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0.5,12,36,40,0.00,0.09,0.09,0.00,0.09,0.00,0.05,0.05,0.00,0.05,Matches
1664,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,32-279,1992,6,3,257,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,11,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
1665,Gideon Mensah,gh GHA,DF,Auxerre,fr Ligue 1,26-254,1998,21,20,1766,19.6,0,1,1,0,0,0,2,0,0.2,0.2,2.1,2.3,39,73,77,0.00,0.05,0.05,0.00,0.05,0.01,0.11,0.12,0.01,0.12,Matches
1666,Alex Meret,it ITA,GK,Napoli,it Serie A,28-007,1997,26,26,2285,25.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1667,Mikel Merino,es ESP,MFFW,Arsenal,eng Premier League,28-280,1996,21,12,1149,12.8,5,1,6,5,0,0,2,0,3.7,3.7,1.4,5.1,7,53,70,0.39,0.08,0.47,0.39,0.47,0.29,0.11,0.40,0.29,0.40,Matches
1668,Quentin Merlin,fr FRA,DF,Marseille,fr Ligue 1,22-317,2002,19,16,1234,13.7,1,3,4,1,0,0,1,0,1.3,1.3,2.6,3.9,30,61,128,0.07,0.22,0.29,0.07,0.29,0.09,0.19,0.29,0.09,0.29,Matches
1669,Víctor Meseguer,es ESP,MF,Valladolid,es La Liga,25-293,1999,14,2,418,4.6,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2,22,22,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.15,0.15,0.15,Matches
1670,Rafik Messali,fr FRA,DF,Toulouse,fr Ligue 1,21-335,2003,9,3,315,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,12,14,17,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.06,0.26,Matches
1671,Junior Messias,br BRA,MFFW,Genoa,it Serie A,33-320,1991,10,5,537,6.0,1,1,2,1,0,1,1,0,2.0,1.1,0.3,1.4,21,22,35,0.17,0.17,0.34,0.17,0.34,0.34,0.05,0.38,0.18,0.23,Matches
1672,Connor Metcalfe,au AUS,MF,St. Pauli,de Bundesliga,25-144,1999,4,2,227,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,6,8,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19,Matches
1673,Karol Mets,ee EST,DF,St. Pauli,de Bundesliga,31-317,1993,10,10,900,10.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,54,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
1674,Thomas Meunier,be BEL,DF,Lille,fr Ligue 1,33-198,1991,22,14,1291,14.3,1,0,1,1,0,0,3,0,1.5,1.5,0.6,2.1,41,85,104,0.07,0.00,0.07,0.07,0.07,0.10,0.04,0.14,0.10,0.14,Matches
1675,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,33-350,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
1676,Shumaira Mheuka,eng ENG,MF,Chelsea,eng Premier League,17-160,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,5.06,0.00,5.06,5.06,5.06,Matches
1677,Lucas Michal,fr FRA,FWMF,Monaco,fr Ligue 1,19-281,2005,7,0,100,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,3,4,11,0.00,0.00,0.00,0.00,0.00,0.20,0.81,1.02,0.20,1.02,Matches
1678,Florian Micheler,at AUT,MF,Hoffenheim,de Bundesliga,19-316,2005,1,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1679,Miguel,es ESP,FW,Leganés,es La Liga,25-207,1999,27,17,1624,18.0,1,3,4,0,1,2,3,0,4.6,3.0,1.4,4.4,13,16,83,0.06,0.17,0.22,0.00,0.17,0.25,0.08,0.33,0.17,0.24,Matches
1680,Valentin Mihaila,ro ROU,FWMF,Parma,it Serie A,25-055,2000,21,16,1288,14.3,0,3,3,0,0,0,2,0,2.4,2.4,1.2,3.6,25,41,72,0.00,0.21,0.21,0.00,0.21,0.17,0.08,0.25,0.17,0.25,Matches
1681,Georges Mikautadze,ge GEO,FW,Lyon,fr Ligue 1,24-149,2000,27,10,1116,12.4,8,4,12,6,2,3,1,0,7.9,5.5,3.0,8.4,27,45,114,0.65,0.32,0.97,0.48,0.81,0.64,0.24,0.88,0.44,0.68,Matches
1682,Igor Miladinović,rs SRB,FWMF,Saint-Étienne,fr Ligue 1,21-294,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1683,Nikola Milenković,rs SRB,DF,Nott'ham Forest,eng Premier League,27-168,1997,28,28,2520,28.0,4,2,6,4,0,0,4,0,3.5,3.5,0.8,4.3,2,41,5,0.14,0.07,0.21,0.14,0.21,0.13,0.03,0.15,0.13,0.15,Matches
1684,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,18-332,2006,8,1,192,2.1,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,1,12,4,0.47,0.00,0.47,0.47,0.47,0.25,0.01,0.27,0.25,0.27,Matches
1685,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,28-037,1997,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
1686,Éder Militão,br BRA,DF,Real Madrid,es La Liga,27-070,1998,12,11,938,10.4,1,1,2,1,0,0,2,0,0.6,0.6,0.5,1.1,7,46,1,0.10,0.10,0.19,0.10,0.19,0.06,0.05,0.11,0.06,0.11,Matches
1687,Luis Milla,es ESP,MF,Getafe,es La Liga,30-173,1994,24,23,2070,23.0,1,2,3,0,1,1,3,0,1.5,0.7,2.1,2.8,24,115,23,0.04,0.09,0.13,0.00,0.09,0.07,0.09,0.16,0.03,0.12,Matches
1688,Pere Milla,es ESP,MFFW,Espanyol,es La Liga,32-187,1992,11,1,247,2.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,5,5,18,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14,Matches
1689,Enzo Millot,fr FRA,MFFW,Stuttgart,de Bundesliga,22-255,2002,25,19,1567,17.4,4,4,8,4,0,1,7,0,6.8,6.0,2.6,8.6,34,105,110,0.23,0.23,0.46,0.23,0.46,0.39,0.15,0.54,0.34,0.49,Matches
1690,James Milner,eng ENG,MF,Brighton,eng Premier League,39-084,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches
1691,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,28-134,1996,23,23,2005,22.3,2,0,2,2,0,0,2,0,1.6,1.6,0.3,1.9,13,167,4,0.09,0.00,0.09,0.09,0.09,0.07,0.01,0.09,0.07,0.09,Matches
1692,Yerry Mina,co COL,DF,Cagliari,it Serie A,30-187,1994,25,25,2079,23.1,0,0,0,0,0,0,6,1,2.1,2.1,0.3,2.4,14,68,9,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches
1693,Takumi Minamino,jp JPN,MFFW,Monaco,fr Ligue 1,30-072,1995,23,20,1662,18.5,4,3,7,4,0,0,3,0,7.1,7.1,5.3,12.4,33,91,145,0.22,0.16,0.38,0.22,0.38,0.39,0.29,0.67,0.39,0.67,Matches
1694,Lucas Mincarelli,fr FRA,DF,Montpellier,fr Ligue 1,21-083,2004,4,3,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,6,11,11,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
1695,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,32-016,1993,10,8,781,8.7,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,3,29,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
1696,Óscar Mingueza,es ESP,MFDF,Celta Vigo,es La Liga,25-320,1999,25,23,1987,22.1,3,5,8,3,0,0,5,1,0.9,0.9,4.7,5.6,47,143,132,0.14,0.23,0.36,0.14,0.36,0.04,0.21,0.25,0.04,0.25,Matches
1697,Kim Minsu,kr KOR,MFFW,Girona,es La Liga,19-069,2006,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1698,Yankuba Minteh,gm GAM,FWMF,Brighton,eng Premier League,20-250,2004,24,13,1266,14.1,5,3,8,5,0,0,6,0,3.3,3.3,4.0,7.3,57,27,136,0.36,0.21,0.57,0.36,0.57,0.23,0.28,0.52,0.23,0.52,Matches
1699,Bojan Miovski,mk MKD,FW,Girona,es La Liga,25-278,1999,15,12,847,9.4,2,1,3,2,0,0,0,0,2.7,2.7,0.2,2.9,4,4,33,0.21,0.11,0.32,0.21,0.32,0.29,0.02,0.30,0.29,0.30,Matches
1700,Rafa Mir,es ESP,FWMF,Valencia,es La Liga,27-284,1997,10,3,387,4.3,0,1,1,0,0,0,2,0,1.9,1.9,0.4,2.3,3,6,9,0.00,0.23,0.23,0.00,0.23,0.45,0.09,0.54,0.45,0.54,Matches
1701,Juan Miranda,es ESP,DF,Bologna,it Serie A,25-069,2000,24,18,1674,18.6,0,6,6,0,0,0,3,0,0.4,0.4,4.9,5.3,30,121,71,0.00,0.32,0.32,0.00,0.32,0.02,0.26,0.29,0.02,0.29,Matches
1702,Fabio Miretti,it ITA,MFFW,Genoa,it Serie A,21-238,2003,23,20,1519,16.9,3,3,6,3,0,0,2,0,3.1,3.1,1.9,5.0,33,52,92,0.18,0.18,0.36,0.18,0.36,0.18,0.11,0.29,0.18,0.29,Matches
1703,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,25-209,1999,28,28,2400,26.7,0,4,4,0,0,0,2,0,1.2,1.2,5.3,6.5,49,54,136,0.00,0.15,0.15,0.00,0.15,0.05,0.20,0.25,0.05,0.25,Matches
1704,Kaoru Mitoma,jp JPN,FWMF,Brighton,eng Premier League,27-313,1997,29,26,2315,25.7,7,3,10,7,0,0,1,0,7.3,7.3,4.3,11.6,127,75,258,0.27,0.12,0.39,0.27,0.39,0.28,0.17,0.45,0.28,0.45,Matches
1705,Maximilian Mittelstädt,de GER,DF,Stuttgart,de Bundesliga,28-011,1997,24,21,1877,20.9,1,5,6,1,0,0,4,0,0.6,0.6,3.9,4.5,44,128,111,0.05,0.24,0.29,0.05,0.29,0.03,0.19,0.22,0.03,0.22,Matches
1706,Koji Miyoshi,jp JPN,FWMF,Bochum,de Bundesliga,28-003,1997,14,6,450,5.0,1,0,1,1,0,0,0,1,1.1,1.1,0.8,1.9,11,14,23,0.20,0.00,0.20,0.20,0.20,0.22,0.15,0.38,0.22,0.38,Matches
1707,Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,36-067,1989,27,26,2040,22.7,1,3,4,1,0,0,3,0,1.4,1.4,1.7,3.1,58,165,82,0.04,0.13,0.18,0.04,0.18,0.06,0.08,0.14,0.06,0.14,Matches
1708,Jakub Moder,pl POL,MF,Brighton,eng Premier League,25-356,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches
1709,Rui Modesto,ao ANG,DF,Udinese,it Serie A,25-173,1999,12,2,259,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,8,17,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
1710,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,39-201,1985,27,11,1266,14.1,2,4,6,2,0,0,7,0,1.3,1.3,5.4,6.7,37,122,36,0.14,0.28,0.43,0.14,0.43,0.09,0.39,0.47,0.09,0.47,Matches
1711,Max Moerstedt,de GER,FW,Hoffenheim,de Bundesliga,,,12,5,451,5.0,0,0,0,0,0,0,2,0,0.8,0.8,0.6,1.3,6,10,36,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.27,0.15,0.27,Matches
1712,Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,27-121,1997,23,8,903,10.0,4,0,4,4,0,0,2,0,4.1,4.1,0.2,4.3,9,16,42,0.40,0.00,0.40,0.40,0.40,0.41,0.02,0.43,0.41,0.43,Matches
1713,Johan Mojica,co COL,DF,Mallorca,es La Liga,32-220,1992,26,23,2111,23.5,1,2,3,1,0,0,5,0,0.9,0.9,3.5,4.3,50,104,101,0.04,0.09,0.13,0.04,0.13,0.04,0.15,0.18,0.04,0.18,Matches
1714,David Mokwa,fr FRA,DFFW,Hoffenheim,de Bundesliga,20-330,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,1.21,0.00,1.21,1.21,1.21,Matches
1715,Alberto Moleiro,es ESP,FWMF,Las Palmas,es La Liga,21-180,2003,26,24,1990,22.1,5,0,5,5,0,0,5,0,4.9,4.9,2.5,7.5,67,85,150,0.23,0.00,0.23,0.23,0.23,0.22,0.12,0.34,0.22,0.34,Matches
1716,Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,26-357,1998,21,15,1302,14.5,0,3,3,0,0,0,0,0,0.5,0.5,1.3,1.9,30,51,74,0.00,0.21,0.21,0.00,0.21,0.04,0.09,0.13,0.04,0.13,Matches
1717,Florent Mollet,fr FRA,MFFW,Nantes,fr Ligue 1,33-130,1991,9,3,242,2.7,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.7,3,9,12,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.24,0.12,0.24,Matches
1718,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,26-320,1998,26,22,1816,20.2,0,0,0,0,0,0,7,0,1.5,1.5,2.2,3.7,18,87,42,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18,Matches
1719,Gonzalo Montiel,ar ARG,DFMF,Sevilla,es La Liga,28-087,1997,6,1,113,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,2,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
1720,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29-037,1996,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1721,Mikey Moore,eng ENG,FWMF,Tottenham,eng Premier League,17-230,2007,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0.00,0.49,0.49,0.00,0.49,0.10,0.16,0.26,0.10,0.26,Matches
1722,Álvaro Morata,es ESP,FWMF,Milan,it Serie A,32-157,1992,16,13,1099,12.2,5,0,5,5,0,0,5,0,3.9,3.9,0.8,4.7,18,26,63,0.41,0.00,0.41,0.41,0.41,0.32,0.07,0.39,0.32,0.39,Matches
1723,Morato,br BRA,DF,Nott'ham Forest,eng Premier League,23-272,2001,20,4,629,7.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,13,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
1724,Diego Moreira,pt POR,DFMF,Strasbourg,fr Ligue 1,20-235,2004,26,23,2103,23.4,1,6,7,1,0,0,4,0,1.9,1.9,6.2,8.1,81,68,193,0.04,0.26,0.30,0.04,0.30,0.08,0.26,0.34,0.08,0.34,Matches
1725,Alberto Moreno,es ESP,DF,Como,it Serie A,32-267,1992,18,17,1361,15.1,0,0,0,0,0,0,4,0,0.3,0.3,0.9,1.2,20,60,47,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
1726,Álex Moreno,es ESP,DF,Nott'ham Forest,eng Premier League,31-294,1993,13,10,813,9.0,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.1,24,29,28,0.00,0.11,0.11,0.00,0.11,0.02,0.11,0.12,0.02,0.12,Matches
1727,Gerard Moreno,es ESP,FW,Villarreal,es La Liga,32-356,1992,12,6,599,6.7,3,1,4,0,3,3,0,0,4.2,1.8,3.0,4.9,11,44,50,0.45,0.15,0.60,0.00,0.15,0.63,0.46,1.09,0.28,0.73,Matches
1728,Matias Moreno,ar ARG,DF,Fiorentina,it Serie A,21-186,2003,4,2,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
1729,Tete Morente,es ESP,FW,Lecce,it Serie A,28-115,1996,25,18,1585,17.6,3,1,4,3,0,0,2,0,2.1,2.1,0.8,2.9,32,77,109,0.17,0.06,0.23,0.17,0.23,0.12,0.04,0.16,0.12,0.16,Matches
1730,Mateu Morey,es ESP,DF,Mallorca,es La Liga,25-027,2000,8,4,382,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13,9,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
1731,Ilaix Moriba,gn GUI,MF,Celta Vigo,es La Liga,22-069,2003,23,15,1378,15.3,0,1,1,0,0,0,7,1,0.6,0.6,1.1,1.8,25,73,43,0.00,0.07,0.07,0.00,0.07,0.04,0.07,0.12,0.04,0.12,Matches
1732,Manu Morlanes,es ESP,MF,Mallorca,es La Liga,26-076,1999,19,13,1152,12.8,0,0,0,0,0,0,5,0,0.5,0.5,0.3,0.8,16,72,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
1733,Nikola Moro,hr CRO,MF,Bologna,it Serie A,27-017,1998,18,14,1107,12.3,0,2,2,0,0,0,1,0,0.5,0.5,0.8,1.3,17,89,20,0.00,0.16,0.16,0.00,0.16,0.04,0.07,0.11,0.04,0.11,Matches
1734,Raúl Moro,es ESP,FWMF,Valladolid,es La Liga,22-114,2002,23,17,1621,18.0,3,2,5,3,0,0,2,0,2.3,2.3,4.0,6.3,78,62,136,0.17,0.11,0.28,0.17,0.28,0.13,0.22,0.35,0.13,0.35,Matches
1735,Sam Morsy,eg EGY,MF,Ipswich Town,eng Premier League,33-200,1991,24,22,1979,22.0,1,1,2,1,0,0,8,0,0.3,0.3,0.7,1.0,13,90,9,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.05,0.01,0.05,Matches
1736,Gabriel Moscardo,br BRA,MF,Reims,fr Ligue 1,19-182,2005,3,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
1737,Cristhian Mosquera,es ESP,DF,Valencia,es La Liga,20-275,2004,27,27,2419,26.9,1,0,1,1,0,0,5,0,0.4,0.4,0.0,0.4,27,90,5,0.04,0.00,0.04,0.04,0.04,0.01,0.00,0.01,0.01,0.01,Matches
1738,Daniel Mosquera,co COL,FW,Hellas Verona,it Serie A,25-160,1999,26,7,923,10.3,5,1,6,5,0,0,2,0,4.8,4.8,1.3,6.0,9,20,59,0.49,0.10,0.59,0.49,0.59,0.47,0.12,0.59,0.47,0.59,Matches
1739,Yerson Mosquera,co COL,DF,Wolves,eng Premier League,23-331,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
