,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,31-009,1994,23,23,1751,19.5,2,0,2,2,0,0,7,0,1.8,1.8,0.4,2.1,15,64,16,0.10,0.00,0.10,0.10,0.10,0.09,0.02,0.11,0.09,0.11,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-181,1995,3,3,244,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-181,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Ayman Aiki,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,19-277,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-172,1996,29,29,2531,28.1,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-296,2001,28,28,2381,26.5,3,5,8,3,0,0,6,1,1.9,1.9,2.6,4.5,63,91,138,0.11,0.19,0.30,0.11,0.30,0.07,0.10,0.17,0.07,0.17,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-169,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-346,1998,16,15,1205,13.4,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,25,48,38,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-032,1994,23,21,1843,20.5,10,1,11,10,0,1,4,0,8.1,7.3,2.4,9.7,8,34,93,0.49,0.05,0.54,0.49,0.54,0.40,0.12,0.51,0.36,0.47,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-253,1995,20,20,1707,19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-174,2003,6,6,434,4.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,26,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-039,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
65,Ilias Akhomach,ma MAR,MFFW,Villarreal,es La Liga,20-347,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.00,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-103,1997,22,21,1848,20.5,1,1,2,1,0,0,4,0,1.0,1.0,1.4,2.4,43,71,74,0.05,0.05,0.10,0.05,0.10,0.05,0.07,0.12,0.05,0.12,Matches
67,Maghnes Akliouche,fr FRA,FWMF,Monaco,fr Ligue 1,23-032,2002,24,20,1787,19.9,4,6,10,3,1,1,2,0,6.1,5.3,5.7,11.0,94,144,173,0.20,0.30,0.50,0.15,0.45,0.31,0.29,0.60,0.27,0.56,Matches
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-125,2001,23,21,1852,20.6,0,1,1,0,0,0,5,0,0.1,0.1,0.9,1.0,23,60,23,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches
69,Jean-Daniel Akpa-Akpro,ci CIV,MFDF,Monza,it Serie A,32-169,1992,5,3,247,2.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
70,David Akpan Ankeye,ng NGA,FWMF,Genoa,it Serie A,23-043,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-344,1995,25,18,1785,19.8,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,12,84,15,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
72,Chuba Akpom,eng ENG,FWMF,Lille,fr Ligue 1,29-171,1995,6,3,316,3.5,2,0,2,2,0,1,0,0,2.6,1.8,0.3,2.1,1,2,20,0.57,0.00,0.57,0.57,0.57,0.75,0.09,0.84,0.52,0.61,Matches
73,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-278,1992,5,3,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,35-006,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,0.00,1.45,1.45,1.45,0.90,0.14,1.04,0.90,1.04,Matches
75,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-206,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
76,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-119,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
77,Carlos Alcaraz,ar ARG,MFFW,Everton,eng Premier League,22-119,2002,6,3,317,3.5,1,1,2,1,0,0,2,0,0.9,0.9,1.1,2.0,8,17,8,0.28,0.28,0.57,0.28,0.57,0.25,0.32,0.57,0.25,0.57,Matches
78,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-093,1996,25,25,2220,24.7,0,0,0,0,0,0,7,0,0.7,0.7,0.9,1.6,23,86,5,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.06,0.03,0.06,Matches
79,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,27-083,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
80,Carles Aleñá,es ESP,MFFW,Alavés,es La Liga,27-083,1998,5,5,446,5.0,0,2,2,0,0,0,1,0,0.4,0.4,0.6,1.0,12,29,18,0.00,0.40,0.40,0.00,0.40,0.09,0.12,0.21,0.09,0.21,Matches
81,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-173,1998,28,26,2145,23.8,2,6,8,2,0,0,4,0,1.6,1.6,6.7,8.3,48,204,87,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35,Matches
82,Alfon,es ESP,FWMF,Celta Vigo,es La Liga,25-329,1999,17,7,768,8.5,2,2,4,2,0,0,1,1,3.3,3.3,2.0,5.3,49,14,87,0.23,0.23,0.47,0.23,0.47,0.39,0.23,0.62,0.39,0.62,Matches
83,Mohamed Ali Cho,fr FRA,FWMF,Nice,fr Ligue 1,21-069,2004,22,19,1448,16.1,3,4,7,3,0,0,2,0,3.7,3.7,3.4,7.2,71,50,113,0.19,0.25,0.44,0.19,0.44,0.23,0.21,0.45,0.23,0.45,Matches
84,Faride Alidou,de GER,FWMF,Hellas Verona,it Serie A,23-254,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
85,Alisson,br BRA,GK,Liverpool,eng Premier League,32-178,1992,21,21,1878,20.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
86,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-037,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-030,1995,21,20,1397,15.5,0,3,3,0,0,0,3,0,3.0,3.0,2.3,5.3,35,39,74,0.00,0.19,0.19,0.00,0.19,0.20,0.15,0.34,0.20,0.34,Matches
88,Dele Alli,eng ENG,MF,Como,it Serie A,28-352,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Thiago Almada,ar ARG,FWMF,Lyon,fr Ligue 1,23-337,2001,9,3,386,4.3,1,2,3,1,0,0,1,0,1.0,1.0,1.7,2.7,11,48,25,0.23,0.47,0.70,0.23,0.70,0.22,0.41,0.63,0.22,0.63,Matches
90,Domingos André Ribeiro Almeida,pt POR,MFFW,Valencia,es La Liga,24-303,2000,25,16,1396,15.5,0,1,1,0,0,0,1,0,0.7,0.7,1.9,2.6,30,99,58,0.00,0.06,0.06,0.00,0.06,0.04,0.13,0.17,0.04,0.17,Matches
91,Iker Almena,es ESP,FWDF,Girona,es La Liga,20-329,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
92,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,31-047,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches
93,Pontus Almqvist,se SWE,FWMF,Parma,it Serie A,25-262,1999,26,8,994,11.0,1,1,2,1,0,0,4,0,1.9,1.9,1.3,3.2,40,12,80,0.09,0.09,0.18,0.09,0.18,0.17,0.12,0.29,0.17,0.29,Matches
94,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-091,1990,22,20,1890,21.0,2,0,2,0,2,2,9,1,2.3,0.7,1.0,1.7,42,147,40,0.10,0.00,0.10,0.00,0.00,0.11,0.05,0.16,0.04,0.08,Matches
95,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-232,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
96,Adrià Altimira,es ESP,DFFW,Leganés,es La Liga,24-001,2001,15,12,1082,12.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,14,31,33,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
97,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-216,2001,24,17,1598,17.8,0,1,1,0,0,0,3,0,1.6,1.5,1.5,3.1,18,79,24,0.00,0.06,0.06,0.00,0.06,0.09,0.09,0.18,0.09,0.17,Matches
98,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-156,1997,23,18,1535,17.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,20,68,18,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.07,0.02,0.07,Matches
99,Hugo Álvarez,es ESP,MFDF,Celta Vigo,es La Liga,21-270,2003,22,14,1387,15.4,4,2,6,4,0,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.26,0.13,0.39,0.26,0.39,0.15,0.05,0.20,0.15,0.20,Matches
100,Julián Álvarez,ar ARG,FWMF,Atlético Madrid,es La Liga,25-057,2000,28,22,1817,20.2,11,2,13,10,1,1,4,0,8.8,8.1,2.9,11.0,60,57,120,0.54,0.10,0.64,0.50,0.59,0.44,0.14,0.58,0.40,0.54,Matches
