,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
171,Tommaso Augello,it ITA,DFFW,Cagliari,it Serie A,30-211,1994,21.5,1368,72,459,495,433,8,1368,36,21,58.3,14,38.9,636,3171,1662,48,26,2,20,15,743,92,Matches
172,Carlos Augusto,br BRA,DFFW,Inter,it Serie A,26-081,1999,11.5,735,40,214,351,173,23,735,6,1,16.7,5,83.3,400,1987,808,16,12,3,14,10,481,59,Matches
173,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-120,2000,12.2,954,76,299,527,130,30,954,11,2,18.2,8,72.7,645,3496,1681,24,20,2,8,5,732,33,Matches
174,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-080,1999,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches
175,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,31-051,1994,7.0,306,5,25,129,157,33,306,10,4,40.0,5,50.0,165,749,334,12,7,4,23,5,206,46,Matches
176,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,27-229,1997,3.1,127,3,11,59,58,20,127,6,2,33.3,4,66.7,70,311,148,5,5,2,16,13,84,15,Matches
177,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,21-174,2003,16.0,893,44,205,452,249,36,893,37,16,43.2,13,35.1,451,2200,967,20,15,5,29,20,571,53,Matches
178,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,28-069,1997,4.8,144,5,16,75,53,10,144,2,2,100.0,0,0.0,65,321,91,3,5,0,13,5,99,23,Matches
179,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,35-102,1989,11.9,292,16,39,159,101,24,292,11,3,27.3,7,63.6,120,466,122,3,3,2,20,23,173,26,Matches
180,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,33-199,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
181,Jordan Ayew,gh GHA,FWMF,Leicester City,eng Premier League,33-199,1991,14.4,643,18,88,327,249,46,642,51,18,35.3,27,52.9,384,2607,1194,38,30,7,51,31,429,67,Matches
