,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1500,Ian Maatsen,nl NED,DF,Aston Villa,eng Premier League,23-019,2002,6.9,532,31,138,197,200,28,532,15,7,46.7,8,53.3,283,1591,755,19,12,7,15,14,322,61,Matches
1501,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,26-095,1998,23.5,1506,47,238,788,493,49,1506,36,13,36.1,19,52.8,751,3124,1634,30,36,3,22,19,1016,61,Matches
1502,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,31-208,1993,15.1,837,32,206,360,282,21,837,33,17,51.5,14,42.4,442,2406,1226,31,17,2,21,15,493,63,Matches
1503,Shuto Machino,jp JPN,FWMF,Holstein Kiel,de Bundesliga,25-180,1999,15.3,638,19,101,276,265,39,637,13,8,61.5,3,23.1,311,1356,608,18,12,8,29,18,407,73,Matches
1504,Darwin Machís,ve VEN,FWMF,Valladolid,es La Liga,32-050,1993,4.8,216,8,37,102,78,4,216,7,1,14.3,6,85.7,111,742,361,7,6,0,4,3,143,20,Matches
1505,Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,26-179,1998,5.8,376,19,71,169,139,13,376,14,7,50.0,6,42.9,201,1112,661,20,15,6,7,4,251,35,Matches
1506,James Maddison,eng ENG,MF,Tottenham,eng Premier League,28-126,1996,16.9,1276,22,181,584,524,70,1276,67,29,43.3,30,44.8,885,4358,1947,38,36,17,21,20,976,78,Matches
1507,Eros Maddy,nl NED,DF,Auxerre,fr Ligue 1,24-052,2001,0.1,5,0,0,2,3,0,5,1,0,0.0,1,100.0,4,26,11,1,1,0,1,1,4,4,Matches
1508,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,23-019,2002,16.1,703,13,71,191,453,138,703,69,27,39.1,36,52.2,475,3979,2500,110,39,66,38,23,544,179,Matches
1509,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,27-260,1997,19.6,1028,74,343,410,298,12,1028,61,28,45.9,22,36.1,477,2749,1300,30,35,5,37,20,502,89,Matches
1510,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,27-100,1997,26.1,1859,189,669,974,225,40,1859,5,4,80.0,1,20.0,1108,4449,2656,10,22,0,9,2,1357,11,Matches
1511,Soungoutou Magassa,fr FRA,MF,Monaco,fr Ligue 1,21-172,2003,9.8,663,28,146,436,89,6,663,18,11,61.1,5,27.8,341,1474,651,6,9,1,11,10,422,10,Matches
1512,Edmond-Paris Maghoma,eng ENG,MFFW,Brentford,eng Premier League,23-325,2001,1.2,85,2,13,48,26,4,85,3,2,66.7,1,33.3,59,369,197,4,3,1,2,0,65,4,Matches
1513,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,29-176,1995,11.8,540,82,276,240,30,14,540,4,1,25.0,3,75.0,251,1052,516,4,6,0,4,1,274,7,Matches
1514,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,26-303,1998,20.3,1022,31,238,604,185,9,1022,18,8,44.4,10,55.6,547,2748,1249,12,12,2,16,16,686,17,Matches
1515,Frank Magri,cm CMR,FW,Toulouse,fr Ligue 1,25-206,1999,10.4,283,6,19,142,124,46,283,13,3,23.1,9,69.2,164,805,303,13,5,7,28,22,214,54,Matches
1516,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,32-024,1993,15.1,1039,126,519,479,53,29,1039,5,2,40.0,3,60.0,612,3833,1586,6,6,3,6,2,671,4,Matches
1517,Jon Magunazelaia,es ESP,MF,Real Sociedad,es La Liga,24-259,2000,0.1,16,0,5,9,4,0,16,0,0,,0,,9,28,9,0,0,0,0,0,9,0,Matches
1518,Arne Maier,de GER,MF,Augsburg,de Bundesliga,26-080,1999,9.1,597,15,94,286,222,15,597,12,5,41.7,7,58.3,331,1415,646,14,14,5,19,8,383,42,Matches
1519,Mike Maignan,fr FRA,GK,Milan,it Serie A,29-269,1995,28.0,1224,733,1201,24,0,0,1224,1,1,100.0,0,0.0,771,4057,2686,0,0,0,1,0,713,0,Matches
1520,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,30-143,1994,26.0,1603,206,862,650,103,36,1603,8,3,37.5,3,37.5,863,4888,2657,16,16,1,14,7,893,10,Matches
1521,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,19-344,2005,14.3,845,17,165,477,210,30,845,41,20,48.8,19,46.3,526,2343,1032,19,12,9,23,29,598,35,Matches
1522,Ainsley Maitland-Niles,eng ENG,DF,Lyon,fr Ligue 1,27-212,1997,16.5,1146,47,300,531,323,44,1146,27,11,40.7,15,55.6,530,2086,1049,21,16,5,22,16,688,81,Matches
1523,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,25-133,1999,15.0,434,363,425,9,0,0,434,0,0,,0,,233,1219,725,0,0,0,0,0,181,0,Matches
1524,Lovro Majer,hr CRO,MF,Wolfsburg,de Bundesliga,27-071,1998,1.6,58,0,9,21,29,5,57,4,3,75.0,0,0.0,42,230,72,2,2,1,2,4,44,6,Matches
1525,Hamidou Makalou,ml MLI,FW,Brest,fr Ligue 1,18-257,2006,0.2,14,1,3,7,4,0,14,1,1,100.0,0,0.0,7,34,12,0,0,0,0,1,12,0,Matches
1526,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,23-238,2001,2.3,151,10,52,59,42,0,151,5,0,0.0,4,80.0,63,335,128,6,3,0,4,1,77,12,Matches
1527,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,26-254,1998,18.7,1073,43,358,549,173,4,1073,17,9,52.9,7,41.2,654,3076,1116,8,17,0,13,20,759,12,Matches
1528,Nikola Maksimović,rs SRB,DF,Montpellier,fr Ligue 1,33-124,1991,6.5,378,57,244,125,10,4,378,2,2,100.0,0,0.0,214,916,474,1,0,0,6,1,252,0,Matches
1529,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,25-224,1999,1.1,62,2,20,27,15,0,62,1,1,100.0,0,0.0,37,190,118,3,2,0,1,2,43,6,Matches
1530,Jarzinho Malanga,de GER,DF,Stuttgart,de Bundesliga,18-262,2006,0.0,3,0,0,0,3,0,3,0,0,,0,,1,0,0,0,0,0,1,0,3,2,Matches
1531,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,23-302,2001,5.0,363,25,156,160,48,4,363,3,2,66.7,1,33.3,224,1103,521,8,8,0,3,1,245,4,Matches
1532,Daniel Maldini,it ITA,MFFW,Monza,it Serie A,23-169,2001,14.5,584,13,70,287,242,41,584,72,30,41.7,37,51.4,388,2656,1287,41,31,10,36,31,426,66,Matches
1533,Daniel Maldini,it ITA,FWMF,Atalanta,it Serie A,23-169,2001,0.5,32,1,4,10,18,5,32,6,1,16.7,4,66.7,24,144,42,2,2,2,1,0,23,6,Matches
1534,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,26-219,1998,16.8,744,18,167,432,158,15,744,13,4,30.8,6,46.2,299,1114,557,10,11,1,25,10,419,37,Matches
1535,Donyell Malen,nl NED,FW,Aston Villa,eng Premier League,26-079,1999,1.9,70,1,5,20,49,12,70,6,2,33.3,3,50.0,38,308,157,5,3,2,4,5,41,14,Matches
1536,Donyell Malen,nl NED,FWMF,Dortmund,de Bundesliga,26-079,1999,6.8,278,3,23,84,175,46,278,32,11,34.4,19,59.4,187,911,439,23,9,17,16,9,214,75,Matches
1537,Ruslan Malinovskyi,ua UKR,MFFW,Genoa,it Serie A,31-329,1993,3.3,185,6,36,106,43,0,185,2,1,50.0,1,50.0,108,511,191,2,8,0,5,4,116,8,Matches
1538,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,25-172,1999,8.4,378,38,183,174,23,5,378,4,1,25.0,3,75.0,147,492,206,1,1,0,11,1,161,0,Matches
1539,Lennard Maloney,us USA,MF,Mainz 05,de Bundesliga,25-172,1999,0.3,22,3,9,11,2,0,22,0,0,,0,,4,24,13,1,0,0,1,0,5,0,Matches
1540,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,19-119,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,1,3,0,0,0,0,0,1,1,0,Matches
1541,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,24-181,2000,24.0,779,637,773,6,0,0,779,0,0,,0,,360,1685,887,1,0,0,0,0,328,0,Matches
1542,Dennis Man,ro ROU,FWMF,Parma,it Serie A,26-215,1998,20.1,941,8,91,387,477,78,941,71,23,32.4,43,60.6,601,4039,1758,64,37,28,40,25,677,129,Matches
1543,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,25-091,1999,0.2,19,0,0,13,6,0,19,0,0,,0,,14,66,19,0,1,0,0,0,15,0,Matches
1544,Gianluca Mancini,it ITA,DF,Roma,it Serie A,28-346,1996,25.9,1732,123,680,870,189,34,1732,8,1,12.5,3,37.5,1063,4591,2632,42,41,3,10,7,1256,22,Matches
1545,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,40-001,1985,16.5,522,417,518,4,0,0,522,2,2,100.0,0,0.0,305,1511,930,0,0,0,2,1,272,1,Matches
1546,Christos Mandas,gr GRE,GK,Lazio,it Serie A,23-193,2001,1.0,47,39,46,1,0,0,47,0,0,,0,,37,108,70,0,0,0,0,0,32,0,Matches
1547,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,31-067,1994,10.3,705,56,288,318,101,8,705,17,3,17.6,9,52.9,412,1692,847,14,15,2,8,4,451,15,Matches
1548,Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,33-158,1991,15.1,1085,73,337,612,136,20,1085,3,2,66.7,1,33.3,561,2072,1041,9,12,0,7,3,759,17,Matches
1549,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,27-273,1997,12.8,666,48,176,382,115,11,665,6,3,50.0,2,33.3,337,1358,629,7,9,0,4,1,423,15,Matches
1550,Orel Mangala,be BEL,MF,Everton,eng Premier League,27-011,1998,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19,Matches
1551,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,27-011,1998,0.7,42,1,5,27,10,2,42,3,0,0.0,3,100.0,26,128,62,1,0,0,0,0,29,3,Matches
1552,Ryan Manning,ie IRL,DFMF,Southampton,eng Premier League,28-288,1996,10.8,647,50,175,260,219,20,647,29,11,37.9,12,41.4,324,1447,727,11,9,4,15,5,387,57,Matches
1553,Javier Manquillo,es ESP,DF,Celta Vigo,es La Liga,30-328,1994,5.7,413,20,161,222,31,1,413,1,0,0.0,1,100.0,248,1017,454,3,5,1,1,0,312,5,Matches
1554,Johan Manzambi,ch SUI,MFFW,Freiburg,de Bundesliga,19-166,2005,0.4,28,1,8,15,6,0,28,0,0,,0,,14,78,35,1,1,0,1,1,15,2,Matches
1555,Alberto Manzoni,it ITA,MF,Atalanta,it Serie A,19-277,2005,0.1,14,0,3,10,1,0,14,0,0,,0,,8,25,12,0,0,0,0,0,13,0,Matches
1556,Sekou Mara,fr FRA,FWMF,Strasbourg,fr Ligue 1,22-242,2002,7.1,261,3,21,145,97,23,261,27,11,40.7,14,51.9,158,690,218,6,4,2,25,13,193,39,Matches
1557,Alessandro Marcandalli,it ITA,DF,Genoa,it Serie A,22-185,2002,0.5,24,6,17,6,1,0,24,0,0,,0,,11,20,4,0,1,0,0,0,11,0,Matches
1558,Alessandro Marcandalli,it ITA,DF,Venezia,it Serie A,22-185,2002,1.3,71,9,30,35,7,2,71,0,0,,0,,36,114,41,0,0,0,1,0,33,0,Matches
1559,Marcão,br BRA,DF,Sevilla,es La Liga,28-297,1996,5.1,325,49,193,128,5,2,325,3,0,0.0,1,33.3,172,792,343,0,0,0,4,3,201,0,Matches
1560,Solly March,eng ENG,MFFW,Brighton,eng Premier League,30-252,1994,0.4,29,0,4,12,13,2,29,1,1,100.0,0,0.0,7,27,3,0,0,0,1,0,11,1,Matches
1561,Filip Marchwiński,pl POL,MF,Lecce,it Serie A,23-078,2002,0.2,5,0,0,2,3,0,5,0,0,,0,,3,6,1,0,0,0,0,0,4,0,Matches
1562,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,35-349,1989,13.7,921,33,245,460,222,11,921,13,1,7.7,10,76.9,355,1413,699,20,16,1,10,7,487,61,Matches
1563,Alberto Marí,es ESP,FW,Valencia,es La Liga,23-261,2001,0.1,4,0,0,3,1,0,4,0,0,,0,,2,11,10,0,0,0,0,0,4,2,Matches
1564,Pablo Marí,es ESP,DF,Monza,it Serie A,31-210,1993,18.1,1296,228,753,534,12,5,1296,6,6,100.0,0,0.0,765,3398,1700,5,4,0,4,5,861,1,Matches
1565,Pablo Marí,es ESP,DF,Fiorentina,it Serie A,31-210,1993,3.2,186,33,100,82,4,2,186,0,0,,0,,97,447,177,0,0,0,0,1,109,0,Matches
1566,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,30-068,1995,17.5,1191,222,646,524,25,10,1191,3,2,66.7,1,33.3,718,3140,1579,1,1,0,4,3,808,1,Matches
1567,Luca Marianucci,it ITA,DF,Empoli,it Serie A,20-249,2004,5.4,291,32,150,126,15,2,291,4,2,50.0,0,0.0,147,705,387,6,3,0,4,2,149,2,Matches
1568,Mirko Marić,hr CRO,FWMF,Monza,it Serie A,29-317,1995,1.2,54,1,9,26,19,6,54,1,1,100.0,0,0.0,25,103,51,1,0,0,3,1,40,8,Matches
1569,Mirko Marić,hr CRO,FW,Venezia,it Serie A,29-317,1995,3.5,132,10,21,62,51,11,132,6,2,33.3,4,66.7,74,248,118,3,5,0,12,3,89,22,Matches
1570,Arkaitz Mariezkurrena,es ESP,MFFW,Real Sociedad,es La Liga,19-358,2005,0.7,29,1,9,11,9,2,29,0,0,,0,,15,27,5,0,0,0,4,1,17,1,Matches
1571,Rafa Marín ,es ESP,DF,Napoli,it Serie A,22-314,2002,0.1,3,2,2,1,0,0,3,0,0,,0,,2,10,0,0,0,0,0,0,2,0,Matches
1572,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,21-269,2003,5.2,232,9,40,129,68,4,232,16,11,68.8,5,31.3,118,569,176,2,4,0,15,7,147,24,Matches
1573,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,28-310,1996,12.7,717,17,140,399,186,18,715,19,10,52.6,9,47.4,393,2015,911,19,15,3,10,11,458,23,Matches
1574,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,30-327,1994,17.0,1069,111,529,521,28,13,1069,5,0,0.0,5,100.0,617,2941,1489,6,5,2,13,3,683,5,Matches
1575,Mika Màrmol,es ESP,DF,Las Palmas,es La Liga,22-270,2002,17.7,1211,104,451,614,149,13,1211,9,5,55.6,4,44.4,552,2695,1607,17,16,1,10,3,734,29,Matches
1576,Omar Marmoush,eg EGY,MFFW,Manchester City,eng Premier League,26-050,1999,5.3,230,1,15,78,140,20,230,15,3,20.0,9,60.0,147,928,491,11,12,2,18,6,160,34,Matches
1577,Omar Marmoush,eg EGY,FW,Eint Frankfurt,de Bundesliga,26-050,1999,16.1,671,1,40,230,421,109,669,101,46,45.5,46,45.5,442,3318,1810,73,53,45,66,37,483,125,Matches
1578,Mario Maroto,es ESP,MF,Valladolid,es La Liga,21-121,2003,0.2,19,1,4,11,4,1,19,1,1,100.0,0,0.0,5,16,3,0,0,0,0,0,7,0,Matches
1579,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,30-319,1994,15.6,1629,153,544,999,91,8,1629,4,3,75.0,1,25.0,1100,5396,3660,21,23,0,3,0,1307,3,Matches
1580,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,23-171,2001,1.0,33,29,33,0,0,0,33,0,0,,0,,17,63,22,0,0,0,0,0,15,0,Matches
1581,Ange Martial Tia,ml MLI,MF,Reims,fr Ligue 1,18-129,2006,0.0,5,0,0,2,3,0,5,0,0,,0,,2,1,1,0,0,0,0,0,4,0,Matches
1582,Aarón Martín,es ESP,DF,Genoa,it Serie A,27-341,1997,27.2,1564,74,446,641,499,16,1564,25,12,48.0,11,44.0,666,3823,1837,41,26,4,19,12,815,93,Matches
1583,Carlos Martín,es ESP,FWMF,Alavés,es La Liga,22-341,2002,11.9,480,17,94,206,184,36,480,28,6,21.4,22,78.6,245,900,357,10,8,3,24,17,299,58,Matches
1584,Gerard Martín,es ESP,DF,Barcelona,es La Liga,23-087,2002,5.9,453,14,118,203,133,6,453,4,2,50.0,2,50.0,185,592,317,6,6,0,4,1,281,43,Matches
1585,Iván Martín,es ESP,MF,Girona,es La Liga,26-043,1999,18.5,1348,30,245,777,344,14,1348,39,22,56.4,11,28.2,890,5580,2597,47,47,0,35,22,1087,58,Matches
1586,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,19-087,2006,3.3,149,35,90,50,9,6,149,0,0,,0,,59,291,162,0,1,0,0,0,80,0,Matches
1587,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,34-354,1990,5.1,325,18,84,189,53,6,325,4,2,50.0,1,25.0,146,695,337,8,5,0,4,4,222,7,Matches
1588,Mario Martín,es ESP,MF,Valladolid,es La Liga,21-024,2004,15.9,876,66,278,466,140,22,876,30,16,53.3,11,36.7,451,2507,1098,14,14,2,30,20,546,19,Matches
1589,Gabriel Martinelli,br BRA,FWMF,Arsenal,eng Premier League,23-284,2001,17.4,694,12,73,190,442,124,694,93,27,29.0,50,53.8,451,3377,1785,87,26,39,38,29,510,199,Matches
1590,Arnau Martinez,es ESP,DFMF,Girona,es La Liga,21-338,2003,21.8,1651,69,491,793,380,44,1651,29,15,51.7,11,37.9,909,4580,2164,31,25,5,18,9,1099,74,Matches
1591,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,32-208,1992,27.0,1078,804,1065,13,0,0,1078,1,1,100.0,0,0.0,648,3274,2055,0,0,0,1,0,595,0,Matches
1592,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,33-316,1991,21.8,2135,119,736,1311,96,20,2135,3,3,100.0,0,0.0,1380,8328,6044,59,39,0,9,3,1619,8,Matches
1593,Javi Martínez,es ESP,MF,Osasuna,es La Liga,25-097,1999,0.1,10,0,2,8,0,0,10,0,0,,0,,6,16,2,0,0,0,0,0,10,0,Matches
1594,Josep Martinez,es ESP,GK,Inter,it Serie A,26-306,1998,3.0,135,118,135,0,0,0,135,0,0,,0,,98,366,226,0,0,0,0,0,96,0,Matches
1595,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,27-219,1997,25.1,855,13,71,364,430,136,855,40,16,40.0,20,50.0,552,2470,1031,30,25,10,60,44,655,167,Matches
1596,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,27-070,1998,19.5,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7,Matches
1597,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,28-323,1996,3.9,316,39,157,139,21,6,316,2,2,100.0,0,0.0,181,1010,589,3,2,1,5,1,208,2,Matches
1598,Ramón Martínez,es ESP,DF,Sevilla,es La Liga,22-158,2002,0.1,10,0,6,4,0,0,10,1,1,100.0,0,0.0,7,33,6,0,0,0,0,0,9,0,Matches
1599,Toni Martínez,es ESP,FW,Alavés,es La Liga,27-272,1997,9.3,317,11,23,128,170,64,317,11,7,63.6,3,27.3,122,651,232,12,6,7,30,7,213,46,Matches
1600,Kevin Martins,it ITA,MFDF,Monza,it Serie A,20-057,2005,2.0,80,3,30,30,22,2,80,6,4,66.7,2,33.3,51,344,144,3,2,2,8,1,49,10,Matches
1601,Javi Martón,es ESP,FWMF,Athletic Club,es La Liga,25-327,1999,0.6,14,0,1,8,5,0,14,0,0,,0,,6,8,1,0,0,0,5,0,8,3,Matches
1602,Adam Marušić,me MNE,DF,Lazio,it Serie A,32-163,1992,19.3,1080,58,332,527,232,23,1080,14,9,64.3,5,35.7,485,1824,877,17,16,0,7,11,692,67,Matches
1603,Marvin,es ESP,DFFW,Las Palmas,es La Liga,24-269,2000,6.6,370,19,89,179,107,9,370,5,1,20.0,3,60.0,178,1251,641,18,14,1,11,3,192,36,Matches
1604,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,32-055,1993,16.6,848,69,279,505,69,6,848,13,8,61.5,4,30.8,400,1859,702,7,9,1,6,7,514,10,Matches
1605,Adam Masina,ma MAR,DF,Torino,it Serie A,31-086,1994,16.6,1173,134,513,595,69,10,1173,8,3,37.5,5,62.5,669,3055,1724,13,8,1,7,5,771,7,Matches
1606,Patrizio Masini,it ITA,MF,Genoa,it Serie A,24-061,2001,8.6,444,24,110,256,84,15,444,12,6,50.0,3,25.0,181,1154,454,13,12,1,12,4,224,12,Matches
1607,Giorgos Masouras,gr GRE,FWMF,Bochum,de Bundesliga,31-087,1994,6.3,208,3,26,81,107,33,208,10,4,40.0,6,60.0,112,519,264,15,3,8,15,5,131,39,Matches
1608,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,26-127,1998,9.5,494,71,262,217,17,9,494,1,0,0.0,1,100.0,263,1033,470,1,1,0,3,3,291,3,Matches
1609,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,23-265,2001,5.4,277,12,82,154,44,4,277,15,6,40.0,6,40.0,162,721,314,5,3,1,6,6,187,1,Matches
1610,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,32-142,1992,23.1,1623,165,675,805,155,14,1623,29,13,44.8,14,48.3,974,5127,3002,18,17,0,15,10,1091,23,Matches
1611,Jaime Mata,es ESP,FW,Las Palmas,es La Liga,36-156,1988,5.2,189,8,14,96,79,24,189,6,4,66.7,2,33.3,83,339,133,6,2,2,13,1,135,27,Matches
1612,Igor Matanovic,hr CRO,FW,Eint Frankfurt,de Bundesliga,21-363,2003,3.4,129,8,17,70,43,17,129,5,3,60.0,2,40.0,75,362,118,2,3,2,20,9,100,19,Matches
1613,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,22-196,2002,15.5,1008,31,218,563,245,19,1008,25,11,44.0,12,48.0,637,3756,1613,27,28,4,23,16,712,40,Matches
1614,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,23-042,2002,0.8,54,2,8,39,7,0,54,3,0,0.0,3,100.0,23,94,31,0,0,0,3,0,31,3,Matches
1615,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,27-274,1997,23.7,599,24,51,287,275,78,597,37,15,40.5,18,48.6,310,1620,782,31,18,7,53,37,438,100,Matches
1616,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,36-240,1988,18.1,1238,55,259,788,200,29,1238,11,7,63.6,4,36.4,750,3829,2017,33,28,8,9,15,917,13,Matches
1617,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,22-318,2002,20.3,1175,156,496,599,92,16,1175,10,6,60.0,3,30.0,638,2777,1378,11,13,2,17,9,666,9,Matches
1618,Jean Mattéo Bahoya,fr FRA,MFFW,Eint Frankfurt,de Bundesliga,19-326,2005,5.1,261,5,47,109,109,21,261,19,13,68.4,5,26.3,153,952,412,12,10,6,10,9,166,60,Matches
1619,Alan Matturro,uy URU,DF,Genoa,it Serie A,20-169,2004,8.9,417,48,229,151,39,8,417,4,3,75.0,1,25.0,206,1180,642,12,5,1,6,3,242,8,Matches
1620,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,26-335,1998,17.6,1089,56,259,671,166,7,1089,15,14,93.3,1,6.7,498,2113,869,11,11,1,17,15,640,14,Matches
1621,Neal Maupay,fr FRA,FW,Marseille,fr Ligue 1,28-227,1996,10.2,345,2,20,180,151,40,345,13,6,46.2,6,46.2,179,900,372,11,13,7,31,17,268,65,Matches
1622,Maurides,br BRA,FW,St. Pauli,de Bundesliga,31-019,1994,0.0,2,0,0,0,2,0,2,0,0,,0,,1,1,0,0,0,0,0,0,2,0,Matches
1623,Stephy Mavididi,eng ENG,FW,Leicester City,eng Premier League,26-302,1998,15.5,759,21,116,291,367,51,759,84,30,35.7,44,52.4,515,3809,2051,75,34,21,36,34,546,118,Matches
1624,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,27-108,1997,18.5,1210,183,622,539,56,21,1210,16,9,56.3,5,31.3,666,3392,1882,15,9,1,12,0,779,2,Matches
1625,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,19-345,2005,11.6,717,55,279,392,56,5,717,23,7,30.4,14,60.9,426,2006,901,8,8,0,14,8,455,8,Matches
1626,Keke Maximilian Topp,de GER,FWMF,Werder Bremen,de Bundesliga,21-004,2004,2.5,110,1,4,34,73,26,110,8,2,25.0,5,62.5,68,335,177,9,4,3,10,12,89,24,Matches
1627,Borja Mayoral,es ESP,FW,Getafe,es La Liga,27-358,1997,6.2,208,4,15,106,92,21,207,13,5,38.5,5,38.5,127,465,155,2,4,2,15,12,148,24,Matches
1628,Senny Mayulu,fr FRA,MF,Paris S-G,fr Ligue 1,18-316,2006,5.2,329,8,44,136,150,28,329,21,10,47.6,10,47.6,178,825,383,18,6,5,13,16,248,40,Matches
1629,Noussair Mazraoui,ma MAR,DF,Manchester Utd,eng Premier League,27-135,1997,24.6,1669,120,642,775,275,25,1669,39,22,56.4,14,35.9,913,4278,2186,31,24,3,20,16,1003,44,Matches
1630,Luca Mazzitelli,it ITA,MF,Como,it Serie A,29-134,1995,3.7,235,9,56,134,49,10,235,5,4,80.0,1,20.0,132,599,245,2,5,0,3,5,170,14,Matches
1631,Pasquale Mazzocchi,it ITA,DFFW,Napoli,it Serie A,29-245,1995,6.8,314,24,87,118,115,7,314,12,5,41.7,4,33.3,168,999,507,15,11,2,13,11,182,37,Matches
1632,Samuel Mbangula,be BEL,FW,Juventus,it Serie A,21-072,2004,7.8,346,5,45,147,157,19,346,27,9,33.3,13,48.1,228,1360,711,25,11,7,13,10,268,44,Matches
1633,Ethan Mbappé,fr FRA,MFFW,Lille,fr Ligue 1,18-090,2006,2.2,161,1,13,60,88,15,161,7,2,28.6,4,57.1,96,521,202,5,2,4,9,4,124,28,Matches
1634,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,26-099,1998,24.9,1195,1,31,355,823,235,1189,149,65,43.6,73,49.0,800,5341,2857,110,65,76,63,36,1035,297,Matches
1635,Ibrahim Mbaye,fr FRA,FWMF,Paris S-G,fr Ligue 1,17-064,2008,1.0,51,0,4,18,30,4,51,6,0,0.0,6,100.0,45,255,92,3,5,1,4,5,44,15,Matches
1636,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,25-234,1999,28.9,1350,44,193,426,755,118,1346,79,37,46.8,33,41.8,808,5203,2740,99,56,58,75,37,914,276,Matches
1637,James Mcatee,eng ENG,MFFW,Manchester City,eng Premier League,22-162,2002,1.4,83,1,11,37,36,8,83,5,1,20.0,4,80.0,49,270,127,4,3,0,1,1,61,12,Matches
1638,Kasey McAteer,ie IRL,FWMF,Leicester City,eng Premier League,23-127,2001,4.4,200,15,47,77,82,16,200,9,1,11.1,5,55.6,116,795,387,13,8,6,6,4,132,36,Matches
1639,Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28-298,1996,12.3,414,18,38,219,159,62,414,22,11,50.0,11,50.0,197,658,171,5,2,4,28,18,302,56,Matches
1640,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,35-116,1989,5.0,173,141,173,0,0,0,173,0,0,,0,,100,452,276,0,0,0,0,0,88,0,Matches
