,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
80,Carles Aleñá,es ESP,MFFW,Alavés,es La Liga,27-083,1998,5.0,210,196,14,6,2,0,20,1,6,5,0,0,156,0,9,Matches
81,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-173,1998,23.8,1787,1501,277,57,9,31,140,172,48,31,10,1,1321,9,34,Matches
82,Alfon,es ESP,FWMF,Celta Vigo,es La Liga,25-329,1999,8.5,193,191,1,1,0,0,20,0,0,0,0,0,139,1,9,Matches
83,Mohamed Ali Cho,fr FRA,FWMF,Nice,fr Ligue 1,21-069,2004,16.1,417,394,21,3,8,1,42,0,9,4,4,0,293,2,19,Matches
84,Faride Alidou,de GER,FWMF,Hellas Verona,it Serie A,23-254,2001,0.8,20,18,2,1,0,0,3,0,1,1,0,0,16,0,0,Matches
85,Alisson,br BRA,GK,Liverpool,eng Premier League,32-178,1992,20.9,645,562,81,27,1,0,0,0,0,0,0,0,538,2,0,Matches
86,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-037,1999,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
87,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-030,1995,15.5,392,383,8,1,2,1,26,4,2,0,2,0,292,1,11,Matches
88,Dele Alli,eng ENG,MF,Como,it Serie A,28-352,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
89,Thiago Almada,ar ARG,FWMF,Lyon,fr Ligue 1,23-337,2001,4.3,316,295,20,4,1,4,15,3,12,5,5,0,281,1,4,Matches
90,Domingos André Ribeiro Almeida,pt POR,MFFW,Valencia,es La Liga,24-303,2000,15.5,652,597,50,13,4,1,41,3,22,4,14,0,552,5,12,Matches
91,Iker Almena,es ESP,FWDF,Girona,es La Liga,20-329,2004,0.5,32,30,2,0,0,0,4,2,0,0,0,0,23,0,2,Matches
92,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,31-047,1994,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2,Matches
93,Pontus Almqvist,se SWE,FWMF,Parma,it Serie A,25-262,1999,11.0,277,270,6,1,0,0,10,5,0,0,0,0,203,1,11,Matches
94,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-091,1990,21.0,1690,1573,114,59,1,17,31,37,12,9,1,0,1492,3,18,Matches
95,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-232,1998,8.4,389,319,68,13,0,2,7,55,0,0,0,0,283,2,2,Matches
96,Adrià Altimira,es ESP,DFFW,Leganés,es La Liga,24-001,2001,12.0,410,337,72,3,1,3,10,69,0,0,0,0,326,1,8,Matches
97,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-216,2001,17.8,996,977,18,15,4,13,4,3,0,0,0,0,877,1,17,Matches
98,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-156,1997,17.1,815,795,14,10,3,10,6,3,0,0,0,0,699,6,9,Matches
99,Hugo Álvarez,es ESP,MFDF,Celta Vigo,es La Liga,21-270,2003,15.4,887,741,141,16,0,2,28,115,10,4,1,0,698,5,26,Matches
