,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
1417,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,23,1997,27.5,971,927,44,35,0,113,17,1,0,0,0,0,748,86,137,91,784,49,7,7,850,0,20,18,9,Matches,0313a347
1418,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,23,1998,23.6,1482,1350,132,56,1,212,76,31,54,29,20,0,1014,141,327,1209,184,49,15,3,1185,5,28,38,24,Matches,a26fb8aa
1419,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35,1985,10.4,544,530,14,14,0,62,21,0,0,0,0,0,422,45,77,49,467,21,0,0,496,1,11,6,4,Matches,f5efb153
1420,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,20,2001,19.9,1160,1057,103,19,2,136,32,5,0,0,0,0,830,174,156,160,856,40,84,1,978,3,26,15,19,Matches,1f3afdcb
1421,Filip Kostić,rs SRB,DFFW,Eint Frankfurt,de Bundesliga,28,1992,28.0,1618,1210,408,73,3,187,103,191,116,44,63,4,756,358,504,1251,111,24,219,2,1038,4,39,71,93,Matches,b1cd37e6
1422,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,24,1996,33.0,1583,1559,24,22,5,241,35,8,2,0,2,0,1382,98,103,1357,182,25,0,4,1393,6,18,59,20,Matches,86a2ba20
1423,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,30,1991,26.7,1630,1546,84,67,1,180,46,2,0,0,0,0,1261,133,236,478,1063,45,3,13,1425,4,20,34,17,Matches,da974c7b
1424,Jules Koundé,fr FRA,DF,Sevilla,es La Liga,22,1998,30.4,2124,2034,90,55,1,213,73,11,0,0,0,0,1639,189,296,217,1717,108,34,1,1903,3,25,38,16,Matches,4d1666ff
1425,Christos Kourfalidis,gr GRE,MFDF,Cagliari,it Serie A,18,2002,0.2,12,12,0,0,0,4,0,0,0,0,0,0,6,4,2,2,9,0,0,0,8,0,0,1,1,Matches,5c522c88
1426,Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,24,1997,29.6,1116,1085,31,27,1,85,32,0,0,0,0,0,807,109,200,325,662,85,4,4,935,3,18,21,16,Matches,562a4799
1427,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,eng Premier League,31,1989,21.9,789,770,19,17,0,125,7,5,0,0,0,0,574,87,128,54,641,47,2,7,657,0,6,24,10,Matches,8d3c902d
1428,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,27,1994,17.3,1193,1173,20,19,11,155,22,5,0,0,0,0,1000,100,93,50,1114,19,0,5,1065,3,7,37,15,Matches,79c0821a
1429,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,25,1996,14.7,601,567,34,15,0,118,17,9,16,10,3,2,447,62,92,55,494,31,3,7,459,1,10,26,21,Matches,9d60028d
1430,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,26,1994,18.2,760,587,173,7,0,98,11,18,0,0,0,0,410,133,217,18,510,42,166,2,555,1,12,26,24,Matches,77cf6852
1431,Alex Král,cz CZE,MF,West Ham,eng Premier League,23,1998,0.0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,Matches,e717705a
1432,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,30,1991,30.1,1057,971,86,13,7,199,23,53,12,2,3,1,748,162,147,151,820,42,26,8,819,6,17,56,31,Matches,603cb947
1433,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,30,1991,8.3,467,444,23,18,0,76,4,5,0,0,0,0,323,72,72,64,367,23,4,2,370,1,12,16,17,Matches,496aeede
1434,Jean-Philippe Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1997,5.0,106,97,9,1,0,42,2,6,0,0,0,0,74,15,17,69,22,2,1,1,69,0,4,8,5,Matches,037f2523
1435,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,24,1997,0.1,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,Matches,b804c280
1436,Toni Kroos,de GER,MF,Real Madrid,es La Liga,31,1990,23.4,2258,2056,202,104,3,190,161,31,88,36,23,6,1715,185,358,329,1886,22,10,3,2076,13,17,30,13,Matches,6ce1f46f
1437,Florian Krüger,de GER,FWMF,Arminia,de Bundesliga,22,1999,12.5,310,295,15,0,1,64,10,20,3,3,0,0,194,65,51,58,212,11,9,6,212,2,4,17,22,Matches,f9f92b5f
1438,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29.0,1057,729,328,104,1,72,31,0,0,0,0,0,531,45,481,666,190,0,0,155,730,2,29,7,2,Matches,f23f9d20
1439,Rade Krunić,ba BIH,MFFW,Milan,it Serie A,27,1993,15.7,579,557,22,9,2,116,3,8,4,0,1,0,446,73,60,56,461,35,3,5,478,3,4,15,13,Matches,817c6964
1440,Max Kruse,de GER,FWMF,Wolfsburg,de Bundesliga,33,1988,12.5,498,477,21,6,5,117,20,22,0,0,0,0,320,101,77,305,138,29,7,9,366,3,10,31,22,Matches,f9446dcd
1441,Max Kruse,de GER,FWMF,Union Berlin,de Bundesliga,33,1988,14.1,481,416,65,22,6,123,31,31,20,8,7,0,269,89,123,315,124,16,7,4,350,2,15,21,14,Matches,f9446dcd
1442,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,28,1992,25.9,1242,1005,237,8,1,166,25,34,0,0,0,0,641,249,352,93,800,80,229,4,907,4,26,41,34,Matches,2a29eb9b
1443,Takefusa Kubo,jp JPN,FWMF,Mallorca,es La Liga,20,2001,17.8,516,479,37,9,0,115,13,36,19,5,5,1,361,66,89,418,53,26,5,4,363,4,15,28,22,Matches,16aa3654
1444,Juraj Kucka,sk SVK,MF,Watford,eng Premier League,34,1987,21.3,697,671,26,8,0,141,14,10,1,0,1,0,411,126,160,122,453,63,16,6,488,1,17,36,27,Matches,5aaef9ef
1445,Mykola Kukharevych,ua UKR,FW,Troyes,fr Ligue 1,20,2001,0.2,6,6,0,0,0,2,0,0,0,0,0,0,4,2,0,0,3,1,0,1,4,0,0,2,0,Matches,8197a269
1446,Dejan Kulusevski,se SWE,MFFW,Tottenham,eng Premier League,21,2000,14.0,464,444,20,1,0,82,5,24,1,0,0,0,393,36,35,381,73,2,3,0,389,1,2,13,22,Matches,df3cda47
1447,Dejan Kulusevski,se SWE,FWMF,Juventus,it Serie A,21,2000,8.6,244,239,5,0,1,57,2,11,1,0,0,0,192,28,24,178,45,9,3,1,196,1,4,10,14,Matches,df3cda47
1448,Marash Kumbulla,al ALB,DF,Roma,it Serie A,21,2000,11.4,632,617,15,14,0,50,20,1,0,0,0,0,507,27,98,123,459,26,0,2,546,0,10,7,14,Matches,a40819d9
1449,Fabian Kunze,de GER,MF,Arminia,de Bundesliga,23,1998,14.0,496,483,13,10,1,102,9,7,0,0,0,0,285,105,106,59,350,47,3,2,370,1,14,19,15,Matches,d25fee56
1450,Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,24,1997,22.2,1195,1021,174,22,2,133,16,27,0,0,0,0,732,262,201,147,843,39,152,4,988,0,10,50,22,Matches,4bf69118
1451,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,25,1995,4.4,93,81,12,0,0,25,1,0,0,0,0,0,70,16,7,11,69,5,1,3,70,1,0,4,1,Matches,397ba086
1452,Giorgos Kyriakopoulos,gr GRE,DFFW,Sassuolo,it Serie A,25,1996,21.9,1283,1105,178,21,0,152,21,62,19,3,15,1,842,213,228,957,157,17,138,1,1061,0,20,33,29,Matches,0a483542
1453,Andrea La Mantia,it ITA,FW,Empoli,it Serie A,30,1991,5.4,98,97,1,0,0,50,1,4,0,0,0,0,56,24,18,16,53,3,0,2,70,0,2,6,2,Matches,c375dfa5
1454,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,27,1994,30.3,656,608,48,1,2,197,8,39,1,1,0,0,351,154,151,340,178,53,2,20,433,4,11,30,32,Matches,7cdda3bf
1455,Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,27,1994,3.8,97,95,2,0,0,24,1,5,0,0,0,0,45,22,30,40,29,13,2,2,61,0,0,7,5,Matches,7cdda3bf
1456,Alexandre Lacazette,fr FRA,FWMF,Arsenal,eng Premier League,30,1991,19.8,456,443,13,1,3,99,6,7,0,0,0,0,342,73,41,45,378,14,1,6,350,3,5,29,10,Matches,9dbb75ca
1457,Tom Lacoux,fr FRA,DFMF,Bordeaux,fr Ligue 1,19,2002,10.1,411,351,60,4,1,58,12,3,0,0,0,0,258,59,94,28,306,16,56,0,322,1,5,14,20,Matches,295ba708
1458,Lenny Lacroix,fr FRA,DF,Metz,fr Ligue 1,18,2003,2.2,76,72,4,4,0,15,2,0,0,0,0,0,49,4,23,8,61,2,0,0,55,0,2,3,3,Matches,5413ef36
1459,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,21,2000,27.7,1513,1450,63,62,1,213,40,5,0,0,0,0,1096,132,285,233,1131,90,1,5,1242,7,26,41,26,Matches,277c49ed
1460,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38.0,1114,736,378,92,0,44,31,0,0,0,0,0,456,26,632,22,920,0,0,136,681,2,27,8,2,Matches,4e7db402
1461,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,31,1989,33.8,1216,1130,86,84,0,117,80,2,0,0,0,0,657,118,441,59,964,144,1,2,917,6,34,12,17,Matches,b7c99b9b
1462,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,24,1997,13.8,696,661,35,28,5,148,12,12,0,0,0,0,513,89,94,130,530,18,6,2,558,3,9,25,23,Matches,c1b7847c
1463,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28,1992,16.3,767,616,151,3,1,126,5,27,0,0,0,0,407,176,184,108,471,26,148,3,575,5,4,40,30,Matches,4aea5077
1464,Diego Lainez,mx MEX,FW,Betis,es La Liga,21,2000,1.6,55,55,0,0,0,12,0,1,0,0,0,0,42,6,7,45,7,1,0,1,45,0,0,0,3,Matches,bf12926c
1465,Adam Lallana,eng ENG,MF,Brighton,eng Premier League,33,1988,17.3,947,935,12,11,1,164,10,8,0,0,0,0,738,121,88,238,659,29,1,6,828,0,18,29,18,Matches,99813635
1466,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,31,1990,13.0,420,412,8,6,0,61,22,3,0,0,0,0,280,41,99,59,310,28,2,2,350,2,7,2,6,Matches,591477c9
1467,Érik Lamela,ar ARG,FW,Sevilla,es La Liga,29,1992,11.3,479,464,15,5,3,101,9,11,7,4,0,1,385,55,39,406,52,10,2,2,409,2,3,18,14,Matches,abe66106
1468,Didier Lamkel Zé,cm CMR,FW,Metz,fr Ligue 1,24,1996,6.7,180,174,6,0,0,58,4,6,0,0,0,0,119,33,28,19,136,9,0,1,128,2,5,11,8,Matches,b229aa13
1469,Sam Lammers,nl NED,FW,Eint Frankfurt,de Bundesliga,24,1997,5.7,135,129,6,0,0,50,0,0,0,0,0,0,70,38,27,55,40,14,1,1,89,2,4,7,7,Matches,c283ddef
1470,Sam Lammers,nl NED,FW,Atalanta,it Serie A,24,1997,0.4,19,19,0,0,0,4,0,1,0,0,0,0,13,3,3,8,8,1,0,0,11,0,1,1,0,Matches,c283ddef
1471,Tariq Lamptey,eng ENG,DFFW,Brighton,eng Premier League,20,2000,17.3,787,715,72,5,1,113,10,72,0,0,0,0,536,130,121,155,537,19,67,2,607,2,13,20,37,Matches,f4e433d4
1472,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,28,1993,19.8,1217,1152,65,10,3,173,20,12,19,16,0,0,991,112,114,100,1068,28,8,6,1103,1,10,23,9,Matches,26f6dca8
1473,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,27,1994,31.4,2853,2798,55,43,3,202,64,5,0,0,0,0,2446,144,263,2050,648,91,12,7,2703,1,17,19,6,Matches,119b9a8e
1474,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,27,1993,32.1,1422,1377,45,42,3,167,71,2,0,0,0,0,949,138,335,210,1068,95,3,6,1223,8,39,21,12,Matches,f066022d
1475,Yasser Larouci,dz ALG,DF,Troyes,fr Ligue 1,20,2001,3.8,160,134,26,1,0,18,7,11,0,0,0,0,97,32,31,121,6,7,25,0,129,0,1,3,5,Matches,0ed063d6
1476,Kevin Lasagna,it ITA,FWMF,Hellas Verona,it Serie A,28,1992,13.2,287,270,17,0,0,96,11,15,0,0,0,0,168,67,52,184,41,18,2,13,192,4,11,14,23,Matches,09538fdb
1477,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,27,1993,22.9,667,658,9,6,0,118,10,5,0,0,0,0,416,57,194,79,459,71,1,0,508,6,14,13,7,Matches,450ab6fc
1478,Bryan Lasme,fr FRA,FW,Arminia,de Bundesliga,22,1998,9.7,197,189,8,0,0,76,7,16,0,0,0,0,101,56,40,13,127,20,0,5,122,0,7,5,12,Matches,ebac0ace
1479,Paul Lasne,fr FRA,MF,Brest,fr Ligue 1,32,1989,9.4,424,418,6,6,2,59,7,6,0,0,0,0,328,43,53,175,226,15,0,2,356,2,5,6,11,Matches,542cc80f
1480,Latasa,es ESP,FW,Real Madrid,es La Liga,20,2001,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,1,0,0,4,0,0,0,1,Matches,2bea832e
1481,Toni Lato,es ESP,DFMF,Valencia,es La Liga,23,1997,6.6,310,243,67,7,0,45,13,17,0,0,0,0,147,81,82,197,29,18,60,1,234,1,4,6,7,Matches,8e088e04
1482,Armand Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,27.5,722,672,50,10,6,141,18,40,21,8,2,0,555,90,77,71,613,18,5,3,564,1,18,35,24,Matches,2d22cea7
1483,Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,30,1990,30.7,1543,1281,262,11,1,175,24,93,6,3,0,0,818,404,321,239,994,47,245,7,1098,11,37,97,76,Matches,5128bde4
1484,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,27,1993,18.5,1033,849,184,18,0,91,16,46,1,1,0,0,717,219,97,147,692,23,165,2,884,1,19,32,23,Matches,02caf6e0
1485,Théo Le Bris,fr FRA,MF,Lorient,fr Ligue 1,18,2002,0.7,16,16,0,0,0,8,0,0,0,0,0,0,9,3,4,0,13,1,0,1,12,0,0,0,0,Matches,afe39ca8
1486,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,23,1998,16.1,315,308,7,0,0,92,7,28,1,1,0,0,198,52,65,203,59,22,1,0,205,0,12,15,19,Matches,88c4d190
1487,Enzo Le Fée,fr FRA,MFFW,Lorient,fr Ligue 1,21,2000,24.4,1213,1090,123,30,5,211,76,33,75,27,26,4,861,132,220,142,1012,34,11,5,956,7,28,48,26,Matches,6f806d99
1488,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,31,1989,34.0,1838,1483,355,30,2,203,30,65,1,0,0,0,1064,436,338,1369,86,45,324,2,1448,9,25,79,55,Matches,2321ea6e
1489,Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,31,1989,9.6,547,531,16,8,0,38,21,2,0,0,0,0,399,39,109,431,83,18,5,0,480,0,11,8,5,Matches,321a71a7
1490,Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,24,1996,37.0,2109,2049,60,51,0,225,51,0,0,0,0,0,1683,137,289,191,1712,110,3,7,1888,4,45,14,11,Matches,9a64e67e
1491,Patrick Leal,us USA,MF,Venezia,it Serie A,18,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Matches,d97ec0d1
1492,Rafael Leão,pt POR,FW,Milan,it Serie A,22,1999,28.9,805,786,19,1,1,169,25,69,2,0,0,0,554,132,119,130,603,20,14,5,579,5,16,48,54,Matches,20730eae
1493,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,25.7,733,496,237,40,0,50,24,0,0,0,0,0,418,30,285,69,511,1,0,131,554,1,31,4,2,Matches,edbe46dc
1494,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38.0,1156,716,440,130,0,45,53,0,0,0,0,0,289,36,831,50,820,0,0,116,605,7,60,18,5,Matches,6c4776b1
1495,Pierre Lees-Melou,fr FRA,MF,Norwich City,eng Premier League,28,1993,25.2,1033,1010,23,10,3,188,62,30,1,1,0,0,634,177,222,159,812,37,10,2,817,2,12,54,26,Matches,f5044e54
1496,Wu Lei,cn CHN,FWMF,Espanyol,es La Liga,29,1991,5.3,101,97,4,0,1,31,3,4,0,0,0,0,49,28,24,12,62,14,1,4,72,1,2,5,3,Matches,e3fabb0a
1497,Maxim Leitsch,de GER,DF,Bochum,de Bundesliga,23,1998,17.1,806,791,15,10,0,120,19,5,0,0,0,0,587,73,146,619,113,40,5,5,681,4,13,16,10,Matches,7e12a98d
1498,Lucas Leiva,br BRA,MF,Lazio,it Serie A,34,1987,18.9,1243,1203,40,39,0,151,12,3,1,0,1,0,1030,105,108,166,991,60,0,3,1146,3,14,12,13,Matches,4c78b5ed
1499,Florian Lejeune,fr FRA,DF,Alavés,es La Liga,30,1991,30.0,1161,1078,83,80,0,137,98,4,0,0,0,0,695,103,363,148,847,104,2,5,928,5,34,13,5,Matches,6eaed4eb
1500,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,28,1993,21.4,1207,920,287,28,0,104,36,48,0,0,0,0,584,254,369,174,711,50,259,3,887,5,24,50,34,Matches,59b7d823
1501,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,25,1995,16.0,810,728,82,23,2,120,30,54,41,14,13,1,549,106,155,636,120,19,18,4,637,3,12,30,23,Matches,4dbd0916
1502,Félix Lemaréchal,ci CIV,MF,Monaco,fr Ligue 1,17,2003,0.1,15,15,0,0,0,2,0,0,0,0,0,0,12,1,2,3,11,1,0,0,12,0,0,3,0,Matches,8ca9415f
1503,Mario Lemina,ga GAB,MF,Nice,fr Ligue 1,27,1993,21.9,1193,1174,19,14,3,160,22,6,0,0,0,0,974,99,120,163,971,30,5,5,1054,2,15,24,11,Matches,2b471f99
1504,Fabien Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34,1987,12.4,877,851,26,22,1,136,30,4,1,0,1,0,651,100,126,80,754,28,3,3,777,0,10,25,5,Matches,54d51e22
1505,Tim Lemperle,de GER,FWMF,Köln,de Bundesliga,19,2002,1.7,61,58,3,0,0,13,0,4,0,0,0,0,42,13,6,7,42,6,2,1,40,1,3,6,2,Matches,792ffa71
1506,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,18,2003,1.5,51,47,4,1,0,3,2,0,0,0,0,0,34,3,14,4,40,4,3,0,41,0,3,0,0,Matches,755da865
1507,Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,26,1995,9.2,815,799,16,11,1,63,27,0,0,0,0,0,670,51,94,677,85,30,5,0,740,1,5,19,8,Matches,4f28a6ff
1508,Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,34,1987,17.2,384,375,9,1,0,64,11,30,3,3,0,0,254,55,75,36,323,14,3,0,254,3,7,16,32,Matches,2ff964a0
1509,Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4.0,111,68,43,6,0,10,0,0,0,0,0,0,47,4,60,8,89,0,0,13,72,1,5,1,0,Matches,2628fd2b
1510,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,26,1994,7.4,518,395,123,12,0,60,12,17,21,10,6,2,295,91,132,327,82,10,90,1,376,0,11,24,19,Matches,bbd86530
1511,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,21,2000,7.0,322,320,2,2,1,53,6,3,0,0,0,0,253,34,35,38,267,12,0,0,263,0,5,14,12,Matches,fcc84a07
1512,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,0.1,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches,96fcd380
1513,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,32.7,769,736,33,6,4,211,10,29,0,0,0,0,571,112,86,102,585,29,1,14,589,2,13,35,38,Matches,8d78e732
1514,Jamie Leweling,de GER,FWDF,Greuther Fürth,de Bundesliga,20,2001,21.8,424,388,36,1,3,114,16,40,0,0,0,0,292,71,61,76,300,17,15,4,280,1,14,21,31,Matches,13fe7b69
1515,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23,1998,2.9,103,80,23,1,0,14,0,3,0,0,0,0,56,23,24,64,10,6,22,0,81,0,4,4,2,Matches,efb9215a
1516,Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,5.5,197,133,64,22,0,11,0,0,0,0,0,0,114,9,74,13,138,0,0,39,155,0,2,2,0,Matches,c9c32262
1517,Ben Lhassine Kone,ci CIV,MF,Torino,it Serie A,21,2000,0.9,36,36,0,0,0,11,2,0,0,0,0,0,30,1,5,34,0,1,0,0,30,0,2,0,1,Matches,7452c7a8
1518,Yanis Lhery,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2003,0.8,15,14,1,0,0,5,0,0,0,0,0,0,11,2,2,4,9,0,0,0,11,0,0,0,1,Matches,cc972842
1519,Dimitri Liénard,fr FRA,DFMF,Strasbourg,fr Ligue 1,33,1988,22.7,1438,1154,284,41,0,166,96,116,56,3,44,4,690,290,458,1002,194,36,187,3,1053,1,37,49,44,Matches,f7691f63
1520,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,25,1996,31.9,1725,1662,63,57,1,150,52,6,0,0,0,0,1293,134,298,203,1363,112,6,1,1487,3,37,29,14,Matches,302527b2
1521,Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,21,1999,29.7,1664,1606,58,37,0,142,38,5,0,0,0,0,1348,107,209,356,1171,54,11,9,1496,3,16,20,7,Matches,d6e53a3a
1522,Isaac Lihadji,fr FRA,MFFW,Lille,fr Ligue 1,19,2002,2.6,96,91,5,0,2,24,2,8,2,2,0,0,72,11,13,73,14,4,3,1,68,1,1,8,6,Matches,57a46f3f
1523,Anderson Lima,br BRA,MF,Lazio,it Serie A,21,1999,0.7,32,32,0,0,0,2,0,1,0,0,0,0,27,3,2,6,26,0,0,0,25,1,2,1,1,Matches,59be3a74
1524,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12.0,502,384,118,29,0,42,10,0,0,0,0,0,240,17,245,44,366,0,0,65,324,7,17,9,0,Matches,4d6a842d
1525,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,27,1994,26.2,1295,1266,29,24,5,152,36,0,0,0,0,0,1037,111,147,173,1020,62,5,6,1164,3,9,17,12,Matches,f5deef4c
1526,Jesper Lindstrøm,dk DEN,FWMF,Eint Frankfurt,de Bundesliga,21,2000,22.0,608,561,47,9,3,103,21,48,24,6,9,2,427,92,89,82,480,24,8,9,423,0,13,36,36,Matches,37dc1a48
1527,Karol Linetty,pl POL,MFFW,Torino,it Serie A,26,1995,10.0,284,271,13,4,0,61,2,3,8,0,3,1,195,46,43,91,165,19,1,2,227,1,2,11,9,Matches,d023d70f
1528,Jesse Lingard,eng ENG,FWMF,Manchester Utd,eng Premier League,28,1992,4.1,155,152,3,0,0,14,1,8,0,0,0,0,129,16,10,15,135,3,1,1,132,0,2,3,1,Matches,810e3c74
1529,Pol Lirola,es ESP,DFMF,Marseille,fr Ligue 1,23,1997,19.7,1126,974,152,15,2,170,28,66,2,1,0,0,755,235,136,29,928,22,134,2,913,4,13,41,42,Matches,ff800ed8
1530,Valentino Livramento,eng ENG,DF,Southampton,eng Premier League,18,2002,24.5,1155,940,215,16,2,146,15,55,0,0,0,0,690,217,248,93,794,52,199,2,883,0,33,46,41,Matches,afed6722
1531,Dejan Ljubicic,at AUT,MFFW,Köln,de Bundesliga,23,1997,21.9,730,719,11,5,1,143,19,47,0,0,0,0,488,112,130,71,617,24,2,7,516,4,10,40,45,Matches,c455a2b2
1532,Javier Llabrés,,FWMF,Mallorca,es La Liga,,,1.5,63,61,2,0,0,14,4,5,1,0,0,0,36,15,12,9,49,2,1,1,44,1,3,1,0,Matches,38b0cf42
1533,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,27,1993,26.0,1344,1299,45,35,2,194,38,2,0,0,0,0,955,141,248,310,925,65,9,8,1108,2,35,37,24,Matches,bba30585
1534,Marcos Llorente,es ESP,DFMF,Atlético Madrid,es La Liga,26,1995,27.2,1321,1158,163,1,0,185,23,74,0,0,0,0,884,244,193,65,1035,38,161,6,1060,6,18,45,50,Matches,02c15616
1535,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38.0,943,621,322,46,1,58,15,0,0,0,0,0,543,41,359,569,155,1,0,149,746,2,13,9,1,Matches,8f62b6ee
1536,Giovani Lo Celso,ar ARG,MFFW,Tottenham,eng Premier League,25,1996,2.6,148,135,13,3,1,25,5,1,10,2,4,1,113,19,16,124,21,1,0,2,117,0,0,10,8,Matches,d7553721
1537,Giovani Lo Celso,ar ARG,MFFW,Villarreal,es La Liga,25,1996,11.0,539,516,23,6,3,116,9,7,10,4,1,0,409,70,60,464,57,8,1,3,438,5,7,28,16,Matches,d7553721
1538,Julen Lobete,es ESP,FWMF,Real Sociedad,es La Liga,20,2000,3.2,59,54,5,1,0,11,0,0,0,0,0,0,49,6,4,7,47,1,0,0,45,0,0,3,2,Matches,a952a529
1539,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,26,1994,18.7,1444,1421,23,20,2,207,20,1,2,1,0,0,1268,77,99,129,1273,29,1,4,1344,1,9,23,11,Matches,e1cbb531
1540,Jürgen Locadia,nl NED,FW,Brighton,eng Premier League,27,1993,0.3,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,1,Matches,6cc47ae1
1541,Jürgen Locadia,nl NED,FWMF,Bochum,de Bundesliga,27,1993,4.9,123,110,13,0,2,33,3,3,0,0,0,0,81,23,19,29,72,11,2,1,97,0,2,8,3,Matches,6cc47ae1
1542,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,23,1998,24.0,1443,1376,67,60,7,179,63,8,2,1,1,0,1095,110,238,299,1092,24,3,3,1239,5,25,40,17,Matches,a8a874f1
1543,Banzouzi Locko,fr FRA,DFMF,Reims,fr Ligue 1,19,2002,11.2,463,391,72,2,0,72,11,11,0,0,0,0,290,93,80,266,102,13,70,1,362,2,6,21,14,Matches,40221fa7
1544,Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,23,1998,13.1,640,537,103,11,0,90,13,41,2,0,0,0,376,137,127,437,65,28,90,3,502,0,13,16,24,Matches,ed9f7cfe
1545,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,25,1996,15.5,968,939,29,14,3,153,12,10,0,0,0,0,802,100,66,74,820,27,14,2,877,1,7,20,7,Matches,e97fd090
1546,Kevin Long,ie IRL,DF,Burnley,eng Premier League,30,1990,4.6,98,97,1,1,0,15,4,0,0,0,0,0,63,9,26,11,65,15,0,0,80,0,5,0,2,Matches,5a4280b1
