,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,413,333,80,8,1,44,18,35,8,4,1,0,189,78,146,111,225,10,64,0,293,3,11,9,17,Matches,bbafc0c4
102,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,212,194,18,0,1,45,1,10,0,0,0,0,134,34,44,29,145,19,5,2,139,2,2,9,11,Matches,38d9ce53
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,1801,1716,85,48,2,184,50,12,0,0,0,0,1350,160,291,288,1361,71,34,5,1541,2,34,25,22,Matches,5e66fa06
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,25,23,2,0,0,1,1,0,0,0,0,0,20,0,5,8,14,3,0,0,20,0,0,0,0,Matches,4a5f2032
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,708,671,37,3,7,220,22,54,1,0,0,0,405,157,146,105,493,28,15,8,466,6,19,34,55,Matches,ac05f970
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,262,234,28,0,1,59,4,28,1,0,0,0,151,52,59,45,164,16,27,1,164,1,7,18,20,Matches,0a3f6cde
107,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,1460,1395,65,28,6,247,21,14,11,4,2,2,1235,128,97,139,1274,15,12,11,1274,2,9,50,31,Matches,a5db0bec
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12.0,631,569,62,19,1,109,47,24,36,12,15,1,438,57,136,90,502,19,3,5,480,3,14,32,16,Matches,b94b8be1
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,995,854,141,12,0,92,14,27,0,0,0,0,641,149,205,88,712,48,129,2,776,2,35,43,28,Matches,feb5d3ab
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,1262,1109,153,85,0,192,99,25,65,24,34,4,742,142,378,103,1055,71,3,3,947,4,23,35,39,Matches,58afe001
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,804,632,172,38,2,139,42,60,68,33,29,1,478,105,221,662,85,15,22,11,529,6,19,40,36,Matches,0847b5a5
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,1087,1041,46,40,1,151,31,8,0,0,0,0,765,134,188,124,892,47,6,7,911,6,9,29,27,Matches,56413b1f
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,1520,1487,33,30,0,122,38,3,0,0,0,0,1203,96,221,230,1145,100,3,2,1330,6,26,24,10,Matches,27a013f7
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,1643,1554,89,43,1,138,54,5,0,0,0,0,1326,102,215,128,1379,46,44,5,1485,3,17,25,6,Matches,2bef2bca
