,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
87,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,0,0,0,1,13,0,3,5,4,0,0,0,37,1,4,20.0,Matches,555d5edd
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,13,2,1,54,32,0,19,55,43,0,0,0,265,68,38,64.2,Matches,10b9fa99
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,6,0,0,29,15,0,3,10,22,0,0,0,114,10,17,37.0,Matches,5a2cb25d
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,4,0,0,19,8,1,14,60,23,0,0,1,287,84,43,66.1,Matches,e34fc66d
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,2,0,0,44,40,7,71,37,50,0,0,0,191,18,29,38.3,Matches,9f1893b9
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,3,0,0,27,17,6,15,3,9,0,0,0,43,52,84,38.2,Matches,b4cf5806
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,1,0,0,5,1,3,0,1,0,0,0,0,8,7,14,33.3,Matches,dc008610
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,4,0,0,14,2,1,11,26,20,0,1,0,130,31,27,53.4,Matches,6ea23758
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,12,1,1,75,65,2,17,76,78,0,2,0,353,118,81,59.3,Matches,ef9c1c95
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,1,0,0,3,3,0,4,6,7,0,0,0,36,1,7,12.5,Matches,3724baa1
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,5,1,0,42,17,2,5,46,33,0,0,0,228,42,22,65.6,Matches,e0b113a7
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,2,1,0,9,7,0,32,18,24,0,0,0,127,16,5,76.2,Matches,3024e383
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,3,0,0,17,40,4,128,35,18,0,0,0,202,21,23,47.7,Matches,30941e96
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,,Matches,39aa05a7
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,2,0,0,13,7,2,35,5,9,0,0,0,60,5,5,50.0,Matches,bbafc0c4
102,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,0,0,0,16,6,5,10,8,11,0,0,0,40,19,21,47.5,Matches,38d9ce53
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,6,1,0,31,19,1,12,66,33,0,0,0,290,88,64,57.9,Matches,5e66fa06
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,,Matches,4a5f2032
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,8,1,1,51,63,13,54,14,23,0,0,0,138,81,145,35.8,Matches,ac05f970
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,2,0,0,16,29,11,28,7,19,1,0,0,70,15,56,21.1,Matches,0a3f6cde
107,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,1,0,0,30,48,3,14,38,33,0,0,0,206,11,25,30.6,Matches,a5db0bec
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12.0,2,0,0,13,16,2,24,21,13,0,0,0,96,14,24,36.8,Matches,b94b8be1
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,4,0,0,40,4,2,27,47,36,0,1,1,166,36,44,45.0,Matches,feb5d3ab
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,13,0,0,70,52,0,25,47,37,0,1,0,284,31,36,46.3,Matches,58afe001
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,6,0,0,31,88,7,60,14,11,1,1,0,121,16,40,28.6,Matches,0847b5a5
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,2,0,0,30,18,0,8,42,33,0,0,0,196,13,26,33.3,Matches,56413b1f
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,4,0,0,20,10,0,3,53,17,0,0,1,283,70,54,56.5,Matches,27a013f7
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,6,0,0,24,13,1,5,37,33,0,0,0,209,72,26,73.5,Matches,2bef2bca
115,Cameron Archer,eng ENG,MFFW,Aston Villa,eng Premier League,19,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3,Matches,05e8ca6d
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,2f965a72
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,1,0,0,5,4,0,2,1,3,0,0,0,15,3,4,42.9,Matches,94e01ec6
118,Matias Arezo,uy URU,FW,Granada,es La Liga,18,2002,1.8,1,0,0,3,1,0,3,1,2,0,0,0,13,8,6,57.1,Matches,484ebdb0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,1,0,0,6,6,2,13,4,6,0,0,0,54,8,16,33.3,Matches,fdd60087
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,1,0,0,15,9,2,22,9,7,1,0,0,57,14,38,26.9,Matches,68c720b5
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,1,0,0,11,24,1,32,14,15,1,0,0,147,5,22,18.5,Matches,97333cf5
