,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1275,Luis Javier Suárez,co COL,FW,Granada,es La Liga,23,1997,31.6,6,0,0,45,40,5,50,14,18,0,0,0,128,62,142,30.4,Matches,eeba07f8
1276,Corentin Jean,fr FRA,FWDF,Lens,fr Ligue 1,26,1995,2.8,2,0,0,7,5,2,6,0,7,0,0,0,21,4,9,30.8,Matches,7d9b37bf
1277,Jemerson,br BRA,DF,Metz,fr Ligue 1,28,1992,13.4,3,2,0,18,7,0,1,35,23,0,1,0,84,18,23,43.9,Matches,7cab69b5
1278,Fredrik Jensen,fi FIN,MFFW,Augsburg,de Bundesliga,23,1997,4.6,0,0,0,3,2,0,12,4,1,0,0,0,32,9,19,32.1,Matches,3eeb80e0
1279,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,25,1996,17.8,0,0,0,20,10,3,32,33,28,0,0,0,147,10,18,35.7,Matches,0f134faf
1280,Moritz Jenz,de GER,DF,Lorient,fr Ligue 1,22,1999,15.3,5,1,1,26,3,0,0,33,17,0,1,2,104,33,22,60.0,Matches,ee644761
1281,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,24,1997,20.9,1,0,0,30,31,10,27,18,12,2,0,0,128,21,41,33.9,Matches,b66315ae
1282,Juan Jesus,br BRA,DF,Napoli,it Serie A,30,1991,14.2,1,0,0,15,2,2,2,18,20,0,0,1,127,30,27,52.6,Matches,79083382
1283,Álvaro Jiménez,es ESP,MFFW,Cádiz,es La Liga,26,1995,2.6,0,0,0,4,9,0,17,2,3,0,0,0,18,3,3,50.0,Matches,5f5501ed
1284,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,30,1991,29.2,9,2,2,55,58,23,20,19,23,0,0,0,121,74,93,44.3,Matches,b561db50
1285,João Pedro,br BRA,FWMF,Watford,eng Premier League,19,2001,18.3,1,0,0,17,38,6,25,19,17,0,0,0,115,62,108,36.5,Matches,e8832875
1286,Joaquín,es ESP,FWMF,Betis,es La Liga,40,1981,5.2,0,0,0,1,9,0,15,6,4,0,0,0,41,3,12,20.0,Matches,4c5b14d2
1287,Joelinton,br BRA,MFFW,Newcastle Utd,eng Premier League,24,1996,28.4,8,0,0,79,48,3,18,48,44,0,0,0,241,106,107,49.8,Matches,c17bfb65
1288,Jofre,es ESP,MFDF,Espanyol,es La Liga,20,2001,0.2,0,0,0,0,4,0,3,0,1,1,0,0,0,1,0,100.0,Matches,030ef8d6
1289,Marco John,de GER,DF,Hoffenheim,de Bundesliga,19,2002,0.5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0.0,Matches,d9e196bf
1290,Dennis Johnsen,no NOR,FWMF,Venezia,it Serie A,23,1998,16.1,2,0,0,8,14,13,38,9,11,0,0,0,79,8,21,27.6,Matches,66784dee
1291,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,21,2000,15.5,1,0,0,11,5,0,40,25,16,0,0,0,115,18,19,48.6,Matches,9319781b
1292,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,20,2001,9.5,0,0,0,12,26,1,2,10,9,0,0,0,76,7,10,41.2,Matches,4fb9c88f
1293,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,29,1992,1.8,0,0,0,0,3,0,0,5,4,0,0,0,12,1,0,100.0,Matches,def899bd
1294,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,24,1997,27.5,7,1,1,27,52,6,22,31,26,0,0,0,223,32,23,58.2,Matches,1bacc518
1295,Luuk de Jong,nl NED,FW,Barcelona,es La Liga,30,1990,7.3,1,0,0,9,15,6,0,3,10,0,0,0,31,36,22,62.1,Matches,abb3bb95
1296,Jens Jønsson,dk DEN,MF,Cádiz,es La Liga,28,1993,14.5,3,0,0,17,10,1,6,30,36,0,0,0,124,25,14,64.1,Matches,53520a67
1297,Joan Jordán,es ESP,MF,Sevilla,es La Liga,27,1994,27.9,9,0,0,68,35,1,20,43,47,0,0,0,257,18,24,42.9,Matches,2a0c8ba4
1298,Kaio Jorge,br BRA,MFFW,Juventus,it Serie A,19,2002,1.3,0,0,0,4,5,2,1,0,1,0,0,0,6,0,3,0.0,Matches,0cf465f2
1299,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,31,1990,5.8,2,0,0,9,1,0,8,10,2,0,0,0,66,18,8,69.2,Matches,0db5d2c8
1300,Jorginho,it ITA,MF,Chelsea,eng Premier League,29,1991,25.3,5,0,0,39,44,0,3,60,46,0,0,0,267,20,30,40.0,Matches,45db685d
1301,Josan,es ESP,DFMF,Elche,es La Liga,31,1989,13.5,2,0,0,13,30,4,59,20,18,0,0,0,99,7,20,25.9,Matches,5b28b2f6
1302,Willian José,br BRA,FW,Betis,es La Liga,29,1991,17.8,2,0,0,13,23,6,6,8,13,0,0,0,69,21,44,32.3,Matches,d87e2cae
1303,Joselu,es ESP,FW,Alavés,es La Liga,31,1990,34.7,0,0,0,47,64,11,40,11,8,2,0,0,163,314,171,64.7,Matches,6265208f
1304,Josema,es ESP,DF,Elche,es La Liga,25,1996,2.0,0,0,0,3,4,0,2,3,2,0,1,0,14,4,7,36.4,Matches,ed3f5f4c
1305,Lenny Joseph,fr FRA,FWMF,Metz,fr Ligue 1,20,2000,1.7,1,0,0,5,1,0,0,0,2,0,0,0,5,3,9,25.0,Matches,d1828392
1306,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,24,1996,26.3,3,0,0,40,45,5,16,17,21,2,0,0,141,37,96,27.8,Matches,178ae8f8
1307,Stevan Jovetić,me MNE,FW,Hertha BSC,de Bundesliga,31,1989,11.3,3,0,0,10,20,7,8,4,3,0,0,0,57,24,26,48.0,Matches,f36c432f
1308,Luka Jović,rs SRB,FW,Real Madrid,es La Liga,23,1997,4.1,1,0,0,4,3,2,1,2,2,0,0,0,17,11,8,57.9,Matches,4d8cd038
1309,Miguel Juan Llambrich,es ESP,DF,Espanyol,es La Liga,25,1996,0.8,0,0,0,0,1,0,0,2,2,0,0,0,7,0,3,0.0,Matches,d83f09ff
1310,José Juan Macías,mx MEX,FWMF,Getafe,es La Liga,21,1999,2.2,1,0,0,1,11,4,4,0,0,1,0,0,11,5,7,41.7,Matches,1f1c8a15
1311,Juanmi,es ESP,FW,Betis,es La Liga,28,1993,23.7,5,0,0,45,20,18,9,17,29,1,0,0,125,27,51,34.6,Matches,84399660
1312,Gideon Jung,de GER,DF,Greuther Fürth,de Bundesliga,26,1994,1.6,0,0,0,1,2,0,0,1,1,0,0,0,14,0,4,0.0,Matches,a2e7de6f
1313,Flavio Junior Bianchi,it ITA,FWMF,Genoa,it Serie A,21,2000,3.5,0,0,0,6,5,0,1,3,3,0,0,0,19,2,7,22.2,Matches,3ef965c1
1314,Lago Junior,ci CIV,FWMF,Mallorca,es La Liga,30,1990,2.0,0,0,0,6,7,0,4,3,3,0,0,0,9,8,9,47.1,Matches,360d70f8
1315,Hamed Junior Traorè,ci CIV,FWMF,Sassuolo,it Serie A,21,2000,19.7,3,0,0,35,34,3,27,25,17,0,0,0,145,6,16,27.3,Matches,570bb4b9
1316,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,21,2000,29.9,6,0,0,42,82,26,59,14,35,4,0,0,130,4,19,17.4,Matches,7111d552
1317,James Justin,eng ENG,DF,Leicester City,eng Premier League,23,1998,11.1,0,0,0,8,14,1,11,27,21,0,0,0,97,17,17,50.0,Matches,fb614c44
1318,Jutglà,es ESP,FW,Barcelona,es La Liga,22,1999,3.3,1,0,0,5,9,1,4,2,2,0,0,0,10,4,3,57.1,Matches,2a9f6b4d
1319,Ozan Kabak,tr TUR,DF,Norwich City,eng Premier League,21,2000,10.2,2,0,0,12,13,0,0,22,11,0,2,0,80,29,20,59.2,Matches,2d61d13a
1320,Christian Kabasele,be BEL,DF,Watford,eng Premier League,30,1991,13.3,0,0,0,6,4,0,1,26,6,0,0,0,116,50,17,74.6,Matches,914ab9a1
1321,Issa Kaboré,bf BFA,DF,Troyes,fr Ligue 1,20,2001,25.0,8,2,1,28,48,4,79,36,30,1,0,0,154,13,21,38.2,Matches,c066d1a5
1322,Anton Kade,de GER,MFDF,Hertha BSC,de Bundesliga,17,2004,0.9,0,0,0,2,2,0,2,3,3,0,0,0,8,2,3,40.0,Matches,6d7598d5
1323,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,29,1992,13.3,5,0,0,18,10,2,43,14,9,0,0,0,81,48,32,60.0,Matches,79c90e45
1324,Tino Kadewere,zw ZIM,FW,Lyon,fr Ligue 1,25,1996,5.6,0,1,0,6,5,3,7,7,7,0,0,0,26,5,16,23.8,Matches,7d08063d
1325,Florian Kainz,at AUT,MFFW,Köln,de Bundesliga,28,1992,25.8,3,1,1,43,50,1,110,51,18,0,0,0,192,16,21,43.2,Matches,94c18565
1326,Gaël Kakuta,cd COD,MFFW,Lens,fr Ligue 1,30,1991,18.6,1,0,0,17,37,5,36,13,21,0,0,0,105,10,34,22.7,Matches,5b1bf5e3
1327,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,24,1997,13.6,2,0,0,13,20,2,6,7,4,0,0,0,55,82,57,59.0,Matches,15f24fe7
1328,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches,bf4c41f9
1329,Arnaud Kalimuendo,fr FRA,FW,Lens,fr Ligue 1,19,2002,23.9,1,1,0,14,40,12,14,8,8,0,0,0,68,8,39,17.0,Matches,bf4c41f9
1330,Nikola Kalinić,hr CRO,FW,Hellas Verona,it Serie A,33,1988,4.5,5,1,1,16,10,2,1,0,1,1,0,0,10,6,10,37.5,Matches,d4931a5a
1331,Yayah Kallon,sl SLE,FWMF,Genoa,it Serie A,20,2001,7.1,3,0,0,19,15,3,15,8,8,1,0,0,59,5,17,22.7,Matches,f95f49d2
1332,Felix Kalu Nmecha,de GER,MFFW,Wolfsburg,de Bundesliga,20,2000,3.6,2,0,0,7,13,0,3,8,2,0,0,0,19,12,10,54.5,Matches,091c86e2
1333,Samuel Kalu,ng NGA,FW,Watford,eng Premier League,23,1997,2.5,0,0,0,0,5,3,4,5,2,0,0,0,5,2,3,40.0,Matches,b8d22478
1334,Samuel Kalu,ng NGA,FWMF,Bordeaux,fr Ligue 1,23,1997,3.6,1,0,0,5,7,0,11,2,9,0,0,0,15,2,6,25.0,Matches,b8d22478
1335,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,21,2000,21.6,4,0,0,16,8,2,21,51,34,0,0,0,189,30,37,44.8,Matches,85f7d1be
1336,Daichi Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,24,1996,23.8,0,0,0,31,31,6,21,19,26,0,0,0,173,13,52,20.0,Matches,15b287da
1337,Boubacar Kamara,fr FRA,MFDF,Marseille,fr Ligue 1,21,1999,30.9,5,0,0,44,45,0,12,65,55,1,1,0,276,51,42,54.8,Matches,cc77354e
1338,Hassane Kamara,ci CIV,MFDF,Nice,fr Ligue 1,27,1994,6.0,2,0,0,9,7,3,15,13,9,0,0,0,40,4,14,22.2,Matches,19a12bed
1339,Hassane Kamara,ci CIV,DF,Watford,eng Premier League,27,1994,18.0,5,1,1,27,17,0,19,94,29,0,1,0,184,41,13,75.9,Matches,19a12bed
1340,Dimitrije Kamenović,rs SRB,DF,Lazio,it Serie A,21,2000,0.5,0,0,0,1,1,0,0,1,0,0,0,0,8,4,0,100.0,Matches,d3e0c826
1341,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,30,1990,21.1,4,0,0,40,16,0,5,39,28,0,1,0,188,10,16,38.5,Matches,b825a650
1342,Jean-Armel Kana-Biyik,cm CMR,DF,Metz,fr Ligue 1,32,1989,7.4,1,0,0,4,8,0,0,26,13,0,0,0,58,7,5,58.3,Matches,76a4233b
1343,Nordine Kandil,fr FRA,MFFW,Strasbourg,fr Ligue 1,19,2001,1.0,1,0,0,1,2,0,3,1,0,0,0,0,11,0,1,0.0,Matches,c5908bc4
1344,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,28,1993,35.9,5,0,0,46,70,17,40,7,10,0,0,0,150,95,106,47.3,Matches,21a66f6a
1345,Lee Kangin,kr KOR,MFFW,Mallorca,es La Liga,20,2001,15.7,4,1,1,27,42,1,25,13,7,0,0,1,92,13,45,22.4,Matches,8455ad90
1346,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,30,1991,19.7,2,0,0,30,26,0,11,44,34,0,0,0,176,18,19,48.6,Matches,b9fbae28
1347,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches,62ba5881
1348,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,24,1996,21.1,9,1,1,40,46,0,3,44,28,0,0,0,263,62,42,59.6,Matches,5762be5c
1349,Rick Karsdorp,nl NED,DF,Roma,it Serie A,26,1995,32.0,9,1,1,27,14,0,88,53,36,0,1,0,214,7,12,36.8,Matches,9f84febe
1350,Denso Kasius,nl NED,DF,Bologna,it Serie A,18,2002,2.0,0,0,0,1,4,0,7,5,6,0,0,0,18,2,3,40.0,Matches,7ae36711
1351,Grigoris Kastanos,cy CYP,MFFW,Salernitana,it Serie A,23,1998,15.0,4,1,0,31,38,2,17,33,24,1,0,0,127,24,12,66.7,Matches,2a82aa85
1352,Silas Katompa,cd COD,MFFW,Stuttgart,de Bundesliga,22,1998,3.1,0,0,0,4,8,3,6,3,2,0,0,0,25,1,3,25.0,Matches,de4cac2d
1353,Noah Katterbach,de GER,DF,Köln,de Bundesliga,20,2001,0.2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0.0,Matches,e27de4fa
1354,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches,a4527d33
1355,Edo Kayembe,cd COD,MF,Watford,eng Premier League,23,1998,8.9,0,0,0,6,8,1,4,14,15,0,0,0,104,11,19,36.7,Matches,f99b71de
1356,Moise Kean,it ITA,FW,Everton,eng Premier League,21,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,3d50bcdb
1357,Moise Kean,it ITA,FW,Juventus,it Serie A,21,2000,12.2,5,0,0,24,16,12,11,4,6,1,0,0,53,24,17,58.5,Matches,3d50bcdb
1358,Michael Keane,eng ENG,DF,Everton,eng Premier League,28,1993,31.0,4,1,1,17,11,1,0,62,35,0,0,2,321,121,72,62.7,Matches,c5b7c315
1359,Ilan Kebbal,dz ALG,MFFW,Reims,fr Ligue 1,23,1998,19.7,1,0,0,15,51,7,36,19,21,1,0,0,138,4,21,16.0,Matches,37d04e90
1360,Wajdi Kechrida,tn TUN,DFMF,Salernitana,it Serie A,25,1995,10.6,0,0,0,10,1,1,22,8,12,0,0,0,66,3,11,21.4,Matches,11962fe7
1361,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24,1996,16.8,0,0,0,16,11,0,5,30,19,0,0,0,102,32,17,65.3,Matches,51dbeea9
1362,Habib Keita,ml MLI,MFFW,Lyon,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,cc588cbe
1363,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,26,1995,13.0,3,0,0,30,14,0,7,20,28,0,0,0,128,8,16,33.3,Matches,f25c8e3a
1364,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,21,2000,5.6,1,0,0,13,6,0,0,8,9,0,0,1,66,15,11,57.7,Matches,d2c580ce
1365,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2.0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,Matches,62d7ef38
1366,Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,26,1995,9.3,2,0,0,14,8,0,2,18,14,0,1,0,122,38,21,64.4,Matches,815c314f
1367,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,26,1995,11.7,1,1,0,14,13,0,4,37,15,0,1,0,113,46,25,64.8,Matches,815c314f
1368,Kenedy,br BRA,DF,Chelsea,eng Premier League,25,1996,0.6,0,0,0,1,0,0,3,0,2,0,0,0,5,0,1,0.0,Matches,5eebbfdf
1369,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,24,1997,11.3,3,1,1,11,6,1,15,32,12,0,0,0,93,13,16,44.8,Matches,099e666f
1370,Dimitrios Keramitsis,gr GRE,DF,Roma,it Serie A,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,6f30a1d5
1371,Franck Kessié,ci CIV,MF,Milan,it Serie A,24,1996,25.6,2,0,0,38,35,1,10,48,34,1,1,0,246,36,35,50.7,Matches,05e19d6a
1372,Saîf-Eddine Khaoui,tn TUN,MFFW,Clermont Foot,fr Ligue 1,26,1995,10.3,1,0,0,12,15,0,14,18,18,0,0,0,59,2,9,18.2,Matches,796b1c41
1373,Wahbi Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,30,1991,24.7,6,0,0,21,49,22,41,22,20,1,0,0,136,16,38,29.6,Matches,2677a1de
1374,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,27,1994,30.6,6,0,0,64,39,0,17,48,51,0,0,0,300,44,45,49.4,Matches,59e4b92e
1375,Kike,es ESP,FW,Osasuna,es La Liga,31,1989,20.7,2,0,0,25,40,9,22,10,12,1,0,0,95,82,130,38.7,Matches,e897d8ba
1376,Luca Kilian,de GER,DF,Köln,de Bundesliga,21,1999,25.3,3,0,0,10,12,0,3,64,24,0,1,0,228,68,53,56.2,Matches,610aa1e9
1377,Luca Kilian,de GER,FW,Mainz 05,de Bundesliga,21,1999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,610aa1e9
1378,Max Kilman,eng ENG,DF,Wolves,eng Premier League,24,1997,29.9,3,0,0,22,16,0,2,64,33,0,1,0,238,86,43,66.7,Matches,d0f72bf1
1379,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26,1995,27.5,4,0,0,23,58,1,34,64,33,0,1,0,338,24,22,52.2,Matches,49296448
1380,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25,1995,28.6,6,0,0,30,27,0,2,54,21,0,2,0,203,54,22,71.1,Matches,aef6e670
1381,Joshua King,no NOR,FW,Watford,eng Premier League,29,1992,25.0,5,0,0,44,25,8,24,12,21,1,0,0,105,93,127,42.3,Matches,43458538
1382,Jakub Kiwior,pl POL,MF,Spezia,it Serie A,21,2000,21.8,6,0,0,29,5,2,4,44,25,0,1,0,195,40,31,56.3,Matches,dc3e663e
1383,Sofian Kiyine,ma MAR,MFFW,Venezia,it Serie A,23,1997,13.8,8,1,0,55,13,0,27,16,19,0,0,0,107,13,21,38.2,Matches,ce1806be
1384,Simon Kjær,dk DEN,DF,Milan,it Serie A,32,1989,8.9,2,0,0,20,6,0,2,12,14,0,0,1,56,14,17,45.2,Matches,8b8a56ce
1385,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,3f70db80
1386,Philipp Klement,de GER,MFFW,Stuttgart,de Bundesliga,28,1992,3.8,0,0,0,2,4,1,2,1,7,0,0,0,39,4,5,44.4,Matches,0cddeaa7
1387,Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,31,1990,23.0,5,0,0,45,19,2,28,31,26,0,1,0,226,8,20,28.6,Matches,282679b4
1388,Thibault Klidje,tg TOG,DFFW,Bordeaux,fr Ligue 1,20,2001,1.0,0,0,0,3,4,1,7,2,1,0,0,0,9,2,6,25.0,Matches,db013c7d
1389,Mateo Klimowicz,de GER,FWMF,Stuttgart,de Bundesliga,21,2000,6.7,2,0,0,9,10,1,3,3,6,0,0,0,33,0,6,0.0,Matches,2b7c56b4
1390,Fabian Klos,de GER,FW,Arminia,de Bundesliga,33,1987,15.8,2,1,0,33,16,3,19,6,1,0,0,0,71,134,125,51.7,Matches,e21042ae
1391,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,25,1996,18.3,1,0,0,10,4,0,4,41,14,0,0,0,183,26,22,54.2,Matches,ca8033cb
1392,Justin Kluivert,nl NED,MF,Nice,fr Ligue 1,22,1999,20.8,6,1,0,44,31,5,81,24,12,0,1,0,102,20,17,54.1,Matches,4c3a6744
1393,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,25,1996,2.2,1,0,0,6,2,0,5,2,2,0,0,0,22,4,3,57.1,Matches,92948149
1394,Ansgar Knauff,de GER,FWMF,Dortmund,de Bundesliga,19,2002,1.3,0,0,0,3,1,1,1,0,2,0,0,0,8,1,3,25.0,Matches,19a967ab
1395,Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,19,2002,8.4,0,0,0,15,10,1,17,11,9,0,0,0,70,9,23,28.1,Matches,19a967ab
1396,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,29,1992,33.0,6,0,0,27,14,1,1,81,26,0,0,0,412,93,80,53.8,Matches,6bd5cd5d
1397,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,28.5,0,0,0,1,6,0,0,0,0,0,1,0,154,0,0,,Matches,cd59b9df
1398,Robin Koch,de GER,MFDF,Leeds United,eng Premier League,25,1996,17.5,3,0,0,25,11,0,2,34,20,0,0,0,168,54,47,53.5,Matches,ea6bc03a
1399,Samuel Koeberlé,fr FRA,MF,Reims,fr Ligue 1,16,2004,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches,6751b938
1400,Philippe Koffi,fr FRA,FW,Reims,fr Ligue 1,19,2002,4.2,1,0,0,8,15,7,4,3,2,0,0,0,17,8,13,38.1,Matches,9f1c2822
1401,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,27,1994,17.9,10,2,2,49,26,0,2,36,27,0,0,0,229,35,25,58.3,Matches,0fbecd11
1402,Koba Koindredi,fr FRA,MF,Valencia,es La Liga,19,2001,2.0,1,0,0,9,6,0,0,4,1,0,0,0,18,5,6,45.5,Matches,3a58d075
1403,Koke,es ESP,MF,Atlético Madrid,es La Liga,29,1992,27.9,6,0,0,36,33,0,23,30,31,0,0,0,231,16,28,36.4,Matches,55126f3b
1404,Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,30,1991,0.6,1,0,0,2,3,0,0,0,0,0,0,0,1,5,5,50.0,Matches,fec5accc
1405,Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,35,1985,0.5,0,0,0,0,1,0,0,1,1,0,0,0,3,1,2,33.3,Matches,eda40760
1406,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,28,1993,4.9,0,0,0,7,4,0,13,3,5,0,0,0,42,7,1,87.5,Matches,3935e52e
1407,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,28,1993,1.0,1,0,0,3,0,0,0,4,1,0,0,0,2,2,1,66.7,Matches,3935e52e
1408,Luca Koleosho,ca CAN,FW,Espanyol,es La Liga,16,2004,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,fc076f78
1409,Randal Kolo Muani,fr FRA,FWMF,Nantes,fr Ligue 1,22,1998,32.8,2,0,0,57,73,18,40,14,19,1,1,0,147,71,122,36.8,Matches,c0b3669f
1410,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29,1991,28.5,4,1,0,28,1,2,28,55,29,0,3,2,274,36,46,43.9,Matches,ab096c6f
1411,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,25,1995,26.9,1,0,0,17,32,2,67,63,19,0,0,0,222,15,18,45.5,Matches,6b2c894b
1412,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,22,1999,11.0,2,0,0,13,3,0,0,28,8,0,0,0,128,41,16,71.9,Matches,5ed9b537
1413,Geoffrey Kondogbia,cf CTA,MFDF,Atlético Madrid,es La Liga,28,1993,20.9,13,2,2,43,48,0,1,55,47,0,0,0,256,42,29,59.2,Matches,cce181df
1414,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,22,1999,8.1,2,0,0,13,11,5,5,2,6,0,0,0,26,14,40,25.9,Matches,04bb2b06
1415,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,20,2001,24.3,10,0,0,41,71,1,2,67,45,1,0,0,244,30,24,55.6,Matches,86574238
1416,Youssouf Koné,ml MLI,DF,Troyes,fr Ligue 1,26,1995,10.9,2,1,0,6,21,2,24,13,17,0,0,0,84,3,14,17.6,Matches,e6eadfb8
1417,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,23,1997,27.5,6,2,1,17,38,1,1,45,14,0,1,0,183,60,43,58.3,Matches,0313a347
1418,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,23,1998,23.6,4,0,0,42,24,6,31,24,24,0,0,1,228,30,22,57.7,Matches,a26fb8aa
1419,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35,1985,10.4,2,0,0,12,8,0,0,28,8,0,1,0,82,17,7,70.8,Matches,f5efb153
1420,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,20,2001,19.9,3,0,0,19,10,0,5,42,22,0,1,0,170,34,30,53.1,Matches,1f3afdcb
1421,Filip Kostić,rs SRB,DFFW,Eint Frankfurt,de Bundesliga,28,1992,28.0,2,0,0,18,26,3,191,31,29,0,0,0,227,17,13,56.7,Matches,b1cd37e6
1422,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,24,1996,33.0,5,0,0,45,72,1,8,65,32,0,0,0,304,19,31,38.0,Matches,86a2ba20
1423,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,30,1991,26.7,5,1,0,32,13,0,2,40,43,0,1,0,222,49,34,59.0,Matches,da974c7b
1424,Jules Koundé,fr FRA,DF,Sevilla,es La Liga,22,1998,30.4,2,2,0,22,28,2,11,55,22,1,0,0,327,91,50,64.5,Matches,4d1666ff
1425,Christos Kourfalidis,gr GRE,MFDF,Cagliari,it Serie A,18,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,50.0,Matches,5c522c88
1426,Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,24,1997,29.6,8,1,0,41,32,7,0,99,48,0,1,0,256,108,45,70.6,Matches,562a4799
1427,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,eng Premier League,31,1989,21.9,3,0,0,37,30,0,5,45,34,0,0,0,259,56,27,67.5,Matches,8d3c902d
1428,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,27,1994,17.3,4,0,0,30,35,0,5,20,40,0,0,0,162,5,9,35.7,Matches,79c0821a
1429,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,25,1996,14.7,4,0,0,16,20,0,9,15,14,1,1,0,125,14,20,41.2,Matches,9d60028d
1430,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,26,1994,18.2,5,0,0,27,12,0,18,48,20,0,0,0,142,32,27,54.2,Matches,77cf6852
1431,Alex Král,cz CZE,MF,West Ham,eng Premier League,23,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches,e717705a
