,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1213,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,27,1994,22.5,1232,1415,87.1,20077,6849,636,680,93.5,486,544,89.3,88,143,61.5,0,0.6,-0.6,10,79,16,4,68,Matches,2f3452eb
1214,Suk Hyun-jun,kr KOR,FWMF,Troyes,fr Ligue 1,30,1991,1.7,32,41,78.0,430,122,18,24,75.0,9,10,90.0,1,1,100.0,0,0.5,-0.5,2,4,2,1,3,Matches,7ffaf233
1215,Iago,br BRA,DF,Augsburg,de Bundesliga,24,1997,24.2,813,1191,68.3,15644,7184,329,374,88.0,364,513,71.0,114,240,47.5,5,3.0,+2.0,33,56,39,20,96,Matches,054849d2
1216,Robert Ibáñez,es ESP,MF,Osasuna,es La Liga,28,1993,1.0,34,41,82.9,515,195,17,20,85.0,10,12,83.3,2,2,100.0,0,0.2,-0.2,2,2,3,0,7,Matches,c7429db3
1217,Roger Ibanez,br BRA,DF,Roma,it Serie A,22,1998,32.1,1679,1921,87.4,35032,11202,541,586,92.3,847,924,91.7,273,382,71.5,0,0.4,-0.4,10,77,8,1,88,Matches,82efe6fa
1218,Vicente Iborra,es ESP,MF,Villarreal,es La Liga,33,1988,11.5,548,631,86.8,10402,2138,217,236,91.9,255,289,88.2,72,87,82.8,1,0.6,+0.4,2,42,3,0,37,Matches,ad1ffcfd
1219,Zlatan Ibrahimović,se SWE,FW,Milan,it Serie A,39,1981,11.3,316,439,72.0,4694,1266,182,241,75.5,100,130,76.9,20,32,62.5,2,2.0,0.0,24,33,21,3,45,Matches,4cde5509
1220,Mauro Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,28,1993,11.4,120,151,79.5,1611,130,65,78,83.3,37,46,80.4,6,8,75.0,0,0.6,-0.6,8,4,4,0,5,Matches,43b78598
1221,Adam Idah,ie IRL,FWMF,Norwich City,eng Premier League,20,2001,6.9,96,142,67.6,1650,322,44,66,66.7,40,50,80.0,8,12,66.7,1,0.6,+0.4,4,7,4,2,7,Matches,291e3ec3
1222,Oussama Idrissi,ma MAR,FWMF,Sevilla,es La Liga,25,1996,1.4,40,50,80.0,753,85,16,20,80.0,20,25,80.0,4,5,80.0,0,0.1,-0.1,1,0,2,0,5,Matches,34caa4b3
1223,Oussama Idrissi,ma MAR,MF,Cádiz,es La Liga,25,1996,10.0,291,388,75.0,5385,1373,139,165,84.2,106,131,80.9,44,74,59.5,1,2.0,-1.0,22,12,16,5,32,Matches,34caa4b3
1224,Iglesias,es ESP,DF,Getafe,es La Liga,23,1998,8.0,178,342,52.0,4261,2287,57,73,78.1,63,110,57.3,55,140,39.3,1,1.0,0.0,8,14,8,4,22,Matches,974322dc
1225,Borja Iglesias,es ESP,FW,Betis,es La Liga,28,1993,17.5,242,340,71.2,3672,542,137,180,76.1,70,92,76.1,19,34,55.9,0,3.1,-3.1,16,8,12,1,18,Matches,75645f0e
1226,Jonathan Iglesias,uy URU,MF,Clermont Foot,fr Ligue 1,32,1988,6.4,322,358,89.9,5226,1155,167,181,92.3,125,135,92.6,24,30,80.0,0,0.2,-0.2,3,14,2,0,12,Matches,639ca1cf
1227,Juan Ignacio Ramírez,uy URU,FW,Saint-Étienne,fr Ligue 1,24,1997,1.4,9,13,69.2,148,65,4,5,80.0,2,4,50.0,2,3,66.7,0,0.0,0.0,0,1,0,0,2,Matches,ad513a6b
1228,Igor,br BRA,DF,Fiorentina,it Serie A,23,1998,24.9,1549,1674,92.5,35733,9634,343,372,92.2,861,898,95.9,338,385,87.8,0,0.8,-0.8,5,100,2,0,75,Matches,a4e85758
1229,Kelechi Iheanacho,ng NGA,FW,Leicester City,eng Premier League,24,1996,14.0,271,352,77.0,3929,819,153,183,83.6,89,107,83.2,15,31,48.4,5,2.7,+2.3,17,16,14,2,32,Matches,c92e1a31
1230,Danylo Ihnatenko,ua UKR,MF,Bordeaux,fr Ligue 1,24,1997,7.7,309,373,82.8,6421,1349,112,131,85.5,125,154,81.2,65,77,84.4,3,1.6,+1.4,14,35,8,1,32,Matches,65bbfba3
1231,Jonathan Ikone,fr FRA,MFFW,Lille,fr Ligue 1,23,1998,11.8,332,421,78.9,5921,1454,159,182,87.4,119,144,82.6,44,67,65.7,0,2.1,-2.1,15,25,22,2,47,Matches,42eaa028
1232,Jonathan Ikone,fr FRA,FW,Fiorentina,it Serie A,23,1998,7.2,230,276,83.3,4246,697,85,103,82.5,115,132,87.1,25,30,83.3,1,0.7,+0.3,7,15,9,2,22,Matches,42eaa028
1233,Ivan Ilić,rs SRB,MF,Hellas Verona,it Serie A,20,2001,28.1,1107,1366,81.0,21279,5083,432,516,83.7,481,563,85.4,168,234,71.8,3,1.4,+1.6,21,92,20,6,97,Matches,bb376bed
1234,Josip Iličić,si SVN,FWMF,Atalanta,it Serie A,33,1988,9.3,370,496,74.6,7431,2307,167,211,79.1,137,176,77.8,62,95,65.3,3,3.5,-0.5,33,40,25,3,56,Matches,68252d6d
1235,Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,31,1990,4.2,251,282,89.0,4349,1018,116,122,95.1,100,109,91.7,26,35,74.3,0,0.2,-0.2,4,15,2,0,19,Matches,5ce0b5ba
1236,Stefan Ilsanker,at AUT,DFMF,Eint Frankfurt,de Bundesliga,32,1989,3.0,96,116,82.8,1834,693,42,46,91.3,39,44,88.6,13,21,61.9,0,0.0,0.0,0,4,0,0,4,Matches,8494acc4
1237,Ciro Immobile,it ITA,FW,Lazio,it Serie A,31,1990,30.1,694,886,78.3,10054,1197,423,501,84.4,179,230,77.8,55,74,74.3,2,3.0,-1.0,26,29,17,2,34,Matches,4431aed2
1238,Burak İnce,tr TUR,FW,Arminia,de Bundesliga,17,2004,1.5,27,30,90.0,408,86,16,16,100.0,10,11,90.9,1,3,33.3,0,0.0,0.0,1,1,0,0,0,Matches,683dec01
1239,Danny Ings,eng ENG,FW,Aston Villa,eng Premier League,29,1992,21.1,258,380,67.9,3596,892,164,211,77.7,58,91,63.7,19,38,50.0,6,2.0,+4.0,16,14,14,3,27,Matches,07802f7f
1240,Marcus Ingvartsen,dk DEN,MF,Union Berlin,de Bundesliga,25,1996,1.4,25,33,75.8,394,83,14,15,93.3,9,14,64.3,2,3,66.7,0,0.0,0.0,0,1,0,0,1,Matches,271b8617
1241,Marcus Ingvartsen,dk DEN,FWMF,Mainz 05,de Bundesliga,25,1996,7.6,148,220,67.3,2250,499,83,116,71.6,42,58,72.4,13,28,46.4,0,0.4,-0.4,4,6,5,3,11,Matches,271b8617
1242,Bonke Innocent,ng NGA,MF,Lorient,fr Ligue 1,25,1996,9.7,337,380,88.7,6282,1243,136,150,90.7,146,160,91.3,48,54,88.9,0,0.3,-0.3,5,10,4,3,17,Matches,546bb36e
1243,Lorenzo Insigne,it ITA,FW,Napoli,it Serie A,30,1991,25.4,1200,1506,79.7,22090,5654,583,650,89.7,433,506,85.6,161,290,55.5,8,5.7,+2.3,64,75,53,7,126,Matches,2f557579
1244,Nikita Iosifov,ru RUS,MF,Villarreal,es La Liga,20,2001,0.0,1,3,33.3,10,0,1,1,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,4c2fa917
1245,Tim Iroegbunam,eng ENG,MF,Aston Villa,eng Premier League,18,2003,1.0,21,25,84.0,339,142,11,14,78.6,9,10,90.0,1,1,100.0,0,0.0,0.0,0,2,0,0,4,Matches,84c5ceea
1246,Alexander Isak,se SWE,FW,Real Sociedad,es La Liga,21,1999,23.8,332,455,73.0,4761,948,201,247,81.4,96,129,74.4,19,33,57.6,2,3.0,-1.0,19,23,21,2,39,Matches,8e92be30
1247,Isco,es ESP,MFFW,Real Madrid,es La Liga,29,1992,3.7,238,269,88.5,4287,1138,107,117,91.5,89,95,93.7,32,43,74.4,0,1.0,-1.0,9,25,6,0,24,Matches,a0b4bb3e
1248,Wilson Isidor,fr FRA,FWMF,Monaco,fr Ligue 1,20,2000,0.6,8,18,44.4,115,63,4,8,50.0,2,7,28.6,1,2,50.0,0,0.2,-0.2,1,2,0,0,2,Matches,a671316d
1249,Ardian Ismajli,al ALB,DF,Empoli,it Serie A,24,1996,14.1,606,708,85.6,12974,4474,164,181,90.6,329,364,90.4,108,145,74.5,0,0.1,-0.1,2,54,4,0,43,Matches,6b635f5c
1250,Hiroki Ito,jp JPN,DF,Stuttgart,de Bundesliga,22,1999,26.1,1493,1827,81.7,33745,12265,434,476,91.2,749,807,92.8,301,516,58.3,1,1.3,-0.3,13,110,14,1,116,Matches,204dded0
1251,Cedric Itten,ch SUI,FW,Greuther Fürth,de Bundesliga,24,1996,7.1,90,151,59.6,1182,248,58,89,65.2,22,37,59.5,3,6,50.0,0,0.1,-0.1,3,11,1,0,7,Matches,ef233486
1252,Gian-Luca Itter,de GER,DF,Greuther Fürth,de Bundesliga,22,1999,16.2,598,812,73.6,11782,4951,215,251,85.7,303,376,80.6,77,169,45.6,1,1.0,0.0,10,41,11,7,58,Matches,e6c15f6e
1253,Alex Iwobi,ng NGA,MFDF,Everton,eng Premier League,25,1996,22.6,606,785,77.2,10137,3650,314,357,88.0,203,259,78.4,65,119,54.6,2,2.8,-0.8,35,58,38,12,79,Matches,6ca5ec4b
1254,Armando Izzo,it ITA,DF,Torino,it Serie A,29,1992,5.8,235,294,79.9,4879,1306,79,91,86.8,106,129,82.2,45,68,66.2,0,0.0,0.0,0,18,2,0,9,Matches,89976232
1255,Nicolas Jackson,sn SEN,FW,Villarreal,es La Liga,20,2001,1.8,41,54,75.9,576,98,24,31,77.4,14,16,87.5,1,2,50.0,0,0.5,-0.5,3,2,1,0,3,Matches,9c36ed83
1256,Lee Jae-sung,kr KOR,MFFW,Mainz 05,de Bundesliga,28,1992,16.0,484,654,74.0,7530,2143,269,327,82.3,151,197,76.6,44,80,55.0,3,2.1,+0.9,22,34,22,5,55,Matches,34b0387f
1257,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,23,1998,22.7,911,1125,81.0,20452,7016,238,279,85.3,481,532,90.4,185,284,65.1,0,0.1,-0.1,3,58,2,0,62,Matches,a93b6f4e
1258,Mato Jajalo,ba BIH,MF,Udinese,it Serie A,33,1988,7.0,255,324,78.7,4485,1189,116,134,86.6,107,132,81.1,27,44,61.4,1,0.7,+0.3,8,16,9,0,28,Matches,8c65eb5f
1259,Kristijan Jakić,hr CRO,MF,Eint Frankfurt,de Bundesliga,24,1997,20.9,635,844,75.2,11764,3561,259,326,79.4,284,344,82.6,79,133,59.4,0,0.4,-0.4,5,59,5,2,79,Matches,a8ee54ad
1260,Ismail Jakobs,de GER,DFFW,Monaco,fr Ligue 1,21,1999,13.4,650,914,71.1,11053,4210,337,382,88.2,254,343,74.1,53,150,35.3,1,3.1,-2.1,17,45,29,16,77,Matches,a0415710
1261,Marin Jakoliš,hr CRO,FW,Angers,fr Ligue 1,24,1996,2.5,54,75,72.0,903,204,29,35,82.9,14,19,73.7,8,11,72.7,0,0.4,-0.4,4,3,3,1,4,Matches,96f4ebc0
1262,Abdel Jalil Medioub,dz ALG,DF,Bordeaux,fr Ligue 1,23,1997,6.9,232,284,81.7,4987,1705,67,79,84.8,122,134,91.0,41,67,61.2,0,0.0,0.0,0,8,0,0,11,Matches,4937a9f7
1263,Daniel James,wls WAL,FW,Manchester Utd,eng Premier League,23,1997,1.4,22,32,68.8,233,36,18,24,75.0,3,5,60.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,Matches,c931d9f9
1264,Daniel James,wls WAL,FWMF,Leeds United,eng Premier League,23,1997,26.3,330,508,65.0,4978,1367,173,226,76.5,116,173,67.1,23,56,41.1,4,2.4,+1.6,23,18,20,1,49,Matches,c931d9f9
1265,Reece James,eng ENG,DF,Chelsea,eng Premier League,21,1999,20.7,1442,1667,86.5,24467,6328,717,768,93.4,571,646,88.4,133,192,69.3,9,5.7,+3.3,47,74,49,13,120,Matches,1265a93a
1266,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,23,1998,25.5,768,997,77.0,14522,4409,293,354,82.8,352,426,82.6,96,168,57.1,0,2.2,-2.2,20,77,19,3,96,Matches,8449d35e
1267,Jakub Jankto,cz CZE,DFMF,Getafe,es La Liga,25,1996,6.5,158,236,66.9,2889,1076,55,74,74.3,84,103,81.6,15,48,31.3,2,1.0,+1.0,4,13,5,1,22,Matches,1ea5f91c
1268,Pontus Jansson,se SWE,DF,Brentford,eng Premier League,30,1991,36.9,1188,1449,82.0,25071,6720,330,389,84.8,669,767,87.2,181,268,67.5,1,0.5,+0.5,4,35,0,0,53,Matches,172e52d8
1269,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,31,1990,2.5,85,118,72.0,1611,678,38,44,86.4,36,44,81.8,11,29,37.9,0,0.1,-0.1,1,5,0,0,7,Matches,34b54da7
1270,Adnan Januzaj,be BEL,FWMF,Real Sociedad,es La Liga,26,1995,18.1,478,736,64.9,9685,3392,212,258,82.2,168,222,75.7,89,220,40.5,0,3.4,-3.4,33,54,30,12,74,Matches,4737cebe
1271,Paweł Jaroszyński,pl POL,DF,Salernitana,it Serie A,26,1994,5.7,154,237,65.0,3223,1386,46,56,82.1,72,96,75.0,32,72,44.4,0,0.4,-0.4,6,8,3,3,12,Matches,958a601f
1272,Jason,es ESP,MFFW,Alavés,es La Liga,27,1994,7.5,119,221,53.8,2411,1031,46,61,75.4,44,67,65.7,23,76,30.3,1,1.7,-0.7,17,7,7,4,14,Matches,9038c2a1
1273,Jason,es ESP,MFDF,Valencia,es La Liga,27,1994,0.8,24,31,77.4,535,244,8,9,88.9,10,11,90.9,6,10,60.0,0,0.1,-0.1,2,4,3,0,7,Matches,9038c2a1
1274,Dennis Jastrzembski,pl POL,DFFW,Hertha BSC,de Bundesliga,21,2000,2.5,69,107,64.5,1305,442,31,41,75.6,27,46,58.7,10,17,58.8,0,0.5,-0.5,4,3,2,0,6,Matches,6bba916f
1275,Luis Javier Suárez,co COL,FW,Granada,es La Liga,23,1997,31.6,448,677,66.2,7412,1445,237,311,76.2,161,237,67.9,39,87,44.8,4,2.5,+1.5,26,26,24,9,45,Matches,eeba07f8
1276,Corentin Jean,fr FRA,FWDF,Lens,fr Ligue 1,26,1995,2.8,91,121,75.2,1502,322,48,58,82.8,33,38,86.8,7,17,41.2,0,0.2,-0.2,2,7,2,1,7,Matches,7d9b37bf
1277,Jemerson,br BRA,DF,Metz,fr Ligue 1,28,1992,13.4,409,475,86.1,8041,2358,145,157,92.4,202,220,91.8,54,81,66.7,0,0.0,0.0,1,4,1,1,8,Matches,7cab69b5
1278,Fredrik Jensen,fi FIN,MFFW,Augsburg,de Bundesliga,23,1997,4.6,62,113,54.9,1087,393,37,51,72.5,12,31,38.7,11,23,47.8,1,0.6,+0.4,6,8,7,3,10,Matches,3eeb80e0
1279,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,25,1996,17.8,558,771,72.4,12401,3761,215,249,86.3,199,255,78.0,141,245,57.6,1,3.6,-2.6,37,67,26,12,69,Matches,0f134faf
1280,Moritz Jenz,de GER,DF,Lorient,fr Ligue 1,22,1999,15.3,586,684,85.7,12781,3758,171,191,89.5,303,328,92.4,108,150,72.0,0,0.1,-0.1,2,28,0,0,28,Matches,ee644761
1281,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,24,1997,20.9,638,758,84.2,9337,1636,356,397,89.7,226,267,84.6,28,40,70.0,8,5.4,+2.6,35,18,31,6,53,Matches,b66315ae
1282,Juan Jesus,br BRA,DF,Napoli,it Serie A,30,1991,14.2,753,842,89.4,13903,4538,282,303,93.1,356,375,94.9,91,128,71.1,0,0.2,-0.2,4,35,2,0,27,Matches,79083382
1283,Álvaro Jiménez,es ESP,MFFW,Cádiz,es La Liga,26,1995,2.6,40,72,55.6,714,305,22,30,73.3,11,22,50.0,6,15,40.0,0,0.1,-0.1,2,4,4,2,8,Matches,5f5501ed
1284,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,30,1991,29.2,557,779,71.5,8584,1779,334,430,77.7,156,205,76.1,45,78,57.7,4,2.7,+1.3,33,38,18,4,50,Matches,b561db50
1285,João Pedro,br BRA,FWMF,Watford,eng Premier League,19,2001,18.3,397,576,68.9,6697,1733,213,292,72.9,120,170,70.6,47,71,66.2,1,2.6,-1.6,17,41,21,4,56,Matches,e8832875
1286,Joaquín,es ESP,FWMF,Betis,es La Liga,40,1981,5.2,210,269,78.1,3444,1046,116,130,89.2,65,81,80.2,23,45,51.1,1,1.5,-0.5,17,18,12,1,26,Matches,4c5b14d2
1287,Joelinton,br BRA,MFFW,Newcastle Utd,eng Premier League,24,1996,28.4,745,941,79.2,11393,2869,415,493,84.2,250,311,80.4,51,73,69.9,1,1.8,-0.8,28,53,19,4,67,Matches,c17bfb65
1288,Jofre,es ESP,MFDF,Espanyol,es La Liga,20,2001,0.2,6,8,75.0,131,52,3,3,100.0,1,2,50.0,2,3,66.7,1,0.3,+0.7,2,0,2,2,0,Matches,030ef8d6
1289,Marco John,de GER,DF,Hoffenheim,de Bundesliga,19,2002,0.5,15,16,93.8,221,100,9,9,100.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0,1,0,0,2,Matches,d9e196bf
1290,Dennis Johnsen,no NOR,FWMF,Venezia,it Serie A,23,1998,16.1,195,323,60.4,3611,1137,98,144,68.1,60,92,65.2,31,55,56.4,2,2.7,-0.7,24,12,18,7,29,Matches,66784dee
1291,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,21,2000,15.5,528,758,69.7,10338,4128,220,252,87.3,217,296,73.3,80,168,47.6,0,0.8,-0.8,9,43,18,13,50,Matches,9319781b
1292,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,20,2001,9.5,534,591,90.4,9150,1854,264,277,95.3,215,231,93.1,50,68,73.5,1,0.6,+0.4,9,45,10,0,35,Matches,4fb9c88f
1293,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,29,1992,1.8,71,79,89.9,1401,383,22,24,91.7,42,44,95.5,6,8,75.0,0,0.0,0.0,1,7,0,0,5,Matches,def899bd
1294,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,24,1997,27.5,1511,1680,89.9,27059,6209,705,759,92.9,584,640,91.3,193,227,85.0,3,3.1,-0.1,40,154,36,2,150,Matches,1bacc518
1295,Luuk de Jong,nl NED,FW,Barcelona,es La Liga,30,1990,7.3,141,190,74.2,1830,181,92,117,78.6,34,50,68.0,5,6,83.3,0,0.2,-0.2,3,7,2,0,7,Matches,abb3bb95
1296,Jens Jønsson,dk DEN,MF,Cádiz,es La Liga,28,1993,14.5,267,337,79.2,4590,1058,139,160,86.9,100,124,80.6,24,44,54.5,1,0.9,+0.1,7,15,5,2,16,Matches,53520a67
1297,Joan Jordán,es ESP,MF,Sevilla,es La Liga,27,1994,27.9,1617,1842,87.8,31949,6578,655,714,91.7,666,741,89.9,262,324,80.9,1,1.5,-0.5,25,145,22,3,113,Matches,2a0c8ba4
1298,Kaio Jorge,br BRA,MFFW,Juventus,it Serie A,19,2002,1.3,29,38,76.3,502,61,16,20,80.0,8,12,66.7,5,5,100.0,0,0.3,-0.3,2,2,0,0,1,Matches,0cf465f2
1299,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,31,1990,5.8,247,332,74.4,4847,2153,93,105,88.6,119,156,76.3,32,62,51.6,0,0.1,-0.1,2,15,3,3,17,Matches,0db5d2c8
1300,Jorginho,it ITA,MF,Chelsea,eng Premier League,29,1991,25.3,1664,1856,89.7,29444,7066,731,790,92.5,762,823,92.6,144,201,71.6,2,2.8,-0.8,25,160,35,0,140,Matches,45db685d
1301,Josan,es ESP,DFMF,Elche,es La Liga,31,1989,13.5,380,539,70.5,6616,2433,174,214,81.3,166,216,76.9,34,75,45.3,3,3.6,-0.6,21,12,22,12,35,Matches,5b28b2f6
1302,Willian José,br BRA,FW,Betis,es La Liga,29,1991,17.8,413,531,77.8,6657,1174,220,258,85.3,126,160,78.8,39,66,59.1,4,2.8,+1.2,19,23,8,1,27,Matches,d87e2cae
1303,Joselu,es ESP,FW,Alavés,es La Liga,31,1990,34.7,687,1122,61.2,10410,2417,411,568,72.4,214,374,57.2,43,102,42.2,4,4.0,0.0,30,67,18,4,80,Matches,6265208f
1304,Josema,es ESP,DF,Elche,es La Liga,25,1996,2.0,36,61,59.0,742,330,12,16,75.0,18,26,69.2,6,18,33.3,0,0.1,-0.1,1,2,0,0,1,Matches,ed3f5f4c
1305,Lenny Joseph,fr FRA,FWMF,Metz,fr Ligue 1,20,2000,1.7,17,26,65.4,241,48,11,14,78.6,6,9,66.7,0,0,,0,0.0,0.0,1,0,0,0,1,Matches,d1828392
1306,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,24,1996,26.3,568,771,73.7,9120,2092,284,357,79.6,225,280,80.4,40,69,58.0,4,5.5,-1.5,37,50,31,2,71,Matches,178ae8f8
1307,Stevan Jovetić,me MNE,FW,Hertha BSC,de Bundesliga,31,1989,11.3,264,377,70.0,4126,1338,160,196,81.6,72,107,67.3,24,43,55.8,1,2.3,-1.3,17,29,18,3,39,Matches,f36c432f
1308,Luka Jović,rs SRB,FW,Real Madrid,es La Liga,23,1997,4.1,54,69,78.3,852,139,32,39,82.1,15,20,75.0,4,4,100.0,3,0.8,+2.2,4,4,2,0,7,Matches,4d8cd038
1309,Miguel Juan Llambrich,es ESP,DF,Espanyol,es La Liga,25,1996,0.8,36,49,73.5,519,134,20,25,80.0,16,21,76.2,0,2,0.0,0,0.0,0.0,0,1,0,0,1,Matches,d83f09ff
1310,José Juan Macías,mx MEX,FWMF,Getafe,es La Liga,21,1999,2.2,30,45,66.7,427,60,18,25,72.0,11,14,78.6,1,4,25.0,0,0.0,0.0,0,3,0,0,2,Matches,1f1c8a15
1311,Juanmi,es ESP,FW,Betis,es La Liga,28,1993,23.7,417,520,80.2,6592,1551,225,261,86.2,132,156,84.6,37,57,64.9,4,2.5,+1.5,19,19,9,4,34,Matches,84399660
1312,Gideon Jung,de GER,DF,Greuther Fürth,de Bundesliga,26,1994,1.6,45,57,78.9,922,266,11,13,84.6,29,34,85.3,5,10,50.0,0,0.0,0.0,0,2,0,0,4,Matches,a2e7de6f
1313,Flavio Junior Bianchi,it ITA,FWMF,Genoa,it Serie A,21,2000,3.5,65,78,83.3,849,115,43,51,84.3,17,22,77.3,2,2,100.0,0,0.1,-0.1,3,1,1,0,4,Matches,3ef965c1
1314,Lago Junior,ci CIV,FWMF,Mallorca,es La Liga,30,1990,2.0,27,48,56.3,369,107,21,27,77.8,5,11,45.5,1,5,20.0,0,0.0,0.0,0,0,0,0,1,Matches,360d70f8
1315,Hamed Junior Traorè,ci CIV,FWMF,Sassuolo,it Serie A,21,2000,19.7,644,822,78.3,11380,3349,318,362,87.8,251,298,84.2,66,122,54.1,2,3.2,-1.2,35,62,35,4,94,Matches,570bb4b9
1316,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,21,2000,29.9,1090,1299,83.9,16332,3618,676,755,89.5,321,372,86.3,64,92,69.6,10,7.8,+2.2,69,35,67,8,111,Matches,7111d552
1317,James Justin,eng ENG,DF,Leicester City,eng Premier League,23,1998,11.1,524,653,80.2,8398,2936,265,288,92.0,209,249,83.9,35,79,44.3,0,1.0,-1.0,9,26,9,3,40,Matches,fb614c44
1318,Jutglà,es ESP,FW,Barcelona,es La Liga,22,1999,3.3,98,121,81.0,1472,191,61,67,91.0,24,31,77.4,10,12,83.3,0,0.4,-0.4,3,4,5,2,5,Matches,2a9f6b4d
1319,Ozan Kabak,tr TUR,DF,Norwich City,eng Premier League,21,2000,10.2,341,414,82.4,7111,2287,92,112,82.1,197,216,91.2,45,71,63.4,0,0.0,0.0,2,17,0,0,18,Matches,2d61d13a
1320,Christian Kabasele,be BEL,DF,Watford,eng Premier League,30,1991,13.3,360,456,78.9,8264,2627,64,84,76.2,220,249,88.4,71,114,62.3,0,0.0,0.0,1,16,2,1,25,Matches,914ab9a1
1321,Issa Kaboré,bf BFA,DF,Troyes,fr Ligue 1,20,2001,25.0,738,1008,73.2,12661,5204,381,436,87.4,279,377,74.0,70,128,54.7,1,2.2,-1.2,21,43,36,23,74,Matches,c066d1a5
1322,Anton Kade,de GER,MFDF,Hertha BSC,de Bundesliga,17,2004,0.9,21,31,67.7,346,80,9,11,81.8,10,13,76.9,1,5,20.0,0,0.0,0.0,0,0,0,0,0,Matches,6d7598d5
1323,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,29,1992,13.3,507,681,74.4,9165,3582,224,270,83.0,219,284,77.1,57,93,61.3,2,2.8,-0.8,21,30,20,10,60,Matches,79c90e45
1324,Tino Kadewere,zw ZIM,FW,Lyon,fr Ligue 1,25,1996,5.6,136,167,81.4,1932,384,85,92,92.4,38,50,76.0,6,12,50.0,0,0.9,-0.9,8,2,7,2,14,Matches,7d08063d
1325,Florian Kainz,at AUT,MFFW,Köln,de Bundesliga,28,1992,25.8,643,1062,60.5,13353,4902,235,312,75.3,285,390,73.1,114,307,37.1,4,5.0,-1.0,48,61,44,14,116,Matches,94c18565
1326,Gaël Kakuta,cd COD,MFFW,Lens,fr Ligue 1,30,1991,18.6,527,725,72.7,8609,2305,297,363,81.8,173,229,75.5,45,95,47.4,2,3.5,-1.5,22,66,19,7,67,Matches,5b1bf5e3
1327,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,24,1997,13.6,267,382,69.9,4134,840,149,188,79.3,89,131,67.9,20,37,54.1,1,3.5,-2.5,20,16,7,1,32,Matches,15f24fe7
1328,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,19,2002,0.1,5,5,100.0,62,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,bf4c41f9
1329,Arnaud Kalimuendo,fr FRA,FW,Lens,fr Ligue 1,19,2002,23.9,404,490,82.4,6019,693,207,247,83.8,157,177,88.7,20,29,69.0,0,2.2,-2.2,23,10,18,3,24,Matches,bf4c41f9
1330,Nikola Kalinić,hr CRO,FW,Hellas Verona,it Serie A,33,1988,4.5,85,102,83.3,1158,147,50,57,87.7,26,31,83.9,4,6,66.7,1,0.9,+0.1,7,2,2,0,4,Matches,d4931a5a
1331,Yayah Kallon,sl SLE,FWMF,Genoa,it Serie A,20,2001,7.1,119,181,65.7,1776,365,70,97,72.2,39,58,67.2,7,16,43.8,1,1.0,0.0,9,4,4,1,9,Matches,f95f49d2
1332,Felix Kalu Nmecha,de GER,MFFW,Wolfsburg,de Bundesliga,20,2000,3.6,103,140,73.6,1670,408,55,66,83.3,38,50,76.0,8,14,57.1,0,0.1,-0.1,1,8,5,0,12,Matches,091c86e2
1333,Samuel Kalu,ng NGA,FW,Watford,eng Premier League,23,1997,2.5,54,65,83.1,804,194,35,36,97.2,12,16,75.0,5,11,45.5,0,0.2,-0.2,1,2,2,0,7,Matches,b8d22478
1334,Samuel Kalu,ng NGA,FWMF,Bordeaux,fr Ligue 1,23,1997,3.6,90,118,76.3,1643,472,46,51,90.2,33,43,76.7,10,18,55.6,1,0.2,+0.8,3,14,4,1,13,Matches,b8d22478
1335,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,21,2000,21.6,1016,1155,88.0,20925,6732,309,335,92.2,542,593,91.4,156,206,75.7,2,0.5,+1.5,6,51,11,6,58,Matches,85f7d1be
