,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,578,930,62.2,15121,6757,150,185,81.1,235,308,76.3,184,417,44.1,0,0.3,-0.3,5,76,7,0,76,Matches,bb08bce9
60,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,26,1995,11.8,202,343,58.9,3420,1403,111,137,81.0,56,88,63.6,28,92,30.4,2,2.3,-0.3,21,14,21,19,22,Matches,3d7e48ce
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,286,392,73.0,8491,5141,37,37,100.0,156,159,98.1,91,194,46.9,0,0.0,0.0,0,0,0,0,0,Matches,9e17ccff
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,689,860,80.1,12609,2508,320,360,88.9,258,313,82.4,99,152,65.1,2,1.6,+0.4,21,61,16,4,61,Matches,6c811eb7
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2013,2706,74.4,44509,18154,727,826,88.0,813,1010,80.5,451,786,57.4,12,11.2,+0.8,89,231,89,26,278,Matches,cd1acf9d
64,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21,2000,0.2,10,14,71.4,186,127,4,4,100.0,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Matches,683a1d81
65,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,228,322,70.8,3214,599,141,173,81.5,61,84,72.6,11,29,37.9,1,2.5,-1.5,14,12,10,5,16,Matches,f8405304
66,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,1178,1360,86.6,31704,17522,181,184,98.4,655,662,98.9,338,510,66.3,1,0.4,+0.6,2,13,0,0,0,Matches,7a2e46a8
67,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,757,967,78.3,14541,4232,284,332,85.5,354,426,83.1,99,157,63.1,2,0.9,+1.1,15,100,19,2,106,Matches,cc700722
68,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,414,550,75.3,6560,1315,225,271,83.0,140,183,76.5,35,59,59.3,2,1.7,+0.3,13,39,12,3,39,Matches,1956b948
69,Dele Alli,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,114,152,75.0,1873,511,51,67,76.1,44,52,84.6,11,18,61.1,0,0.3,-0.3,7,10,4,1,12,Matches,cea4ee8f
70,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,25,1996,7.3,167,214,78.0,2687,651,94,108,87.0,56,69,81.2,14,27,51.9,0,0.8,-0.8,2,13,5,0,19,Matches,cea4ee8f
71,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,406,505,80.4,6222,1461,224,254,88.2,139,169,82.2,28,46,60.9,0,0.7,-0.7,16,22,9,2,38,Matches,862a1c15
72,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,1132,1456,77.7,19695,6764,556,629,88.4,448,532,84.2,108,235,46.0,4,4.6,-0.6,44,68,33,15,107,Matches,f4290206
