,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
150,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-217,2005,0.0,2,1,0,0,2,1,1,100.0,0,0,0,0,0,2,0,0,Matches
151,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-285,1989,4.9,1,0,1,0,0,0,1,0.0,1,1,0,1,2,3,4,2,Matches
152,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-285,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
153,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-071,1997,25.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,1,Matches
154,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-212,1994,23.0,13,10,9,2,2,5,10,50.0,5,17,7,10,8,21,39,1,Matches
155,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-343,1994,0.9,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
156,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28-343,1994,1.3,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,3,0,Matches
157,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,30-096,1992,15.9,50,33,32,15,3,16,23,69.6,7,27,9,18,22,72,54,0,Matches
158,Mathias Autret,fr FRA,MFFW,Auxerre,fr Ligue 1,32-029,1991,14.0,22,10,10,10,2,7,16,43.8,9,13,2,11,12,34,12,0,Matches
159,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,29-052,1994,16.3,7,4,2,3,2,5,21,23.8,16,9,1,8,6,13,14,0,Matches
160,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-200,1986,16.2,11,5,6,5,0,6,8,75.0,2,15,10,5,12,23,67,1,Matches
161,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-230,1997,8.1,10,8,0,7,3,5,7,71.4,2,7,2,5,1,11,10,0,Matches
162,Mehmet Aydin,de GER,DFFW,Schalke 04,de Bundesliga,21-049,2002,5.4,23,16,12,9,2,11,21,52.4,10,9,0,9,9,32,12,0,Matches
