,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1442,Paolo Lebas,pt POR,MF,Ajaccio,fr Ligue 1,19-344,2003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1443,Benjamin Lecomte,fr FRA,GK,Espanyol,es La Liga,31-338,1991,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
1444,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,31-338,1991,9.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
1445,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30-045,1993,25.0,2,1,2,0,0,2,3,66.7,1,1,0,1,2,4,14,1,Matches
1446,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,29-309,1993,21.7,60,37,31,26,3,32,76,42.1,44,35,8,27,41,101,31,1,Matches
1447,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24-066,1999,19.3,26,14,15,11,0,15,26,57.7,11,19,12,7,21,47,73,0,Matches
1448,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,24-316,1998,7.4,9,7,6,3,0,4,5,80.0,1,7,4,3,18,27,26,1,Matches
1449,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,31-314,1991,22.5,21,12,15,5,1,13,18,72.2,5,22,14,8,13,34,97,0,Matches
1450,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,29-330,1993,13.9,23,16,19,4,0,11,17,64.7,6,14,2,12,13,36,31,1,Matches
1451,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27-138,1995,9.4,19,12,7,8,4,6,15,40.0,9,8,3,5,5,24,8,0,Matches
1452,Félix Lemaréchal,ci CIV,MF,Brest,fr Ligue 1,19-235,2003,1.6,3,3,2,0,1,0,2,0.0,2,4,0,4,1,4,2,0,Matches
1453,Dexter Lembikisa,jm JAM,DF,Wolves,eng Premier League,19-146,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1454,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29-210,1993,6.6,18,13,12,5,1,9,13,69.2,4,13,3,10,9,27,14,0,Matches
1455,Mario Lemina,ga GAB,MFDF,Nice,fr Ligue 1,29-210,1993,9.3,32,21,11,14,7,12,18,66.7,6,13,5,8,11,43,20,0,Matches
1456,Tim Lemperle,de GER,FWMF,Köln,de Bundesliga,21-053,2002,1.3,6,4,3,1,2,3,5,60.0,2,2,0,2,1,7,4,0,Matches
1457,Clément Lenglet,fr FRA,DF,Tottenham,eng Premier League,27-286,1995,15.2,26,16,14,8,4,11,23,47.8,12,19,7,12,13,39,35,2,Matches
1458,Bernd Leno,de GER,GK,Fulham,eng Premier League,31-026,1992,25.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,12,0,Matches
1459,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28-189,1994,8.4,19,15,9,6,4,11,23,47.8,12,12,1,11,11,30,22,0,Matches
1460,Sergio León,es ESP,FW,Valladolid,es La Liga,34-083,1989,11.6,4,3,0,3,1,2,3,66.7,1,4,0,4,0,4,3,0,Matches
1461,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20-159,2002,17.5,50,28,22,21,7,29,61,47.5,32,26,5,21,23,73,12,1,Matches
1462,Mehdi Léris,dz ALG,MFDF,Sampdoria,it Serie A,24-311,1998,20.0,49,37,25,16,8,20,46,43.5,26,32,4,28,23,72,20,0,Matches
1463,Jefferson Lerma,co COL,MFDF,Bournemouth,eng Premier League,28-156,1994,25.3,35,20,17,14,4,16,29,55.2,13,25,13,12,31,66,76,1,Matches
1464,Benjamin Leroy,fr FRA,GK,Ajaccio,fr Ligue 1,33-357,1989,24.1,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,10,2,Matches
1465,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23-044,2000,9.1,39,27,16,21,2,25,41,61.0,16,20,2,18,8,47,4,0,Matches
1466,Ruan Levine,br BRA,MF,Ajaccio,fr Ligue 1,24-070,1999,0.3,1,1,0,1,0,0,0,,0,1,0,1,2,3,0,0,Matches
1467,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34-221,1988,19.6,10,6,0,3,7,6,12,50.0,6,14,0,14,1,11,9,0,Matches
1468,Jamie Leweling,de GER,FW,Union Berlin,de Bundesliga,22-032,2001,1.9,4,3,2,2,0,3,4,75.0,1,2,0,2,1,5,0,0,Matches
1469,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,25-064,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1470,Rico Lewis,eng ENG,DFMF,Manchester City,eng Premier League,18-129,2004,6.0,13,8,7,5,1,5,9,55.6,4,4,1,3,3,16,8,0,Matches
1471,Keane Lewis-Potter,eng ENG,FWMF,Brentford,eng Premier League,22-036,2001,3.6,1,0,0,1,0,0,0,,0,5,1,4,0,1,2,0,Matches
1472,Dimitri Liénard,fr FRA,DFMF,Strasbourg,fr Ligue 1,35-045,1988,16.3,43,27,19,17,7,32,53,60.4,21,26,4,22,13,56,23,0,Matches
1473,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,26-262,1996,22.3,24,14,17,7,0,9,17,52.9,8,22,11,11,28,52,79,0,Matches
1474,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23-230,1999,17.8,20,14,9,10,1,8,12,66.7,4,24,16,8,16,36,65,0,Matches
1475,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28-256,1994,6.0,8,6,4,3,1,5,6,83.3,1,6,3,3,9,17,28,0,Matches
1476,Jesper Lindstrøm,dk DEN,MFFW,Eint Frankfurt,de Bundesliga,23-029,2000,17.0,23,10,13,6,4,6,20,30.0,14,21,2,19,7,30,9,0,Matches
1477,Karol Linetty,pl POL,MF,Torino,it Serie A,28-056,1995,17.8,30,16,6,21,3,12,22,54.5,10,22,7,15,16,46,24,0,Matches
1478,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,eng Premier League,30-105,1992,10.2,4,4,2,2,0,1,7,14.3,6,11,0,11,5,9,4,0,Matches
1479,Pol Lirola,es ESP,DF,Elche,es La Liga,25-229,1997,6.3,12,6,8,3,1,7,12,58.3,5,2,1,1,6,18,12,0,Matches
1480,Mateusz Lis,pl POL,GK,Troyes,fr Ligue 1,26-031,1997,7.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
1481,Marcin Listkowski,pl POL,MFFW,Lecce,it Serie A,25-048,1998,0.9,0,0,0,0,0,0,0,,0,0,0,0,3,3,2,0,Matches
1482,Dejan Ljubicic,at AUT,MF,Köln,de Bundesliga,25-173,1997,12.7,17,10,5,9,3,9,25,36.0,16,14,0,14,7,24,3,0,Matches
1483,Javier Llabrés,es ESP,FW,Mallorca,es La Liga,20-200,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
1484,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,29-226,1993,7.2,13,10,8,5,0,4,8,50.0,4,6,2,4,15,28,24,2,Matches
1485,Diego Llorente,es ESP,DF,Roma,it Serie A,29-226,1993,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
1486,Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,28-059,1995,15.9,29,14,16,8,5,16,25,64.0,9,19,1,18,15,44,16,0,Matches
1487,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,36-094,1986,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,11,4,Matches
1488,Giovani Lo Celso,ar ARG,MFFW,Villarreal,es La Liga,26-355,1996,6.1,21,17,3,13,5,8,12,66.7,4,6,0,6,5,26,3,0,Matches
1489,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28-125,1994,25.2,62,31,28,25,9,32,50,64.0,18,26,6,20,13,75,12,0,Matches
1490,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25-081,1998,19.9,42,23,18,19,5,20,33,60.6,13,39,18,21,22,64,43,0,Matches
1491,Luka Lochoshvili,ge GEO,DF,Cremonese,it Serie A,24-305,1998,13.3,33,12,22,8,3,18,23,78.3,5,22,4,18,14,47,50,0,Matches
1492,Banzouzi Locko,fr FRA,DF,Reims,fr Ligue 1,20-328,2002,11.8,32,16,22,4,6,16,27,59.3,11,17,4,13,20,52,21,0,Matches
1493,Banzouzi Locko,fr FRA,DF,Brest,fr Ligue 1,20-328,2002,1.5,3,2,2,1,0,2,2,100.0,0,1,0,1,1,4,6,0,Matches
1494,Renan Lodi,br BRA,DF,Nott'ham Forest,eng Premier League,24-356,1998,16.9,35,25,24,8,3,23,41,56.1,18,18,5,13,26,61,52,0,Matches
1495,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,27-066,1996,14.0,23,13,8,12,3,10,19,52.6,9,13,2,11,11,34,20,0,Matches
1496,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25-151,1997,22.4,32,19,12,14,6,15,45,33.3,30,32,7,25,15,47,21,0,Matches
1497,Ademola Lookman,ng NGA,FWMF,Atalanta,it Serie A,25-161,1997,17.1,10,3,2,5,3,3,12,25.0,9,18,0,18,3,13,0,0,Matches
1498,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32-180,1990,21.3,1,0,1,0,0,1,2,50.0,1,0,0,0,2,3,8,0,Matches
1499,Rony Lopes,pt POR,MFFW,Troyes,fr Ligue 1,27-092,1995,19.2,18,10,5,11,2,6,26,23.1,20,10,2,8,5,23,7,0,Matches
1500,David López,es ESP,DF,Girona,es La Liga,33-172,1989,12.9,19,14,10,8,1,12,16,75.0,4,17,12,5,6,25,48,1,Matches
1501,Diego López,es ESP,GK,Rayo Vallecano,es La Liga,41-147,1981,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
1502,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25-116,1997,16.8,35,14,21,10,4,11,44,25.0,33,17,3,14,17,52,17,0,Matches
1503,Pau López,es ESP,GK,Marseille,fr Ligue 1,28-107,1994,24.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,1,Matches
1504,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27-151,1995,10.1,23,15,6,14,3,9,24,37.5,15,9,1,8,12,35,4,1,Matches
1505,Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,21-056,2002,12.9,37,20,19,13,5,22,54,40.7,32,26,3,23,21,58,18,0,Matches
1506,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37-020,1986,22.4,55,37,26,23,6,28,50,56.0,22,27,8,19,27,82,49,0,Matches
1507,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24-182,1998,21.5,48,30,26,18,4,26,36,72.2,10,32,8,24,26,74,41,0,Matches
1508,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23-044,2000,4.8,9,7,7,2,0,8,14,57.1,6,8,5,3,7,16,18,2,Matches
1509,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,33-268,1989,10.7,16,14,15,1,0,12,18,66.7,6,9,7,2,15,31,47,1,Matches
1510,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25-002,1998,16.2,34,14,13,15,6,22,33,66.7,11,14,1,13,15,49,16,0,Matches
1511,Jamal Lowe,jm JAM,MFFW,Bournemouth,eng Premier League,28-252,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1512,Anthony Lozano,hn HON,FW,Cádiz,es La Liga,29-339,1993,13.2,3,2,0,2,1,0,2,0.0,2,9,1,8,3,6,17,0,Matches
1513,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,27-243,1995,14.2,21,12,9,6,6,8,14,57.1,6,27,0,27,12,33,5,0,Matches
1514,Pol Lozano,es ESP,MF,Espanyol,es La Liga,23-175,1999,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
1515,Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,24-281,1998,3.2,9,5,3,5,1,6,12,50.0,6,2,1,1,4,13,2,0,Matches
1516,Jhon Lucumí,co COL,DF,Bologna,it Serie A,24-277,1998,22.2,40,28,28,11,1,19,31,61.3,12,27,18,9,25,65,75,1,Matches
1517,José Luis Gayà,es ESP,DF,Valencia,es La Liga,27-309,1995,19.1,49,29,38,9,2,29,43,67.4,14,22,8,14,16,65,31,0,Matches
1518,José Luis Morales,es ESP,FWMF,Villarreal,es La Liga,35-250,1987,11.3,4,3,1,1,2,3,12,25.0,9,11,1,10,2,6,2,0,Matches
1519,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33-084,1990,5.6,12,5,9,3,0,6,10,60.0,4,4,2,2,21,33,14,0,Matches
1520,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,24-325,1998,21.7,48,26,21,18,9,18,40,45.0,22,30,5,25,31,79,15,1,Matches
1521,Romelu Lukaku,be BEL,FW,Inter,it Serie A,29-321,1993,8.6,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,5,0,Matches
1522,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,20-103,2002,24.2,25,16,15,6,4,13,17,76.5,4,30,17,13,46,71,59,0,Matches
1523,Dodi Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,25-187,1997,19.1,15,9,5,8,2,6,17,35.3,11,19,5,14,8,23,12,0,Matches
1524,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26-229,1996,2.3,3,2,1,2,0,0,0,,0,4,1,3,1,4,1,0,Matches
1525,Saša Lukić,rs SRB,MF,Torino,it Serie A,26-229,1996,13.3,21,14,10,10,1,9,15,60.0,6,17,7,10,13,34,10,0,Matches
1526,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24-047,1999,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1527,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,31-137,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1528,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26-205,1996,24.0,22,12,15,7,0,5,12,41.7,7,39,28,11,27,49,118,1,Matches
1529,Lyanco,br BRA,DF,Southampton,eng Premier League,26-057,1997,7.8,15,10,9,6,0,8,13,61.5,5,10,8,2,13,28,28,2,Matches
1530,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29-159,1993,11.7,15,7,4,6,5,5,13,38.5,8,8,3,5,15,30,28,0,Matches
1531,Youssouf M'Changama,km COM,MF,Auxerre,fr Ligue 1,32-213,1990,7.2,15,7,5,9,1,4,9,44.4,5,4,0,4,7,22,3,1,Matches
1532,Awer Mabil,au AUS,MFFW,Cádiz,es La Liga,27-196,1995,1.8,2,0,0,1,1,1,3,33.3,2,1,1,0,0,2,1,0,Matches
1533,Alexis Mac Allister,ar ARG,MF,Brighton,eng Premier League,24-096,1998,21.2,53,30,17,31,5,25,54,46.3,29,15,1,14,21,74,5,1,Matches
1534,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,29-209,1993,18.7,42,25,15,20,7,18,31,58.1,13,16,4,12,16,58,22,0,Matches
1535,Darwin Machís,ve VEN,FW,Valladolid,es La Liga,30-051,1993,4.1,3,2,0,2,1,1,7,14.3,6,2,0,2,2,5,4,0,Matches
1536,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,26-127,1996,18.1,31,15,15,11,5,13,36,36.1,23,9,0,9,11,42,5,0,Matches
1537,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21-020,2002,2.0,3,3,2,1,0,1,1,100.0,0,9,1,8,0,3,0,0,Matches
1538,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,25-261,1997,22.1,45,30,28,12,5,25,46,54.3,21,26,9,17,17,62,45,0,Matches
1539,Lisandro Magallán,ar ARG,DF,Elche,es La Liga,29-184,1993,4.5,10,4,4,4,2,7,9,77.8,2,8,1,7,5,15,10,0,Matches
1540,Soungoutou Magassa,ml MLI,MF,Monaco,fr Ligue 1,19-173,2003,0.8,3,1,2,1,0,1,2,50.0,1,2,0,2,1,4,1,0,Matches
1541,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25-018,1998,8.0,16,6,8,5,3,8,16,50.0,8,17,4,13,8,24,6,0,Matches
1542,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27-177,1995,9.0,19,12,13,6,0,10,11,90.9,1,13,9,4,16,35,44,0,Matches
1543,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,24-304,1998,15.3,38,24,16,21,1,21,52,40.4,31,17,1,16,20,58,12,0,Matches
1544,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,25-282,1997,22.7,73,45,27,39,7,42,85,49.4,43,43,10,33,21,94,42,0,Matches
1545,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30-025,1993,5.4,5,4,4,0,1,3,4,75.0,1,15,10,5,7,12,25,0,Matches
1546,Jon Magunacelaya,es ESP,MFFW,Real Sociedad,es La Liga,22-260,2000,0.7,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,1,0,Matches
1547,Riyad Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,32-037,1991,11.8,14,7,2,6,6,9,22,40.9,13,16,0,16,5,19,2,0,Matches
1548,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24-081,1999,15.0,24,17,12,9,3,8,12,66.7,4,14,0,14,8,32,12,0,Matches
1549,Mike Maignan,fr FRA,GK,Milan,it Serie A,27-270,1995,11.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,4,0,Matches
1550,Linton Maina,de GER,FWMF,Köln,de Bundesliga,23-280,1999,17.0,14,10,3,10,1,7,26,26.9,19,10,0,10,4,18,6,0,Matches
1551,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,17-345,2005,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
1552,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,eng Premier League,25-213,1997,10.7,35,19,19,13,3,23,32,71.9,9,20,4,16,13,48,33,0,Matches
1553,Jordan Majchrzak,pl POL,FW,Roma,it Serie A,18-173,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1554,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,25-072,1998,11.8,22,11,10,8,4,3,16,18.8,13,13,1,12,16,38,5,1,Matches
1555,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,24-291,1998,8.9,16,13,7,7,2,5,9,55.6,4,8,2,6,9,25,3,0,Matches
1556,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,24-291,1998,6.8,10,4,4,6,0,5,16,31.3,11,3,2,1,8,18,8,0,Matches
1557,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,20-183,2002,2.2,1,0,0,1,0,0,2,0.0,2,3,1,2,0,1,1,0,Matches
1558,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28-063,1995,12.0,19,9,7,9,3,7,14,50.0,7,20,10,10,16,35,11,0,Matches
1559,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,23-225,1999,10.2,29,19,23,5,1,8,17,47.1,9,9,2,7,17,46,36,0,Matches
1560,Lorenzo Malagrida,it ITA,DFMF,Sampdoria,it Serie A,19-157,2003,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
1561,Daniel Maldini,it ITA,FWMF,Spezia,it Serie A,21-170,2001,5.1,8,4,2,3,3,3,9,33.3,6,6,0,6,1,9,6,0,Matches
1562,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,24-220,1998,3.3,3,1,0,3,0,0,4,0.0,4,5,0,5,1,4,3,0,Matches
1563,Youssef Maleh,it ITA,MF,Lecce,it Serie A,24-220,1998,4.9,15,6,3,5,7,5,13,38.5,8,12,0,12,3,18,6,0,Matches
1564,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,24-070,1999,11.8,9,4,2,3,4,4,6,66.7,2,10,0,10,4,13,6,0,Matches
1565,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,29-330,1993,6.1,14,8,5,6,3,6,17,35.3,11,8,1,7,5,19,2,0,Matches
1566,Ruslan Malinovskyi,ua UKR,MFFW,Marseille,fr Ligue 1,29-330,1993,7.5,13,6,2,8,3,5,14,35.7,9,7,0,7,1,14,6,0,Matches
1567,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,31-281,1991,16.4,35,19,20,11,4,21,30,70.0,9,17,2,15,13,48,49,0,Matches
1568,Mickael Malsa,mq MTQ,MF,Valladolid,es La Liga,27-169,1995,0.8,2,2,1,1,0,1,4,25.0,3,1,1,0,2,4,3,0,Matches
1569,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22-182,2000,26.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,2,Matches
1570,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,23-092,1999,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
1571,Gianluca Mancini,it ITA,DF,Roma,it Serie A,26-347,1996,24.2,31,15,23,7,1,13,24,54.2,11,24,12,12,37,68,51,0,Matches
1572,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38-002,1985,25.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,2,Matches
1573,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29-068,1994,20.6,66,43,46,19,1,38,49,77.6,11,27,12,15,30,96,59,0,Matches
1574,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31-159,1991,5.4,9,6,6,2,1,1,4,25.0,3,6,5,1,11,20,21,0,Matches
1575,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,25-274,1997,15.0,28,15,6,18,4,17,35,48.6,18,14,2,12,10,38,19,0,Matches
1576,Sadio Mané,sn SEN,FW,Bayern Munich,de Bundesliga,30-354,1992,12.0,8,3,2,2,4,1,8,12.5,7,12,2,10,0,8,2,0,Matches
1577,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25-012,1998,8.4,14,8,8,5,1,7,15,46.7,8,10,3,7,11,25,4,0,Matches
1578,Thomas Mangani,fr FRA,MF,Ajaccio,fr Ligue 1,35-335,1987,9.9,19,12,6,10,3,9,24,37.5,15,13,1,12,21,40,14,1,Matches
1579,Vito Mannone,it ITA,GK,Lorient,fr Ligue 1,35-028,1988,14.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,Matches
1580,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,28-329,1994,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
1581,Myziane Maolida,fr FRA,FWMF,Reims,fr Ligue 1,24-044,1999,1.8,4,2,1,2,1,3,9,33.3,6,1,0,1,2,6,0,0,Matches
1582,Myziane Maolida,fr FRA,FWMF,Hertha BSC,de Bundesliga,24-044,1999,1.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
1583,Faitout Maouassa,fr FRA,FWDF,Montpellier,fr Ligue 1,24-267,1998,17.3,37,24,17,17,3,13,26,50.0,13,26,2,24,15,52,21,0,Matches
1584,Sekou Mara,fr FRA,FWMF,Southampton,eng Premier League,20-243,2002,5.0,14,10,5,8,1,3,9,33.3,6,9,0,9,1,15,5,0,Matches
1585,Maranhão,br BRA,FWMF,Valencia,es La Liga,26-161,1996,4.8,4,1,1,1,2,1,2,50.0,1,4,1,3,0,4,0,0,Matches
1586,Marcão,br BRA,DF,Sevilla,es La Liga,26-298,1996,4.0,2,2,1,1,0,1,1,100.0,0,3,3,0,5,7,13,0,Matches
1587,Solly March,eng ENG,FWDF,Brighton,eng Premier League,28-253,1994,23.9,41,23,13,11,17,5,22,22.7,17,27,3,24,20,61,24,0,Matches
1588,Agustín Marchesín,ar ARG,GK,Celta Vigo,es La Liga,35-014,1988,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
1589,Federico Marchetti,it ITA,GK,Spezia,it Serie A,40-051,1983,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1590,Vincent Marchetti,fr FRA,MF,Ajaccio,fr Ligue 1,25-269,1997,20.4,44,22,22,17,5,20,47,42.6,27,13,1,12,15,59,16,0,Matches
1591,Riccardo Marchizza,it ITA,DF,Sassuolo,it Serie A,25-004,1998,2.0,2,2,1,1,0,2,4,50.0,2,1,0,1,1,3,6,0,Matches
1592,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31-043,1992,19.0,21,15,10,10,1,10,13,76.9,3,20,16,4,20,41,71,3,Matches
1593,Emiliano Marcondes,dk DEN,MF,Bournemouth,eng Premier League,28-021,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
1594,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,33-350,1989,21.9,43,20,22,15,6,24,52,46.2,28,31,6,25,21,64,40,0,Matches
1595,José Mari,es ESP,MF,Cádiz,es La Liga,35-114,1987,3.6,13,7,10,2,1,8,14,57.1,6,3,1,2,5,18,8,0,Matches
1596,Pablo Marí,es ESP,DF,Monza,it Serie A,29-211,1993,18.6,26,12,22,4,0,13,18,72.2,5,10,7,3,17,43,82,3,Matches
1597,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28-069,1995,15.9,20,11,15,4,1,12,18,66.7,6,20,12,8,18,38,79,1,Matches
1598,Mariano,do DOM,FW,Real Madrid,es La Liga,29-241,1993,0.6,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
1599,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,19-270,2003,3.8,8,5,3,4,1,1,6,16.7,5,1,0,1,4,12,2,0,Matches
1600,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,26-311,1996,20.5,36,18,21,15,0,15,32,46.9,17,26,10,16,12,48,21,0,Matches
1601,Diego Mariño,es ESP,GK,Almería,es La Liga,32-325,1990,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1602,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,28-328,1994,17.5,34,20,20,14,0,10,23,43.5,13,27,19,8,29,63,51,0,Matches
1603,Marlon,br BRA,DF,Monza,it Serie A,27-204,1995,13.5,28,16,15,13,0,11,22,50.0,11,8,2,6,18,46,38,0,Matches
1604,Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,24-051,1999,13.1,15,10,8,2,5,4,13,30.8,9,11,0,11,6,21,3,0,Matches
1605,Marquinhos,br BRA,MF,Arsenal,eng Premier League,19-357,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
1606,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,28-320,1994,22.1,22,15,11,9,2,14,19,73.7,5,29,18,11,20,42,59,2,Matches
1607,Luca Marrone,it ITA,DF,Monza,it Serie A,33-002,1990,1.5,0,0,0,0,0,0,2,0.0,2,2,2,0,0,0,4,1,Matches
1608,Eric Martel,de GER,MF,Köln,de Bundesliga,20-335,2002,15.0,41,25,19,16,6,20,45,44.4,25,18,4,14,20,61,36,0,Matches
