,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
234,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,23-241,1999,24,24,1910,21.2,5,3,8,5,0,0,5,0,5.5,5.5,3.9,9.4,59,80,113,0.24,0.14,0.38,0.24,0.38,0.26,0.18,0.44,0.26,0.44,Matches
235,Cyrille Bayala,bf BFA,MF,Ajaccio,fr Ligue 1,26-310,1996,27,21,1642,18.2,1,1,2,1,0,0,3,1,1.9,1.9,1.8,3.8,40,58,95,0.05,0.05,0.11,0.05,0.11,0.11,0.10,0.21,0.11,0.21,Matches
236,Brian Bayeye,fr FRA,DF,Torino,it Serie A,22-273,2000,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
237,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,de Bundesliga,26-221,1996,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.00,0.60,Matches
238,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,21-038,2002,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
239,Bebé,cv CPV,FW,Rayo Vallecano,es La Liga,32-261,1990,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,1,10,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25,Matches
240,Ihlas Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,28-341,1994,10,8,636,7.1,3,0,3,3,0,0,0,0,2.1,2.1,0.3,2.4,11,8,52,0.42,0.00,0.42,0.42,0.42,0.29,0.05,0.34,0.29,0.34,Matches
241,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,27-070,1996,21,21,1862,20.7,2,1,3,2,0,0,10,0,1.2,1.2,0.6,1.8,7,73,38,0.10,0.05,0.15,0.10,0.15,0.06,0.03,0.09,0.06,0.09,Matches
242,Mads Bech Sørensen,dk DEN,DFMF,Brentford,eng Premier League,24-082,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
243,Julius Beck,dk DEN,MF,Spezia,it Serie A,17-337,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
244,Sheraldo Becker,sr SUR,FW,Union Berlin,de Bundesliga,28-049,1995,25,24,1797,20.0,7,4,11,7,0,0,1,0,3.1,3.1,3.1,6.2,62,26,148,0.35,0.20,0.55,0.35,0.55,0.16,0.16,0.31,0.16,0.31,Matches
245,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,26-352,1996,10,10,822,9.1,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,18,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
246,Jan Bednarek,pl POL,DF,Aston Villa,eng Premier League,26-352,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
247,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,25-346,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
248,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35-283,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
249,Yanis Begraoui,fr FRA,FWMF,Toulouse,fr Ligue 1,21-269,2001,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,Matches
250,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32-055,1991,25,9,949,10.5,5,1,6,5,0,0,3,0,2.0,2.0,0.7,2.7,6,40,52,0.47,0.09,0.57,0.47,0.57,0.19,0.07,0.26,0.19,0.26,Matches
251,Alexis Beka Beka,fr FRA,MFDF,Nice,fr Ligue 1,22-001,2001,10,5,384,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,21,18,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
252,Jérémie Bela,ao ANG,DFMF,Clermont Foot,fr Ligue 1,29-356,1993,16,7,693,7.7,1,1,2,1,0,0,0,0,0.5,0.5,0.2,0.8,21,22,48,0.13,0.13,0.26,0.13,0.26,0.07,0.03,0.10,0.07,0.10,Matches
253,Reda Belahyane,fr FRA,MF,Nice,fr Ligue 1,18-302,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.67,0.67,0.67,Matches
254,Youcef Belaïli,dz ALG,MFFW,Ajaccio,fr Ligue 1,31-016,1992,16,14,1089,12.1,6,3,9,1,5,6,2,0,6.1,1.8,3.5,5.3,31,53,63,0.50,0.25,0.74,0.08,0.33,0.50,0.29,0.79,0.15,0.43,Matches
255,Youcef Belaïli,dz ALG,FWMF,Brest,fr Ligue 1,31-016,1992,6,4,356,4.0,0,2,2,0,0,0,3,0,0.6,0.6,0.8,1.4,16,14,31,0.00,0.51,0.51,0.00,0.51,0.16,0.19,0.36,0.16,0.36,Matches
