,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1450,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,29-330,1993,13.9,1,0,0,14,5,1,42,13,16,0,0,0,113,17,8,68.0,Matches
1451,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27-138,1995,9.4,0,0,0,5,8,2,33,5,12,0,0,0,54,4,5,44.4,Matches
1452,Félix Lemaréchal,ci CIV,MF,Brest,fr Ligue 1,19-235,2003,1.6,1,0,0,3,0,0,0,1,3,0,0,0,5,1,2,33.3,Matches
1453,Dexter Lembikisa,jm JAM,DF,Wolves,eng Premier League,19-146,2003,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,Matches
1454,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29-210,1993,6.6,3,1,1,10,5,1,1,9,13,0,0,0,46,11,2,84.6,Matches
1455,Mario Lemina,ga GAB,MFDF,Nice,fr Ligue 1,29-210,1993,9.3,1,1,0,13,5,0,2,11,21,0,0,0,62,5,4,55.6,Matches
1456,Tim Lemperle,de GER,FWMF,Köln,de Bundesliga,21-053,2002,1.3,0,0,0,1,0,0,1,1,4,0,0,0,12,2,5,28.6,Matches
1457,Clément Lenglet,fr FRA,DF,Tottenham,eng Premier League,27-286,1995,15.2,2,0,0,11,14,0,14,13,16,0,0,0,78,31,19,62.0,Matches
1458,Bernd Leno,de GER,GK,Fulham,eng Premier League,31-026,1992,25.0,2,0,0,0,1,0,0,0,0,0,0,0,37,8,0,100.0,Matches
1459,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28-189,1994,8.4,0,0,0,8,9,0,60,11,15,0,0,0,49,8,9,47.1,Matches
1460,Sergio León,es ESP,FW,Valladolid,es La Liga,34-083,1989,11.6,0,1,0,5,17,14,6,0,3,0,0,0,33,15,35,30.0,Matches
1461,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20-159,2002,17.5,3,0,0,27,21,0,7,23,28,0,0,0,140,14,17,45.2,Matches
1462,Mehdi Léris,dz ALG,MFDF,Sampdoria,it Serie A,24-311,1998,20.0,11,0,0,38,32,4,44,23,37,0,0,0,113,55,35,61.1,Matches
1463,Jefferson Lerma,co COL,MFDF,Bournemouth,eng Premier League,28-156,1994,25.3,4,0,0,25,29,2,6,31,20,0,2,1,185,49,27,64.5,Matches
1464,Benjamin Leroy,fr FRA,GK,Ajaccio,fr Ligue 1,33-357,1989,24.1,0,0,0,0,3,0,0,1,0,0,0,0,36,1,0,100.0,Matches
1465,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23-044,2000,9.1,6,0,0,28,12,1,8,8,27,0,0,0,74,16,12,57.1,Matches
1466,Ruan Levine,br BRA,MF,Ajaccio,fr Ligue 1,24-070,1999,0.3,0,0,0,1,1,0,0,2,1,0,0,0,4,0,0,,Matches
1467,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34-221,1988,19.6,2,1,1,26,30,13,14,1,6,0,0,0,35,35,31,53.0,Matches
1468,Jamie Leweling,de GER,FW,Union Berlin,de Bundesliga,22-032,2001,1.9,1,0,0,5,8,0,5,1,3,0,0,0,14,1,5,16.7,Matches
1469,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,25-064,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
1470,Rico Lewis,eng ENG,DFMF,Manchester City,eng Premier League,18-129,2004,6.0,1,0,0,6,12,0,5,3,8,0,0,0,23,0,2,0.0,Matches
1471,Keane Lewis-Potter,eng ENG,FWMF,Brentford,eng Premier League,22-036,2001,3.6,0,0,0,1,4,1,8,0,0,0,0,0,20,4,4,50.0,Matches
1472,Dimitri Liénard,fr FRA,DFMF,Strasbourg,fr Ligue 1,35-045,1988,16.3,4,0,0,16,13,3,112,13,27,0,0,0,116,17,15,53.1,Matches
1473,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,26-262,1996,22.3,3,0,0,12,21,1,1,28,14,0,0,0,129,49,27,64.5,Matches
1474,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23-230,1999,17.8,4,0,0,18,15,2,1,16,14,0,2,0,114,57,41,58.2,Matches
1475,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28-256,1994,6.0,0,0,0,2,1,0,0,9,6,0,0,0,34,16,5,76.2,Matches
1476,Jesper Lindstrøm,dk DEN,MFFW,Eint Frankfurt,de Bundesliga,23-029,2000,17.0,2,0,0,15,16,3,45,7,10,1,0,0,85,6,21,22.2,Matches
1477,Karol Linetty,pl POL,MF,Torino,it Serie A,28-056,1995,17.8,6,0,0,40,17,4,15,16,16,0,1,0,106,23,22,51.1,Matches
1478,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,eng Premier League,30-105,1992,10.2,1,0,0,8,9,2,5,5,4,0,0,0,39,1,2,33.3,Matches
1479,Pol Lirola,es ESP,DF,Elche,es La Liga,25-229,1997,6.3,1,0,0,3,3,0,29,6,6,0,0,0,42,8,6,57.1,Matches
1480,Mateusz Lis,pl POL,GK,Troyes,fr Ligue 1,26-031,1997,7.0,1,0,0,1,2,0,0,0,0,0,0,0,6,1,0,100.0,Matches
1481,Marcin Listkowski,pl POL,MFFW,Lecce,it Serie A,25-048,1998,0.9,0,0,0,2,1,0,3,3,0,0,0,0,5,1,0,100.0,Matches
1482,Dejan Ljubicic,at AUT,MF,Köln,de Bundesliga,25-173,1997,12.7,1,0,0,13,9,3,24,7,10,0,0,0,76,5,12,29.4,Matches
1483,Javier Llabrés,es ESP,FW,Mallorca,es La Liga,20-200,2002,0.2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0.0,Matches
1484,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,29-226,1993,7.2,1,0,0,6,2,0,1,15,10,0,0,0,57,18,7,72.0,Matches
1485,Diego Llorente,es ESP,DF,Roma,it Serie A,29-226,1993,0.4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,Matches
1486,Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,28-059,1995,15.9,4,0,0,26,12,1,36,15,14,0,1,0,87,9,16,36.0,Matches
1487,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,36-094,1986,21.0,0,0,0,0,2,0,0,1,1,0,0,1,27,6,3,66.7,Matches
1488,Giovani Lo Celso,ar ARG,MFFW,Villarreal,es La Liga,26-355,1996,6.1,2,0,0,7,14,3,5,5,17,0,0,0,28,1,2,33.3,Matches
1489,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28-125,1994,25.2,1,0,0,19,44,0,0,13,31,0,0,0,184,9,15,37.5,Matches
1490,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25-081,1998,19.9,6,0,0,29,24,0,9,22,23,0,0,0,134,27,24,52.9,Matches
1491,Luka Lochoshvili,ge GEO,DF,Cremonese,it Serie A,24-305,1998,13.3,3,0,0,23,6,1,5,14,12,0,1,0,59,21,12,63.6,Matches
1492,Banzouzi Locko,fr FRA,DF,Reims,fr Ligue 1,20-328,2002,11.8,3,1,0,10,9,1,13,20,16,0,0,0,77,12,8,60.0,Matches
1493,Banzouzi Locko,fr FRA,DF,Brest,fr Ligue 1,20-328,2002,1.5,0,0,0,0,0,0,2,1,2,0,0,0,9,2,1,66.7,Matches
1494,Renan Lodi,br BRA,DF,Nott'ham Forest,eng Premier League,24-356,1998,16.9,5,0,0,18,31,1,54,26,25,0,0,0,105,14,16,46.7,Matches
1495,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,27-066,1996,14.0,1,0,0,8,30,1,12,11,13,0,0,1,83,21,23,47.7,Matches
1496,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25-151,1997,22.4,2,0,0,20,29,3,26,15,19,0,0,0,114,20,23,46.5,Matches
1497,Ademola Lookman,ng NGA,FWMF,Atalanta,it Serie A,25-161,1997,17.1,3,0,0,18,32,10,37,3,3,1,0,0,78,3,11,21.4,Matches
1498,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32-180,1990,21.3,1,1,0,1,1,0,0,2,0,0,1,0,18,1,0,100.0,Matches
1499,Rony Lopes,pt POR,MFFW,Troyes,fr Ligue 1,27-092,1995,19.2,2,0,0,14,25,1,82,5,10,0,0,0,90,13,17,43.3,Matches
1500,David López,es ESP,DF,Girona,es La Liga,33-172,1989,12.9,4,0,0,12,12,3,0,6,14,0,0,0,69,25,22,53.2,Matches
1501,Diego López,es ESP,GK,Rayo Vallecano,es La Liga,41-147,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
1502,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25-116,1997,16.8,8,0,0,22,10,0,14,17,14,0,0,0,118,4,2,66.7,Matches
1503,Pau López,es ESP,GK,Marseille,fr Ligue 1,28-107,1994,24.0,3,0,0,1,6,0,0,0,0,0,1,0,32,4,2,66.7,Matches
1504,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27-151,1995,10.1,1,0,0,15,13,1,38,12,15,0,0,0,73,3,11,21.4,Matches
1505,Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,21-056,2002,12.9,5,2,1,23,22,0,5,21,20,1,0,0,113,12,7,63.2,Matches
1506,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37-020,1986,22.4,3,1,0,32,12,3,9,27,37,0,1,0,155,64,64,50.0,Matches
1507,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24-182,1998,21.5,4,0,0,19,24,0,38,26,30,0,0,0,107,18,16,52.9,Matches
1508,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23-044,2000,4.8,0,0,0,2,2,0,0,7,7,0,0,0,21,10,6,62.5,Matches
1509,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,33-268,1989,10.7,2,0,0,9,9,0,5,15,14,0,0,0,71,30,13,69.8,Matches
1510,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25-002,1998,16.2,4,0,0,26,19,1,51,15,14,0,0,0,100,5,9,35.7,Matches
1511,Jamal Lowe,jm JAM,MFFW,Bournemouth,eng Premier League,28-252,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1512,Anthony Lozano,hn HON,FW,Cádiz,es La Liga,29-339,1993,13.2,3,0,0,35,27,7,6,3,2,0,0,0,36,49,62,44.1,Matches
1513,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,27-243,1995,14.2,3,0,0,24,25,3,59,12,12,0,0,0,49,6,11,35.3,Matches
1514,Pol Lozano,es ESP,MF,Espanyol,es La Liga,23-175,1999,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0,Matches
1515,Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,24-281,1998,3.2,0,0,0,4,4,1,1,4,5,0,0,0,23,1,7,12.5,Matches
1516,Jhon Lucumí,co COL,DF,Bologna,it Serie A,24-277,1998,22.2,6,0,0,20,13,0,1,25,28,0,3,0,140,31,23,57.4,Matches
1517,José Luis Gayà,es ESP,DF,Valencia,es La Liga,27-309,1995,19.1,4,0,0,9,15,7,155,16,29,1,0,0,102,16,8,66.7,Matches
1518,José Luis Morales,es ESP,FWMF,Villarreal,es La Liga,35-250,1987,11.3,2,0,0,5,9,8,10,2,3,0,0,0,26,7,14,33.3,Matches
1519,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33-084,1990,5.6,1,0,0,6,5,0,3,21,5,0,0,1,53,18,9,66.7,Matches
1520,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,24-325,1998,21.7,4,1,0,32,27,2,71,31,26,0,0,0,134,18,17,51.4,Matches
1521,Romelu Lukaku,be BEL,FW,Inter,it Serie A,29-321,1993,8.6,1,0,0,7,1,10,14,0,0,0,0,0,11,18,20,47.4,Matches
1522,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,20-103,2002,24.2,5,0,0,29,16,0,3,46,16,0,1,1,159,25,28,47.2,Matches
1523,Dodi Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,25-187,1997,19.1,6,0,0,27,42,12,52,8,9,0,1,0,83,13,23,36.1,Matches
1524,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26-229,1996,2.3,1,0,0,6,6,0,1,1,2,0,0,0,12,1,1,50.0,Matches
1525,Saša Lukić,rs SRB,MF,Torino,it Serie A,26-229,1996,13.3,4,0,0,26,10,0,25,13,14,0,0,0,81,22,22,50.0,Matches
1526,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24-047,1999,6.0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
1527,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,31-137,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
1528,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26-205,1996,24.0,4,2,1,17,15,0,1,27,12,0,0,0,122,40,45,47.1,Matches
1529,Lyanco,br BRA,DF,Southampton,eng Premier League,26-057,1997,7.8,4,0,0,11,6,0,3,13,10,0,0,0,60,19,9,67.9,Matches
1530,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29-159,1993,11.7,3,0,0,14,9,1,63,15,7,0,0,0,52,17,16,51.5,Matches
1531,Youssouf M'Changama,km COM,MF,Auxerre,fr Ligue 1,32-213,1990,7.2,0,0,0,7,13,0,26,7,7,0,0,0,37,6,1,85.7,Matches
1532,Awer Mabil,au AUS,MFFW,Cádiz,es La Liga,27-196,1995,1.8,0,0,0,0,3,0,9,0,0,0,0,0,6,1,5,16.7,Matches
1533,Alexis Mac Allister,ar ARG,MF,Brighton,eng Premier League,24-096,1998,21.2,6,0,0,23,33,0,18,21,30,0,0,1,156,15,8,65.2,Matches
1534,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,29-209,1993,18.7,4,1,0,34,34,6,47,16,25,1,0,0,92,11,24,31.4,Matches
1535,Darwin Machís,ve VEN,FW,Valladolid,es La Liga,30-051,1993,4.1,1,0,0,7,7,1,25,2,2,0,0,0,18,2,5,28.6,Matches
1536,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,26-127,1996,18.1,8,0,0,20,48,3,77,11,15,0,0,0,63,2,8,20.0,Matches
1537,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21-020,2002,2.0,0,0,0,1,4,1,4,0,3,0,0,0,7,1,2,33.3,Matches
1538,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,25-261,1997,22.1,4,1,0,22,41,4,84,17,30,0,0,0,97,30,22,57.7,Matches
1539,Lisandro Magallán,ar ARG,DF,Elche,es La Liga,29-184,1993,4.5,0,1,0,7,3,0,1,5,4,0,0,0,21,7,5,58.3,Matches
1540,Soungoutou Magassa,ml MLI,MF,Monaco,fr Ligue 1,19-173,2003,0.8,0,0,0,2,0,0,0,1,1,0,0,0,4,1,1,50.0,Matches
1541,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25-018,1998,8.0,2,0,0,13,12,0,2,8,6,0,1,0,63,6,10,37.5,Matches
1542,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27-177,1995,9.0,4,1,0,14,4,0,2,16,12,0,0,0,51,19,15,55.9,Matches
1543,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,24-304,1998,15.3,0,0,0,10,25,0,20,20,24,0,0,0,104,6,13,31.6,Matches
1544,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,25-282,1997,22.7,5,0,0,39,43,3,14,21,45,0,3,0,126,20,32,38.5,Matches
1545,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30-025,1993,5.4,3,0,0,5,2,0,1,7,4,0,0,0,29,12,10,54.5,Matches
1546,Jon Magunacelaya,es ESP,MFFW,Real Sociedad,es La Liga,22-260,2000,0.7,0,0,0,1,1,0,2,0,0,0,0,0,4,0,2,0.0,Matches
1547,Riyad Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,32-037,1991,11.8,2,0,0,7,24,4,52,5,7,0,0,0,47,5,8,38.5,Matches
1548,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24-081,1999,15.0,1,0,0,10,11,0,40,8,17,0,0,0,80,7,13,35.0,Matches
1549,Mike Maignan,fr FRA,GK,Milan,it Serie A,27-270,1995,11.0,0,0,0,0,1,0,0,1,0,0,0,0,20,2,0,100.0,Matches
1550,Linton Maina,de GER,FWMF,Köln,de Bundesliga,23-280,1999,17.0,0,0,0,12,16,16,63,4,10,0,0,0,70,1,13,7.1,Matches
1551,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,17-345,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1552,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,eng Premier League,25-213,1997,10.7,3,0,0,6,7,0,7,13,19,1,0,0,68,11,9,55.0,Matches
1553,Jordan Majchrzak,pl POL,FW,Roma,it Serie A,18-173,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20.0,Matches
1554,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,25-072,1998,11.8,2,0,0,32,19,1,47,16,11,0,0,0,92,4,3,57.1,Matches
1555,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,24-291,1998,8.9,2,0,0,9,13,0,6,9,13,0,0,0,39,5,1,83.3,Matches
1556,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,24-291,1998,6.8,0,0,0,8,15,0,1,8,4,0,0,0,40,3,4,42.9,Matches
1557,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,20-183,2002,2.2,1,0,0,3,1,0,6,0,0,1,0,0,10,3,7,30.0,Matches
1558,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28-063,1995,12.0,1,0,0,14,6,0,7,16,9,0,0,0,54,11,13,45.8,Matches
1559,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,23-225,1999,10.2,3,0,0,24,8,1,13,17,19,0,0,0,57,5,3,62.5,Matches
1560,Lorenzo Malagrida,it ITA,DFMF,Sampdoria,it Serie A,19-157,2003,0.5,2,0,0,3,0,0,1,0,0,0,0,0,6,0,1,0.0,Matches
1561,Daniel Maldini,it ITA,FWMF,Spezia,it Serie A,21-170,2001,5.1,0,0,0,7,10,0,9,1,4,0,0,0,24,10,15,40.0,Matches
1562,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,24-220,1998,3.3,2,0,0,8,3,0,7,1,1,0,0,0,20,3,4,42.9,Matches
1563,Youssef Maleh,it ITA,MF,Lecce,it Serie A,24-220,1998,4.9,3,0,0,17,7,2,5,3,6,0,0,0,30,5,6,45.5,Matches
1564,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,24-070,1999,11.8,0,0,0,10,26,3,43,4,4,1,0,0,31,5,9,35.7,Matches
1565,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,29-330,1993,6.1,2,0,0,10,11,0,23,5,8,0,0,0,57,5,7,41.7,Matches
1566,Ruslan Malinovskyi,ua UKR,MFFW,Marseille,fr Ligue 1,29-330,1993,7.5,3,0,0,12,11,1,25,1,6,0,0,0,46,9,15,37.5,Matches
1567,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,31-281,1991,16.4,4,0,0,33,18,5,44,13,19,0,1,0,76,34,21,61.8,Matches
1568,Mickael Malsa,mq MTQ,MF,Valladolid,es La Liga,27-169,1995,0.8,0,0,0,2,0,0,0,2,2,0,0,0,5,1,1,50.0,Matches
1569,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22-182,2000,26.0,2,0,0,1,2,0,0,1,0,0,1,0,40,5,1,83.3,Matches
1570,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,23-092,1999,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0,Matches
1571,Gianluca Mancini,it ITA,DF,Roma,it Serie A,26-347,1996,24.2,5,0,0,30,21,2,16,37,15,0,0,0,88,47,21,69.1,Matches
1572,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38-002,1985,25.5,1,0,0,1,3,0,0,0,0,0,1,0,44,5,1,83.3,Matches
1573,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29-068,1994,20.6,4,0,0,32,30,0,16,30,43,0,0,0,129,29,20,59.2,Matches
1574,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31-159,1991,5.4,0,0,0,10,6,2,1,11,6,0,0,0,19,5,4,55.6,Matches
1575,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,25-274,1997,15.0,6,0,0,23,14,1,51,10,15,0,0,0,80,30,22,57.7,Matches
1576,Sadio Mané,sn SEN,FW,Bayern Munich,de Bundesliga,30-354,1992,12.0,1,0,0,13,20,19,14,0,3,1,0,0,32,13,12,52.0,Matches
1577,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25-012,1998,8.4,1,0,0,9,12,0,5,11,8,0,0,0,47,7,4,63.6,Matches
1578,Thomas Mangani,fr FRA,MF,Ajaccio,fr Ligue 1,35-335,1987,9.9,3,0,0,20,7,0,61,21,12,0,0,0,74,20,13,60.6,Matches
1579,Vito Mannone,it ITA,GK,Lorient,fr Ligue 1,35-028,1988,14.9,1,0,0,0,1,0,0,0,0,0,0,0,13,2,0,100.0,Matches
1580,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,28-329,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
1581,Myziane Maolida,fr FRA,FWMF,Reims,fr Ligue 1,24-044,1999,1.8,0,0,0,4,1,1,2,2,2,0,0,0,14,1,1,50.0,Matches
1582,Myziane Maolida,fr FRA,FWMF,Hertha BSC,de Bundesliga,24-044,1999,1.1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,1,0.0,Matches
1583,Faitout Maouassa,fr FRA,FWDF,Montpellier,fr Ligue 1,24-267,1998,17.3,0,0,0,25,20,1,68,15,24,0,0,0,71,9,9,50.0,Matches
1584,Sekou Mara,fr FRA,FWMF,Southampton,eng Premier League,20-243,2002,5.0,1,0,0,19,6,3,1,1,10,0,0,0,24,19,37,33.9,Matches
1585,Maranhão,br BRA,FWMF,Valencia,es La Liga,26-161,1996,4.8,2,1,0,9,12,1,0,0,1,0,0,0,9,10,13,43.5,Matches
1586,Marcão,br BRA,DF,Sevilla,es La Liga,26-298,1996,4.0,2,0,0,5,6,0,0,5,2,0,0,0,14,6,4,60.0,Matches
1587,Solly March,eng ENG,FWDF,Brighton,eng Premier League,28-253,1994,23.9,2,0,0,38,34,12,119,20,23,0,0,0,102,25,32,43.9,Matches
1588,Agustín Marchesín,ar ARG,GK,Celta Vigo,es La Liga,35-014,1988,19.0,2,0,0,0,4,0,0,0,0,0,0,0,22,3,0,100.0,Matches
1589,Federico Marchetti,it ITA,GK,Spezia,it Serie A,40-051,1983,0.7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
1590,Vincent Marchetti,fr FRA,MF,Ajaccio,fr Ligue 1,25-269,1997,20.4,5,0,0,23,28,0,4,15,22,1,0,0,134,3,11,21.4,Matches
1591,Riccardo Marchizza,it ITA,DF,Sassuolo,it Serie A,25-004,1998,2.0,0,0,0,4,0,1,8,1,2,0,0,0,6,4,2,66.7,Matches
1592,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31-043,1992,19.0,5,0,0,18,24,0,1,20,15,0,2,0,79,32,16,66.7,Matches
1593,Emiliano Marcondes,dk DEN,MF,Bournemouth,eng Premier League,28-021,1995,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
1594,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,33-350,1989,21.9,4,0,0,30,11,2,89,21,20,0,0,1,133,16,16,50.0,Matches
1595,José Mari,es ESP,MF,Cádiz,es La Liga,35-114,1987,3.6,2,0,0,5,7,0,1,5,7,0,0,0,32,4,6,40.0,Matches
1596,Pablo Marí,es ESP,DF,Monza,it Serie A,29-211,1993,18.6,3,0,0,16,8,0,1,17,12,0,0,0,94,36,17,67.9,Matches
1597,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28-069,1995,15.9,7,0,0,12,5,0,0,18,11,0,1,0,89,33,15,68.8,Matches
1598,Mariano,do DOM,FW,Real Madrid,es La Liga,29-241,1993,0.6,2,0,0,3,0,1,0,0,0,0,0,0,4,1,1,50.0,Matches
1599,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,19-270,2003,3.8,1,0,0,12,2,0,3,4,5,0,0,0,19,4,7,36.4,Matches
1600,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,26-311,1996,20.5,6,0,0,26,13,0,90,12,18,0,1,0,118,9,8,52.9,Matches
1601,Diego Mariño,es ESP,GK,Almería,es La Liga,32-325,1990,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1602,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,28-328,1994,17.5,3,1,1,19,4,0,0,29,20,0,2,0,97,39,28,58.2,Matches
1603,Marlon,br BRA,DF,Monza,it Serie A,27-204,1995,13.5,5,0,0,16,4,0,3,18,16,0,0,1,55,29,13,69.0,Matches
1604,Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,24-051,1999,13.1,2,0,0,22,27,7,19,6,10,0,0,0,67,35,36,49.3,Matches
1605,Marquinhos,br BRA,MF,Arsenal,eng Premier League,19-357,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1606,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,28-320,1994,22.1,2,0,0,12,8,0,0,20,15,0,0,1,127,23,19,54.8,Matches
1607,Luca Marrone,it ITA,DF,Monza,it Serie A,33-002,1990,1.5,0,0,0,1,2,0,0,0,0,0,0,0,8,4,5,44.4,Matches
1608,Eric Martel,de GER,MF,Köln,de Bundesliga,20-335,2002,15.0,3,0,0,25,21,0,14,20,25,0,0,0,104,38,33,53.5,Matches
1609,Roger Martí,es ESP,FW,Elche,es La Liga,32-086,1991,7.3,2,0,0,16,11,4,5,1,2,0,0,0,27,6,12,33.3,Matches
1610,Roger Martí,es ESP,FW,Cádiz,es La Liga,32-086,1991,5.6,1,0,0,19,10,7,0,0,3,0,0,0,19,9,17,34.6,Matches
1611,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,27-115,1995,5.1,0,0,0,4,3,3,3,1,0,1,0,0,5,5,3,62.5,Matches
1612,Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,25-342,1997,16.5,1,0,0,18,9,2,126,13,22,0,0,0,77,1,8,11.1,Matches
1613,Ander Martin,es ESP,MFFW,Real Sociedad,es La Liga,22-134,2000,0.5,0,0,0,2,0,0,4,0,2,0,0,0,5,1,3,25.0,Matches
1614,Andrés Martín,es ESP,FWMF,Rayo Vallecano,es La Liga,23-262,1999,1.6,1,0,0,4,3,0,11,0,2,0,0,0,9,2,1,66.7,Matches
1615,Carlos Martín,es ESP,DF,Atlético Madrid,es La Liga,20-342,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1616,Iván Martín,es ESP,MF,Girona,es La Liga,24-044,1999,7.7,0,0,0,9,3,2,6,2,3,1,0,0,33,6,9,40.0,Matches
