,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-174,1998,21.5,3,0,0,14,3,4,181,30,29,0,0,0,155,13,8,61.9,Matches
70,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-288,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Matches
71,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-280,1999,11.2,3,0,0,27,9,0,9,3,11,0,0,0,58,7,19,26.9,Matches
72,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-070,2004,4.0,1,0,0,7,8,2,19,2,3,1,0,0,21,1,9,10.0,Matches
73,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-255,2001,1.5,0,0,0,7,1,2,2,1,4,0,0,0,12,2,7,22.2,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,30-179,1992,26.0,0,0,0,1,4,0,0,0,0,0,0,0,45,4,1,80.0,Matches
75,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-031,1995,18.4,2,0,0,15,43,1,51,15,21,0,0,0,109,6,12,33.3,Matches
76,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-353,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Matches
77,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-304,2000,17.7,2,0,0,19,25,0,59,12,28,0,0,0,102,10,19,34.5,Matches
78,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-048,1994,22.0,2,0,0,17,27,9,20,7,25,0,0,0,111,5,9,35.7,Matches
79,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-092,1990,7.6,1,0,0,7,4,0,11,10,6,0,1,0,40,12,8,60.0,Matches
80,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-261,1989,12.4,1,0,0,15,11,0,26,29,20,0,0,0,79,28,20,58.3,Matches
81,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-030,1993,2.1,2,0,0,3,0,0,1,3,3,0,0,0,15,2,1,66.7,Matches
82,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-236,2003,0.1,1,0,0,1,0,0,0,0,1,,,0,,,,,Matches
83,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-006,2000,10.0,5,1,0,17,9,0,12,10,16,0,1,0,32,22,19,53.7,Matches
84,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-058,2000,8.3,0,0,0,13,7,2,11,1,8,0,0,0,23,5,14,26.3,Matches
85,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-315,2001,3.5,1,0,0,7,4,2,2,3,2,0,0,0,18,8,10,44.4,Matches
86,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-065,1995,20.1,5,1,0,18,19,1,9,38,17,0,1,0,141,40,30,57.1,Matches
87,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-358,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5,Matches
88,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-135,1996,0.6,0,1,0,1,2,1,0,1,3,0,0,0,4,2,5,28.6,Matches
89,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-099,1994,16.9,1,0,0,7,3,0,0,8,6,0,1,0,98,29,25,53.7,Matches
90,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-257,1996,6.5,2,0,0,19,9,3,8,3,10,1,0,0,32,3,5,37.5,Matches
91,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-021,1994,2.1,2,1,1,2,2,1,6,4,2,0,0,0,15,8,3,72.7,Matches
92,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-298,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
93,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-050,1998,16.7,4,0,0,24,2,1,17,18,22,0,1,0,72,22,24,47.8,Matches
94,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-086,2002,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0,Matches
95,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-086,2002,14.8,7,0,0,15,8,0,5,17,25,0,1,0,87,49,30,62.0,Matches
96,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-154,1996,8.0,3,0,0,11,20,3,11,4,3,0,0,0,49,1,10,9.1,Matches
97,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-197,2000,20.1,5,0,0,28,15,1,10,26,29,0,1,0,136,46,32,59.0,Matches
98,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-221,1996,18.4,9,0,0,37,26,0,23,19,17,0,0,0,138,11,10,52.4,Matches
99,Ayoub Amraoui,ma MAR,DFFW,Nice,fr Ligue 1,18-320,2004,2.6,0,0,0,2,2,0,14,4,3,0,0,0,10,0,1,0.0,Matches
100,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-303,1996,21.4,6,0,0,19,14,1,6,21,11,0,0,1,119,54,20,73.0,Matches
101,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,eng Premier League,20-144,2002,2.1,0,0,0,3,8,1,3,2,5,0,0,0,16,6,3,66.7,Matches
102,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-349,1993,23.4,1,0,0,27,24,7,30,16,33,0,0,0,98,10,19,34.5,Matches
103,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-239,1990,24.5,8,0,0,45,31,1,9,31,52,1,0,0,207,72,46,61.0,Matches
104,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-272,1995,15.3,3,0,0,14,40,6,1,8,5,1,0,0,36,43,55,43.9,Matches
105,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-189,1994,20.7,6,0,0,31,12,0,4,29,29,0,0,1,115,38,34,52.8,Matches
106,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-085,1997,21.0,2,0,0,10,21,6,137,16,15,0,0,0,108,10,19,34.5,Matches
