,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,18.9,23,1.21,18,1,0,4,0,0,3,0.16,2,0,0,1,0,0,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,4.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,7.2,16,2.23,14,2,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,0.5,4,7.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,14.4,50,3.46,39,9,0,0,2,0,4,0.28,2,2,0,0,0,0,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,19.9,42,2.11,30,1,5,3,3,0,3,0.15,2,0,0,0,1,0,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,9.7,6,0.62,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-338,1993,9.6,15,1.56,12,1,0,1,1,0,2,0.21,2,0,0,0,0,0,Matches
36,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,21-001,2002,1.0,2,1.94,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,15.5,38,2.45,31,0,3,2,1,1,7,0.45,7,0,0,0,0,0,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,22,1.87,16,1,0,0,2,3,2,0.17,2,0,0,0,0,0,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,7,0.27,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,26,2.90,20,2,3,0,1,0,3,0.33,2,0,1,0,0,0,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,23,2.01,14,2,4,1,2,0,0,0.00,0,0,0,0,0,0,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,10,0.69,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-033,1994,8.6,22,2.57,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-033,1994,7.2,22,3.07,17,0,0,3,2,0,3,0.42,2,0,0,1,0,0,Matches
47,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-254,1995,18.1,19,1.05,18,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-040,1995,16.8,20,1.19,17,1,0,2,0,0,2,0.12,2,0,0,0,0,0,Matches
49,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-104,1997,23.5,34,1.45,27,1,1,3,0,2,2,0.09,1,0,1,0,0,0,Matches
50,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,21-033,2002,3.4,5,1.47,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-100,1997,3.1,1,0.32,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-170,1992,10.2,19,1.85,12,0,2,1,1,3,1,0.10,1,0,0,0,0,0,Matches
53,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-345,1995,15.3,16,1.04,13,0,3,0,0,0,1,0.07,1,0,0,0,0,0,Matches
54,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-279,1992,17.2,25,1.46,21,3,0,1,0,0,4,0.23,3,0,0,1,0,0,Matches
55,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-319,2004,0.3,1,3.60,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
56,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-070,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
57,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,de Bundesliga,30-173,1992,3.3,8,2.43,6,0,1,1,0,0,2,0.61,1,0,0,1,0,0,Matches
58,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-009,1989,11.1,42,3.79,38,2,1,1,0,0,4,0.36,4,0,0,0,0,0,Matches
59,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-183,1992,16.4,59,3.61,38,18,0,3,0,0,7,0.43,6,1,0,0,0,0,Matches
60,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-207,1985,22.4,12,0.54,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-132,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-353,1991,12.8,39,3.04,31,0,3,1,1,3,2,0.16,2,0,0,0,0,0,Matches
63,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-120,2002,3.6,12,3.30,6,0,2,2,2,0,1,0.28,0,0,0,1,0,0,Matches
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-333,1991,14.0,26,1.86,18,6,0,1,1,0,2,0.14,2,0,0,0,0,0,Matches
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-094,1996,12.0,14,1.17,14,0,0,0,0,0,2,0.17,2,0,0,0,0,0,Matches
66,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-048,1995,9.2,23,2.50,17,1,1,2,2,0,0,0.00,0,0,0,0,0,0,Matches
67,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-152,2002,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-084,1998,17.6,35,1.99,24,1,0,2,8,0,3,0.17,3,0,0,0,0,0,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-174,1998,21.5,80,3.72,50,25,1,4,0,0,6,0.28,5,1,0,0,0,0,Matches
70,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-288,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-280,1999,11.2,13,1.17,11,0,0,2,0,0,1,0.09,1,0,0,0,0,0,Matches
72,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-070,2004,4.0,13,3.23,8,0,2,1,1,1,2,0.50,2,0,0,0,0,0,Matches
73,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-255,2001,1.5,5,3.26,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,30-179,1992,26.0,3,0.12,3,0,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
75,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-031,1995,18.4,35,1.90,28,1,3,1,2,0,1,0.05,0,0,0,1,0,0,Matches
76,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-353,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-304,2000,17.7,54,3.05,41,8,1,1,1,2,4,0.23,3,1,0,0,0,0,Matches
78,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-048,1994,22.0,66,3.00,48,2,7,6,3,0,10,0.46,4,1,4,1,0,0,Matches
79,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-092,1990,7.6,9,1.19,9,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
80,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-261,1989,12.4,17,1.37,13,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
81,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-030,1993,2.1,8,3.73,6,1,0,0,0,1,1,0.47,1,0,0,0,0,0,Matches
82,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-236,2003,0.1,,,,,,,,,,,,,,,,,Matches
83,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-006,2000,10.0,11,1.10,7,4,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
84,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-058,2000,8.3,27,3.24,21,0,2,3,1,0,0,0.00,0,0,0,0,0,0,Matches
85,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-315,2001,3.5,6,1.73,2,0,1,2,1,0,2,0.58,1,0,0,1,0,0,Matches
86,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-065,1995,20.1,23,1.15,19,1,0,1,1,1,2,0.10,2,0,0,0,0,0,Matches
87,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-358,1993,4.7,3,0.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-135,1996,0.6,3,5.00,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-099,1994,16.9,15,0.89,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
90,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-257,1996,6.5,15,2.29,8,0,3,2,1,1,2,0.31,0,0,1,0,1,0,Matches
91,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-021,1994,2.1,2,0.93,2,0,0,0,0,0,1,0.47,1,0,0,0,0,0,Matches
92,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-298,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-050,1998,16.7,25,1.50,20,1,0,2,0,2,2,0.12,1,0,0,1,0,0,Matches
94,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-086,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-086,2002,14.8,9,0.61,6,0,0,3,0,0,2,0.14,1,0,0,1,0,0,Matches
96,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-154,1996,8.0,29,3.62,19,2,3,1,4,0,5,0.62,3,0,1,0,1,0,Matches
97,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-197,2000,20.1,29,1.44,25,0,0,2,1,1,4,0.20,4,0,0,0,0,0,Matches
98,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-221,1996,18.4,33,1.79,30,0,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
99,Ayoub Amraoui,ma MAR,DFFW,Nice,fr Ligue 1,18-320,2004,2.6,3,1.15,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-303,1996,21.4,12,0.56,11,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches
101,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,eng Premier League,20-144,2002,2.1,11,5.24,6,0,1,0,4,0,0,0.00,0,0,0,0,0,0,Matches
102,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-349,1993,23.4,70,2.99,56,1,8,3,2,0,9,0.38,5,0,3,1,0,0,Matches
103,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-239,1990,24.5,59,2.41,53,0,0,3,2,1,6,0.24,5,0,0,0,1,0,Matches
104,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-272,1995,15.3,30,1.96,25,0,1,2,2,0,4,0.26,2,0,0,2,0,0,Matches
105,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-189,1994,20.7,33,1.59,28,0,0,3,0,2,3,0.14,2,0,0,0,0,1,Matches
106,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-085,1997,21.0,70,3.33,47,16,1,2,3,1,7,0.33,5,1,0,1,0,0,Matches
107,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29-015,1994,6.0,5,0.83,3,0,1,0,0,1,2,0.33,1,0,0,0,0,1,Matches
108,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-119,1999,11.2,32,2.87,24,3,2,1,1,1,2,0.18,1,0,0,0,1,0,Matches
109,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-224,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-253,1996,24.1,29,1.20,19,4,2,4,0,0,2,0.08,1,0,0,1,0,0,Matches
111,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-290,2000,3.5,2,0.58,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-002,1990,12.5,28,2.23,17,0,5,3,3,0,6,0.48,3,0,2,1,0,0,Matches
113,Antony,br BRA,FWMF,Manchester Utd,eng Premier League,23-034,2000,11.9,35,2.94,31,0,1,1,2,0,1,0.08,1,0,0,0,0,0,Matches
114,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-141,2000,2.2,2,0.91,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0,Matches
115,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-051,1994,13.5,52,3.85,29,9,4,3,7,0,10,0.74,5,1,2,0,2,0,Matches
116,Anuar,ma MAR,MFFW,Valladolid,es La Liga,28-074,1995,2.3,4,1.71,2,0,1,0,0,1,1,0.43,0,0,1,0,0,0,Matches
117,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-273,1998,4.9,11,2.22,7,0,2,2,0,0,2,0.40,2,0,0,0,0,0,Matches
118,Adil Aouchiche,fr FRA,MFFW,Lorient,fr Ligue 1,20-258,2002,1.2,4,3.33,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Dennis Appiah,fr FRA,DFMF,Nantes,fr Ligue 1,30-294,1992,8.8,11,1.25,8,1,2,0,0,0,1,0.11,1,0,0,0,0,0,Matches
120,Stredair Appuah,fr FRA,MF,Nantes,fr Ligue 1,18-276,2004,0.1,1,9.00,1,0,0,0,0,0,1,9.00,1,0,0,0,0,0,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-181,1995,9.2,23,2.51,8,12,1,1,0,1,3,0.33,2,1,0,0,0,0,Matches
122,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-347,1989,5.5,10,1.83,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-023,1999,12.5,10,0.80,8,0,0,2,0,0,3,0.24,2,0,0,1,0,0,Matches
124,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-252,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-138,2003,1.4,3,2.11,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
126,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-031,1993,3.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
127,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-252,1996,12.2,26,2.14,22,0,1,1,1,1,1,0.08,0,0,1,0,0,0,Matches
128,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-048,1997,12.3,18,1.46,17,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
129,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,31-000,1992,11.1,41,3.68,32,0,0,5,4,0,1,0.09,0,0,0,0,1,0,Matches
130,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-345,1989,13.7,35,2.55,28,0,2,2,3,0,4,0.29,2,0,1,0,1,0,Matches
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-307,1994,23.2,67,2.89,34,29,1,2,1,0,7,0.30,4,2,0,1,0,0,Matches
132,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18-358,2004,0.0,1,90.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
133,Sergio Arribas,es ESP,FW,Real Madrid,es La Liga,21-181,2001,0.1,2,18.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-178,1994,18.5,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-217,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-226,1990,10.3,35,3.39,21,5,3,1,4,1,0,0.00,0,0,0,0,0,0,Matches
137,Ricard Artero,es ESP,FW,Girona,es La Liga,20-053,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Arthur,br BRA,FW,Fiorentina,it Serie A,24-339,1998,10.3,26,2.52,20,0,1,2,3,0,1,0.10,1,0,0,0,0,0,Matches
139,Santiago Arzamendia,py PAR,DFMF,Cádiz,es La Liga,24-329,1998,4.3,9,2.08,6,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,28-140,1994,11.2,30,2.68,19,1,2,2,6,0,5,0.45,3,0,1,1,0,0,Matches
141,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-033,1997,8.1,25,3.09,17,1,0,7,0,0,3,0.37,1,0,0,2,0,0,Matches
142,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-275,1989,9.0,2,0.22,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,27-068,1996,7.8,32,4.10,20,6,3,2,1,0,6,0.77,2,1,2,0,1,0,Matches
144,Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,22-080,2001,6.9,14,2.02,8,4,0,0,2,0,1,0.14,1,0,0,0,0,0,Matches
145,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,20-234,2002,1.6,8,5.00,6,0,0,0,1,1,1,0.62,1,0,0,0,0,0,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-021,2002,3.3,7,2.14,3,2,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
147,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35-241,1987,24.4,103,4.23,83,4,3,5,7,1,6,0.25,6,0,0,0,0,0,Matches
148,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22-281,2000,2.2,3,1.38,3,0,0,0,0,0,1,0.46,1,0,0,0,0,0,Matches
149,Youcef Atal,dz ALG,DFMF,Nice,fr Ligue 1,26-317,1996,7.1,26,3.67,19,0,3,2,2,0,2,0.28,1,0,1,0,0,0,Matches
150,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-217,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-285,1989,4.9,6,1.22,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-285,1989,0.1,1,10.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
153,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-071,1997,25.0,5,0.20,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-212,1994,23.0,46,2.00,39,4,1,1,0,1,4,0.17,4,0,0,0,0,0,Matches
155,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-343,1994,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28-343,1994,1.3,2,1.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,30-096,1992,15.9,22,1.38,18,1,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
158,Mathias Autret,fr FRA,MFFW,Auxerre,fr Ligue 1,32-029,1991,14.0,52,3.72,33,12,3,3,0,1,7,0.50,3,2,0,2,0,0,Matches
159,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,29-052,1994,16.3,37,2.27,26,2,2,4,2,1,2,0.12,1,0,0,1,0,0,Matches
160,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-200,1986,16.2,3,0.18,1,1,0,1,0,0,1,0.06,0,0,0,1,0,0,Matches
161,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-230,1997,8.1,17,2.10,12,0,1,1,2,1,1,0.12,0,0,0,1,0,0,Matches
162,Mehmet Aydin,de GER,DFFW,Schalke 04,de Bundesliga,21-049,2002,5.4,10,1.87,7,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
163,André Ayew,gh GHA,FW,Nott'ham Forest,eng Premier League,33-103,1989,2.5,2,0.79,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
