,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1402,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,24-066,1999,27.0,882,612,269,76,0,9,0,0,0,0,0,0,618,1,2,Matches
1403,Aïssa Laïdouni,tn TUN,MF,Union Berlin,de Bundesliga,26-107,1996,4.6,156,152,4,1,1,2,3,0,0,0,0,0,114,0,6,Matches
1404,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,25-307,1997,10.5,475,453,19,12,4,1,7,7,0,0,0,0,373,3,18,Matches
1405,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,30-215,1992,3.8,265,230,34,5,1,0,4,29,0,0,0,0,214,1,6,Matches
1406,Kenny Lala,fr FRA,DF,Brest,fr Ligue 1,31-178,1991,6.7,361,266,94,28,1,5,32,54,12,5,7,0,261,1,9,Matches
1407,Adam Lallana,eng ENG,MFFW,Brighton,eng Premier League,34-324,1988,8.0,317,304,11,2,0,0,3,2,1,0,0,0,262,2,5,Matches
1408,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,32-364,1990,6.8,239,229,10,5,0,1,0,5,0,0,0,0,163,0,1,Matches
1409,Érik Lamela,ar ARG,FWMF,Sevilla,es La Liga,31-026,1992,14.4,559,529,22,2,1,0,22,4,13,4,3,0,429,8,19,Matches
1410,Mohamed Lamine Bayo,gn GUI,FWMF,Lille,fr Ligue 1,24-299,1998,5.4,99,91,8,0,0,0,2,0,0,0,0,0,58,0,3,Matches
1411,Sam Lammers,nl NED,FW,Sampdoria,it Serie A,25-334,1997,7.8,165,161,4,0,1,0,2,1,0,0,0,0,110,0,6,Matches
1412,Sam Lammers,nl NED,FW,Empoli,it Serie A,25-334,1997,9.8,230,226,3,0,0,0,4,0,0,0,0,0,143,1,8,Matches
1413,Tariq Lamptey,gh GHA,DF,Brighton,eng Premier League,22-181,2000,5.0,302,258,44,5,1,1,31,39,0,0,0,0,239,0,6,Matches
1414,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,30-043,1993,1.7,100,98,2,0,0,0,1,0,0,0,0,0,83,0,2,Matches
1415,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,28-307,1994,6.2,482,471,10,4,1,3,4,6,0,0,0,0,441,1,2,Matches
1416,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29-146,1993,17.1,731,714,15,9,0,9,0,2,0,0,0,0,621,2,6,Matches
1417,Cyle Larin,ca CAN,FW,Valladolid,es La Liga,27-347,1995,5.7,76,74,2,0,1,1,1,0,0,0,0,0,49,0,8,Matches
1418,Juan Larios,es ESP,DF,Southampton,eng Premier League,19-077,2004,1.7,82,59,23,0,0,0,4,23,0,0,0,0,63,0,2,Matches
1419,Yasser Larouci,dz ALG,DFFW,Troyes,fr Ligue 1,22-088,2001,13.2,568,460,105,7,4,0,34,97,0,0,0,0,435,3,14,Matches
1420,Jordan Larsson,se SWE,FWMF,Schalke 04,de Bundesliga,25-283,1997,5.1,117,112,5,1,0,1,2,2,2,1,1,0,87,0,5,Matches
1421,Kevin Lasagna,it ITA,FWMF,Hellas Verona,it Serie A,30-232,1992,14.2,219,201,13,1,0,1,10,1,0,0,0,0,131,5,13,Matches
1422,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29-139,1993,2.2,79,79,0,0,0,0,0,0,0,0,0,0,65,0,0,Matches
1423,Latasa,es ESP,FWDF,Getafe,es La Liga,22-007,2001,1.4,41,40,0,0,0,1,0,0,0,0,0,0,22,1,1,Matches
1424,Toni Lato,es ESP,DFMF,Valencia,es La Liga,25-129,1997,7.3,347,303,43,7,1,2,22,27,9,2,4,0,283,1,6,Matches
1425,Danny Latza,de GER,MF,Schalke 04,de Bundesliga,33-113,1989,5.1,220,200,20,6,0,2,13,2,6,4,1,0,173,0,7,Matches
1426,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,24-116,1998,18.2,608,549,59,15,2,3,90,7,36,22,7,0,438,0,19,Matches
1427,Armand Lauriente,fr FRA,FW,Lorient,fr Ligue 1,24-116,1998,3.0,95,92,3,1,2,0,6,0,2,1,1,0,73,0,1,Matches
1428,Roméo Lavia,be BEL,MF,Southampton,eng Premier League,19-083,2004,15.2,605,599,6,3,3,6,2,0,3,0,0,2,525,0,12,Matches
1429,Lázaro,br BRA,MFFW,Almería,es La Liga,21-018,2002,3.3,120,113,7,1,0,4,7,1,2,2,0,0,91,0,3,Matches
1430,Valentino Lazaro,at AUT,DF,Torino,it Serie A,27-006,1996,11.8,695,525,168,20,0,1,65,115,33,9,15,1,524,2,16,Matches
1431,Marko Lazetić,rs SRB,FW,Milan,it Serie A,19-067,2004,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
1432,Darko Lazović,rs SRB,MFDF,Hellas Verona,it Serie A,32-196,1990,19.9,670,573,88,9,5,1,96,45,33,12,15,0,425,9,29,Matches
1433,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29-121,1993,15.5,849,707,140,12,0,1,22,128,0,0,0,0,748,2,15,Matches
1434,Théo Le Bris,fr FRA,MFDF,Lorient,fr Ligue 1,20-180,2002,13.1,468,426,40,4,0,0,11,32,0,0,0,0,372,2,16,Matches
1435,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,25-239,1997,1.6,112,93,19,0,0,0,10,19,0,0,0,0,82,0,3,Matches
1436,Jérémy Le Douaron,fr FRA,FWMF,Brest,fr Ligue 1,24-343,1998,14.4,238,227,8,0,1,1,17,0,0,0,0,0,161,3,10,Matches
1437,Enzo Le Fée,fr FRA,MF,Lorient,fr Ligue 1,23-055,2000,26.9,1686,1480,201,88,10,12,111,7,78,31,32,2,1358,5,41,Matches
1438,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,33-166,1989,27.0,1448,1175,269,44,2,1,35,225,0,0,0,0,1193,4,24,Matches
1439,Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,33-170,1989,17.4,985,924,59,31,0,13,11,14,0,0,0,0,773,2,9,Matches
1440,Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,26-139,1996,21.1,1186,1129,56,43,1,2,1,3,0,0,0,0,1060,1,1,Matches
1441,Rafael Leão,pt POR,FWMF,Milan,it Serie A,23-293,1999,20.4,582,555,24,2,4,15,47,18,4,0,0,0,412,3,23,Matches
1442,Paolo Lebas,pt POR,MF,Ajaccio,fr Ligue 1,19-344,2003,0.6,16,15,1,1,0,0,0,0,0,0,0,0,12,0,0,Matches
1443,Benjamin Lecomte,fr FRA,GK,Espanyol,es La Liga,31-338,1991,10.0,275,149,123,43,0,2,0,0,0,0,0,0,179,3,0,Matches
1444,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,31-338,1991,9.0,289,190,99,28,0,2,0,0,0,0,0,0,200,0,0,Matches
1445,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30-045,1993,25.0,835,502,329,116,0,2,0,0,0,0,0,0,421,4,0,Matches
1446,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,29-309,1993,21.7,1006,957,48,42,4,23,26,5,1,1,0,0,833,1,13,Matches
1447,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24-066,1999,19.3,1078,1021,55,28,0,6,2,4,0,0,0,0,846,2,12,Matches
1448,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,24-316,1998,7.4,328,319,9,6,0,2,0,1,0,0,0,0,249,0,2,Matches
1449,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,31-314,1991,22.5,1155,1085,65,55,1,34,6,5,4,4,0,0,912,5,9,Matches
1450,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,29-330,1993,13.9,779,645,132,16,0,4,42,114,2,0,1,0,604,2,16,Matches
1451,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,27-138,1995,9.4,562,533,28,7,4,5,33,7,13,4,7,0,480,1,10,Matches
1452,Félix Lemaréchal,ci CIV,MF,Brest,fr Ligue 1,19-235,2003,1.6,41,41,0,0,0,0,0,0,0,0,0,0,35,0,1,Matches
1453,Dexter Lembikisa,jm JAM,DF,Wolves,eng Premier League,19-146,2003,0.3,13,12,1,0,0,0,1,1,0,0,0,0,10,0,2,Matches
1454,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29-210,1993,6.6,324,321,3,3,0,3,1,0,0,0,0,0,284,0,5,Matches
1455,Mario Lemina,ga GAB,MFDF,Nice,fr Ligue 1,29-210,1993,9.3,637,629,5,5,1,6,2,0,0,0,0,0,569,3,4,Matches
1456,Tim Lemperle,de GER,FWMF,Köln,de Bundesliga,21-053,2002,1.3,47,45,1,0,2,0,1,0,0,0,0,0,26,1,3,Matches
1457,Clément Lenglet,fr FRA,DF,Tottenham,eng Premier League,27-286,1995,15.2,1009,990,19,15,1,11,14,4,0,0,0,0,874,0,10,Matches
1458,Bernd Leno,de GER,GK,Fulham,eng Premier League,31-026,1992,25.0,942,677,263,83,0,2,0,0,0,0,0,0,736,2,0,Matches
1459,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28-189,1994,8.4,449,343,105,16,0,3,60,68,21,11,7,0,331,1,9,Matches
1460,Sergio León,es ESP,FW,Valladolid,es La Liga,34-083,1989,11.6,162,137,22,0,0,5,6,2,0,0,0,0,107,3,6,Matches
1461,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20-159,2002,17.5,1093,1079,14,10,2,4,7,4,0,0,0,0,974,0,18,Matches
1462,Mehdi Léris,dz ALG,MFDF,Sampdoria,it Serie A,24-311,1998,20.0,677,639,32,2,4,5,44,30,0,0,0,0,447,6,32,Matches
1463,Jefferson Lerma,co COL,MFDF,Bournemouth,eng Premier League,28-156,1994,25.3,1083,1040,43,33,4,3,6,8,0,0,0,0,880,0,20,Matches
1464,Benjamin Leroy,fr FRA,GK,Ajaccio,fr Ligue 1,33-357,1989,24.1,658,399,254,101,0,0,0,0,0,0,0,0,401,5,0,Matches
1465,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23-044,2000,9.1,389,379,6,5,3,6,8,0,1,0,0,0,289,4,9,Matches
1466,Ruan Levine,br BRA,MF,Ajaccio,fr Ligue 1,24-070,1999,0.3,13,13,0,0,0,0,0,0,0,0,0,0,12,0,1,Matches
1467,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34-221,1988,19.6,492,477,8,3,9,4,14,0,0,0,0,0,378,7,17,Matches
1468,Jamie Leweling,de GER,FW,Union Berlin,de Bundesliga,22-032,2001,1.9,33,32,1,0,0,0,5,0,0,0,0,0,24,0,1,Matches
1469,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,25-064,1998,0.1,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches
1470,Rico Lewis,eng ENG,DFMF,Manchester City,eng Premier League,18-129,2004,6.0,423,395,27,4,0,0,5,23,0,0,0,0,389,1,6,Matches
1471,Keane Lewis-Potter,eng ENG,FWMF,Brentford,eng Premier League,22-036,2001,3.6,86,83,3,0,1,1,8,2,0,0,0,0,49,0,3,Matches
1472,Dimitri Liénard,fr FRA,DFMF,Strasbourg,fr Ligue 1,35-045,1988,16.3,927,740,183,37,0,12,112,97,47,15,26,0,682,4,17,Matches
1473,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,26-262,1996,22.3,1359,1286,70,41,3,15,1,4,0,0,0,0,1158,3,8,Matches
1474,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23-230,1999,17.8,1391,1360,27,24,0,14,1,2,0,0,0,0,1265,4,5,Matches
1475,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28-256,1994,6.0,391,385,6,5,0,0,0,0,0,0,0,0,361,0,0,Matches
1476,Jesper Lindstrøm,dk DEN,MFFW,Eint Frankfurt,de Bundesliga,23-029,2000,17.0,463,418,42,7,4,0,45,7,24,14,6,0,292,3,23,Matches
1477,Karol Linetty,pl POL,MF,Torino,it Serie A,28-056,1995,17.8,808,763,41,27,3,9,15,1,13,3,7,0,690,4,8,Matches
1478,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,eng Premier League,30-105,1992,10.2,297,271,24,7,1,4,5,8,0,0,0,0,236,2,5,Matches
1479,Pol Lirola,es ESP,DF,Elche,es La Liga,25-229,1997,6.3,288,235,53,4,0,3,29,49,0,0,0,0,208,0,10,Matches
1480,Mateusz Lis,pl POL,GK,Troyes,fr Ligue 1,26-031,1997,7.0,263,169,94,29,0,0,0,0,0,0,0,0,181,0,0,Matches
1481,Marcin Listkowski,pl POL,MFFW,Lecce,it Serie A,25-048,1998,0.9,24,23,1,0,0,0,3,1,0,0,0,0,16,0,0,Matches
1482,Dejan Ljubicic,at AUT,MF,Köln,de Bundesliga,25-173,1997,12.7,390,379,9,0,2,1,24,2,2,1,1,0,287,2,12,Matches
1483,Javier Llabrés,es ESP,FW,Mallorca,es La Liga,20-200,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
1484,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,29-226,1993,7.2,429,417,11,10,0,4,1,0,0,0,0,0,356,1,2,Matches
1485,Diego Llorente,es ESP,DF,Roma,it Serie A,29-226,1993,0.4,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
1486,Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,28-059,1995,15.9,666,618,46,0,1,4,36,46,0,0,0,0,539,2,22,Matches
1487,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,36-094,1986,21.0,625,443,179,16,0,0,0,0,0,0,0,0,493,3,1,Matches
1488,Giovani Lo Celso,ar ARG,MFFW,Villarreal,es La Liga,26-355,1996,6.1,288,273,14,3,1,3,5,3,7,2,0,0,242,1,7,Matches
1489,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28-125,1994,25.2,1664,1638,24,19,0,11,0,1,0,0,0,0,1570,2,7,Matches
1490,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25-081,1998,19.9,1007,962,43,34,0,17,9,4,4,0,3,0,815,2,22,Matches
1491,Luka Lochoshvili,ge GEO,DF,Cremonese,it Serie A,24-305,1998,13.3,535,510,24,19,0,1,5,5,0,0,0,0,419,1,5,Matches
1492,Banzouzi Locko,fr FRA,DF,Reims,fr Ligue 1,20-328,2002,11.8,470,361,106,5,1,3,13,101,0,0,0,0,362,3,10,Matches
1493,Banzouzi Locko,fr FRA,DF,Brest,fr Ligue 1,20-328,2002,1.5,66,53,13,0,0,0,2,13,0,0,0,0,56,0,0,Matches
1494,Renan Lodi,br BRA,DF,Nott'ham Forest,eng Premier League,24-356,1998,16.9,686,529,155,32,0,3,54,116,7,4,2,0,480,2,18,Matches
1495,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,27-066,1996,14.0,728,684,39,10,1,6,12,29,0,0,0,0,619,5,18,Matches
1496,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25-151,1997,22.4,922,890,28,3,7,5,26,3,2,0,0,0,733,4,24,Matches
1497,Ademola Lookman,ng NGA,FWMF,Atalanta,it Serie A,25-161,1997,17.1,575,530,44,7,5,2,37,10,16,2,7,0,433,1,23,Matches
1498,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32-180,1990,21.3,633,440,190,58,0,1,0,0,0,0,0,0,491,3,0,Matches
1499,Rony Lopes,pt POR,MFFW,Troyes,fr Ligue 1,27-092,1995,19.2,646,549,93,27,3,8,82,3,50,20,17,0,444,4,24,Matches
1500,David López,es ESP,DF,Girona,es La Liga,33-172,1989,12.9,830,788,39,29,0,5,0,2,0,0,0,0,746,3,3,Matches
1501,Diego López,es ESP,GK,Rayo Vallecano,es La Liga,41-147,1981,1.0,29,21,8,0,0,0,0,0,0,0,0,0,22,0,0,Matches
1502,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25-116,1997,16.8,1024,990,32,25,2,8,14,2,5,1,1,0,892,2,9,Matches
1503,Pau López,es ESP,GK,Marseille,fr Ligue 1,28-107,1994,24.0,802,608,192,57,1,3,0,0,0,0,0,0,621,2,2,Matches
1504,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27-151,1995,10.1,684,613,64,33,0,15,38,5,21,7,6,1,551,7,13,Matches
1505,Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,21-056,2002,12.9,612,601,9,7,0,8,5,1,1,0,0,0,519,2,7,Matches
1506,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37-020,1986,22.4,742,735,5,5,3,3,9,0,0,0,0,0,506,2,13,Matches
1507,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24-182,1998,21.5,1109,923,184,14,2,0,38,170,0,0,0,0,921,2,30,Matches
1508,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23-044,2000,4.8,200,192,8,8,1,2,0,0,0,0,0,0,171,0,1,Matches
1509,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,33-268,1989,10.7,786,762,24,23,1,3,5,1,0,0,0,0,698,0,3,Matches
1510,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25-002,1998,16.2,643,596,42,17,4,10,51,3,22,5,9,0,510,5,8,Matches
1511,Jamal Lowe,jm JAM,MFFW,Bournemouth,eng Premier League,28-252,1994,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
1512,Anthony Lozano,hn HON,FW,Cádiz,es La Liga,29-339,1993,13.2,234,226,8,0,0,1,6,1,0,0,0,0,156,0,13,Matches
1513,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,27-243,1995,14.2,443,437,4,0,0,2,59,3,1,0,0,0,324,2,20,Matches
1514,Pol Lozano,es ESP,MF,Espanyol,es La Liga,23-175,1999,0.2,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
1515,Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,24-281,1998,3.2,154,152,1,1,1,2,1,0,0,0,0,0,134,1,1,Matches
1516,Jhon Lucumí,co COL,DF,Bologna,it Serie A,24-277,1998,22.2,1266,1201,62,49,1,18,1,1,0,0,0,0,1111,3,13,Matches
1517,José Luis Gayà,es ESP,DF,Valencia,es La Liga,27-309,1995,19.1,1201,920,274,46,2,11,155,189,39,8,25,0,897,7,25,Matches
1518,José Luis Morales,es ESP,FWMF,Villarreal,es La Liga,35-250,1987,11.3,215,201,12,0,2,1,10,2,0,0,0,0,148,2,12,Matches
1519,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33-084,1990,5.6,370,347,23,17,0,0,3,6,0,0,0,0,307,0,7,Matches
1520,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,24-325,1998,21.7,1255,1116,137,76,3,9,71,4,56,29,13,1,1048,2,9,Matches
1521,Romelu Lukaku,be BEL,FW,Inter,it Serie A,29-321,1993,8.6,195,189,4,0,2,2,14,0,0,0,0,0,125,2,11,Matches
1522,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,20-103,2002,24.2,1712,1670,39,32,0,7,3,6,0,0,0,0,1544,3,11,Matches
1523,Dodi Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,25-187,1997,19.1,448,412,35,8,4,4,52,0,20,11,5,0,296,1,13,Matches
1524,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26-229,1996,2.3,132,127,5,5,0,0,1,0,0,0,0,0,120,0,0,Matches
1525,Saša Lukić,rs SRB,MF,Torino,it Serie A,26-229,1996,13.3,732,692,38,29,1,6,25,5,4,0,4,0,627,2,7,Matches
1526,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24-047,1999,6.0,192,159,33,4,0,1,0,0,0,0,0,0,175,0,1,Matches
1527,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,31-137,1991,1.0,44,39,5,2,0,0,0,0,0,0,0,0,35,0,0,Matches
1528,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26-205,1996,24.0,1161,1031,129,55,1,4,1,2,0,0,0,0,1001,1,6,Matches
1529,Lyanco,br BRA,DF,Southampton,eng Premier League,26-057,1997,7.8,343,307,35,8,1,2,3,27,0,0,0,0,242,1,4,Matches
1530,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29-159,1993,11.7,681,558,120,10,1,9,63,99,11,6,3,0,480,3,26,Matches
1531,Youssouf M'Changama,km COM,MF,Auxerre,fr Ligue 1,32-213,1990,7.2,332,312,20,10,2,4,26,1,8,3,5,0,272,0,5,Matches
1532,Awer Mabil,au AUS,MFFW,Cádiz,es La Liga,27-196,1995,1.8,54,48,6,3,0,0,9,1,2,1,1,0,34,0,4,Matches
1533,Alexis Mac Allister,ar ARG,MF,Brighton,eng Premier League,24-096,1998,21.2,1198,1162,32,20,5,7,18,5,7,5,2,0,1042,4,29,Matches
1534,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,29-209,1993,18.7,693,570,122,9,0,2,47,112,1,1,0,0,569,1,23,Matches
1535,Darwin Machís,ve VEN,FW,Valladolid,es La Liga,30-051,1993,4.1,127,118,7,2,0,4,25,4,1,1,0,0,89,2,5,Matches
1536,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,26-127,1996,18.1,808,709,95,40,6,4,77,3,48,25,16,2,613,4,19,Matches
1537,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21-020,2002,2.0,78,76,2,0,0,0,4,1,1,1,0,0,61,0,0,Matches
1538,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,25-261,1997,22.1,869,678,187,5,1,4,84,182,0,0,0,0,598,4,24,Matches
1539,Lisandro Magallán,ar ARG,DF,Elche,es La Liga,29-184,1993,4.5,106,104,2,1,0,1,1,1,0,0,0,0,78,0,2,Matches
1540,Soungoutou Magassa,ml MLI,MF,Monaco,fr Ligue 1,19-173,2003,0.8,27,25,1,1,0,0,0,0,0,0,0,0,22,1,0,Matches
1541,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25-018,1998,8.0,390,379,7,5,3,4,2,1,0,0,0,0,299,4,6,Matches
1542,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27-177,1995,9.0,264,257,7,5,0,3,2,2,0,0,0,0,190,0,1,Matches
1543,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,24-304,1998,15.3,617,574,41,22,0,12,20,7,1,0,1,0,507,2,15,Matches
1544,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,25-282,1997,22.7,1150,1119,29,16,2,7,14,12,1,0,0,0,961,2,23,Matches
1545,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30-025,1993,5.4,377,371,5,5,0,5,1,0,0,0,0,0,326,1,2,Matches
1546,Jon Magunacelaya,es ESP,MFFW,Real Sociedad,es La Liga,22-260,2000,0.7,16,15,1,1,0,0,2,0,0,0,0,0,8,0,1,Matches
1547,Riyad Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,32-037,1991,11.8,641,564,77,21,5,6,52,22,34,16,10,0,541,0,10,Matches
1548,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24-081,1999,15.0,477,429,46,15,4,2,40,5,23,9,12,0,328,2,20,Matches
1549,Mike Maignan,fr FRA,GK,Milan,it Serie A,27-270,1995,11.0,394,347,43,12,0,0,0,0,0,0,0,0,310,4,0,Matches
1550,Linton Maina,de GER,FWMF,Köln,de Bundesliga,23-280,1999,17.0,458,422,35,3,1,1,63,10,17,10,5,0,308,1,31,Matches
1551,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,17-345,2005,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
1552,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,eng Premier League,25-213,1997,10.7,453,402,49,6,1,2,7,43,0,0,0,0,360,2,7,Matches
1553,Jordan Majchrzak,pl POL,FW,Roma,it Serie A,18-173,2004,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
1554,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,25-072,1998,11.8,658,608,46,16,1,3,47,7,23,9,8,0,519,4,29,Matches
1555,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,24-291,1998,8.9,316,315,1,1,0,0,6,0,0,0,0,0,264,0,9,Matches
1556,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,24-291,1998,6.8,305,292,10,9,0,1,1,1,0,0,0,0,262,3,4,Matches
1557,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,20-183,2002,2.2,38,37,0,0,0,0,6,0,0,0,0,0,15,1,3,Matches
1558,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28-063,1995,12.0,294,282,12,3,0,0,7,0,1,0,0,0,233,0,3,Matches
1559,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,23-225,1999,10.2,482,392,89,6,0,2,13,81,2,2,0,0,403,1,13,Matches
1560,Lorenzo Malagrida,it ITA,DFMF,Sampdoria,it Serie A,19-157,2003,0.5,17,17,0,0,0,0,1,0,0,0,0,0,12,0,0,Matches
1561,Daniel Maldini,it ITA,FWMF,Spezia,it Serie A,21-170,2001,5.1,145,131,14,2,0,1,9,0,5,4,1,0,103,0,7,Matches
1562,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,24-220,1998,3.3,116,111,4,3,0,1,7,1,0,0,0,0,95,1,2,Matches
1563,Youssef Maleh,it ITA,MF,Lecce,it Serie A,24-220,1998,4.9,127,120,7,2,0,0,5,2,2,0,0,0,87,0,4,Matches
1564,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,24-070,1999,11.8,370,341,27,1,1,3,43,4,20,14,5,0,272,2,11,Matches
1565,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,29-330,1993,6.1,332,304,23,8,2,11,23,2,13,6,6,0,248,5,6,Matches
1566,Ruslan Malinovskyi,ua UKR,MFFW,Marseille,fr Ligue 1,29-330,1993,7.5,299,276,20,4,1,2,25,2,14,6,5,0,228,3,10,Matches
1567,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,31-281,1991,16.4,882,739,139,16,1,3,44,123,0,0,0,0,680,4,22,Matches
1568,Mickael Malsa,mq MTQ,MF,Valladolid,es La Liga,27-169,1995,0.8,20,20,0,0,0,0,0,0,0,0,0,0,13,0,1,Matches
1569,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22-182,2000,26.0,778,547,228,70,0,3,0,0,0,0,0,0,542,3,1,Matches
1570,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,23-092,1999,0.2,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
1571,Gianluca Mancini,it ITA,DF,Roma,it Serie A,26-347,1996,24.2,1247,1183,56,50,2,15,16,4,0,0,0,0,1008,8,10,Matches
1572,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38-002,1985,25.5,928,686,240,93,0,0,0,0,0,0,0,0,681,2,0,Matches
1573,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29-068,1994,20.6,1067,945,121,24,0,4,16,97,0,0,0,0,918,1,18,Matches
1574,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31-159,1991,5.4,318,284,33,11,0,3,1,20,0,0,0,0,286,1,2,Matches
