,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
55,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-319,2004,0.3,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
56,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-070,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0,Matches
57,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,de Bundesliga,30-173,1992,3.3,76,71,5,0,0,0,0,0,0,0,0,0,53,0,1,Matches
58,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-009,1989,11.1,1064,926,134,30,4,6,62,104,0,0,0,0,901,4,20,Matches
59,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-183,1992,16.4,1190,1038,147,47,8,4,95,5,74,35,34,0,976,5,19,Matches
60,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-207,1985,22.4,1400,1359,39,31,0,14,1,0,0,0,0,0,1241,2,4,Matches
61,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-132,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10,Matches
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-353,1991,12.8,980,949,28,21,8,14,1,5,0,0,0,0,842,3,21,Matches
63,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-120,2002,3.6,110,109,1,0,0,2,0,0,0,0,0,0,89,0,3,Matches
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-333,1991,14.0,587,545,40,30,3,13,22,0,6,2,1,1,461,2,7,Matches
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-094,1996,12.0,491,464,24,18,0,11,6,6,0,0,0,0,292,3,7,Matches
66,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-048,1995,9.2,219,207,10,1,0,0,61,8,1,0,1,0,121,2,13,Matches
67,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-152,2002,2.5,72,46,25,6,0,0,0,0,0,0,0,0,49,1,0,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-084,1998,17.6,653,637,11,6,3,9,26,2,1,1,0,0,501,5,14,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-174,1998,21.5,1912,1545,359,45,11,40,181,247,67,12,50,1,1403,8,29,Matches
70,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-288,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
71,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-280,1999,11.2,473,457,14,13,0,4,9,0,0,0,0,0,383,2,8,Matches
72,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-070,2004,4.0,86,81,4,0,0,0,19,0,0,0,0,0,53,1,4,Matches
73,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-255,2001,1.5,63,54,9,0,0,0,2,9,0,0,0,0,47,0,2,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,30-179,1992,26.0,1008,822,182,41,0,2,0,0,0,0,0,0,866,4,1,Matches
75,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-031,1995,18.4,588,557,30,6,0,2,51,23,0,0,0,0,454,1,25,Matches
76,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-353,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0,Matches
77,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-304,2000,17.7,847,764,74,35,6,5,59,8,23,10,8,0,681,9,11,Matches
78,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-048,1994,22.0,771,740,26,0,0,3,20,15,10,0,0,0,638,5,24,Matches
79,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-092,1990,7.6,606,580,25,8,1,6,11,10,7,1,4,0,548,1,7,Matches
80,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-261,1989,12.4,599,463,134,6,0,0,26,128,0,0,0,0,389,2,20,Matches
81,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-030,1993,2.1,63,59,2,1,1,1,1,0,1,0,1,0,42,2,1,Matches
82,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-236,2003,0.1,,,,,,,0,,,,,,,,,Matches
83,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-006,2000,10.0,354,286,68,5,0,2,12,63,0,0,0,0,226,0,8,Matches
84,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-058,2000,8.3,255,246,8,0,3,2,11,2,0,0,0,0,199,1,12,Matches
85,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-315,2001,3.5,72,68,4,0,0,1,2,0,1,0,1,0,58,0,1,Matches
86,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-065,1995,20.1,1085,1015,67,59,3,31,9,2,0,0,0,0,879,3,10,Matches
87,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-358,1993,4.7,190,186,4,4,0,0,1,0,0,0,0,0,161,0,5,Matches
88,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-135,1996,0.6,24,23,1,0,0,0,0,1,0,0,0,0,18,0,0,Matches
89,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-099,1994,16.9,1062,1042,19,14,2,2,0,5,0,0,0,0,971,1,2,Matches
90,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-257,1996,6.5,146,140,5,0,1,0,8,4,0,0,0,0,109,1,7,Matches
91,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-021,1994,2.1,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5,Matches
92,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-298,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
93,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-050,1998,16.7,693,556,134,10,1,2,17,123,1,0,1,0,523,3,20,Matches
94,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-086,2002,0.6,16,9,7,0,0,0,0,3,0,0,0,0,11,0,1,Matches
95,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-086,2002,14.8,698,630,66,26,0,0,5,40,0,0,0,0,540,2,18,Matches
96,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-154,1996,8.0,356,333,21,10,3,2,11,1,6,1,5,0,303,2,12,Matches
97,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-197,2000,20.1,1027,937,85,35,3,13,10,42,0,0,0,0,806,5,14,Matches
98,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-221,1996,18.4,1205,1123,80,71,1,16,23,7,1,0,0,0,1060,2,22,Matches
99,Ayoub Amraoui,ma MAR,DFFW,Nice,fr Ligue 1,18-320,2004,2.6,152,143,9,0,0,0,14,9,0,0,0,0,127,0,4,Matches
100,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-303,1996,21.4,1336,1243,88,78,2,30,6,8,1,0,0,0,1064,5,10,Matches
101,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,eng Premier League,20-144,2002,2.1,92,88,3,0,0,0,3,2,1,0,0,0,68,1,7,Matches
102,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-349,1993,23.4,955,928,25,2,3,6,30,12,3,1,2,0,734,2,27,Matches
103,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-239,1990,24.5,1734,1692,36,33,6,16,9,3,0,0,0,0,1464,6,24,Matches
104,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-272,1995,15.3,412,375,35,0,0,4,1,0,0,0,0,0,308,2,15,Matches
105,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-189,1994,20.7,1146,1109,35,31,0,4,4,4,0,0,0,0,961,2,11,Matches
106,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-085,1997,21.0,1133,852,267,22,1,10,137,209,36,11,20,0,747,14,31,Matches
107,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29-015,1994,6.0,242,175,67,3,0,2,10,64,0,0,0,0,141,0,13,Matches
108,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-119,1999,11.2,420,382,37,9,2,5,33,16,11,7,0,1,308,1,16,Matches
109,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-224,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches
110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-253,1996,24.1,1474,1314,156,42,3,13,27,113,0,0,0,0,1153,4,27,Matches
111,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-290,2000,3.5,206,204,2,2,0,0,0,0,0,0,0,0,184,0,0,Matches
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-002,1990,12.5,222,214,8,1,1,1,21,5,0,0,0,0,115,0,8,Matches
113,Antony,br BRA,FWMF,Manchester Utd,eng Premier League,23-034,2000,11.9,453,448,5,1,1,2,23,3,1,0,0,0,349,0,15,Matches
114,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-141,2000,2.2,133,122,11,2,0,0,1,9,0,0,0,0,111,0,1,Matches
