,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1259,Willian José,br BRA,FW,Betis,es La Liga,31-127,1991,4.4,137,171,80.1,1847,350,82,92,89.1,40,51,78.4,7,10,70.0,0,0.1,0.2,-0.1,3,4,3,0,11,Matches
1260,Joselu,es ESP,FW,Espanyol,es La Liga,33-003,1990,22.2,321,528,60.8,4641,1036,194,277,70.0,84,153,54.9,22,42,52.4,2,1.9,1.5,+0.1,15,30,6,0,49,Matches
1261,Mateo Joseph,eng ENG,FWMF,Leeds United,eng Premier League,19-162,2003,0.3,2,3,66.7,13,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1262,Diogo Jota,pt POR,FWMF,Liverpool,eng Premier League,26-116,1996,5.0,107,153,69.9,1405,381,68,89,76.4,26,36,72.2,4,9,44.4,2,1.5,0.9,+0.5,10,8,5,1,15,Matches
1263,Stevan Jovetić,me MNE,FWMF,Hertha BSC,de Bundesliga,33-148,1989,5.7,123,197,62.4,2131,887,62,95,65.3,43,64,67.2,14,19,73.7,2,0.9,0.4,+1.1,9,25,6,1,27,Matches
1264,Luka Jović,rs SRB,FW,Fiorentina,it Serie A,25-097,1997,12.9,164,222,73.9,2585,408,86,106,81.1,62,81,76.5,12,18,66.7,0,0.6,0.5,-0.6,15,10,3,0,17,Matches
1265,Juanmi,es ESP,FW,Betis,es La Liga,29-314,1993,7.9,177,207,85.5,2342,400,115,123,93.5,45,52,86.5,6,11,54.5,0,0.9,0.9,-0.9,4,6,3,0,13,Matches
1266,Juanpe,es ESP,DF,Girona,es La Liga,31-334,1991,10.3,488,578,84.4,9679,3713,147,160,91.9,269,295,91.2,67,105,63.8,0,0.1,0.3,-0.1,1,25,0,0,28,Matches
1267,Jubal,br BRA,DF,Auxerre,fr Ligue 1,29-213,1993,25.7,830,1001,82.9,18455,6001,212,256,82.8,440,477,92.2,159,245,64.9,1,0.4,0.7,+0.6,3,54,3,2,57,Matches
1268,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,30-008,1993,21.9,690,820,84.1,13762,5093,222,270,82.2,361,396,91.2,89,129,69.0,1,0.7,0.7,+0.3,6,23,1,0,38,Matches
1269,Anthony Jung,de GER,DFFW,Werder Bremen,de Bundesliga,31-147,1991,21.7,846,1088,77.8,13438,4243,438,499,87.8,329,403,81.6,52,112,46.4,4,1.2,1.4,+2.8,17,42,15,7,53,Matches
1270,Lago Junior,ci CIV,FWMF,Mallorca,es La Liga,32-089,1990,0.6,12,18,66.7,154,31,6,7,85.7,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1271,Hamed Junior Traorè,ci CIV,MFFW,Bournemouth,eng Premier League,23-042,2000,3.7,85,138,61.6,1478,646,39,52,75.0,30,48,62.5,10,24,41.7,0,1.0,1.0,-1.0,13,8,9,3,19,Matches
1272,Hamed Junior Traorè,ci CIV,MFFW,Sassuolo,it Serie A,23-042,2000,6.6,184,245,75.1,3077,823,87,101,86.1,68,83,81.9,20,34,58.8,3,1.8,0.8,+1.2,17,17,7,3,26,Matches
1273,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,22-261,2000,24.5,687,883,77.8,8820,1677,466,528,88.3,148,189,78.3,29,53,54.7,4,5.8,5.0,-1.8,49,21,36,2,62,Matches
1274,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,27-226,1995,5.0,159,254,62.6,2748,1148,71,82,86.6,64,96,66.7,18,52,34.6,1,0.3,0.7,+0.7,5,12,6,5,15,Matches
1275,James Justin,eng ENG,DF,Leicester City,eng Premier League,25-035,1998,13.9,667,819,81.4,10404,3063,371,408,90.9,239,282,84.8,39,81,48.1,0,0.3,0.5,-0.3,7,48,12,7,47,Matches
1276,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,32-341,1990,8.3,272,339,80.2,4632,1970,118,133,88.7,138,170,81.2,12,29,41.4,0,0.1,0.1,-0.1,1,23,0,0,22,Matches
1277,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,23-005,2000,20.5,891,1072,83.1,16700,5124,331,372,89.0,476,534,89.1,76,126,60.3,2,1.3,1.0,+0.7,4,52,2,0,60,Matches
1278,Issa Kaboré,bf BFA,DF,Marseille,fr Ligue 1,21-322,2001,6.8,242,325,74.5,3396,1204,140,162,86.4,73,105,69.5,13,25,52.0,0,0.5,0.9,-0.5,7,17,11,3,38,Matches
1279,Abdoul Kader Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,28-309,1994,0.9,36,44,81.8,485,148,16,20,80.0,15,17,88.2,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,3,Matches
1280,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,30-339,1992,13.7,459,659,69.7,7386,3126,230,282,81.6,198,269,73.6,23,73,31.5,0,1.0,2.7,-1.0,12,27,21,16,41,Matches
1281,Tino Kadewere,zw ZIM,FWMF,Mallorca,es La Liga,27-084,1996,4.6,72,114,63.2,964,176,41,59,69.5,21,32,65.6,3,8,37.5,0,0.6,0.2,-0.6,3,3,0,0,1,Matches
1282,Kaiky,br BRA,DF,Almería,es La Liga,19-077,2004,5.4,140,173,80.9,2797,1079,47,51,92.2,68,76,89.5,21,38,55.3,0,0.0,0.0,0.0,0,11,1,0,10,Matches
1283,Florian Kainz,at AUT,FWMF,Köln,de Bundesliga,30-157,1992,18.5,501,841,59.6,9846,4279,192,235,81.7,211,310,68.1,87,228,38.2,6,5.9,6.0,+0.1,44,55,38,10,115,Matches
1284,Gaël Kakuta,cd COD,FW,Lens,fr Ligue 1,31-282,1991,0.2,12,16,75.0,172,14,5,6,83.3,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
1285,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,25-266,1997,0.5,2,4,50.0,26,0,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1286,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,25-266,1997,2.6,40,63,63.5,689,172,19,30,63.3,14,22,63.6,4,5,80.0,3,0.6,0.3,+2.4,6,3,0,0,4,Matches
1287,Arnaud Kalimuendo,fr FRA,FW,Rennes,fr Ligue 1,21-069,2002,15.2,259,324,79.9,3406,555,150,179,83.8,85,95,89.5,7,12,58.3,2,1.8,1.4,+0.2,9,13,5,0,22,Matches
1288,Yayah Kallon,sl SLE,MFFW,Hellas Verona,it Serie A,21-273,2001,8.6,138,216,63.9,1995,578,77,101,76.2,43,72,59.7,8,15,53.3,1,1.4,0.9,-0.4,12,9,13,5,20,Matches
1289,Gedeon Kalulu,cd COD,DF,Lorient,fr Ligue 1,25-213,1997,22.0,905,1152,78.6,14694,5845,457,510,89.6,344,431,79.8,68,140,48.6,3,1.3,0.9,+1.7,19,71,15,5,97,Matches
1290,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,22-298,2000,23.6,1272,1455,87.4,23582,8085,495,539,91.8,659,715,92.2,110,172,64.0,0,1.2,1.1,-1.2,9,92,8,4,112,Matches
1291,Daichi Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,26-237,1996,18.3,741,924,80.2,12296,3634,366,415,88.2,301,349,86.2,57,110,51.8,4,2.2,2.5,+1.8,22,86,14,3,103,Matches
1292,Waren Kamanzi,no NOR,DF,Toulouse,fr Ligue 1,22-139,2000,2.0,81,97,83.5,1130,365,48,53,90.6,29,40,72.5,2,2,100.0,0,0.0,0.0,0.0,0,3,0,0,7,Matches
1293,Bingourou Kamara,sn SEN,GK,Montpellier,fr Ligue 1,26-160,1996,4.5,87,131,66.4,2374,1898,16,17,94.1,43,44,97.7,28,69,40.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
1294,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,23-127,1999,16.9,737,868,84.9,12167,3569,364,405,89.9,276,303,91.1,65,91,71.4,1,0.8,0.7,+0.2,7,58,6,0,80,Matches
1295,Jakub Kamiński,pl POL,FWMF,Wolfsburg,de Bundesliga,20-298,2002,14.7,265,373,71.0,3764,1275,153,191,80.1,87,113,77.0,10,25,40.0,2,1.8,2.2,+0.2,17,18,23,3,54,Matches
1296,Marcin Kamiński,pl POL,DF,Schalke 04,de Bundesliga,31-074,1992,1.0,15,20,75.0,279,131,7,7,100.0,4,6,66.7,3,6,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1297,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,32-172,1990,10.0,560,625,89.6,9381,2366,263,288,91.3,242,260,93.1,41,49,83.7,1,0.5,0.8,+0.5,4,54,8,1,54,Matches
1298,Nordine Kandil,fr FRA,MFFW,Strasbourg,fr Ligue 1,21-150,2001,0.9,29,42,69.0,379,92,17,20,85.0,8,14,57.1,1,3,33.3,0,0.1,0.1,-0.1,1,3,1,0,4,Matches
1299,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,29-245,1993,27.8,461,665,69.3,8703,3094,211,273,77.3,162,206,78.6,73,117,62.4,2,4.5,2.3,-2.5,43,69,38,5,133,Matches
1300,Wilfried Kanga,ci CIV,FW,Hertha BSC,de Bundesliga,25-037,1998,13.3,133,215,61.9,1638,216,79,118,66.9,35,63,55.6,4,6,66.7,0,1.2,0.9,-1.2,19,6,4,1,10,Matches
1301,Lee Kangin,kr KOR,MFFW,Mallorca,es La Liga,22-039,2001,21.7,525,736,71.3,8933,2730,264,309,85.4,183,224,81.7,58,145,40.0,4,3.2,3.1,+0.8,37,50,23,9,67,Matches
1302,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,32-001,1991,1.9,107,129,82.9,1516,296,70,73,95.9,31,39,79.5,3,7,42.9,0,0.3,0.3,-0.3,3,9,3,1,9,Matches
1303,Kenan Karaman,tr TUR,FW,Schalke 04,de Bundesliga,29-025,1994,5.5,64,106,60.4,815,261,43,63,68.3,18,28,64.3,1,1,100.0,0,0.1,0.3,-0.1,2,5,5,1,11,Matches
1304,Yann Karamoh,fr FRA,MFFW,Torino,it Serie A,24-265,1998,4.7,92,119,77.3,1302,188,57,65,87.7,31,38,81.6,2,5,40.0,0,0.2,0.2,-0.2,4,1,3,1,5,Matches
1305,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,26-168,1996,14.9,668,787,84.9,11628,3195,292,334,87.4,306,342,89.5,54,74,73.0,1,0.6,0.6,+0.4,13,53,4,0,49,Matches
1306,Jon Karrikaburu,es ESP,FW,Real Sociedad,es La Liga,20-192,2002,1.0,11,18,61.1,164,66,5,7,71.4,2,4,50.0,2,3,66.7,0,0.3,0.1,-0.3,1,2,1,0,4,Matches
1307,Rick Karsdorp,nl NED,DF,Roma,it Serie A,28-047,1995,7.9,295,380,77.6,5109,1611,134,153,87.6,131,155,84.5,27,53,50.9,0,1.2,1.1,-1.2,6,13,11,1,24,Matches
1308,Denso Kasius,nl NED,DF,Bologna,it Serie A,20-175,2002,3.8,143,192,74.5,2576,864,65,72,90.3,53,74,71.6,20,36,55.6,2,0.7,0.8,+1.3,6,6,8,6,9,Matches
1309,Thomas Kastanaras,gr GRE,FWDF,Stuttgart,de Bundesliga,20-080,2003,0.8,14,17,82.4,175,38,8,9,88.9,3,3,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,2,1,1,2,Matches
1310,Grigoris Kastanos,cy CYP,MF,Salernitana,it Serie A,25-059,1998,6.5,168,232,72.4,2587,795,94,104,90.4,53,74,71.6,13,24,54.2,0,0.3,0.5,-0.3,6,18,4,0,21,Matches
1311,Silas Katompa,cd COD,FWDF,Stuttgart,de Bundesliga,24-175,1998,17.3,223,307,72.6,3416,847,118,149,79.2,81,101,80.2,12,22,54.5,2,1.2,1.9,+0.8,14,15,12,3,30,Matches
1312,Moise Kean,it ITA,FW,Juventus,it Serie A,23-030,2000,9.0,108,150,72.0,1355,293,67,82,81.7,25,34,73.5,3,6,50.0,0,1.1,0.6,-1.1,8,6,5,1,11,Matches
1313,Michael Keane,eng ENG,DF,Everton,eng Premier League,30-078,1993,4.3,83,120,69.2,1558,883,31,35,88.6,43,54,79.6,9,25,36.0,1,0.3,0.1,+0.7,1,8,0,0,7,Matches
1314,Neeskens Kebano,cd COD,FW,Fulham,eng Premier League,31-020,1992,7.9,139,188,73.9,1850,476,83,94,88.3,40,53,75.5,4,9,44.4,3,1.4,0.8,+1.6,11,2,9,3,21,Matches
1315,Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,19-063,2004,3.4,96,120,80.0,1485,490,47,52,90.4,41,51,80.4,4,8,50.0,0,0.2,0.1,-0.2,2,2,1,0,5,Matches
1316,Thilo Kehrer,de GER,DF,West Ham,eng Premier League,26-190,1996,18.5,732,879,83.3,12923,4592,303,348,87.1,368,406,90.6,51,91,56.0,0,0.2,0.3,-0.2,3,49,2,0,48,Matches
1317,Check Keita,fr FRA,DF,Reims,fr Ligue 1,19-362,2003,5.9,224,254,88.2,4169,944,82,89,92.1,119,127,93.7,17,27,63.0,0,0.0,0.0,0.0,1,14,0,0,17,Matches
1318,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,28-048,1995,3.3,129,168,76.8,1820,590,75,87,86.2,43,54,79.6,6,8,75.0,0,0.7,0.2,-0.7,8,15,2,0,15,Matches
1319,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,23-043,2000,5.0,151,187,80.7,2627,508,70,76,92.1,62,80,77.5,16,23,69.6,2,0.1,0.2,+1.9,3,15,2,0,20,Matches
1320,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,24-175,1998,12.0,466,585,79.7,9016,3927,150,167,89.8,248,274,90.5,55,119,46.2,2,0.2,0.6,+1.8,4,37,5,2,19,Matches
1321,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,28-061,1995,23.3,804,1038,77.5,15141,6329,308,353,87.3,403,476,84.7,82,162,50.6,0,0.2,0.5,-0.2,4,47,5,0,65,Matches
1322,Kenedy,br BRA,FWMF,Valladolid,es La Liga,27-050,1996,0.9,15,25,60.0,156,47,11,14,78.6,3,6,50.0,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
1323,Jonjoe Kenny,eng ENG,DF,Hertha BSC,de Bundesliga,26-015,1997,18.3,679,928,73.2,12574,5901,273,327,83.5,315,403,78.2,75,147,51.0,1,1.1,1.2,-0.1,11,66,7,5,74,Matches
1324,Franck Kessié,ci CIV,MF,Barcelona,es La Liga,26-101,1996,6.7,214,254,84.3,3142,635,125,139,89.9,72,85,84.7,11,14,78.6,1,0.6,0.6,+0.4,6,13,3,0,21,Matches
1325,Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,fr Ligue 1,27-337,1995,18.6,425,619,68.7,6450,2357,221,277,79.8,137,188,72.9,34,96,35.4,3,3.6,1.8,-0.6,34,41,11,2,64,Matches
1326,Wahbi Khazri,tn TUN,FWMF,Montpellier,fr Ligue 1,32-050,1991,12.5,236,333,70.9,4014,1203,111,140,79.3,72,93,77.4,35,58,60.3,1,0.7,0.9,+0.3,8,28,10,2,33,Matches
1327,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,29-062,1994,23.0,546,727,75.1,8837,2128,259,309,83.8,237,297,79.8,33,74,44.6,0,0.4,0.9,-0.4,6,43,4,1,52,Matches
1328,Anthony Khelifa,fr FRA,DF,Ajaccio,fr Ligue 1,17-191,2005,0.1,11,12,91.7,215,55,3,3,100.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
1329,Kike,es ESP,FW,Osasuna,es La Liga,33-125,1989,8.5,121,170,71.2,1567,240,78,94,83.0,28,42,66.7,4,8,50.0,0,0.8,0.7,-0.8,9,10,6,0,14,Matches
1330,Luca Kilian,de GER,DF,Köln,de Bundesliga,23-210,1999,12.2,578,673,85.9,11467,3267,142,162,87.7,376,396,94.9,55,99,55.6,0,0.1,0.2,-0.1,2,36,0,0,48,Matches
1331,Max Kilman,eng ENG,DF,Wolves,eng Premier League,25-311,1997,28.0,1333,1616,82.5,26011,9591,463,503,92.0,721,783,92.1,135,293,46.1,0,0.1,0.5,-0.1,2,105,6,1,101,Matches
1332,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,28-050,1995,22.6,1642,1947,84.3,30562,10072,705,753,93.6,688,770,89.4,221,363,60.9,4,4.2,5.9,-0.2,52,200,47,2,225,Matches
1333,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,27-229,1995,8.1,471,503,93.6,7240,2911,243,251,96.8,194,202,96.0,22,26,84.6,0,0.2,0.3,-0.2,1,36,1,0,40,Matches
1334,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,23-043,2000,0.1,6,6,100.0,100,47,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1335,Jakub Kiwior,pl POL,DF,Spezia,it Serie A,23-043,2000,16.0,653,775,84.3,13165,4165,209,238,87.8,343,371,92.5,93,147,63.3,0,0.2,0.6,-0.2,4,25,5,0,37,Matches
1336,Simon Kjær,dk DEN,DF,Milan,it Serie A,34-004,1989,7.4,371,429,86.5,8006,2801,105,119,88.2,194,206,94.2,69,99,69.7,0,0.0,0.1,0.0,0,32,1,0,31,Matches
1337,Mateusz Klich,pl POL,MFFW,Leeds United,eng Premier League,32-290,1990,3.1,108,148,73.0,1411,387,61,69,88.4,28,34,82.4,5,17,29.4,0,0.2,0.2,-0.2,5,6,5,0,16,Matches
1338,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,26-300,1996,4.2,261,303,86.1,4929,1450,91,102,89.2,147,158,93.0,21,36,58.3,0,0.0,0.1,0.0,0,11,2,0,14,Matches
1339,Justin Kluivert,nl NED,FWMF,Valencia,es La Liga,23-329,1999,10.6,191,280,68.2,3007,655,114,145,78.6,53,74,71.6,18,38,47.4,0,2.0,1.6,-2.0,18,13,12,6,17,Matches
1340,Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,21-079,2002,11.5,343,524,65.5,5238,2268,177,228,77.6,140,206,68.0,18,42,42.9,1,1.3,1.5,-0.3,4,23,10,4,30,Matches
1341,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,30-312,1992,24.0,1010,1253,80.6,21408,8186,277,313,88.5,575,636,90.4,151,264,57.2,1,0.4,0.2,+0.6,3,64,1,0,66,Matches
1342,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,25-114,1997,18.0,588,727,80.9,15111,9105,105,105,100.0,316,320,98.8,164,297,55.2,0,0.0,0.0,0.0,0,8,0,0,0,Matches
1343,Robin Koch,de GER,DF,Leeds United,eng Premier League,26-256,1996,25.5,906,1176,77.0,17466,7953,298,353,84.4,498,581,85.7,99,200,49.5,0,0.1,0.3,-0.1,1,81,4,0,76,Matches
1344,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,29-058,1994,17.8,610,847,72.0,9975,3413,298,362,82.3,249,330,75.5,41,101,40.6,0,0.6,1.1,-0.6,11,84,11,0,106,Matches
1345,Koke,es ESP,MF,Atlético Madrid,es La Liga,31-081,1992,17.8,1056,1222,86.4,16161,5205,574,617,93.0,343,389,88.2,80,122,65.6,3,1.2,1.1,+1.8,20,107,13,2,118,Matches
1346,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,29-283,1993,15.5,670,801,83.6,10641,2894,334,371,90.0,292,341,85.6,29,54,53.7,1,0.9,1.2,+0.1,9,55,7,2,63,Matches
1347,Luca Koleosho,it ITA,FWDF,Espanyol,es La Liga,18-196,2004,0.3,7,12,58.3,93,21,4,5,80.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1348,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,de Bundesliga,24-115,1998,21.8,301,478,63.0,3984,870,183,269,68.0,86,126,68.3,12,24,50.0,10,4.3,3.7,+5.7,27,18,19,2,42,Matches
1349,Timothée Kolodziejczak,fr FRA,DF,Schalke 04,de Bundesliga,31-180,1991,0.3,14,17,82.4,289,157,8,8,100.0,3,5,60.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches
1350,Cheick Konaté,ci CIV,DF,Clermont Foot,fr Ligue 1,19-027,2004,5.0,160,228,70.2,2812,1186,70,85,82.4,71,94,75.5,15,36,41.7,0,0.2,0.1,-0.2,2,11,1,1,16,Matches
1351,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,23-309,1999,7.2,439,498,88.2,7878,3250,171,190,90.0,231,250,92.4,28,46,60.9,0,0.0,0.3,0.0,0,21,1,0,29,Matches
1352,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,30-043,1993,10.7,529,593,89.2,8348,2533,285,307,92.8,178,195,91.3,42,56,75.0,2,0.9,0.3,+1.1,5,41,3,0,40,Matches
1353,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,23-287,1999,10.8,144,221,65.2,1736,524,93,129,72.1,39,63,61.9,1,5,20.0,1,0.8,0.6,+0.2,11,11,1,0,19,Matches
1354,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,21-317,2001,23.3,974,1136,85.7,15146,4847,508,561,90.6,382,425,89.9,54,81,66.7,1,1.2,1.1,-0.2,17,116,12,0,136,Matches
1355,Youssouf Koné,ml MLI,DF,Ajaccio,fr Ligue 1,27-268,1995,5.8,168,221,76.0,3062,1277,81,85,95.3,61,73,83.6,23,56,41.1,0,0.0,0.1,0.0,0,17,2,1,13,Matches
1356,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,25-158,1997,25.9,1156,1325,87.2,21168,7144,427,468,91.2,631,675,93.5,87,152,57.2,0,1.2,0.6,-1.2,7,43,4,2,33,Matches
1357,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,25-030,1998,22.8,965,1291,74.7,17635,6995,407,470,86.6,405,507,79.9,118,244,48.4,3,3.0,4.2,0.0,36,122,35,9,146,Matches
1358,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,22-085,2001,11.9,586,705,83.1,9702,3519,271,300,90.3,269,304,88.5,35,67,52.2,1,0.1,0.6,+0.9,3,42,2,1,47,Matches
1359,Filip Kostić,rs SRB,DFFW,Juventus,it Serie A,30-149,1992,22.2,642,923,69.6,10859,3379,308,366,84.2,249,336,74.1,65,144,45.1,8,6.2,4.0,+1.8,52,36,41,26,61,Matches
1360,Filip Kostić,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,30-149,1992,0.8,23,40,57.5,469,260,8,11,72.7,12,16,75.0,3,11,27.3,0,0.1,0.1,-0.1,1,1,1,0,4,Matches
1361,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,25-114,1997,16.7,397,556,71.4,5879,1302,237,293,80.9,109,160,68.1,27,46,58.7,2,2.5,2.1,-0.5,32,25,24,6,43,Matches
1362,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,26-103,1996,21.5,875,994,88.0,15553,4100,364,396,91.9,404,451,89.6,83,105,79.0,1,1.6,1.2,-0.6,17,115,9,2,130,Matches
1363,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,30-216,1992,4.0,108,166,65.1,4145,3368,7,7,100.0,47,47,100.0,54,112,48.2,0,0.0,0.0,0.0,0,10,0,0,0,Matches
1364,Kalidou Koulibaly,sn SEN,DF,Chelsea,eng Premier League,31-283,1991,16.9,1084,1252,86.6,19113,7625,479,507,94.5,503,551,91.3,83,154,53.9,1,0.4,0.4,+0.6,6,78,7,1,68,Matches
1365,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,24-138,1998,16.5,1072,1218,88.0,18679,6381,472,516,91.5,494,536,92.2,88,122,72.1,2,1.3,1.4,+0.7,7,121,8,2,103,Matches
1366,Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,25-349,1997,7.8,312,390,80.0,6099,1955,92,116,79.3,177,198,89.4,36,62,58.1,0,0.1,0.1,-0.1,2,16,0,0,20,Matches
1367,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,eng Premier League,33-099,1989,7.8,159,206,77.2,2545,705,79,101,78.2,51,60,85.0,17,23,73.9,0,0.6,0.3,-0.6,5,11,2,0,16,Matches
1368,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,28-328,1994,13.0,775,912,85.0,12764,3896,383,430,89.1,317,348,91.1,54,89,60.7,1,1.4,1.3,-0.4,15,107,15,1,104,Matches
1369,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,27-044,1996,4.8,145,186,78.0,2316,531,77,84,91.7,54,68,79.4,12,22,54.5,0,0.3,0.4,-0.3,5,3,4,1,17,Matches
1370,Soichiro Kozuki,jp JPN,FWMF,Schalke 04,de Bundesliga,22-098,2000,4.2,52,85,61.2,950,298,27,36,75.0,17,31,54.8,8,12,66.7,0,0.3,0.4,-0.3,4,3,3,2,10,Matches
1371,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,28-240,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1372,Alex Král,cz CZE,MF,Schalke 04,de Bundesliga,24-315,1998,17.2,344,522,65.9,5924,1936,144,202,71.3,153,203,75.4,29,65,44.6,0,0.3,0.8,-0.3,5,39,4,1,54,Matches
1373,Andrej Kramarić,hr CRO,MFFW,Hoffenheim,de Bundesliga,31-284,1991,18.0,543,687,79.0,8285,1691,306,349,87.7,169,212,79.7,41,61,67.2,3,1.8,2.1,+1.2,26,60,19,3,71,Matches
1374,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,32-039,1991,21.7,917,1109,82.7,13208,3973,528,587,89.9,302,358,84.4,39,64,60.9,0,1.7,1.6,-1.7,13,54,11,2,72,Matches
1375,Tom Krauß,de GER,MF,Schalke 04,de Bundesliga,21-281,2001,22.7,481,657,73.2,7442,2458,237,304,78.0,197,235,83.8,29,57,50.9,0,0.5,1.2,-0.5,7,46,12,1,73,Matches
1376,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,25-324,1997,0.2,0,2,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1377,Raimonds Krollis,lv LVA,FW,Spezia,it Serie A,21-153,2001,0.2,1,2,50.0,23,5,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
1378,Toni Kroos,de GER,MF,Real Madrid,es La Liga,33-085,1990,16.7,1521,1673,90.9,28904,10281,634,652,97.2,639,676,94.5,215,289,74.4,3,2.7,3.2,+0.3,37,248,17,6,220,Matches
1379,Rade Krunić,ba BIH,MFFW,Milan,it Serie A,29-174,1993,11.2,369,447,82.6,5633,1873,181,209,86.6,150,173,86.7,20,29,69.0,1,0.9,0.8,+0.1,11,31,7,0,43,Matches
1380,Max Kruse,de GER,MFFW,Wolfsburg,de Bundesliga,35-011,1988,3.0,90,121,74.4,1644,240,36,49,73.5,42,48,87.5,9,12,75.0,0,0.1,0.2,-0.1,3,4,3,1,7,Matches
1381,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,30-212,1992,13.2,415,604,68.7,7244,2220,183,220,83.2,169,235,71.9,46,107,43.0,0,0.3,0.5,-0.3,4,43,6,2,34,Matches
