,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
264,Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,18-041,2005,1.1,80,86,93.0,1476,540,28,31,90.3,47,47,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,3,Matches
265,Andrea Belotti,it ITA,FW,Roma,it Serie A,29-100,1993,6.8,100,149,67.1,1307,233,58,74,78.4,24,37,64.9,5,6,83.3,0,0.7,0.2,-0.7,8,4,2,0,5,Matches
266,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,24-055,1999,23.3,1162,1313,88.5,21163,4776,465,509,91.4,547,590,92.7,123,162,75.9,1,1.3,1.8,-0.3,17,87,10,2,98,Matches
267,Eliesse Ben Seghir,fr FRA,FWMF,Monaco,fr Ligue 1,18-042,2005,7.6,207,265,78.1,3112,887,104,130,80.0,79,93,84.9,11,19,57.9,1,0.9,0.8,+0.1,9,22,16,0,37,Matches
268,Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,20-034,2003,0.0,2,2,100.0,18,1,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
269,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,32-230,1990,16.3,317,422,75.1,4184,891,186,226,82.3,93,123,75.6,9,23,39.1,4,2.7,2.9,+1.3,15,22,22,0,50,Matches
270,Marco Benassi,it ITA,DF,Fiorentina,it Serie A,28-203,1994,1.0,91,105,86.7,2107,426,32,32,100.0,33,41,80.5,26,31,83.9,0,0.1,0.1,-0.1,1,11,1,0,9,Matches
271,Marco Benassi,it ITA,MF,Cremonese,it Serie A,28-203,1994,7.4,166,237,70.0,2976,772,74,88,84.1,75,97,77.3,15,37,40.5,0,0.4,0.5,-0.4,7,10,3,2,20,Matches
272,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,25-119,1997,18.1,1019,1179,86.4,18244,5134,447,481,92.9,398,438,90.9,136,202,67.3,2,3.0,2.8,-1.0,40,105,22,4,115,Matches
273,Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,27-232,1995,15.9,421,549,76.7,5841,1322,264,293,90.1,129,173,74.6,17,43,39.5,3,3.0,1.9,0.0,34,17,13,7,51,Matches
274,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,27-348,1995,20.8,866,1117,77.5,14759,5784,426,476,89.5,343,418,82.1,79,156,50.6,0,1.5,2.0,-1.5,11,67,22,1,81,Matches
275,Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,28-126,1994,21.2,1208,1480,81.6,23267,7760,437,511,85.5,582,658,88.4,161,258,62.4,3,1.6,2.2,+1.4,23,139,10,0,145,Matches
276,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,25-278,1997,16.7,738,880,83.9,11482,3178,368,413,89.1,301,336,89.6,39,70,55.7,2,0.8,0.7,+1.2,11,54,9,4,76,Matches
277,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,35-101,1987,15.5,611,711,85.9,7316,1484,416,460,90.4,127,137,92.7,15,20,75.0,3,3.8,3.5,-0.8,34,42,32,0,90,Matches
278,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28-241,1994,13.0,385,564,68.3,7300,2119,167,212,78.8,151,210,71.9,55,96,57.3,5,3.2,3.0,+1.8,25,22,31,4,74,Matches
279,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,33-048,1990,14.7,691,856,80.7,11847,4716,332,367,90.5,288,344,83.7,60,89,67.4,1,0.8,1.2,+0.2,10,74,23,9,90,Matches
280,Álex Berenguer,es ESP,FW,Athletic Club,es La Liga,27-269,1995,18.1,447,662,67.5,6404,1795,278,324,85.8,106,176,60.2,39,95,41.1,1,3.0,3.1,-2.0,34,20,27,8,60,Matches
281,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,30-261,1992,13.3,471,644,73.1,6989,3219,286,316,90.5,143,210,68.1,28,73,38.4,0,0.1,0.3,-0.1,3,32,10,3,44,Matches
282,Patrick Berg,no NOR,MFFW,Lens,fr Ligue 1,25-126,1997,0.3,17,20,85.0,319,133,8,8,100.0,5,6,83.3,3,3,100.0,0,0.0,0.0,0.0,1,3,1,0,3,Matches
