,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
180,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,25-233,1997,17.9,4,43,13,30.2,2.41,0.73,0.09,0.31,17.6,2,0,0,4.8,4.8,0.11,-0.8,-0.8,Matches
181,Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28-352,1994,4.8,0,3,0,0.0,0.62,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
182,Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29-271,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
183,Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,22-093,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
184,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18-159,2004,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,24.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
185,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,24-030,1999,10.4,1,21,7,33.3,2.01,0.67,0.05,0.14,24.1,6,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
186,Nedim Bajrami,al ALB,FW,Sassuolo,it Serie A,24-030,1999,3.5,1,9,5,55.6,2.56,1.42,0.11,0.20,18.5,3,0,0,1.3,1.3,0.15,-0.3,-0.3,Matches
187,Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,31-353,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
188,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,28-225,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,Mitchel Bakker,nl NED,DFMF,Leverkusen,de Bundesliga,22-283,2000,12.8,3,14,7,50.0,1.09,0.55,0.21,0.43,20.4,0,0,0,1.4,1.4,0.10,+1.6,+1.6,Matches
190,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,24-356,1998,22.4,5,24,10,41.7,1.07,0.45,0.21,0.50,19.9,0,0,0,2.5,2.5,0.10,+2.5,+2.5,Matches
191,Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,20-007,2003,12.9,4,17,9,52.9,1.32,0.70,0.24,0.44,19.9,0,0,0,1.4,1.4,0.08,+2.6,+2.6,Matches
192,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19-163,2003,18.4,0,7,2,28.6,0.38,0.11,0.00,0.00,21.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
193,Thierno Balde,fr FRA,DF,Troyes,fr Ligue 1,20-293,2002,18.1,0,7,1,14.3,0.39,0.06,0.00,0.00,17.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
194,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19-086,2004,3.2,0,7,2,28.6,2.19,0.62,0.00,0.00,25.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
