,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1532,Awer Mabil,au AUS,MFFW,Cádiz,es La Liga,27-196,1995,1.8,0,3,1,33.3,1.64,0.55,0.00,0.00,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1533,Alexis Mac Allister,ar ARG,MF,Brighton,eng Premier League,24-096,1998,21.2,7,49,18,36.7,2.32,0.85,0.06,0.17,23.0,8,4,4,7.8,4.6,0.09,-0.8,-1.6,Matches
1534,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,29-209,1993,18.7,3,12,5,41.7,0.64,0.27,0.25,0.60,18.2,0,0,0,1.0,1.0,0.08,+2.0,+2.0,Matches
1535,Darwin Machís,ve VEN,FW,Valladolid,es La Liga,30-051,1993,4.1,0,12,3,25.0,2.95,0.74,0.00,0.00,17.4,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
1536,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,26-127,1996,18.1,9,58,18,31.0,3.20,0.99,0.16,0.50,21.3,9,0,0,4.2,4.2,0.07,+4.8,+4.8,Matches
1537,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21-020,2002,2.0,0,3,2,66.7,1.48,0.99,0.00,0.00,18.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1538,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,25-261,1997,22.1,1,17,3,17.6,0.77,0.14,0.06,0.33,18.3,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
1539,Lisandro Magallán,ar ARG,DF,Elche,es La Liga,29-184,1993,4.5,0,1,1,100.0,0.22,0.22,0.00,0.00,13.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1540,Soungoutou Magassa,ml MLI,MF,Monaco,fr Ligue 1,19-173,2003,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1541,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25-018,1998,8.0,0,5,0,0.0,0.62,0.00,0.00,,17.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
1542,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27-177,1995,9.0,0,4,1,25.0,0.45,0.11,0.00,0.00,18.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
1543,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,24-304,1998,15.3,0,14,4,28.6,0.92,0.26,0.00,0.00,25.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
1544,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,25-282,1997,22.7,0,13,0,0.0,0.57,0.00,0.00,,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
1545,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30-025,1993,5.4,0,2,0,0.0,0.37,0.00,0.00,,7.2,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
1546,Jon Magunacelaya,es ESP,MFFW,Real Sociedad,es La Liga,22-260,2000,0.7,0,1,1,100.0,1.38,1.38,0.00,0.00,10.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1547,Riyad Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,32-037,1991,11.8,5,27,9,33.3,2.29,0.76,0.15,0.44,16.8,3,1,1,4.6,3.9,0.14,+0.4,+0.1,Matches
1548,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24-081,1999,15.0,3,19,7,36.8,1.27,0.47,0.16,0.43,21.4,3,0,0,1.1,1.1,0.06,+1.9,+1.9,Matches
1549,Mike Maignan,fr FRA,GK,Milan,it Serie A,27-270,1995,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1550,Linton Maina,de GER,FWMF,Köln,de Bundesliga,23-280,1999,17.0,2,27,9,33.3,1.59,0.53,0.07,0.22,15.4,0,0,0,3.5,3.5,0.13,-1.5,-1.5,Matches
1551,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,17-345,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1552,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,eng Premier League,25-213,1997,10.7,0,1,1,100.0,0.09,0.09,0.00,0.00,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1553,Jordan Majchrzak,pl POL,FW,Roma,it Serie A,18-173,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1554,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,25-072,1998,11.8,1,20,4,20.0,1.69,0.34,0.00,0.00,21.5,4,1,1,2.2,1.4,0.07,-1.2,-1.4,Matches
1555,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,24-291,1998,8.9,0,7,0,0.0,0.78,0.00,0.00,,21.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
1556,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,24-291,1998,6.8,0,3,2,66.7,0.44,0.30,0.00,0.00,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1557,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,20-183,2002,2.2,0,6,1,16.7,2.73,0.45,0.00,0.00,13.9,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Matches
1558,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28-063,1995,12.0,0,8,5,62.5,0.67,0.42,0.00,0.00,17.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
1559,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,23-225,1999,10.2,0,3,1,33.3,0.29,0.10,0.00,0.00,20.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
1560,Lorenzo Malagrida,it ITA,DFMF,Sampdoria,it Serie A,19-157,2003,0.5,0,1,1,100.0,1.84,1.84,0.00,0.00,10.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
1561,Daniel Maldini,it ITA,FWMF,Spezia,it Serie A,21-170,2001,5.1,2,11,5,45.5,2.15,0.98,0.18,0.40,17.6,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches
1562,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,24-220,1998,3.3,0,7,0,0.0,2.12,0.00,0.00,,15.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
1563,Youssef Maleh,it ITA,MF,Lecce,it Serie A,24-220,1998,4.9,0,4,0,0.0,0.82,0.00,0.00,,20.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
1564,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,24-070,1999,11.8,2,31,16,51.6,2.62,1.35,0.06,0.13,15.5,1,0,0,3.7,3.7,0.12,-1.7,-1.7,Matches
1565,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,29-330,1993,6.1,1,19,6,31.6,3.09,0.98,0.05,0.17,25.6,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
1566,Ruslan Malinovskyi,ua UKR,MFFW,Marseille,fr Ligue 1,29-330,1993,7.5,1,20,4,20.0,2.65,0.53,0.05,0.25,24.6,4,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
1567,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,31-281,1991,16.4,0,13,4,30.8,0.79,0.24,0.00,0.00,12.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
1568,Mickael Malsa,mq MTQ,MF,Valladolid,es La Liga,27-169,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1569,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22-182,2000,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1570,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,23-092,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1571,Gianluca Mancini,it ITA,DF,Roma,it Serie A,26-347,1996,24.2,1,16,4,25.0,0.66,0.17,0.06,0.25,13.4,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
1572,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38-002,1985,25.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1573,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29-068,1994,20.6,0,6,0,0.0,0.29,0.00,0.00,,22.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
1574,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31-159,1991,5.4,0,1,1,100.0,0.19,0.19,0.00,0.00,9.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
1575,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,25-274,1997,15.0,2,30,5,16.7,2.00,0.33,0.07,0.40,22.9,1,0,0,1.2,1.2,0.04,+0.8,+0.8,Matches
1576,Sadio Mané,sn SEN,FW,Bayern Munich,de Bundesliga,30-354,1992,12.0,6,45,18,40.0,3.76,1.51,0.11,0.28,13.6,0,1,2,6.7,5.1,0.12,-0.7,-0.1,Matches
1577,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25-012,1998,8.4,0,6,1,16.7,0.71,0.12,0.00,0.00,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1578,Thomas Mangani,fr FRA,MF,Ajaccio,fr Ligue 1,35-335,1987,9.9,1,6,0,0.0,0.60,0.00,0.00,,29.5,2,1,2,1.9,0.3,0.05,-0.9,-0.3,Matches
1579,Vito Mannone,it ITA,GK,Lorient,fr Ligue 1,35-028,1988,14.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1580,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,28-329,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1581,Myziane Maolida,fr FRA,FWMF,Reims,fr Ligue 1,24-044,1999,1.8,1,4,2,50.0,2.25,1.13,0.25,0.50,19.6,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
1582,Myziane Maolida,fr FRA,FWMF,Hertha BSC,de Bundesliga,24-044,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1583,Faitout Maouassa,fr FRA,FWDF,Montpellier,fr Ligue 1,24-267,1998,17.3,3,25,9,36.0,1.45,0.52,0.12,0.33,20.5,1,0,0,1.9,1.9,0.08,+1.1,+1.1,Matches
1584,Sekou Mara,fr FRA,FWMF,Southampton,eng Premier League,20-243,2002,5.0,0,16,3,18.8,3.19,0.60,0.00,0.00,16.3,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
1585,Maranhão,br BRA,FWMF,Valencia,es La Liga,26-161,1996,4.8,1,17,2,11.8,3.51,0.41,0.06,0.50,14.6,0,0,0,1.5,1.3,0.08,-0.5,-0.3,Matches
1586,Marcão,br BRA,DF,Sevilla,es La Liga,26-298,1996,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1587,Solly March,eng ENG,FWDF,Brighton,eng Premier League,28-253,1994,23.9,7,55,23,41.8,2.30,0.96,0.13,0.30,16.1,1,0,0,6.5,6.5,0.12,+0.5,+0.5,Matches
1588,Agustín Marchesín,ar ARG,GK,Celta Vigo,es La Liga,35-014,1988,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1589,Federico Marchetti,it ITA,GK,Spezia,it Serie A,40-051,1983,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1590,Vincent Marchetti,fr FRA,MF,Ajaccio,fr Ligue 1,25-269,1997,20.4,0,32,8,25.0,1.57,0.39,0.00,0.00,23.6,1,0,0,1.7,1.7,0.05,-1.7,-1.7,Matches
1591,Riccardo Marchizza,it ITA,DF,Sassuolo,it Serie A,25-004,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1592,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31-043,1992,19.0,1,6,1,16.7,0.32,0.05,0.17,1.00,10.3,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
1593,Emiliano Marcondes,dk DEN,MF,Bournemouth,eng Premier League,28-021,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1594,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,33-350,1989,21.9,0,1,0,0.0,0.05,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
1595,José Mari,es ESP,MF,Cádiz,es La Liga,35-114,1987,3.6,0,2,0,0.0,0.55,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1596,Pablo Marí,es ESP,DF,Monza,it Serie A,29-211,1993,18.6,1,8,2,25.0,0.43,0.11,0.13,0.50,13.8,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
1597,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28-069,1995,15.9,1,16,5,31.3,1.00,0.31,0.06,0.20,14.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
1598,Mariano,do DOM,FW,Real Madrid,es La Liga,29-241,1993,0.6,0,3,0,0.0,4.74,0.00,0.00,,10.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
1599,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,19-270,2003,3.8,0,8,4,50.0,2.11,1.05,0.00,0.00,16.9,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
1600,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,26-311,1996,20.5,2,26,7,26.9,1.27,0.34,0.08,0.29,27.1,6,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches
1601,Diego Mariño,es ESP,GK,Almería,es La Liga,32-325,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1602,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,28-328,1994,17.5,3,14,5,35.7,0.80,0.29,0.21,0.60,10.8,0,0,0,1.4,1.4,0.10,+1.6,+1.6,Matches
1603,Marlon,br BRA,DF,Monza,it Serie A,27-204,1995,13.5,0,3,1,33.3,0.22,0.07,0.00,0.00,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1604,Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,24-051,1999,13.1,5,38,14,36.8,2.91,1.07,0.13,0.36,15.0,1,0,0,4.7,4.7,0.12,+0.3,+0.3,Matches
1605,Marquinhos,br BRA,MF,Arsenal,eng Premier League,19-357,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1606,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,28-320,1994,22.1,2,13,4,30.8,0.59,0.18,0.15,0.50,8.2,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Matches
1607,Luca Marrone,it ITA,DF,Monza,it Serie A,33-002,1990,1.5,0,1,0,0.0,0.67,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
1608,Eric Martel,de GER,MF,Köln,de Bundesliga,20-335,2002,15.0,0,15,4,26.7,1.00,0.27,0.00,0.00,20.7,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
1609,Roger Martí,es ESP,FW,Elche,es La Liga,32-086,1991,7.3,0,6,2,33.3,0.82,0.27,0.00,0.00,15.6,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
1610,Roger Martí,es ESP,FW,Cádiz,es La Liga,32-086,1991,5.6,1,9,2,22.2,1.60,0.36,0.11,0.50,16.6,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
1611,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,27-115,1995,5.1,3,11,5,45.5,2.16,0.98,0.18,0.40,12.9,0,1,1,3.2,2.4,0.22,-0.2,-0.4,Matches
1612,Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,25-342,1997,16.5,3,13,4,30.8,0.79,0.24,0.23,0.75,25.6,6,0,1,2.0,1.2,0.09,+1.0,+1.8,Matches
1613,Ander Martin,es ESP,MFFW,Real Sociedad,es La Liga,22-134,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1614,Andrés Martín,es ESP,FWMF,Rayo Vallecano,es La Liga,23-262,1999,1.6,0,3,2,66.7,1.86,1.24,0.00,0.00,13.7,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
1615,Carlos Martín,es ESP,DF,Atlético Madrid,es La Liga,20-342,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1616,Iván Martín,es ESP,MF,Girona,es La Liga,24-044,1999,7.7,3,11,4,36.4,1.42,0.52,0.27,0.75,13.7,0,0,0,1.6,1.6,0.15,+1.4,+1.4,Matches
1617,Jonas Martin,fr FRA,MF,Lille,fr Ligue 1,32-355,1990,2.1,0,1,0,0.0,0.47,0.00,0.00,,7.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
1618,Martinelli,br BRA,FW,Arsenal,eng Premier League,21-285,2001,25.0,13,67,25,37.3,2.68,1.00,0.19,0.52,15.5,2,0,0,7.9,7.9,0.12,+5.1,+5.1,Matches
1619,Arnau Martinez,es ESP,DF,Girona,es La Liga,19-339,2003,19.5,2,15,2,13.3,0.77,0.10,0.13,1.00,12.1,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
1620,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30-209,1992,24.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1621,Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,31-317,1991,12.0,1,9,2,22.2,0.75,0.17,0.11,0.50,15.5,3,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
1622,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,25-220,1997,23.7,14,97,37,38.1,4.10,1.56,0.13,0.35,15.3,0,1,2,12.9,11.3,0.12,+1.1,+1.7,Matches
1623,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25-071,1998,20.6,1,8,1,12.5,0.39,0.05,0.13,1.00,13.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
1624,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,26-324,1996,17.1,1,21,9,42.9,1.23,0.53,0.05,0.11,12.1,0,0,0,2.2,2.2,0.10,-1.2,-1.2,Matches
1625,Roger Martínez,es ESP,DF,Espanyol,es La Liga,18-359,2004,0.1,0,1,0,0.0,12.86,0.00,0.00,,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1626,Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,27-323,1995,3.8,0,12,3,25.0,3.13,0.78,0.00,0.00,15.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
1627,Adam Marušić,me MNE,DF,Lazio,it Serie A,30-164,1992,25.3,0,15,7,46.7,0.59,0.28,0.00,0.00,23.8,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
1628,Omar Mascarell,es ESP,MF,Elche,es La Liga,30-056,1993,22.2,0,9,3,33.3,0.41,0.14,0.00,0.00,22.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
1629,Adam Masina,ma MAR,DF,Udinese,it Serie A,29-087,1994,5.3,1,1,1,100.0,0.19,0.19,1.00,1.00,13.1,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
1630,Jordi Masip,es ESP,GK,Valladolid,es La Liga,34-086,1989,16.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1631,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,24-128,1998,15.5,4,11,6,54.5,0.71,0.39,0.36,0.67,12.9,0,0,0,2.0,2.0,0.18,+2.0,+2.0,Matches
1632,Han-Noah Massengo,fr FRA,MF,Auxerre,fr Ligue 1,21-266,2001,6.9,0,4,0,0.0,0.58,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
1633,Yanis Massolin,fr FRA,MF,Clermont Foot,fr Ligue 1,20-191,2002,0.7,0,1,0,0.0,1.50,0.00,0.00,,21.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
1634,Jaime Mata,es ESP,FWMF,Getafe,es La Liga,34-157,1988,0.6,0,4,0,0.0,6.67,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1635,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,20-197,2002,1.6,0,2,0,0.0,1.25,0.00,0.00,,27.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1636,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21-043,2002,9.0,0,3,2,66.7,0.33,0.22,0.00,0.00,28.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1637,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,25-275,1997,7.7,1,23,6,26.1,2.97,0.78,0.04,0.17,12.6,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches
1638,Nemanja Matić,rs SRB,MF,Roma,it Serie A,34-241,1988,15.8,1,8,3,37.5,0.51,0.19,0.13,0.33,17.2,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
1639,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,31-234,1991,9.1,0,1,1,100.0,0.11,0.11,0.00,0.00,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1640,Henning Matriciani,de GER,DF,Schalke 04,de Bundesliga,23-016,2000,13.4,0,1,0,0.0,0.07,0.00,0.00,,9.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
1641,Chrislain Matsima,fr FRA,DFMF,Lorient,fr Ligue 1,20-319,2002,2.5,0,1,0,0.0,0.40,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1642,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,20-319,2002,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1643,Jean Mattéo Bahoya,fr FRA,FWMF,Angers,fr Ligue 1,17-327,2005,0.3,0,1,0,0.0,2.90,0.00,0.00,,9.3,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
1644,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,24-336,1998,20.0,0,6,2,33.3,0.30,0.10,0.00,0.00,27.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1645,Neal Maupay,fr FRA,FW,Everton,eng Premier League,26-228,1996,10.5,1,27,11,40.7,2.57,1.05,0.04,0.09,15.0,0,0,0,3.8,3.8,0.14,-2.8,-2.8,Matches
1646,Aïman Maurer,ma MAR,MF,Clermont Foot,fr Ligue 1,18-186,2004,4.4,0,8,4,50.0,1.81,0.90,0.00,0.00,17.6,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
1647,Stephy Mavididi,eng ENG,FW,Montpellier,fr Ligue 1,24-303,1998,10.5,2,26,11,42.3,2.48,1.05,0.08,0.18,17.0,0,0,0,2.6,2.6,0.10,-0.6,-0.6,Matches
1648,Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,25-109,1997,20.8,2,38,10,26.3,1.83,0.48,0.05,0.20,15.1,0,0,0,3.6,3.6,0.10,-1.6,-1.6,Matches
1649,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,17-346,2005,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1650,Philipp Max,de GER,DF,Eint Frankfurt,de Bundesliga,29-181,1993,5.2,0,5,1,20.0,0.96,0.19,0.00,0.00,21.8,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1651,Eric Maxim Choupo-Moting,cm CMR,FW,Bayern Munich,de Bundesliga,34-007,1989,11.4,10,27,13,48.1,2.37,1.14,0.37,0.77,12.5,0,0,1,5.5,4.7,0.17,+4.5,+5.3,Matches
1652,Luís Maximiano,pt POR,GK,Lazio,it Serie A,24-084,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1653,Fernand Mayembo,cg CGO,DF,Ajaccio,fr Ligue 1,27-080,1996,6.4,0,4,0,0.0,0.63,0.00,0.00,,6.2,0,0,0,1.2,1.2,0.29,-1.2,-1.2,Matches
1654,Borja Mayoral,es ESP,FW,Getafe,es La Liga,25-359,1997,23.6,6,39,13,33.3,1.65,0.55,0.15,0.46,14.8,0,0,2,6.2,4.7,0.12,-0.2,+1.3,Matches
1655,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,25-136,1997,6.3,0,4,0,0.0,0.63,0.00,0.00,,19.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
1656,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,27-246,1995,15.8,2,14,5,35.7,0.89,0.32,0.14,0.40,19.7,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
1657,Kevin Mbabu,ch SUI,DFFW,Fulham,eng Premier League,27-345,1995,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1658,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,24-100,1998,21.3,19,100,53,53.0,4.69,2.49,0.17,0.32,15.9,1,2,4,17.4,14.1,0.14,+1.6,+2.9,Matches
1659,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,24-275,1998,6.2,0,1,0,0.0,0.16,0.00,0.00,,6.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
1660,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,28-234,1994,25.4,4,24,8,33.3,0.95,0.32,0.17,0.50,11.3,0,0,0,2.7,2.7,0.11,+1.3,+1.3,Matches
1661,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,23-235,1999,23.2,5,46,20,43.5,1.98,0.86,0.09,0.20,16.8,1,1,1,6.8,6.0,0.13,-1.8,-2.0,Matches
1662,Jason Mbock,fr FRA,MFFW,Angers,fr Ligue 1,23-149,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1663,Nathanael Mbuku,fr FRA,FWMF,Reims,fr Ligue 1,21-014,2002,0.7,0,2,0,0.0,2.73,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1664,Nathanael Mbuku,fr FRA,FW,Augsburg,de Bundesliga,21-014,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1665,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,35-174,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
