,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,1.4,83,1,11,42,33,1,83,1,1,100.0,0,0.0,49,299,147,5,4,0,2,3,62,7,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,11.2,536,10,93,264,180,20,536,7,4,57.1,3,42.9,327,1281,564,10,9,3,22,14,407,60,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,6.7,232,5,28,86,122,22,232,20,6,30.0,9,45.0,149,943,348,18,11,2,23,15,165,44,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,18.9,1186,156,613,530,54,16,1186,8,5,62.5,3,37.5,831,4981,2514,11,13,2,18,9,702,5,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,4.5,156,129,156,0,0,0,156,0,0,,0,,91,427,280,0,0,0,0,0,67,0,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,7.2,527,25,150,287,95,9,527,11,4,36.4,4,36.4,382,1841,772,5,7,0,5,8,349,5,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,14.4,876,21,190,486,210,11,876,18,8,44.4,5,27.8,561,3658,1583,19,29,1,15,3,617,30,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,19.9,869,10,143,394,356,42,869,71,31,43.7,31,43.7,523,3728,2095,61,50,16,52,46,552,80,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,9.7,517,81,288,213,20,10,517,6,4,66.7,0,0.0,310,1247,648,1,0,0,4,1,338,4,Matches
35,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-338,1993,9.6,701,33,162,329,211,20,701,9,4,44.4,4,44.4,459,2327,994,19,13,2,12,3,411,51,Matches
36,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,21-001,2002,1.0,63,0,12,35,16,4,63,2,1,50.0,1,50.0,31,177,70,1,2,1,5,0,38,11,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,15.5,674,18,139,387,160,22,674,44,20,45.5,20,45.5,408,2988,1511,43,27,6,34,11,453,54,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,18,0,3,8,7,0,18,1,1,100.0,0,0.0,12,74,21,0,1,0,4,2,12,2,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,638,16,110,373,164,26,638,30,12,40.0,13,43.3,435,2343,989,22,13,8,28,13,386,34,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,1474,243,809,648,29,11,1474,8,5,62.5,1,12.5,915,4342,2247,10,4,0,9,8,914,2,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,620,19,136,268,225,12,620,44,22,50.0,17,38.6,325,2028,1012,33,25,4,14,6,356,41,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,709,39,224,263,232,28,709,45,24,53.3,18,40.0,378,2150,1216,30,13,10,27,10,430,76,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,791,88,411,345,45,5,791,8,3,37.5,4,50.0,391,2581,1404,18,10,0,6,3,403,7,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,412,45,184,167,64,9,412,7,1,14.3,4,57.1,213,1123,613,10,5,0,3,8,231,12,Matches
45,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-033,1994,8.6,336,8,31,172,136,50,335,4,2,50.0,2,50.0,225,901,202,2,7,1,19,10,262,55,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-033,1994,7.2,289,5,20,134,136,46,289,5,3,60.0,2,40.0,114,496,109,3,0,0,21,9,214,50,Matches
47,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-254,1995,18.1,1566,90,564,885,120,24,1566,5,3,60.0,1,20.0,1107,6433,3948,20,31,0,8,2,1217,10,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-040,1995,16.8,1574,71,497,890,194,27,1574,4,2,50.0,1,25.0,987,4452,2739,21,15,3,13,0,1194,27,Matches
49,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-104,1997,23.5,1200,72,396,534,291,34,1200,45,25,55.6,16,35.6,618,4019,2154,58,34,11,26,24,673,81,Matches
50,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,21-033,2002,3.4,163,4,21,69,75,10,163,7,2,28.6,5,71.4,129,678,281,5,3,1,6,6,121,26,Matches
51,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-100,1997,3.1,135,9,34,88,14,0,135,1,0,0.0,1,100.0,59,162,39,0,1,0,0,0,85,1,Matches
52,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-170,1992,10.2,467,20,122,254,102,15,467,35,21,60.0,10,28.6,247,1290,586,14,19,6,15,9,271,30,Matches
53,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-345,1995,15.3,949,91,432,442,83,15,949,21,7,33.3,13,61.9,497,2691,1179,15,13,3,15,5,533,23,Matches
54,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-279,1992,17.2,1081,100,410,446,231,19,1081,4,3,75.0,1,25.0,645,2821,1659,14,22,2,7,3,779,58,Matches
55,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-319,2004,0.3,9,1,1,1,7,1,9,1,0,0.0,0,0.0,6,25,13,0,0,0,0,1,8,2,Matches
56,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-070,1999,2.5,113,3,20,68,25,1,113,0,0,,0,,62,267,81,2,0,0,3,4,74,6,Matches
57,Lucas Alario,ar ARG,FWMF,Eint Frankfurt,de Bundesliga,30-173,1992,3.3,117,12,20,44,56,22,117,8,5,62.5,3,37.5,52,233,115,2,6,1,4,8,84,15,Matches
58,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-009,1989,11.1,1134,21,204,591,346,23,1134,8,4,50.0,4,50.0,686,2805,1532,31,21,4,4,6,821,106,Matches
59,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-183,1992,16.4,1324,21,169,742,423,27,1322,23,8,34.8,14,60.9,737,3414,1965,46,46,5,20,18,977,60,Matches
60,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-207,1985,22.4,1610,215,813,762,43,9,1610,6,3,50.0,3,50.0,997,6603,4378,12,9,0,11,5,1096,2,Matches
61,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-132,1989,2.6,173,6,33,61,79,5,173,2,2,100.0,0,0.0,83,391,147,4,4,0,4,2,116,18,Matches
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-353,1991,12.8,1122,41,257,702,168,7,1122,29,20,69.0,4,13.8,634,3315,1541,12,18,0,11,18,802,22,Matches
63,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-120,2002,3.6,170,8,26,95,51,9,170,10,5,50.0,3,30.0,112,523,297,9,9,1,12,11,119,14,Matches
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-333,1991,14.0,734,43,191,435,115,13,733,14,8,57.1,5,35.7,391,2047,827,17,12,2,25,18,419,10,Matches
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-094,1996,12.0,617,56,262,319,46,12,617,14,10,71.4,4,28.6,297,1499,964,16,8,2,8,5,313,6,Matches
66,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-048,1995,9.2,351,17,76,104,174,15,351,28,6,21.4,15,53.6,210,1458,603,30,19,2,24,18,227,57,Matches
67,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-152,2002,2.5,79,60,79,0,0,0,79,0,0,,0,,48,193,102,0,0,0,1,0,36,0,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-084,1998,17.6,812,14,116,473,233,17,812,30,18,60.0,8,26.7,482,2202,970,19,19,1,35,19,585,60,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-174,1998,21.5,2095,60,490,1051,566,32,2095,18,14,77.8,3,16.7,1132,4109,2037,29,20,5,27,16,1316,113,Matches
70,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-288,2002,0.2,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,6,0,0,1,0,0,0,2,0,Matches
71,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-280,1999,11.2,561,10,125,356,81,8,561,5,3,60.0,2,40.0,298,1357,605,8,3,2,11,5,354,10,Matches
72,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-070,2004,4.0,164,2,24,55,92,15,164,27,9,33.3,13,48.1,114,897,482,21,5,9,23,6,112,42,Matches
73,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-255,2001,1.5,89,0,14,49,27,3,89,8,2,25.0,6,75.0,41,250,137,5,3,2,4,3,46,15,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,30-179,1992,26.0,1066,805,1039,28,0,0,1066,0,0,,0,,684,3278,2051,0,0,0,1,0,612,0,Matches
75,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-031,1995,18.4,811,30,171,361,294,51,811,69,28,40.6,32,46.4,618,4741,2084,66,41,10,35,35,543,112,Matches
76,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-353,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1,Matches
77,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-304,2000,17.7,1023,22,163,508,368,12,1023,56,27,48.2,21,37.5,647,3822,2019,45,41,2,26,30,687,47,Matches
78,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-048,1994,22.0,1017,19,114,326,596,96,1017,62,24,38.7,27,43.5,646,4309,1865,62,34,21,35,18,712,206,Matches
79,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-092,1990,7.6,677,51,238,388,52,5,677,1,1,100.0,0,0.0,457,2790,1674,18,8,0,6,1,506,3,Matches
80,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-261,1989,12.4,756,38,212,390,164,11,756,14,8,57.1,6,42.9,415,2649,1393,27,22,0,11,14,352,30,Matches
81,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-030,1993,2.1,82,4,34,37,12,2,82,4,3,75.0,1,25.0,43,166,101,1,1,0,1,2,39,0,Matches
82,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-236,2003,0.1,,,,,,,,,,,,,,,,,,,,,,,Matches
83,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-006,2000,10.0,460,34,157,240,67,5,460,13,5,38.5,7,53.8,177,612,256,5,2,0,8,3,230,16,Matches
84,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-058,2000,8.3,337,5,22,137,181,47,337,15,9,60.0,5,33.3,194,1145,504,22,7,12,13,10,245,52,Matches
85,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-315,2001,3.5,135,4,12,68,58,11,135,14,5,35.7,8,57.1,68,246,85,2,0,1,16,10,86,16,Matches
86,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-065,1995,20.1,1290,132,540,700,64,13,1290,8,4,50.0,0,0.0,709,4816,3267,25,13,1,4,1,718,7,Matches
87,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-358,1993,4.7,244,54,147,89,9,2,244,2,1,50.0,1,50.0,167,851,394,0,3,0,2,3,143,5,Matches
88,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-135,1996,0.6,41,0,7,30,6,1,41,8,3,37.5,4,50.0,21,158,83,3,2,0,2,3,21,0,Matches
89,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-099,1994,16.9,1209,167,611,556,45,8,1209,5,2,40.0,2,40.0,741,3471,2111,21,11,0,7,4,873,5,Matches
90,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-257,1996,6.5,236,6,29,80,130,19,236,16,6,37.5,9,56.3,129,843,402,13,12,6,23,12,138,33,Matches
91,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-021,1994,2.1,118,8,33,65,22,1,118,1,0,0.0,1,100.0,41,231,121,4,4,1,1,0,43,5,Matches
92,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-298,2004,0.2,9,1,3,5,1,0,9,1,0,0.0,1,100.0,4,28,7,0,0,0,0,0,4,0,Matches
93,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-050,1998,16.7,872,68,320,344,213,25,872,19,11,57.9,5,26.3,393,2119,1121,24,13,1,16,10,449,48,Matches
94,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-086,2002,0.6,20,9,17,4,0,0,20,0,0,,0,,7,22,8,0,0,0,0,0,4,0,Matches
95,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-086,2002,14.8,843,77,462,327,66,16,843,4,1,25.0,3,75.0,433,1761,675,7,11,0,13,1,437,8,Matches
96,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-154,1996,8.0,441,9,66,258,123,9,441,31,14,45.2,13,41.9,247,1556,773,22,21,4,10,4,311,26,Matches
97,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-197,2000,20.1,1256,134,555,604,112,14,1256,7,4,57.1,1,14.3,649,3815,1956,18,12,0,11,5,711,9,Matches
98,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-221,1996,18.4,1332,39,236,885,227,6,1332,16,11,68.8,4,25.0,876,5221,2474,33,24,1,20,16,948,21,Matches
99,Ayoub Amraoui,ma MAR,DFFW,Nice,fr Ligue 1,18-320,2004,2.6,174,8,53,75,48,1,174,4,2,50.0,1,25.0,136,637,321,6,5,0,3,1,129,18,Matches
100,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-303,1996,21.4,1595,299,918,624,58,26,1595,7,4,57.1,3,42.9,870,4221,2156,5,4,2,8,2,1021,6,Matches
101,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,eng Premier League,20-144,2002,2.1,139,2,21,48,75,26,139,17,4,23.5,8,47.1,83,601,321,15,6,8,3,8,90,18,Matches
102,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-349,1993,23.4,1252,17,140,568,564,95,1252,76,36,47.4,34,44.7,673,3791,1742,60,48,24,65,34,947,167,Matches
103,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-239,1990,24.5,2061,90,484,1327,267,24,2061,30,18,60.0,10,33.3,1543,7809,3325,30,33,0,32,29,1420,35,Matches
104,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-272,1995,15.3,568,12,38,337,196,51,566,11,5,45.5,4,36.4,410,2050,465,8,12,4,44,27,457,86,Matches
105,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-189,1994,20.7,1351,89,430,792,136,13,1351,6,5,83.3,1,16.7,567,2670,1316,10,14,1,16,3,856,5,Matches
106,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-085,1997,21.0,1308,46,348,569,397,24,1308,19,8,42.1,7,36.8,611,2386,1066,18,20,1,21,14,722,100,Matches
107,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29-015,1994,6.0,299,16,81,149,69,3,299,9,3,33.3,5,55.6,113,480,207,4,5,0,4,1,134,11,Matches
108,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-119,1999,11.2,573,14,111,211,257,30,573,39,12,30.8,26,66.7,336,1947,788,23,20,11,21,13,367,60,Matches
109,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-224,2002,0.6,23,0,7,9,7,1,23,1,0,0.0,1,100.0,14,49,9,0,0,0,1,0,16,2,Matches
110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-253,1996,24.1,1770,189,837,750,205,30,1770,34,17,50.0,16,47.1,961,6113,3351,44,26,4,24,12,1081,46,Matches
111,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-290,2000,3.5,245,14,61,162,23,0,245,2,1,50.0,0,0.0,143,520,143,0,2,0,5,3,180,3,Matches
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-002,1990,12.5,369,10,28,166,181,51,369,33,12,36.4,17,51.5,234,1447,625,25,17,11,43,29,298,76,Matches
113,Antony,br BRA,FWMF,Manchester Utd,eng Premier League,23-034,2000,11.9,597,5,88,206,319,39,597,40,13,32.5,21,52.5,425,2811,1482,56,40,16,22,7,450,90,Matches
114,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-141,2000,2.2,156,20,75,67,14,0,156,1,1,100.0,0,0.0,72,272,115,0,2,0,3,2,95,3,Matches
115,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-051,1994,13.5,580,2,45,173,373,42,580,51,19,37.3,26,51.0,333,2245,899,39,27,11,66,25,339,150,Matches
116,Anuar,ma MAR,MFFW,Valladolid,es La Liga,28-074,1995,2.3,70,8,20,30,20,8,70,4,2,50.0,0,0.0,37,261,127,6,2,3,7,4,41,4,Matches
117,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-273,1998,4.9,394,4,37,239,121,22,394,19,8,42.1,9,47.4,312,1596,683,12,18,4,6,10,305,29,Matches
118,Adil Aouchiche,fr FRA,MFFW,Lorient,fr Ligue 1,20-258,2002,1.2,97,2,10,57,30,5,97,5,0,0.0,3,60.0,74,489,276,7,2,0,3,3,71,12,Matches
119,Dennis Appiah,fr FRA,DFMF,Nantes,fr Ligue 1,30-294,1992,8.8,554,37,158,292,113,4,554,18,6,33.3,10,55.6,372,2193,1173,15,13,0,12,10,339,51,Matches
120,Stredair Appuah,fr FRA,MF,Nantes,fr Ligue 1,18-276,2004,0.1,8,0,1,4,3,0,8,1,1,100.0,0,0.0,6,85,44,1,1,0,1,0,5,1,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-181,1995,9.2,459,25,101,275,93,3,459,4,4,100.0,0,0.0,226,1122,495,8,10,0,13,4,237,7,Matches
122,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-347,1989,5.5,368,9,84,225,61,8,368,7,4,57.1,1,14.3,172,681,278,3,3,0,8,2,244,7,Matches
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-023,1999,12.5,828,59,280,511,42,19,828,4,4,100.0,0,0.0,542,3329,2296,21,6,1,3,4,586,8,Matches
124,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-252,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3,Matches
125,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-138,2003,1.4,35,1,4,10,22,5,35,5,3,60.0,2,40.0,22,171,32,1,1,2,4,2,23,8,Matches
126,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-031,1993,3.4,98,91,98,0,0,0,98,0,0,,0,,53,253,153,0,0,0,0,0,42,0,Matches
127,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-252,1996,12.2,517,11,79,238,212,45,517,38,16,42.1,21,55.3,272,1184,586,17,10,7,32,18,323,58,Matches
128,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-048,1997,12.3,398,7,56,153,198,40,398,32,8,25.0,20,62.5,228,2102,896,37,24,10,20,19,240,59,Matches
129,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,31-000,1992,11.1,595,14,97,253,254,27,595,31,13,41.9,13,41.9,373,2738,1432,42,33,5,21,17,424,58,Matches
130,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-345,1989,13.7,497,12,31,262,209,46,494,21,11,52.4,9,42.9,282,1291,413,11,10,6,32,16,394,87,Matches
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-307,1994,23.2,1421,88,358,800,277,9,1417,16,7,43.8,5,31.3,697,3148,1444,14,15,1,14,17,750,16,Matches
132,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18-358,2004,0.0,4,0,3,1,1,0,4,1,0,0.0,1,100.0,2,34,33,1,0,0,0,0,0,0,Matches
133,Sergio Arribas,es ESP,FW,Real Madrid,es La Liga,21-181,2001,0.1,10,0,0,5,5,1,10,0,0,,0,,3,15,6,0,0,0,0,0,7,0,Matches
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-178,1994,18.5,728,564,715,13,0,0,728,0,0,,0,,423,1979,1145,0,0,0,1,0,381,0,Matches
135,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-217,2003,0.2,7,0,1,3,3,1,7,1,1,100.0,0,0.0,8,38,25,1,0,1,1,2,8,4,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-226,1990,10.3,573,11,103,290,185,22,573,29,13,44.8,11,37.9,348,2168,1144,35,23,10,21,13,373,32,Matches
137,Ricard Artero,es ESP,FW,Girona,es La Liga,20-053,2003,0.1,7,0,3,4,1,0,7,1,1,100.0,0,0.0,4,11,4,0,1,0,0,0,4,0,Matches
138,Arthur,br BRA,FW,Fiorentina,it Serie A,24-339,1998,10.3,348,7,19,127,205,66,347,24,8,33.3,13,54.2,198,931,250,8,5,6,41,17,258,59,Matches
139,Santiago Arzamendia,py PAR,DFMF,Cádiz,es La Liga,24-329,1998,4.3,223,16,70,106,52,5,223,6,2,33.3,4,66.7,107,538,304,7,6,2,6,2,104,17,Matches
140,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,28-140,1994,11.2,328,4,34,127,172,40,328,22,6,27.3,11,50.0,207,1335,523,17,11,7,30,21,234,69,Matches
141,Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,26-033,1997,8.1,553,26,177,280,100,4,553,9,4,44.4,4,44.4,254,976,442,1,3,0,8,4,314,6,Matches
