,,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1598,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26,1994,13,10,825,9.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.00,0.03,0.03,0.00,0.03,Matches
1599,Juan Manuel Ramos\Juan-Manuel-Ramos,uy URU,DF,Spezia,it Serie A,23,1996,6,2,294,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.06,0.06,0.01,0.06,Matches
1600,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,21,1999,19,11,1077,12.0,3,1,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,2.8,2.8,1.7,4.5,0.23,0.14,0.37,0.23,0.37,Matches
1601,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22,1998,23,13,1170,13.0,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,1.2,2.0,0.06,0.09,0.16,0.06,0.16,Matches
1602,Sekou Mara\Sekou-Mara,fr FRA,FW,Bordeaux,fr Ligue 1,18,2002,8,2,229,2.5,1,2,1,0,0,0,0,0.39,0.79,1.18,0.39,1.18,0.5,0.5,0.4,0.9,0.19,0.16,0.35,0.19,0.35,Matches
1603,Maranhão\Maranhao,br BRA,FW,Valladolid,es La Liga,23,1996,23,11,1177,13.1,4,1,4,0,0,3,0,0.31,0.08,0.38,0.31,0.38,3.8,3.8,0.6,4.4,0.29,0.05,0.33,0.29,0.33,Matches
1604,Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,eng Premier League,31,1989,13,7,623,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,Matches
1605,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,31,1989,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1606,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,32,1988,16,12,1050,11.7,0,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.2,1.6,0.04,0.10,0.13,0.04,0.13,Matches
1607,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,33,1987,34,34,2907,32.3,3,0,3,0,0,7,2,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.5,1.8,0.04,0.02,0.06,0.04,0.06,Matches
1608,Solly March\Solly-March,eng ENG,DF,Brighton,eng Premier League,26,1994,21,19,1672,18.6,2,1,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,1.7,1.7,1.7,3.4,0.09,0.09,0.18,0.09,0.18,Matches
1609,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,37,1983,4,4,334,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1610,Riccardo Marchizza\Riccardo-Marchizza,it ITA,DF,Spezia,it Serie A,22,1998,24,17,1561,17.3,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.6,0.6,1.1,1.7,0.03,0.06,0.10,0.03,0.10,Matches
1611,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,28,1992,34,33,3014,33.5,0,4,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12,1.6,1.6,1.0,2.6,0.05,0.03,0.08,0.05,0.08,Matches
1612,Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,es La Liga,30,1990,33,30,2645,29.4,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.00,0.02,0.02,0.00,0.02,Matches
1613,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,es La Liga,31,1989,25,17,1520,16.9,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,1.3,1.3,1.8,3.1,0.08,0.11,0.19,0.08,0.19,Matches
1614,Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,20,1999,8,5,514,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1615,José Mari\Jose-Mari,es ESP,MF,Cádiz,es La Liga,32,1987,22,18,1451,16.1,1,0,0,1,1,5,0,0.06,0.00,0.06,0.00,0.00,1.2,0.4,0.4,0.8,0.07,0.03,0.10,0.02,0.05,Matches
1616,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,eng Premier League,26,1993,10,10,900,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1617,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,25,1995,21,20,1765,19.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.05,0.01,0.06,0.05,0.06,Matches
1618,Mariano\Mariano,do DOM,FW,Real Madrid,es La Liga,26,1993,16,5,513,5.7,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,1.5,1.5,0.2,1.6,0.26,0.03,0.28,0.26,0.28,Matches
1619,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,fr Ligue 1,28,1991,24,16,1432,15.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Matches
1620,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,es La Liga,23,1997,5,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.07,0.52,0.58,0.07,0.58,Matches
1621,Adrián Marín\Adrian-Marin,es ESP,DFFW,Granada,es La Liga,23,1997,9,3,269,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches
1622,Răzvan Marin\Razvan-Marin,ro ROU,MF,Cagliari,it Serie A,24,1996,37,35,2965,32.9,3,6,3,0,0,6,0,0.09,0.18,0.27,0.09,0.27,1.5,1.5,4.8,6.3,0.05,0.15,0.19,0.05,0.19,Matches
1623,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,26,1994,28,22,2089,23.2,5,1,5,0,0,7,0,0.22,0.04,0.26,0.22,0.26,2.2,2.2,0.1,2.3,0.09,0.00,0.10,0.09,0.10,Matches
1624,Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,24,1995,24,19,1742,19.4,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.03,0.02,0.03,Matches
1625,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,21,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1626,Marquinhos\Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,26,1994,25,24,2128,23.6,3,1,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17,1.5,1.5,0.6,2.1,0.06,0.02,0.09,0.06,0.09,Matches
1627,Luca Marrone\Luca-Marrone,it ITA,DF,Crotone,it Serie A,30,1990,21,18,1588,17.6,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.01,0.00,0.01,0.01,0.01,Matches
1628,Roger Martí\Roger-Marti,es ESP,FW,Levante,es La Liga,29,1991,33,26,2198,24.4,12,4,10,2,4,4,0,0.49,0.16,0.66,0.41,0.57,9.3,6.3,2.5,8.8,0.38,0.10,0.48,0.26,0.36,Matches
1629,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,eng Premier League,24,1995,22,17,1480,16.4,4,3,4,0,0,0,1,0.24,0.18,0.43,0.24,0.43,6.5,6.5,2.0,8.5,0.40,0.12,0.51,0.40,0.51,Matches
1630,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,23,1997,5,3,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.01,0.12,0.14,0.01,0.14,Matches
1631,Aarón Martín\Aaron-Martin,es ESP,DF,Celta Vigo,es La Liga,23,1997,19,17,1540,17.1,0,3,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,1.2,1.4,0.01,0.07,0.08,0.01,0.08,Matches
1632,Álex Martín\Alex-Martin,es ESP,DF,Cádiz,es La Liga,22,1998,2,1,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1633,Jonas Martin\Jonas-Martin,fr FRA,MF,Rennes,fr Ligue 1,30,1990,12,6,482,5.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Matches
1634,Martinelli\Martinelli,br BRA,FW,Arsenal,eng Premier League,19,2001,14,7,589,6.5,2,1,2,0,0,0,0,0.31,0.15,0.46,0.31,0.46,3.4,3.4,2.1,5.5,0.53,0.32,0.85,0.53,0.85,Matches
1635,Lucas Martínez Quarta\Lucas-Martinez-Quarta,ar ARG,DF,Fiorentina,it Serie A,24,1996,21,15,1483,16.5,1,0,1,0,0,4,1,0.06,0.00,0.06,0.06,0.06,1.4,1.4,0.4,1.8,0.08,0.02,0.11,0.08,0.11,Matches
1636,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,27,1992,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
1637,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,29,1991,28,28,2519,28.0,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.6,2.0,0.05,0.02,0.07,0.05,0.07,Matches
1638,Javi Martínez\Javi-Martinez,es ESP,MFFW,Osasuna,es La Liga,20,1999,13,6,460,5.1,1,1,1,0,0,1,0,0.20,0.20,0.39,0.20,0.39,0.6,0.6,0.5,1.1,0.11,0.10,0.21,0.11,0.21,Matches
1639,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,de Bundesliga,31,1988,19,4,466,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.06,0.03,0.09,0.06,0.09,Matches
1640,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,de Bundesliga,22,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1641,Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,it Serie A,22,1997,38,30,2561,28.5,17,6,15,2,2,5,0,0.60,0.21,0.81,0.53,0.74,15.5,14.0,4.5,18.5,0.55,0.16,0.70,0.49,0.65,Matches
1642,Pablo Martinez\Pablo-Martinez,fr FRA,DF,Nîmes,fr Ligue 1,31,1989,7,6,540,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
1643,Gelson Martins\Gelson-Martins,pt POR,MFFW,Monaco,fr Ligue 1,25,1995,23,20,1551,17.2,3,2,3,0,0,3,0,0.17,0.12,0.29,0.17,0.29,2.7,2.7,2.8,5.5,0.16,0.16,0.32,0.16,0.32,Matches
1644,Adam Marušić\Adam-Marusic,me MNE,DF,Lazio,it Serie A,27,1992,36,33,2966,33.0,2,3,2,0,0,3,0,0.06,0.09,0.15,0.06,0.15,2.0,2.0,2.2,4.2,0.06,0.07,0.13,0.06,0.13,Matches
1645,Sylvain Marveaux\Sylvain-Marveaux,fr FRA,MFFW,Lorient,fr Ligue 1,34,1986,9,2,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.37,0.01,0.38,0.37,0.38,Matches
1646,Marvin\Marvin,es ESP,DFFW,Real Madrid,es La Liga,20,2000,4,2,133,1.5,0,1,0,0,0,0,0,0.00,0.68,0.68,0.00,0.68,0.2,0.2,0.2,0.4,0.11,0.13,0.24,0.11,0.24,Matches
1647,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,de Bundesliga,27,1993,24,21,1762,19.6,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,0.3,0.3,0.5,0.8,0.02,0.02,0.04,0.02,0.04,Matches
1648,Andrea Masiello\Andrea-Masiello,it ITA,DF,Genoa,it Serie A,34,1986,30,30,2563,28.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.02,0.01,0.03,0.02,0.03,Matches
1649,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,31,1989,25,25,2250,25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1650,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,de Bundesliga,19,2000,18,7,757,8.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,1.4,3.1,0.20,0.17,0.37,0.20,0.37,Matches
1651,Giuseppe Mastinu\Giuseppe-Mastinu,it ITA,FW,Spezia,it Serie A,28,1991,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1652,Arthur Masuaku\Arthur-Masuaku,cd COD,DFFW,West Ham,eng Premier League,26,1993,12,12,1006,11.2,0,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.3,0.3,1.9,2.2,0.03,0.17,0.19,0.03,0.19,Matches
1653,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,es La Liga,31,1988,33,23,2037,22.6,5,0,4,1,2,9,1,0.22,0.00,0.22,0.18,0.18,6.6,5.1,1.2,6.3,0.29,0.05,0.34,0.23,0.28,Matches
1654,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,eng Premier League,32,1988,9,6,509,5.7,1,2,0,1,1,0,0,0.18,0.35,0.53,0.00,0.35,1.1,0.3,0.8,1.2,0.19,0.15,0.34,0.06,0.21,Matches
1655,Pape Matar Sarr\Pape-Matar-Sarr,sn SEN,MF,Metz,fr Ligue 1,17,2002,22,18,1594,17.7,3,0,3,0,0,5,0,0.17,0.00,0.17,0.17,0.17,1.0,1.0,0.7,1.7,0.06,0.04,0.10,0.06,0.10,Matches
1656,Eliot Matazo\Eliot-Matazo,be BEL,MF,Monaco,fr Ligue 1,18,2002,10,3,314,3.5,1,1,1,0,0,0,1,0.29,0.29,0.57,0.29,0.57,1.3,1.3,0.5,1.8,0.37,0.14,0.51,0.37,0.51,Matches
1657,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Crystal Palace,eng Premier League,23,1997,7,2,221,2.5,1,0,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.2,0.2,0.0,0.2,0.08,0.01,0.09,0.08,0.09,Matches
1658,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,de Bundesliga,23,1997,15,12,997,11.1,7,1,6,1,1,2,0,0.63,0.09,0.72,0.54,0.63,7.4,6.7,1.5,8.2,0.67,0.13,0.81,0.60,0.74,Matches
1659,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,eng Premier League,31,1988,20,12,1106,12.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.02,0.03,0.06,0.02,0.06,Matches
1660,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,eng Premier League,28,1991,10,9,691,7.7,1,2,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,0.6,0.6,1.0,1.7,0.08,0.14,0.22,0.08,0.22,Matches
1661,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,de Bundesliga,19,2000,3,3,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
1662,Ryder Matos\Ryder-Matos,br BRA,MF,Udinese,it Serie A,27,1993,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.32,0.32,0.00,0.32,Matches
1663,Henning Matriciani\Henning-Matriciani,de GER,DF,Schalke 04,de Bundesliga,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1664,Chrislain Matsima\Chrislain-Matsima,fr FRA,DF,Monaco,fr Ligue 1,18,2002,9,3,352,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.04,0.04,0.08,0.04,0.08,Matches
1665,Federico Mattiello\Federico-Mattiello,it ITA,DF,Spezia,it Serie A,25,1995,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1666,Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,eng Premier League,23,1996,33,29,2512,27.9,8,2,5,3,4,1,1,0.29,0.07,0.36,0.18,0.25,13.0,9.9,3.6,13.5,0.46,0.13,0.59,0.36,0.48,Matches
1667,Tony Mauricio\Tony-Mauricio,fr FRA,MF,Lens,fr Ligue 1,26,1994,26,2,502,5.6,0,4,0,0,0,3,0,0.00,0.72,0.72,0.00,0.72,0.7,0.7,1.4,2.0,0.12,0.24,0.36,0.12,0.36,Matches
1668,Stephy Mavididi\Stephy-Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,22,1998,35,23,2030,22.6,9,0,9,0,1,3,0,0.40,0.00,0.40,0.40,0.40,5.7,4.9,1.2,6.1,0.25,0.05,0.30,0.22,0.27,Matches
1669,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,22,1997,21,19,1463,16.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.3,1.7,0.09,0.02,0.10,0.09,0.10,Matches
1670,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,31,1989,22,8,820,9.1,3,0,3,0,0,2,0,0.33,0.00,0.33,0.33,0.33,3.2,3.2,1.6,4.8,0.35,0.17,0.52,0.35,0.52,Matches
1671,Borja Mayoral\Borja-Mayoral,es ESP,FW,Real Madrid,es La Liga,23,1997,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1672,Borja Mayoral\Borja-Mayoral,es ESP,FW,Roma,it Serie A,23,1997,31,18,1551,17.2,10,3,10,0,0,1,0,0.58,0.17,0.75,0.58,0.75,8.3,8.3,1.7,10.0,0.48,0.10,0.58,0.48,0.58,Matches
1673,Youssef Maziz\Youssef-Maziz,fr FRA,MFFW,Metz,fr Ligue 1,22,1998,11,2,257,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.9,0.14,0.16,0.30,0.14,0.30,Matches
1674,Antonio Mazzotta\Antonio-Mazzotta,it ITA,DF,Crotone,it Serie A,30,1989,2,1,56,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1675,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,25,1995,22,19,1642,18.2,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,1.2,1.7,0.03,0.07,0.10,0.03,0.10,Matches
1676,Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,fr Ligue 1,21,1998,31,27,2380,26.4,27,7,21,6,6,5,0,1.02,0.26,1.29,0.79,1.06,24.6,20.1,4.6,24.7,0.93,0.17,1.11,0.76,0.93,Matches
1677,Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,it Serie A,25,1994,8,5,428,4.8,1,0,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.5,0.5,0.0,0.6,0.11,0.01,0.12,0.11,0.12,Matches
1678,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,de Bundesliga,20,2000,21,15,1160,12.9,0,1,0,0,0,7,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.6,1.1,0.04,0.04,0.09,0.04,0.09,Matches
1679,Nathanael Mbuku\Nathanael-Mbuku,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,32,28,2210,24.6,4,1,4,0,0,3,0,0.16,0.04,0.20,0.16,0.20,3.3,3.3,2.5,5.8,0.14,0.10,0.24,0.14,0.24,Matches
1680,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,eng Premier League,32,1987,18,17,1466,16.3,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.9,1.1,0.01,0.05,0.07,0.01,0.07,Matches
1681,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,eng Premier League,24,1996,23,12,1324,14.7,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,3.1,3.1,1.1,4.1,0.21,0.07,0.28,0.21,0.28,Matches
1682,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,30,1989,30,30,2700,30.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1683,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,29,1990,16,10,821,9.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches
1684,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,eng Premier League,25,1994,37,37,3330,37.0,3,5,3,0,0,12,0,0.08,0.14,0.22,0.08,0.22,2.2,2.2,3.0,5.3,0.06,0.08,0.14,0.06,0.14,Matches
1685,David McGoldrick\David-McGoldrick,ie IRL,FWMF,Sheffield Utd,eng Premier League,32,1987,35,28,2397,26.6,8,1,8,0,0,7,0,0.30,0.04,0.34,0.30,0.34,7.1,7.1,1.3,8.3,0.26,0.05,0.31,0.26,0.31,Matches
1686,Weston McKennie\Weston-McKennie,us USA,MF,Juventus,it Serie A,21,1998,34,18,1702,18.9,5,2,5,0,0,5,0,0.26,0.11,0.37,0.26,0.37,4.2,4.2,2.8,6.9,0.22,0.15,0.37,0.22,0.37,Matches
1687,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,eng Premier League,20,1999,36,34,3069,34.1,2,5,2,0,0,1,0,0.06,0.15,0.21,0.06,0.21,1.1,1.1,6.5,7.6,0.03,0.19,0.22,0.03,0.22,Matches
1688,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,eng Premier League,23,1996,32,24,2129,23.7,4,1,4,0,0,3,0,0.17,0.04,0.21,0.17,0.21,2.1,2.1,0.9,3.1,0.09,0.04,0.13,0.09,0.13,Matches
1689,Gary Medel\Gary-Medel,cl CHI,DFMF,Bologna,it Serie A,32,1987,11,6,511,5.7,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04,Matches
1690,Facundo Medina\Facundo-Medina,ar ARG,DF,Lens,fr Ligue 1,21,1999,24,23,2007,22.3,2,0,2,0,0,11,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.3,1.2,0.04,0.02,0.05,0.04,0.05,Matches
1691,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,de Bundesliga,22,1997,16,7,639,7.1,0,1,0,0,0,5,1,0.00,0.14,0.14,0.00,0.14,0.0,0.0,0.6,0.6,0.00,0.08,0.08,0.00,0.08,Matches
1692,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,eng Premier League,30,1989,30,30,2693,29.9,2,0,2,0,0,3,0,0.07,0.00,0.07,0.07,0.07,1.6,1.6,0.3,2.0,0.06,0.01,0.07,0.06,0.07,Matches
1693,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,de Bundesliga,24,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,2.02,0.00,2.02,2.02,2.02,Matches
1694,Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,de Bundesliga,29,1991,18,8,820,9.1,0,2,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,0.9,0.9,2.0,2.9,0.09,0.22,0.31,0.09,0.31,Matches
1695,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Torino,it Serie A,26,1994,14,11,920,10.2,1,1,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,0.6,0.6,0.3,0.9,0.06,0.03,0.09,0.06,0.09,Matches
1696,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Milan,it Serie A,26,1994,16,4,588,6.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.06,0.06,0.12,0.06,0.12,Matches
1697,Hannibal Mejbri\Hannibal-Mejbri,fr FRA,MF,Manchester Utd,eng Premier League,17,2003,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
1698,Farid El Melali\Farid-El-Melali,dz ALG,FWMF,Angers,fr Ligue 1,23,1997,17,4,414,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.1,1.4,0.30,0.02,0.31,0.30,0.31,Matches
1699,Filippo Melegoni\Filippo-Melegoni,it ITA,MFDF,Genoa,it Serie A,21,1999,14,3,389,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.09,0.10,0.19,0.09,0.19,Matches
1700,Gonzalo Melero\Gonzalo-Melero,es ESP,MFFW,Levante,es La Liga,26,1994,29,21,1853,20.6,7,1,7,0,0,4,0,0.34,0.05,0.39,0.34,0.39,3.1,3.1,1.7,4.8,0.15,0.08,0.23,0.15,0.23,Matches
