,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
988,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,27-176,1998,1.6,63,83,75.9,1016,345,31,36,86.1,21,28,75.0,7,11,63.6,0,0.1,0.2,-0.1,2,4,1,0,6,Matches
989,Mathis Jangeal,fr FRA,MF,Paris S-G,fr Ligue 1,17-131,2008,0.1,9,9,100.0,128,29,6,6,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
990,Isak Jansson,se SWE,MFFW,Nice,fr Ligue 1,23-275,2002,3.7,50,73,68.5,684,188,29,34,85.3,18,24,75.0,0,2,0.0,0,0.5,0.5,-0.5,2,5,3,2,8,Matches
991,Adnan Januzaj,be BEL,FWMF,Sevilla,es La Liga,30-270,1995,1.7,51,68,75.0,1052,398,15,17,88.2,27,31,87.1,8,16,50.0,0,0.1,0.2,-0.1,2,7,3,2,13,Matches
992,Luca Jaquez,ch SUI,DF,Stuttgart,de Bundesliga,22-153,2003,4.6,341,376,90.7,6101,1925,119,124,96.0,197,208,94.7,20,33,60.6,1,0.9,0.3,+0.1,4,36,0,0,30,Matches
993,Ardon Jashari,ch SUI,MF,Milan,it Serie A,23-095,2002,0.2,19,20,95.0,333,78,7,7,100.0,10,10,100.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
994,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,21-355,2003,10.9,415,525,79.0,7157,2129,187,213,87.8,176,212,83.0,41,75,54.7,0,0.5,1.0,-0.5,8,58,12,1,66,Matches
995,Finn Jeltsch,de GER,DF,Stuttgart,de Bundesliga,19-108,2006,4.0,226,249,90.8,3918,1013,97,98,99.0,123,130,94.6,6,18,33.3,0,0.0,0.1,0.0,1,9,0,0,15,Matches
996,Castrop Jens,kr KOR,MF,Gladbach,de Bundesliga,22-096,2003,3.9,83,110,75.5,1274,455,43,51,84.3,28,39,71.8,6,11,54.5,0,0.3,0.2,-0.3,5,6,3,0,18,Matches
997,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,29-305,1996,2.4,72,98,73.5,1527,573,32,37,86.5,27,34,79.4,12,25,48.0,0,0.2,0.1,-0.2,3,13,4,0,16,Matches
998,Oliver Jensen,dk DEN,MF,Parma,it Serie A,23-237,2002,5.4,129,160,80.6,1942,420,74,86,86.0,43,54,79.6,8,9,88.9,0,0.1,0.2,-0.1,3,8,4,0,16,Matches
999,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,26-186,1999,7.0,290,323,89.8,5282,1900,106,110,96.4,166,177,93.8,14,29,48.3,0,0.1,0.1,-0.1,2,15,2,1,11,Matches
1000,Igor Jesus,br BRA,FWMF,Nott'ham Forest,eng Premier League,24-250,2001,3.0,50,69,72.5,695,88,31,41,75.6,13,16,81.3,3,3,100.0,0,0.1,0.1,-0.1,2,1,4,1,3,Matches
1001,Juan Jesus,br BRA,DF,Napoli,it Serie A,34-145,1991,6.5,475,511,93.0,8981,2693,160,163,98.2,282,294,95.9,33,43,76.7,0,0.0,0.1,0.0,1,24,1,0,29,Matches
1002,Álex Jiménez,es ESP,DF,Bournemouth,eng Premier League,20-178,2005,3.5,140,176,79.5,2221,709,77,90,85.6,47,55,85.5,11,19,57.9,0,0.1,0.1,-0.1,2,10,5,1,20,Matches
1003,Álex Jiménez,es ESP,DF,Milan,it Serie A,20-178,2005,0.5,23,25,92.0,304,44,13,13,100.0,5,6,83.3,2,2,100.0,0,0.2,0.1,-0.2,2,2,1,0,2,Matches
1004,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,34-181,1991,4.4,66,98,67.3,853,184,45,54,83.3,13,22,59.1,4,9,44.4,1,0.3,0.3,+0.7,3,5,1,0,8,Matches
1005,João Pedro,br BRA,FWMF,Chelsea,eng Premier League,24-037,2001,9.4,193,245,78.8,2480,456,134,149,89.9,38,54,70.4,9,15,60.0,3,2.2,0.6,+0.8,12,16,8,0,29,Matches
1006,Joelinton,br BRA,MF,Newcastle Utd,eng Premier League,29-080,1996,5.9,161,198,81.3,2254,651,95,116,81.9,55,62,88.7,4,7,57.1,0,0.9,0.4,-0.9,5,22,1,0,32,Matches
1007,Jofre,es ESP,FWMF,Espanyol,es La Liga,24-138,2001,1.7,21,33,63.6,272,97,14,17,82.4,3,5,60.0,2,5,40.0,0,0.1,0.2,-0.1,1,0,2,2,0,Matches
1008,Þórir Jóhann Helgason,is ISL,MF,Lecce,it Serie A,25-035,2000,0.9,17,21,81.0,258,56,9,10,90.0,8,9,88.9,0,1,0.0,0,0.1,0.1,-0.1,2,2,1,1,1,Matches
1009,Ísak Jóhannesson,is ISL,MF,Köln,de Bundesliga,22-224,2003,6.9,248,318,78.0,4951,1458,89,98,90.8,117,132,88.6,40,81,49.4,0,0.5,1.1,-0.5,6,37,10,3,36,Matches
1010,Dennis Johnsen,no NOR,FWMF,Cremonese,it Serie A,27-258,1998,1.5,17,41,41.5,312,101,9,15,60.0,5,12,41.7,2,6,33.3,1,0.3,0.1,+0.7,2,2,1,1,3,Matches
1011,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,24-163,2001,4.2,64,97,66.0,958,200,41,49,83.7,18,29,62.1,4,15,26.7,0,0.2,0.2,-0.2,3,5,2,1,6,Matches
1012,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-278,1990,1.0,27,34,79.4,604,391,10,10,100.0,12,12,100.0,5,12,41.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1013,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-222,1993,6.0,166,263,63.1,5220,3792,26,26,100.0,75,75,100.0,65,161,40.4,0,0.0,0.0,0.0,0,9,0,0,1,Matches
1014,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,24-276,2001,3.6,240,261,92.0,4040,1303,123,127,96.9,100,104,96.2,16,25,64.0,0,0.4,0.9,-0.4,3,33,12,1,46,Matches
1015,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,28-174,1997,7.1,544,582,93.5,8069,2303,313,324,96.6,187,200,93.5,25,31,80.6,2,0.6,1.1,+1.4,11,66,8,2,68,Matches
1016,Josan,es ESP,DFFW,Elche,es La Liga,35-334,1989,2.1,87,110,79.1,1447,394,41,48,85.4,38,42,90.5,7,16,43.8,1,1.7,1.2,-0.7,7,1,5,5,7,Matches
1017,Mateo Joseph,es ESP,FW,Mallorca,es La Liga,22-014,2003,5.8,77,94,81.9,1024,213,48,58,82.8,24,26,92.3,2,3,66.7,1,0.3,0.2,+0.7,4,1,2,1,6,Matches
1018,Lazar Jovanović,rs SRB,FWMF,Stuttgart,de Bundesliga,18-337,2006,0.4,5,10,50.0,66,12,3,5,60.0,2,3,66.7,0,2,0.0,0,0.1,0.3,-0.1,1,0,0,0,1,Matches
1019,Juanmi,es ESP,FW,Getafe,es La Liga,32-166,1993,0.2,4,5,80.0,30,3,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
1020,Abdulai Juma Bah,sl SLE,DF,Nice,fr Ligue 1,19-205,2006,7.5,367,392,93.6,6277,2228,146,154,94.8,201,208,96.6,17,27,63.0,0,0.2,0.3,-0.2,1,12,0,0,15,Matches
1021,Anthony Jung,de GER,DF,Freiburg,de Bundesliga,33-364,1991,1.3,57,74,77.0,1001,308,27,32,84.4,25,29,86.2,5,12,41.7,0,0.0,0.1,0.0,1,7,1,0,5,Matches
1022,Eli Junior Kroupi,fr FRA,FWMF,Bournemouth,eng Premier League,19-132,2006,1.8,30,48,62.5,431,37,16,22,72.7,10,15,66.7,2,3,66.7,0,0.1,0.1,-0.1,1,1,0,0,0,Matches
1023,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-292,2001,8.0,156,188,83.0,3218,2019,46,46,100.0,88,88,100.0,22,54,40.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
1024,Hamed Junior Traorè,ci CIV,MF,Bournemouth,eng Premier League,25-259,2000,0.2,2,3,66.7,23,18,1,1,100.0,1,2,50.0,0,0,,1,0.2,0.0,+0.8,1,0,0,0,0,Matches
1025,Hamed Junior Traorè,ci CIV,MFFW,Marseille,fr Ligue 1,25-259,2000,0.9,12,22,54.5,226,94,4,5,80.0,7,10,70.0,1,5,20.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
1026,Vinicius Júnior,br BRA,FWMF,Real Madrid,es La Liga,25-113,2000,8.6,333,410,81.2,4903,1096,209,237,88.2,89,105,84.8,20,29,69.0,4,2.5,1.8,+1.5,26,15,21,3,45,Matches
1027,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,30-078,1995,0.1,1,4,25.0,36,19,0,0,,0,0,,1,4,25.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
1028,James Justin,eng ENG,DF,Leeds United,eng Premier League,27-252,1998,0.9,35,43,81.4,619,238,17,18,94.4,14,19,73.7,3,5,60.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
1029,Ferran Jutglà,es ESP,FWMF,Celta Vigo,es La Liga,26-274,1999,5.0,85,115,73.9,1307,232,49,62,79.0,28,33,84.8,6,8,75.0,0,0.4,0.6,-0.4,4,8,2,2,8,Matches
1030,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-200,2002,0.9,27,35,77.1,616,444,10,11,90.9,11,11,100.0,6,13,46.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1031,Martijn Kaars,nl NED,FWMF,St. Pauli,de Bundesliga,26-242,1999,4.3,84,114,73.7,1107,144,53,64,82.8,27,36,75.0,2,5,40.0,0,0.1,0.3,-0.1,4,2,4,1,8,Matches
1032,Mohamed Kaba,fr FRA,MFFW,Lecce,it Serie A,24-006,2001,1.6,40,53,75.5,658,185,23,25,92.0,11,14,78.6,4,6,66.7,0,0.0,0.2,0.0,1,6,0,0,9,Matches
1033,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,25-222,2000,0.1,3,3,100.0,84,75,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
1034,Christian Kabasele,be BEL,DF,Udinese,it Serie A,34-251,1991,4.7,139,152,91.4,3186,1259,19,21,90.5,95,97,97.9,25,34,73.5,0,0.0,0.0,0.0,0,4,1,0,4,Matches
1035,Anton Kade,de GER,DF,Augsburg,de Bundesliga,21-289,2004,2.7,77,104,74.0,1173,367,50,54,92.6,21,33,63.6,6,10,60.0,0,0.1,0.1,-0.1,3,5,1,0,9,Matches
1036,Ferdi Kadioglu,tr TUR,DFFW,Brighton,eng Premier League,26-026,1999,7.2,240,297,80.8,3935,1334,112,122,91.8,101,122,82.8,18,31,58.1,0,0.4,0.7,-0.4,2,24,9,5,33,Matches
1037,Florian Kainz,at AUT,MFDF,Köln,de Bundesliga,33-009,1992,0.9,67,82,81.7,1204,517,28,31,90.3,33,34,97.1,6,14,42.9,0,0.2,0.2,-0.2,5,7,3,0,11,Matches
1038,Sasa Kalajdzic,at AUT,FW,Wolves,eng Premier League,28-118,1997,0.2,4,6,66.7,41,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1039,Arnaud Kalimuendo,fr FRA,FW,Nott'ham Forest,eng Premier League,23-286,2002,0.8,23,29,79.3,328,32,11,13,84.6,12,14,85.7,0,0,,0,0.0,0.0,0.0,1,1,1,0,2,Matches
1040,Pierre Kalulu,fr FRA,DF,Juventus,it Serie A,25-150,2000,10.0,541,635,85.2,9430,2809,227,246,92.3,245,280,87.5,54,80,67.5,0,1.3,0.7,-1.3,11,34,15,4,52,Matches
1041,Justin-Noël Kalumba,fr FRA,FWMF,Angers,fr Ligue 1,20-312,2004,2.5,66,92,71.7,1160,420,26,38,68.4,33,39,84.6,6,13,46.2,0,0.2,0.4,-0.2,4,8,9,2,15,Matches
1042,Daichi Kamada,jp JPN,MF,Crystal Palace,eng Premier League,29-089,1996,7.5,221,283,78.1,3719,1074,108,126,85.7,81,97,83.5,23,43,53.5,0,0.9,1.0,-0.9,6,24,7,2,30,Matches
1043,Warren Kamanzi,no NOR,MFDF,Toulouse,fr Ligue 1,24-356,2000,3.1,78,93,83.9,1029,335,47,51,92.2,24,27,88.9,2,6,33.3,0,0.3,0.5,-0.3,4,8,3,0,15,Matches
1044,Abu Kamara,eng ENG,FWMF,Getafe,es La Liga,22-104,2003,1.3,14,27,51.9,208,39,7,11,63.6,6,9,66.7,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
1045,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,29-012,1996,3.0,60,74,81.1,1588,1253,12,13,92.3,33,33,100.0,15,27,55.6,0,0.0,0.0,0.0,0,3,0,0,0,Matches
1046,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,25-344,1999,6.3,299,334,89.5,5001,1390,135,149,90.6,135,143,94.4,20,28,71.4,2,0.4,0.4,+1.6,6,37,5,0,38,Matches
1047,Glen Kamara,fi FIN,MF,Rennes,fr Ligue 1,30-005,1995,0.2,6,8,75.0,88,20,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1048,Hassane Kamara,ci CIV,DF,Udinese,it Serie A,31-242,1994,6.0,214,280,76.4,3814,1389,97,112,86.6,84,104,80.8,28,50,56.0,1,0.8,0.4,+0.2,7,17,6,1,27,Matches
1049,Jakub Kamiński,pl POL,MFFW,Köln,de Bundesliga,23-150,2002,8.0,186,247,75.3,2770,669,107,125,85.6,60,79,75.9,12,26,46.2,0,1.1,1.1,-1.1,14,12,3,2,21,Matches
1050,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,35-024,1990,0.0,1,2,50.0,13,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1051,Harry Kane,eng ENG,FWMF,Bayern Munich,de Bundesliga,32-097,1993,7.8,192,236,81.4,3715,1409,90,104,86.5,65,74,87.8,31,38,81.6,3,2.4,1.4,+0.6,15,28,8,0,34,Matches
1052,Lee Kang-in,kr KOR,MF,Paris S-G,fr Ligue 1,24-256,2001,5.6,374,420,89.0,6294,1491,186,194,95.9,143,158,90.5,33,50,66.0,0,1.3,1.4,-1.3,16,39,11,2,52,Matches
1053,Adam Karabec,cz CZE,FW,Lyon,fr Ligue 1,22-123,2003,6.9,149,216,69.0,2438,650,80,89,89.9,49,67,73.1,13,45,28.9,0,0.5,0.7,-0.5,10,8,10,2,19,Matches
1054,Atakan Karazor,,MF,Stuttgart,de Bundesliga,29-020,1996,5.2,238,276,86.2,3875,886,119,137,86.9,102,113,90.3,14,18,77.8,0,0.0,0.3,0.0,1,18,1,0,18,Matches
1055,Dermane Karim,tg TOG,MFFW,Lorient,fr Ligue 1,21-330,2003,5.4,145,185,78.4,2478,652,71,82,86.6,56,62,90.3,14,27,51.9,1,1.2,0.3,-0.2,4,20,1,0,23,Matches
1056,Lennart Karl,de GER,FW,Bayern Munich,de Bundesliga,17-253,2008,2.2,125,152,82.2,1932,260,72,83,86.7,42,47,89.4,9,14,64.3,1,0.5,0.9,+0.5,5,3,6,1,11,Matches
1057,Jesper Karlström,se SWE,MF,Udinese,it Serie A,30-134,1995,10.0,324,412,78.6,5621,1670,137,162,84.6,154,175,88.0,22,57,38.6,0,0.6,0.2,-0.6,6,32,3,0,43,Matches
1058,Jon Karrikaburu,es ESP,FWMF,Real Sociedad,es La Liga,23-044,2002,0.8,6,11,54.5,80,9,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
1059,Grigoris Kastanos,cy CYP,MF,Hellas Verona,it Serie A,27-276,1998,0.2,5,11,45.5,90,59,3,5,60.0,1,2,50.0,1,4,25.0,0,0.0,0.4,0.0,1,1,0,0,0,Matches
1060,Panos Katseris,gr GRE,MFDF,Lorient,fr Ligue 1,24-120,2001,1.4,59,77,76.6,1077,245,25,32,78.1,25,31,80.6,8,11,72.7,0,0.5,0.4,-0.5,3,2,3,1,7,Matches
1061,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,24-303,2001,4.0,39,63,61.9,509,165,21,28,75.0,15,19,78.9,0,3,0.0,1,0.9,0.4,+0.1,2,3,2,0,8,Matches
1062,Sota Kawasaki,jp JPN,MF,Mainz 05,de Bundesliga,24-095,2001,0.2,3,5,60.0,48,19,2,2,100.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
1063,Michael Kayode,it ITA,DF,Brentford,eng Premier League,21-115,2004,9.6,309,414,74.6,5046,1578,168,182,92.3,105,131,80.2,30,83,36.1,0,1.4,1.1,-1.4,13,10,8,6,19,Matches
1064,Moise Kean,it ITA,FW,Fiorentina,it Serie A,25-247,2000,8.8,54,73,74.0,734,100,30,35,85.7,16,23,69.6,3,4,75.0,0,0.0,0.1,0.0,0,3,1,0,4,Matches
1065,Michael Keane,eng ENG,DF,Everton,eng Premier League,32-295,1993,8.7,295,346,85.3,6122,2179,81,90,90.0,176,189,93.1,38,63,60.3,0,0.1,0.1,-0.1,1,14,1,0,23,Matches
1066,Ilan Kebbal,dz ALG,FWMF,Paris FC,fr Ligue 1,27-116,1998,10.6,558,685,81.5,9561,2903,274,302,90.7,216,257,84.0,56,88,63.6,4,1.8,2.3,+2.2,26,66,15,6,73,Matches
1067,Yassine Kechta,ma MAR,MF,Le Havre,fr Ligue 1,23-250,2002,6.5,137,182,75.3,2291,593,61,73,83.6,57,69,82.6,11,24,45.8,1,0.7,0.7,+0.3,5,11,5,2,18,Matches
1068,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,29-042,1996,6.4,420,495,84.8,7669,2508,147,162,90.7,239,266,89.8,26,49,53.1,0,0.0,0.1,0.0,0,42,1,0,41,Matches
1069,Mandela Keita,be BEL,MF,Parma,it Serie A,23-176,2002,6.9,175,205,85.4,2729,551,87,97,89.7,75,82,91.5,9,17,52.9,0,0.0,0.1,0.0,2,13,0,0,10,Matches
1070,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,26-344,1998,10.0,266,371,71.7,7663,5429,37,37,100.0,146,149,98.0,82,183,44.8,0,0.0,0.0,0.0,1,7,0,0,1,Matches
1071,Lloyd Kelly,eng ENG,DF,Juventus,it Serie A,27-027,1998,9.0,484,551,87.8,8860,2583,181,193,93.8,257,273,94.1,41,72,56.9,0,0.2,0.1,-0.2,3,40,0,0,47,Matches
1072,Aljoscha Kemlein,de GER,MF,Union Berlin,de Bundesliga,21-092,2004,3.4,101,139,72.7,1570,486,51,61,83.6,37,47,78.7,6,14,42.9,0,0.1,0.1,-0.1,4,13,3,0,13,Matches
1073,Marc-Oliver Kempf,de GER,DF,Como,it Serie A,30-278,1995,6.7,364,410,88.8,6111,1753,160,167,95.8,182,199,91.5,19,35,54.3,0,0.0,0.0,0.0,0,8,0,0,9,Matches
1074,Luca Kerber,de GER,MF,Heidenheim,de Bundesliga,23-237,2002,3.6,42,65,64.6,654,201,28,35,80.0,12,19,63.2,2,4,50.0,0,0.2,0.2,-0.2,2,4,1,0,4,Matches
1075,Milos Kerkez,hu HUN,DF,Liverpool,eng Premier League,21-360,2003,7.3,315,387,81.4,5128,1413,164,174,94.3,121,148,81.8,19,44,43.2,0,0.3,0.2,-0.3,4,29,7,2,34,Matches
1076,Kevin,br BRA,FWMF,Fulham,eng Premier League,22-302,2003,2.6,62,95,65.3,1168,344,29,35,82.9,17,25,68.0,13,24,54.2,0,0.3,0.2,-0.3,4,7,4,3,9,Matches
1077,Reda Khadra,de GER,FWMF,Le Havre,fr Ligue 1,24-121,2001,1.2,18,29,62.1,281,80,7,10,70.0,7,8,87.5,2,6,33.3,0,0.2,0.2,-0.2,2,0,0,0,2,Matches
1078,Bilal El Khannouss,ma MAR,MFFW,Stuttgart,de Bundesliga,21-176,2004,6.1,250,326,76.7,4338,1148,135,150,90.0,76,103,73.8,31,50,62.0,1,1.4,1.1,-0.4,18,21,15,4,42,Matches
1079,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,31-279,1994,8.8,135,202,66.8,2291,892,65,80,81.3,55,77,71.4,10,27,37.0,0,0.3,0.2,-0.3,5,16,4,2,19,Matches
1080,Abdukodir Khusanov,uz UZB,DF,Manchester City,eng Premier League,21-246,2004,2.5,121,148,81.8,1957,757,64,66,97.0,49,57,86.0,6,15,40.0,0,0.0,0.0,0.0,0,3,0,0,5,Matches
1081,Kialonda,ao ANG,DF,Lecce,it Serie A,28-036,1997,9.0,332,384,86.5,7202,2387,69,76,90.8,215,234,91.9,44,66,66.7,0,0.0,0.1,0.0,0,20,0,0,22,Matches
1082,Kiké,es ESP,FW,Espanyol,es La Liga,35-342,1989,3.9,59,96,61.5,896,135,37,50,74.0,17,27,63.0,4,7,57.1,0,0.7,1.2,-0.7,8,2,3,1,9,Matches
1083,Semih Kılıçsoy,tr TUR,FW,Cagliari,it Serie A,20-079,2005,0.5,6,9,66.7,80,10,5,6,83.3,1,1,100.0,0,0,,0,0.2,0.0,-0.2,2,0,0,0,0,Matches
1084,Max Kilman,eng ENG,DF,West Ham,eng Premier League,28-163,1997,9.0,366,408,89.7,7021,1962,110,115,95.7,221,229,96.5,30,56,53.6,0,0.2,0.2,-0.2,2,18,1,1,20,Matches
1085,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,30-267,1995,7.7,716,794,90.2,12376,3755,360,376,95.7,247,269,91.8,88,118,74.6,2,1.2,2.9,+0.8,15,87,16,2,71,Matches
1086,Joshua King,eng ENG,MFFW,Fulham,eng Premier League,18-303,2007,6.8,121,154,78.6,1763,381,70,83,84.3,45,54,83.3,3,6,50.0,0,0.2,0.3,-0.2,4,8,5,0,22,Matches
1087,Lukas Klostermann,de GER,FWDF,RB Leipzig,de Bundesliga,29-152,1996,0.0,4,4,100.0,93,62,1,1,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
1088,Justin Kluivert,nl NED,MF,Bournemouth,eng Premier League,26-181,1999,3.4,91,128,71.1,1319,320,45,58,77.6,36,45,80.0,4,15,26.7,0,0.4,0.7,-0.4,6,8,3,0,9,Matches
1089,Ruben Kluivert,nl NED,DF,Lyon,fr Ligue 1,24-165,2001,1.1,79,86,91.9,1365,362,35,38,92.1,42,44,95.5,2,3,66.7,1,0.1,0.2,+0.9,1,4,0,0,6,Matches
1090,Ansgar Knauff,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-296,2002,4.1,98,136,72.1,1258,252,56,65,86.2,32,46,69.6,2,5,40.0,0,1.2,0.7,-1.2,9,1,7,3,7,Matches
1091,Joe Knight,eng ENG,MF,Brighton,eng Premier League,20-042,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1092,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-331,1997,9.0,221,288,76.7,5590,4007,46,47,97.9,120,122,98.4,53,115,46.1,0,0.0,0.0,0.0,0,8,0,0,0,Matches
1093,Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,29-108,1996,9.0,641,702,91.3,12262,4225,221,235,94.0,364,376,96.8,53,82,64.6,0,0.1,0.6,-0.1,5,46,3,0,45,Matches
1094,Christian Kofane,cm CMR,FW,Leverkusen,de Bundesliga,19-099,2006,4.1,47,54,87.0,472,65,33,37,89.2,8,10,80.0,0,0,,0,0.3,0.2,-0.3,7,1,4,0,4,Matches
1095,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,29-017,1996,10.0,230,332,69.3,6301,3923,32,33,97.0,122,129,94.6,75,167,44.9,0,0.0,0.0,0.0,0,3,0,0,0,Matches
1096,Enzo Koffi Vinette,fr FRA,DFFW,Le Havre,fr Ligue 1,19-243,2006,0.1,6,8,75.0,104,34,3,4,75.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
1097,Derrick Köhn,gh GHA,DF,Union Berlin,de Bundesliga,26-271,1999,5.7,124,181,68.5,1845,580,76,85,89.4,33,49,67.3,11,27,40.7,0,0.1,0.2,-0.1,1,2,3,2,8,Matches
1098,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-214,1998,8.1,198,231,85.7,4478,3204,60,61,98.4,101,101,100.0,37,69,53.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1099,Dominik Kohr,de GER,DF,Mainz 05,de Bundesliga,31-275,1994,7.0,269,334,80.5,5325,1916,105,123,85.4,123,141,87.2,39,59,66.1,0,0.5,0.5,-0.5,5,30,5,0,44,Matches
1100,Koke,es ESP,MF,Atlético Madrid,es La Liga,33-298,1992,7.5,530,573,92.5,9429,2703,236,244,96.7,225,238,94.5,59,74,79.7,2,0.9,0.7,+1.1,10,64,10,2,49,Matches
1101,Luca Koleosho,it ITA,MFFW,Espanyol,es La Liga,21-048,2004,0.7,25,31,80.6,414,101,11,11,100.0,12,15,80.0,1,3,33.3,0,0.0,0.0,0.0,1,1,0,0,2,Matches
1102,Adam Kölle,de GER,DFMF,Heidenheim,de Bundesliga,19-188,2006,0.4,7,15,46.7,163,63,1,3,33.3,5,8,62.5,1,2,50.0,0,0.1,0.1,-0.1,1,1,1,1,3,Matches
1103,Randal Kolo Muani,fr FRA,FW,Tottenham,eng Premier League,26-332,1998,1.6,14,16,87.5,194,56,10,12,83.3,4,4,100.0,0,0,,0,0.1,0.0,-0.1,2,0,0,0,0,Matches
1104,Timothée Kolodziejczak,fr FRA,DF,Paris FC,fr Ligue 1,34-032,1991,1.0,79,89,88.8,1603,785,22,23,95.7,48,52,92.3,9,14,64.3,0,0.0,0.1,0.0,1,7,1,0,7,Matches
1105,Mert Kömür,de GER,FWMF,Augsburg,de Bundesliga,20-108,2005,6.9,162,221,73.3,2309,495,90,107,84.1,58,75,77.3,4,23,17.4,2,1.1,1.1,+0.9,11,9,7,2,19,Matches
1106,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,26-161,1999,9.2,537,599,89.6,9585,3047,206,223,92.4,297,323,92.0,27,41,65.9,0,0.5,0.3,-0.5,5,49,2,0,39,Matches
1107,Geoffrey Kondogbia,cf CTA,MFDF,Marseille,fr Ligue 1,32-260,1993,1.2,89,97,91.8,1393,353,47,49,95.9,34,37,91.9,5,6,83.3,0,0.0,0.1,0.0,0,11,1,0,8,Matches
1108,Ismaël Koné,ca CAN,MF,Sassuolo,it Serie A,23-149,2002,6.2,156,178,87.6,2791,662,64,71,90.1,68,72,94.4,22,25,88.0,0,0.3,0.2,-0.3,6,20,2,1,19,Matches
1109,Manu Koné,fr FRA,MF,Roma,it Serie A,24-169,2001,9.0,399,434,91.9,6774,1793,182,198,91.9,180,188,95.7,26,29,89.7,0,0.8,0.7,-0.8,9,36,8,0,57,Matches
1110,Ransford Königsdörffer,gh GHA,FW,Hamburger SV,de Bundesliga,24-050,2001,6.6,82,116,70.7,1242,216,42,59,71.2,37,45,82.2,1,5,20.0,1,0.4,0.2,+0.6,5,8,2,1,10,Matches
1111,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,28-010,1997,8.7,540,569,94.9,9454,3159,223,225,99.1,288,296,97.3,27,41,65.9,0,0.0,0.1,0.0,1,37,1,0,28,Matches
