,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
134,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-252,2004,7.4,383,446,85.9,6851,2401,173,192,90.1,159,176,90.3,45,62,72.6,1,0.5,0.4,+0.5,6,33,3,1,36,Matches
135,Ezequiel Ávila,ar ARG,FWMF,Betis,es La Liga,31-269,1994,0.5,10,13,76.9,130,48,4,5,80.0,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
136,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-322,2004,8.4,348,421,82.7,6013,1764,170,187,90.9,142,168,84.5,31,47,66.0,1,1.3,1.7,-0.3,14,36,12,3,48,Matches
137,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-305,1997,9.8,550,630,87.3,11704,4256,150,163,92.0,316,333,94.9,79,120,65.8,0,0.1,0.2,-0.1,4,25,4,0,17,Matches
138,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,28-082,1997,1.1,18,21,85.7,266,27,10,10,100.0,8,9,88.9,0,0,,0,0.1,0.0,-0.1,2,0,0,0,1,Matches
139,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-027,2003,8.7,345,410,84.1,5825,1350,162,177,91.5,153,172,89.0,24,42,57.1,0,0.3,0.5,-0.3,8,20,5,1,31,Matches
140,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-123,2001,2.6,89,103,86.4,1379,314,45,50,90.0,40,46,87.0,3,3,100.0,0,0.1,0.0,-0.1,1,9,0,0,8,Matches
141,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-066,1989,5.5,291,344,84.6,4861,1880,138,150,92.0,129,144,89.6,20,42,47.6,0,0.0,0.1,0.0,1,19,2,1,13,Matches
142,Oussama El Azzouzi,ma MAR,MFDF,Auxerre,fr Ligue 1,24-157,2001,2.2,96,108,88.9,1677,438,52,57,91.2,28,32,87.5,14,15,93.3,0,0.0,0.1,0.0,1,13,0,0,11,Matches
143,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-200,2004,7.0,219,256,85.5,5122,3086,47,47,100.0,130,132,98.5,41,75,54.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
144,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-205,2000,6.9,470,519,90.6,8129,3363,203,212,95.8,236,259,91.1,28,42,66.7,0,0.1,0.2,-0.1,2,31,0,0,17,Matches
145,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-221,2001,0.7,53,57,93.0,989,427,22,23,95.7,24,24,100.0,7,10,70.0,0,0.0,0.0,0.0,0,6,1,0,4,Matches
146,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-105,2001,3.1,105,144,72.9,1750,607,52,56,92.9,44,55,80.0,9,24,37.5,1,2.2,1.1,-1.2,12,9,11,1,20,Matches
147,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-216,2004,8.5,332,359,92.5,6322,2196,107,114,93.9,192,198,97.0,30,41,73.2,0,0.5,0.1,-0.5,1,18,0,0,23,Matches
148,Leon Bailey,jm JAM,MFFW,Roma,it Serie A,28-085,1997,1.2,24,36,66.7,336,47,17,20,85.0,7,11,63.6,0,2,0.0,0,0.0,0.1,0.0,2,0,0,0,1,Matches
149,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-204,1994,3.0,124,139,89.2,2529,832,24,26,92.3,88,92,95.7,11,19,57.9,0,0.0,0.2,0.0,0,4,0,0,5,Matches
