,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
33,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-036,1999,5.4,248,194,54,5,0,3,7,49,0,0,0,0,198,0,8,Matches
34,Marc Aguado,es ESP,MF,Elche,es La Liga,25-253,2000,6.0,352,346,5,5,0,0,0,0,0,0,0,0,321,1,4,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-217,1996,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,Matches
36,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-217,1996,7.0,680,655,24,12,0,4,0,1,0,0,0,0,640,1,1,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-190,1993,8.1,425,359,62,2,0,0,43,60,0,0,0,0,331,4,10,Matches
38,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-252,2008,4.2,195,192,3,3,0,1,1,0,0,0,0,0,172,0,1,Matches
39,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-276,1995,4.1,193,149,43,0,2,2,4,43,0,0,0,0,146,1,5,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-034,1995,1.0,36,34,2,1,0,0,0,0,0,0,0,0,33,0,1,Matches
41,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-025,1996,3.0,157,131,26,5,0,1,13,20,1,0,0,0,125,0,5,Matches
42,Abdelhamid Ait Boudlal,ma MAR,DFMF,Rennes,fr Ligue 1,19-200,2006,2.2,85,79,6,5,0,2,1,1,0,0,0,0,72,0,0,Matches
43,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-149,2001,2.2,121,100,21,2,0,0,2,19,0,0,0,0,105,0,6,Matches
44,Tosin Aiyegun,bj BEN,MFFW,Lorient,fr Ligue 1,27-129,1998,5.6,102,97,4,0,1,0,2,3,0,0,0,0,75,1,5,Matches
45,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-022,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-199,1998,4.3,155,139,15,0,0,1,2,15,0,0,0,0,106,1,3,Matches
47,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-250,1994,9.9,265,259,6,1,1,4,1,0,0,0,0,0,183,0,1,Matches
48,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-106,1995,7.0,522,490,30,15,0,7,3,15,0,0,0,0,469,2,3,Matches
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-257,1995,2.3,171,157,14,6,0,2,2,5,0,0,0,0,155,0,0,Matches
50,Ilias Akhomach,ma MAR,MFFW,Villarreal,es La Liga,21-200,2004,1.7,58,51,5,2,0,0,7,0,3,2,0,0,44,2,1,Matches
51,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20-342,2004,6.6,192,182,9,3,2,2,6,1,0,0,0,0,165,1,1,Matches
52,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,23-250,2002,8.8,407,388,18,4,6,2,20,7,6,1,4,0,328,1,6,Matches
53,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-343,2001,9.0,505,452,52,30,0,7,21,3,10,1,9,0,402,1,7,Matches
54,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-022,1992,3.0,70,68,2,2,0,0,1,0,0,0,0,0,49,0,4,Matches
55,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-197,1995,0.3,9,8,1,0,0,0,0,0,0,0,0,0,5,0,0,Matches
56,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-131,1992,0.6,50,45,5,4,1,0,0,1,0,0,0,0,48,0,0,Matches
57,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-059,1985,1.5,104,102,2,2,0,0,0,0,0,0,0,0,98,0,0,Matches
58,Carlos Alcaraz,ar ARG,FWMF,Everton,eng Premier League,22-337,2002,2.7,88,81,6,2,1,0,2,0,1,0,0,0,69,1,1,Matches
59,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-311,1996,7.4,369,362,7,6,1,4,4,1,0,0,0,0,311,0,3,Matches
60,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-215,1998,5.6,88,77,9,0,1,0,2,0,0,0,0,0,54,2,4,Matches
61,Carles Aleñá,es ESP,MFFW,Alavés,es La Liga,27-301,1998,7.0,340,296,44,16,0,2,36,3,25,8,6,0,272,0,5,Matches
62,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-026,1998,1.7,141,120,19,1,0,1,10,16,2,1,1,0,111,2,2,Matches
63,Alfon,es ESP,FWDF,Sevilla,es La Liga,26-182,1999,2.1,47,42,5,0,0,1,3,5,0,0,0,0,35,0,1,Matches
64,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-287,2004,2.5,50,48,2,0,2,0,7,0,0,0,0,0,35,0,4,Matches
65,Alisson,br BRA,GK,Liverpool,eng Premier League,33-031,1992,6.0,254,225,29,14,0,1,0,0,0,0,0,0,211,0,0,Matches
66,Jim Allevinah,ga GAB,FWDF,Angers,fr Ligue 1,30-248,1995,0.9,13,12,0,0,0,0,1,0,0,0,0,0,10,1,0,Matches
67,Thiago Almada,ar ARG,MFFW,Atlético Madrid,es La Liga,24-190,2001,3.0,167,156,11,3,3,1,8,3,5,1,3,0,139,0,3,Matches
68,Domingos André Ribeiro Almeida,pt POR,FWMF,Valencia,es La Liga,25-156,2000,1.8,105,96,9,3,0,1,7,0,6,4,1,0,87,0,2,Matches
69,Pontus Almqvist,se SWE,DFMF,Parma,it Serie A,26-115,1999,3.9,80,79,1,1,0,0,4,0,0,0,0,0,60,0,1,Matches
70,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-309,1990,6.3,485,445,37,22,4,5,6,12,0,0,0,0,429,3,6,Matches
71,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-219,2001,0.1,8,7,1,1,0,0,0,0,0,0,0,0,8,0,0,Matches
72,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-069,2001,5.0,283,272,11,10,1,0,1,1,0,0,0,0,261,0,1,Matches
73,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-088,2003,6.5,223,199,23,10,7,0,14,1,11,3,4,0,172,1,3,Matches
74,Hugo Álvarez,es ESP,FWMF,Celta Vigo,es La Liga,22-123,2003,3.8,160,153,6,0,0,0,4,6,0,0,0,0,130,1,7,Matches
75,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-275,2000,9.4,316,268,46,8,7,2,31,1,25,9,12,0,251,2,8,Matches
76,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-182,2002,0.4,24,24,0,0,0,0,0,0,0,0,0,0,23,0,0,Matches
77,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-053,2003,0.4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
78,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-094,2003,1.2,88,76,12,7,0,3,0,4,0,0,0,0,73,0,1,Matches
79,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-267,1998,10.0,467,372,93,16,0,1,10,76,0,0,0,0,366,2,7,Matches
80,Mohamed Amine Sbai,fr FRA,FW,Angers,fr Ligue 1,24-362,2000,1.8,57,51,6,0,1,1,9,0,6,6,0,0,35,0,1,Matches
81,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-264,1996,7.7,402,342,60,6,3,1,16,54,0,0,0,0,335,0,6,Matches
82,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29-006,1996,8.5,539,463,70,37,2,6,36,4,22,12,4,0,428,6,12,Matches
83,Samuel Amo-Ameyaw,eng ENG,DFFW,Strasbourg,fr Ligue 1,19-107,2006,2.8,111,101,10,2,1,0,14,5,3,2,0,0,92,0,1,Matches
84,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-288,2006,1.8,64,63,1,1,1,0,0,0,0,0,0,0,57,0,1,Matches
85,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-177,2000,5.1,131,120,11,0,2,0,9,2,0,0,0,0,87,0,10,Matches
86,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-049,2000,7.7,487,443,44,23,2,1,6,21,0,0,0,0,410,0,4,Matches
87,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-073,1996,4.2,263,252,11,9,0,4,2,1,1,0,0,0,234,0,5,Matches
88,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-155,1996,8.5,548,501,45,31,0,13,3,5,0,0,0,0,458,2,3,Matches
89,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-361,2002,10.0,793,731,61,19,3,7,46,4,30,15,14,0,660,1,9,Matches
90,André,br BRA,MF,Wolves,eng Premier League,24-109,2001,6.8,322,317,3,2,0,2,1,1,0,0,0,0,292,2,4,Matches
91,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-091,1990,7.9,414,395,18,18,3,6,6,0,0,0,0,0,343,1,11,Matches
92,Robert Andrich,de GER,MFDF,Leverkusen,de Bundesliga,31-041,1994,5.7,293,283,10,6,0,3,2,4,0,0,0,0,255,0,1,Matches
93,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-236,1998,1.4,44,40,4,1,0,0,0,0,0,0,0,0,36,0,0,Matches
94,Angeliño,es ESP,DFMF,Roma,it Serie A,28-302,1997,4.3,244,200,43,5,0,2,14,38,0,0,0,0,183,1,6,Matches
95,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-026,2003,4.8,144,106,37,14,0,1,22,16,7,3,3,0,87,1,7,Matches
96,Faustino Anjorin,eng ENG,MFFW,Torino,it Serie A,23-344,2001,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
97,Ilyas Ansah,de GER,MFFW,Union Berlin,de Bundesliga,20-359,2004,6.6,102,100,2,0,0,1,8,2,0,0,0,0,81,0,6,Matches
98,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-187,2005,1.8,134,130,4,4,0,0,0,0,0,0,0,0,122,0,0,Matches
99,Jaidon Anthony,eng ENG,MFFW,Burnley,eng Premier League,25-336,1999,9.0,242,214,27,1,1,0,20,6,8,6,1,1,166,1,8,Matches
100,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-105,1996,9.0,786,760,24,13,0,3,4,11,0,0,0,0,713,2,4,Matches
101,Antoniu,es ESP,FW,Espanyol,es La Liga,23-058,2002,0.4,19,19,0,0,0,0,1,0,0,0,0,0,16,0,2,Matches
102,Antony,br BRA,FW,Betis,es La Liga,25-251,2000,5.6,314,290,24,9,0,4,27,7,8,5,2,0,241,0,8,Matches
103,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,38-272,1987,2.2,54,46,8,1,1,1,0,0,0,0,0,0,32,0,1,Matches
104,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-033,1995,10.8,253,248,4,3,0,1,4,0,1,1,0,0,190,1,7,Matches
105,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-102,2002,9.0,522,416,102,13,0,1,16,89,0,0,0,0,390,4,15,Matches
106,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-240,1999,4.7,314,299,15,8,1,0,2,5,0,0,0,0,287,0,1,Matches
107,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-127,1996,9.7,494,411,79,16,0,2,3,63,0,0,0,0,434,4,4,Matches
108,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-248,1993,5.0,171,120,50,12,0,0,0,0,0,0,0,0,106,1,0,Matches
109,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-123,1999,8.2,403,310,92,8,0,3,41,84,0,0,0,0,294,1,9,Matches
110,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-042,1997,6.1,224,193,31,4,0,2,26,2,16,12,2,0,188,0,4,Matches
111,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-287,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Hákon Arnar Haraldsson,is ISL,MFFW,Lille,fr Ligue 1,22-206,2003,8.2,396,352,43,5,4,2,34,2,24,12,10,0,320,1,7,Matches
113,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-159,1994,7.0,380,336,44,25,0,6,33,0,19,11,7,0,312,0,2,Matches
114,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24-344,2000,2.3,28,28,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
115,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-301,1998,4.2,202,195,6,6,1,2,2,0,0,0,0,0,170,1,4,Matches
116,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-230,2003,4.0,168,145,23,0,0,1,9,23,0,0,0,0,132,0,4,Matches
117,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,30-357,1994,2.8,46,46,0,0,0,0,3,0,0,0,0,0,30,0,2,Matches
118,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-262,2003,3.5,219,204,15,7,0,2,1,5,0,0,0,0,210,0,3,Matches
119,Fisnik Asllani,xk KVX,FWMF,Hoffenheim,de Bundesliga,23-086,2002,6.7,151,145,6,0,2,0,1,2,0,0,0,0,98,0,3,Matches
120,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-238,2002,6.3,339,291,46,21,1,2,27,3,16,8,8,0,274,2,3,Matches
121,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-189,1999,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
122,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,38-093,1987,4.1,240,226,12,4,6,4,12,1,7,4,0,0,188,2,10,Matches
123,Yaser Asprilla,co COL,FWMF,Girona,es La Liga,21-348,2003,4.7,128,111,17,5,0,2,30,0,11,3,6,0,90,0,5,Matches
124,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-133,2000,3.5,177,147,30,4,0,0,17,26,0,0,0,0,137,0,3,Matches
125,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-199,2005,4.4,157,139,16,7,0,3,19,0,9,6,3,0,102,2,2,Matches
126,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-195,2002,8.4,561,540,20,13,0,5,1,1,0,0,0,0,495,1,0,Matches
127,Zachary Athekame,ch SUI,DFFW,Milan,it Serie A,20-324,2004,1.2,55,52,3,0,0,1,4,3,0,0,0,0,45,0,2,Matches
128,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-292,2003,9.5,365,332,33,11,0,3,25,8,14,10,1,0,293,0,11,Matches
129,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-161,2002,9.0,393,314,77,28,0,2,0,0,0,0,0,0,266,2,0,Matches
130,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-137,1989,6.0,125,117,8,0,2,0,11,1,0,0,0,0,96,0,5,Matches
131,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-288,1997,6.0,261,201,58,20,0,0,0,0,0,0,0,0,162,2,0,Matches
132,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-299,1999,3.2,161,144,17,4,1,1,7,13,0,0,0,0,137,0,1,Matches
133,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-338,2000,2.0,109,104,5,3,0,1,0,2,0,0,0,0,100,0,0,Matches
134,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-252,2004,7.4,446,425,21,14,0,4,9,5,2,1,0,0,383,0,5,Matches
135,Ezequiel Ávila,ar ARG,FWMF,Betis,es La Liga,31-269,1994,0.5,13,11,2,1,0,0,1,0,1,0,1,0,10,0,0,Matches
136,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-322,2004,8.4,421,386,32,18,5,1,20,3,7,4,1,0,348,3,12,Matches
137,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-305,1997,9.8,630,546,83,31,1,9,0,2,0,0,0,0,550,1,5,Matches
138,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,28-082,1997,1.1,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0,Matches
139,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-027,2003,8.7,410,380,26,10,0,2,18,0,16,9,1,0,345,4,5,Matches
140,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-123,2001,2.6,103,102,1,1,1,0,1,0,0,0,0,0,89,0,1,Matches
141,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-066,1989,5.5,344,290,54,15,0,1,7,39,0,0,0,0,291,0,2,Matches
142,Oussama El Azzouzi,ma MAR,MFDF,Auxerre,fr Ligue 1,24-157,2001,2.2,108,103,4,3,0,2,0,0,1,0,0,0,96,1,1,Matches
143,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-200,2004,7.0,256,213,42,11,0,0,0,0,0,0,0,0,219,1,0,Matches
144,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-205,2000,6.9,519,507,12,11,1,2,0,1,0,0,0,0,470,0,1,Matches
145,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-221,2001,0.7,57,53,4,1,0,0,0,0,0,0,0,0,53,0,0,Matches
146,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-105,2001,3.1,144,119,22,3,2,0,23,0,18,9,7,0,105,3,4,Matches
147,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-216,2004,8.5,359,338,19,13,0,2,0,1,0,0,0,0,332,2,0,Matches
148,Leon Bailey,jm JAM,MFFW,Roma,it Serie A,28-085,1997,1.2,36,33,3,3,0,0,6,0,0,0,0,0,24,0,2,Matches
149,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-204,1994,3.0,139,131,8,6,0,1,0,1,0,0,0,0,124,0,0,Matches
150,Theo Bair,ca CAN,MFFW,Auxerre,fr Ligue 1,26-067,1999,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
151,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-205,1991,0.8,17,16,1,0,0,0,1,0,0,0,0,0,11,0,0,Matches
152,Johan Bakayoko,be BEL,FW,RB Leipzig,de Bundesliga,22-196,2003,5.9,187,183,4,0,2,1,9,4,0,0,0,0,155,0,4,Matches
153,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17-337,2007,0.3,24,24,0,0,0,0,1,0,0,0,0,0,22,0,0,Matches
154,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-208,1998,8.9,612,530,81,11,1,4,13,68,2,0,0,0,510,1,16,Matches
155,Dilane Bakwa,fr FRA,FWMF,Nott'ham Forest,eng Premier League,23-068,2002,1.9,96,89,7,2,0,1,13,2,3,3,0,0,72,0,2,Matches
156,Dilane Bakwa,fr FRA,DFMF,Strasbourg,fr Ligue 1,23-068,2002,1.2,50,45,5,0,2,2,7,1,4,2,2,0,40,0,1,Matches
157,Tommaso Baldanzi,it ITA,MFFW,Roma,it Serie A,22-224,2003,1.5,55,50,5,1,0,0,6,0,2,1,1,0,45,0,2,Matches
158,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,22-015,2003,4.8,282,251,31,3,0,0,6,28,0,0,0,0,257,0,2,Matches
159,Fabio Baldé,pt POR,FWMF,Hamburger SV,de Bundesliga,20-105,2005,0.8,24,22,2,0,0,0,4,2,0,0,0,0,15,0,1,Matches
160,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-303,2004,6.3,247,245,2,1,2,1,0,1,0,0,0,0,208,0,3,Matches
161,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-280,1999,6.7,508,480,28,16,1,1,1,1,0,0,0,0,482,0,2,Matches
162,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26-041,1999,4.5,141,128,13,1,0,0,0,0,0,0,0,0,115,0,0,Matches
163,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-305,1992,1.5,101,86,15,0,0,0,5,15,0,0,0,0,84,0,0,Matches
164,Fodé Ballo-Touré,sn SEN,DF,Metz,fr Ligue 1,28-303,1997,2.5,155,130,24,4,0,1,3,20,0,0,0,0,139,1,3,Matches
165,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,24-122,2001,6.0,115,107,8,0,0,0,2,0,0,0,0,0,80,0,5,Matches
166,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,35-191,1990,0.1,8,6,2,0,0,0,1,2,0,0,0,0,5,0,0,Matches
167,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,19-111,2006,1.5,124,122,2,1,0,0,0,1,0,0,0,0,114,0,1,Matches
168,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,23-327,2001,5.5,85,70,14,0,2,0,2,0,0,0,0,0,61,1,5,Matches
169,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,24-277,2001,2.5,65,61,4,1,1,0,10,2,1,1,0,0,49,0,4,Matches
170,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18-336,2006,4.2,220,209,10,8,0,1,1,0,0,0,0,0,198,1,1,Matches
171,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,de Bundesliga,20-259,2005,3.0,112,108,3,3,0,0,1,0,0,0,0,0,87,1,0,Matches
172,Tommaso Barbieri,it ITA,FWDF,Cremonese,it Serie A,23-068,2002,3.5,109,93,16,3,0,2,14,13,0,0,0,0,67,0,6,Matches
173,Valentín Barco,ar ARG,MFDF,Strasbourg,fr Ligue 1,21-102,2004,9.0,561,497,62,40,13,0,26,13,9,2,5,0,463,2,7,Matches
174,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,23-061,2002,7.0,286,283,2,1,1,1,6,1,0,0,0,0,240,1,6,Matches
175,Melvin Bard,fr FRA,DFMF,Nice,fr Ligue 1,24-361,2000,10.5,497,419,76,8,2,2,31,67,0,0,0,0,372,2,14,Matches
