,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
54,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-022,1992,3.0,2,0.66,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
55,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-197,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-131,1992,0.6,1,1.58,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-059,1985,1.5,2,1.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Carlos Alcaraz,ar ARG,FWMF,Everton,eng Premier League,22-337,2002,2.7,7,2.64,3,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
59,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-311,1996,7.4,7,0.94,6,0,0,0,1,0,1,0.13,1,0,0,0,0,0,Matches
60,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-215,1998,5.6,5,0.89,3,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
61,Carles Aleñá,es ESP,MFFW,Alavés,es La Liga,27-301,1998,7.0,25,3.55,18,6,0,0,1,0,3,0.43,3,0,0,0,0,0,Matches
62,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-026,1998,1.7,5,2.98,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Alfon,es ESP,FWDF,Sevilla,es La Liga,26-182,1999,2.1,6,2.89,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-287,2004,2.5,10,4.05,10,0,0,0,0,0,4,1.62,4,0,0,0,0,0,Matches
65,Alisson,br BRA,GK,Liverpool,eng Premier League,33-031,1992,6.0,1,0.17,1,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
66,Jim Allevinah,ga GAB,FWDF,Angers,fr Ligue 1,30-248,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Thiago Almada,ar ARG,MFFW,Atlético Madrid,es La Liga,24-190,2001,3.0,12,4.06,10,0,1,1,0,0,3,1.02,2,0,0,1,0,0,Matches
68,Domingos André Ribeiro Almeida,pt POR,FWMF,Valencia,es La Liga,25-156,2000,1.8,7,3.87,6,0,0,1,0,0,1,0.55,1,0,0,0,0,0,Matches
69,Pontus Almqvist,se SWE,DFMF,Parma,it Serie A,26-115,1999,3.9,13,3.34,9,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
70,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-309,1990,6.3,6,0.96,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-219,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-069,2001,5.0,7,1.40,6,0,0,0,0,1,1,0.20,1,0,0,0,0,0,Matches
73,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-088,2003,6.5,22,3.41,19,1,0,1,1,0,3,0.46,2,0,0,0,1,0,Matches
74,Hugo Álvarez,es ESP,FWMF,Celta Vigo,es La Liga,22-123,2003,3.8,9,2.36,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
75,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-275,2000,9.4,38,4.03,26,7,2,1,2,0,3,0.32,2,0,0,0,1,0,Matches
76,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-182,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-053,2003,0.4,1,2.73,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-094,2003,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-267,1998,10.0,7,0.70,6,1,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
