,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1051,Harry Kane,eng ENG,FWMF,Bayern Munich,de Bundesliga,32-097,1993,7.8,326,15,57,125,147,41,322,16,7,43.8,5,31.3,197,815,416,8,6,5,13,9,251,33,Matches
1052,Lee Kang-in,kr KOR,MF,Paris S-G,fr Ligue 1,24-256,2001,5.6,478,6,45,211,224,17,478,14,6,42.9,7,50.0,325,1646,574,8,15,3,10,5,389,38,Matches
1053,Adam Karabec,cz CZE,FW,Lyon,fr Ligue 1,22-123,2003,6.9,261,1,25,89,148,14,261,15,7,46.7,6,40.0,149,773,352,15,13,4,15,3,198,49,Matches
1054,Atakan Karazor,,MF,Stuttgart,de Bundesliga,29-020,1996,5.2,340,26,73,207,62,5,340,4,1,25.0,3,75.0,154,583,247,3,7,0,6,3,225,11,Matches
1055,Dermane Karim,tg TOG,MFFW,Lorient,fr Ligue 1,21-330,2003,5.4,237,4,45,128,72,7,237,10,3,30.0,4,40.0,167,1180,561,18,10,2,11,12,171,29,Matches
1056,Lennart Karl,de GER,FW,Bayern Munich,de Bundesliga,17-253,2008,2.2,194,2,13,57,124,19,194,14,4,28.6,8,57.1,145,807,327,10,3,7,6,7,162,46,Matches
1057,Jesper Karlström,se SWE,MF,Udinese,it Serie A,30-134,1995,10.0,507,38,140,296,75,8,507,9,5,55.6,3,33.3,237,1248,615,12,10,1,8,6,286,9,Matches
1058,Jon Karrikaburu,es ESP,FWMF,Real Sociedad,es La Liga,23-044,2002,0.8,26,0,1,10,16,10,26,1,0,0.0,1,100.0,18,60,20,1,0,1,6,0,20,6,Matches
1059,Grigoris Kastanos,cy CYP,MF,Hellas Verona,it Serie A,27-276,1998,0.2,20,1,7,8,6,1,20,1,0,0.0,1,100.0,5,29,22,1,1,0,0,1,7,0,Matches
1060,Panos Katseris,gr GRE,MFDF,Lorient,fr Ligue 1,24-120,2001,1.4,100,1,15,29,60,15,100,6,1,16.7,5,83.3,58,298,119,3,1,0,3,1,60,18,Matches
1061,Mikkel Kaufmann,dk DEN,FW,Heidenheim,de Bundesliga,24-303,2001,4.0,101,4,14,46,44,12,101,1,0,0.0,0,0.0,46,231,86,2,2,1,7,6,71,13,Matches
1062,Sota Kawasaki,jp JPN,MF,Mainz 05,de Bundesliga,24-095,2001,0.2,9,0,1,4,4,0,9,1,0,0.0,1,100.0,3,48,7,0,1,0,0,0,5,1,Matches
1063,Michael Kayode,it ITA,DF,Brentford,eng Premier League,21-115,2004,9.6,523,41,180,200,151,8,523,32,16,50.0,12,37.5,223,1407,730,18,13,2,9,10,244,39,Matches
1064,Moise Kean,it ITA,FW,Fiorentina,it Serie A,25-247,2000,8.8,171,4,7,72,97,31,170,27,8,29.6,16,59.3,112,621,249,12,9,7,23,15,130,37,Matches
1065,Michael Keane,eng ENG,DF,Everton,eng Premier League,32-295,1993,8.7,458,70,236,199,28,13,458,2,2,100.0,0,0.0,249,962,451,2,1,0,3,1,268,1,Matches
1066,Ilan Kebbal,dz ALG,FWMF,Paris FC,fr Ligue 1,27-116,1998,10.6,788,11,83,409,306,44,787,29,13,44.8,14,48.3,511,3014,1554,39,33,18,18,18,634,83,Matches
1067,Yassine Kechta,ma MAR,MF,Le Havre,fr Ligue 1,23-250,2002,6.5,252,4,48,135,71,9,252,8,3,37.5,4,50.0,134,685,367,10,5,0,19,10,156,28,Matches
1068,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,29-042,1996,6.4,585,40,176,370,39,9,585,0,0,,0,,344,1821,1248,7,6,0,4,0,409,1,Matches
1069,Mandela Keita,be BEL,MF,Parma,it Serie A,23-176,2002,6.9,268,14,74,159,39,1,268,12,5,41.7,6,50.0,158,794,354,6,6,0,8,7,156,4,Matches
1070,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,26-344,1998,10.0,386,286,369,17,0,0,386,1,0,0.0,0,0.0,210,918,573,0,0,0,0,0,201,0,Matches
1071,Lloyd Kelly,eng ENG,DF,Juventus,it Serie A,27-027,1998,9.0,638,74,276,293,73,11,638,7,6,85.7,1,14.3,360,1965,1057,10,4,1,11,4,428,11,Matches
1072,Aljoscha Kemlein,de GER,MF,Union Berlin,de Bundesliga,21-092,2004,3.4,175,8,37,100,40,4,175,7,5,71.4,2,28.6,80,308,161,3,4,1,3,4,89,7,Matches
1073,Marc-Oliver Kempf,de GER,DF,Como,it Serie A,30-278,1995,6.7,482,81,267,198,18,11,482,1,0,0.0,1,100.0,264,1187,725,5,1,0,4,0,330,1,Matches
1074,Luca Kerber,de GER,MF,Heidenheim,de Bundesliga,23-237,2002,3.6,95,12,32,40,24,8,95,1,0,0.0,1,100.0,39,177,87,3,1,1,1,3,50,14,Matches
1075,Milos Kerkez,hu HUN,DF,Liverpool,eng Premier League,21-360,2003,7.3,475,29,156,195,128,15,475,5,3,60.0,2,40.0,233,1128,597,12,17,0,9,1,288,38,Matches
1076,Kevin,br BRA,FWMF,Fulham,eng Premier League,22-302,2003,2.6,145,5,28,59,65,10,145,27,15,55.6,10,37.0,88,841,475,21,14,8,11,9,100,22,Matches
1077,Reda Khadra,de GER,FWMF,Le Havre,fr Ligue 1,24-121,2001,1.2,42,0,5,9,31,4,42,5,4,80.0,1,20.0,26,169,77,4,3,0,3,2,26,7,Matches
1078,Bilal El Khannouss,ma MAR,MFFW,Stuttgart,de Bundesliga,21-176,2004,6.1,381,4,30,179,176,10,381,10,6,60.0,4,40.0,200,1148,584,20,11,2,13,6,297,45,Matches
1079,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,31-279,1994,8.8,305,33,100,161,48,6,305,3,0,0.0,3,100.0,116,555,278,5,4,2,6,3,123,8,Matches
1080,Abdukodir Khusanov,uz UZB,DF,Manchester City,eng Premier League,21-246,2004,2.5,177,19,88,70,19,0,177,3,2,66.7,1,33.3,85,403,196,2,3,0,1,1,102,4,Matches
1081,Kialonda,ao ANG,DF,Lecce,it Serie A,28-036,1997,9.0,471,53,201,256,14,10,471,2,1,50.0,1,50.0,224,785,344,1,0,0,3,0,290,2,Matches
1082,Kiké,es ESP,FW,Espanyol,es La Liga,35-342,1989,3.9,144,1,5,56,83,29,143,6,3,50.0,3,50.0,66,330,91,5,2,3,14,7,101,30,Matches
1083,Semih Kılıçsoy,tr TUR,FW,Cagliari,it Serie A,20-079,2005,0.5,15,0,2,6,8,4,15,2,1,50.0,1,50.0,7,51,1,0,1,1,0,2,11,3,Matches
1084,Max Kilman,eng ENG,DF,West Ham,eng Premier League,28-163,1997,9.0,508,103,277,222,12,3,508,4,3,75.0,1,25.0,279,1562,930,3,4,0,1,2,317,1,Matches
1085,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,30-267,1995,7.7,847,17,147,481,225,10,847,6,3,50.0,2,33.3,564,2612,1298,10,10,0,7,2,676,14,Matches
1086,Joshua King,eng ENG,MFFW,Fulham,eng Premier League,18-303,2007,6.8,225,4,36,113,82,24,225,15,8,53.3,6,40.0,153,1175,549,17,16,5,21,10,170,37,Matches
1087,Lukas Klostermann,de GER,FWDF,RB Leipzig,de Bundesliga,29-152,1996,0.0,5,0,3,2,0,0,5,0,0,,0,,1,3,0,0,0,0,0,0,2,0,Matches
1088,Justin Kluivert,nl NED,MF,Bournemouth,eng Premier League,26-181,1999,3.4,163,2,12,67,86,11,163,11,5,45.5,6,54.5,89,473,296,9,8,1,5,7,109,24,Matches
1089,Ruben Kluivert,nl NED,DF,Lyon,fr Ligue 1,24-165,2001,1.1,99,7,46,48,7,4,99,0,0,,0,,57,277,147,2,2,0,1,0,66,1,Matches
1090,Ansgar Knauff,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-296,2002,4.1,180,2,20,56,111,18,180,8,4,50.0,4,50.0,108,805,412,17,9,6,13,6,127,52,Matches
1091,Joe Knight,eng ENG,MF,Brighton,eng Premier League,20-042,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
1092,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-331,1997,9.0,302,239,298,4,0,0,302,0,0,,0,,189,993,542,0,0,0,0,0,173,0,Matches
1093,Robin Koch,de GER,DF,Eint Frankfurt,de Bundesliga,29-108,1996,9.0,816,105,364,422,32,14,816,0,0,,0,,493,1840,988,2,2,0,6,1,590,5,Matches
1094,Christian Kofane,cm CMR,FW,Leverkusen,de Bundesliga,19-099,2006,4.1,98,8,13,27,59,24,98,5,4,80.0,1,20.0,51,268,158,9,2,6,10,4,73,24,Matches
1095,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,29-017,1996,10.0,370,337,367,3,0,0,370,0,0,,0,,194,1067,780,0,0,0,1,0,163,0,Matches
1096,Enzo Koffi Vinette,fr FRA,DFFW,Le Havre,fr Ligue 1,19-243,2006,0.1,9,1,4,4,1,0,9,0,0,,0,,4,42,23,1,0,0,0,0,6,0,Matches
1097,Derrick Köhn,gh GHA,DF,Union Berlin,de Bundesliga,26-271,1999,5.7,259,18,64,103,95,11,259,10,3,30.0,7,70.0,110,490,209,6,4,1,15,10,122,24,Matches
1098,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-214,1998,8.1,241,184,239,2,0,0,241,0,0,,0,,134,716,461,0,0,0,0,1,109,0,Matches
1099,Dominik Kohr,de GER,DF,Mainz 05,de Bundesliga,31-275,1994,7.0,407,34,150,196,61,20,407,3,2,66.7,1,33.3,204,849,413,6,3,2,5,0,230,9,Matches
1100,Koke,es ESP,MF,Atlético Madrid,es La Liga,33-298,1992,7.5,625,19,134,397,98,5,625,3,1,33.3,2,66.7,399,1518,736,2,8,0,4,6,504,7,Matches
1101,Luca Koleosho,it ITA,MFFW,Espanyol,es La Liga,21-048,2004,0.7,50,0,8,21,24,1,50,7,4,57.1,3,42.9,26,270,65,3,2,0,6,1,30,7,Matches
1102,Adam Kölle,de GER,DFMF,Heidenheim,de Bundesliga,19-188,2006,0.4,24,1,6,10,8,3,24,1,0,0.0,1,100.0,9,22,4,0,0,0,1,0,14,2,Matches
1103,Randal Kolo Muani,fr FRA,FW,Tottenham,eng Premier League,26-332,1998,1.6,32,2,7,16,10,2,32,2,0,0.0,2,100.0,19,81,26,1,0,1,8,2,23,7,Matches
1104,Timothée Kolodziejczak,fr FRA,DF,Paris FC,fr Ligue 1,34-032,1991,1.0,100,11,41,58,1,1,100,0,0,,0,,55,248,175,1,0,0,0,0,77,1,Matches
1105,Mert Kömür,de GER,FWMF,Augsburg,de Bundesliga,20-108,2005,6.9,312,11,35,129,156,19,312,16,4,25.0,9,56.3,170,1111,545,19,15,4,19,10,200,34,Matches
1106,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,26-161,1999,9.2,713,77,298,383,33,9,713,3,2,66.7,0,0.0,405,2004,1216,12,10,0,1,4,467,0,Matches
1107,Geoffrey Kondogbia,cf CTA,MFDF,Marseille,fr Ligue 1,32-260,1993,1.2,105,4,23,70,13,1,105,0,0,,0,,71,264,148,0,0,0,0,1,85,2,Matches
1108,Ismaël Koné,ca CAN,MF,Sassuolo,it Serie A,23-149,2002,6.2,237,9,55,142,44,5,237,11,6,54.5,4,36.4,148,967,514,12,6,1,14,3,179,9,Matches
1109,Manu Koné,fr FRA,MF,Roma,it Serie A,24-169,2001,9.0,519,10,81,336,113,8,519,24,13,54.2,5,20.8,329,1754,963,16,16,1,24,11,372,15,Matches
1110,Ransford Königsdörffer,gh GHA,FW,Hamburger SV,de Bundesliga,24-050,2001,6.6,171,3,16,71,85,27,170,8,3,37.5,3,37.5,105,705,307,11,8,7,13,7,132,36,Matches
1111,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,28-010,1997,8.7,646,90,306,318,23,6,646,7,3,42.9,4,57.1,405,2130,1164,5,1,0,7,1,473,3,Matches
1112,Teun Koopmeiners,nl NED,MFDF,Juventus,it Serie A,27-247,1998,5.6,332,22,82,166,86,8,332,4,1,25.0,3,75.0,163,973,598,11,11,0,3,1,194,10,Matches
1113,Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,24-302,2001,5.0,317,34,134,156,27,2,317,5,2,40.0,2,40.0,189,708,375,3,1,0,9,2,226,5,Matches
1114,Filip Kostić,rs SRB,DFFW,Juventus,it Serie A,33-001,1992,2.6,191,3,29,87,76,6,191,4,3,75.0,1,25.0,88,490,270,7,5,3,2,4,104,19,Matches
1115,Charalampos Kostoulas,gr GRE,MFFW,Brighton,eng Premier League,18-156,2007,0.2,17,0,4,8,5,3,17,3,3,100.0,0,0.0,8,71,16,1,0,0,2,2,11,2,Matches
1116,Eddy Kouadio,ci CIV,DF,Fiorentina,it Serie A,19-156,2006,0.5,15,0,4,9,2,0,15,0,0,,0,,12,51,38,1,0,0,0,0,11,0,Matches
1117,Koffi Kouao,ci CIV,DF,Metz,fr Ligue 1,27-166,1998,9.6,540,34,184,253,114,10,540,12,10,83.3,1,8.3,333,1616,804,17,16,8,13,5,348,35,Matches
1118,Arsène Kouassi,bf BFA,DFMF,Lorient,fr Ligue 1,21-052,2004,9.1,460,14,127,181,162,14,460,33,15,45.5,13,39.4,280,1934,1134,36,18,6,8,4,278,56,Matches
1119,Christ-Owen Kouassi,fr FRA,DF,Lecce,it Serie A,22-201,2003,2.5,132,4,42,64,28,0,132,1,0,0.0,1,100.0,58,353,175,2,1,0,1,1,66,2,Matches
1120,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,de Bundesliga,21-339,2003,8.0,548,122,319,201,29,9,548,1,1,100.0,0,0.0,269,1281,739,5,5,0,2,2,347,3,Matches
1121,Seny Koumbassa,fr FRA,DF,Toulouse,fr Ligue 1,18-135,2007,0.1,4,1,3,1,0,0,4,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
1122,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,26-355,1998,7.4,629,17,144,315,174,18,629,10,6,60.0,3,30.0,383,1633,862,16,10,2,11,6,455,34,Matches
1123,Lancinet Kourouma,gn GUI,MF,Girona,es La Liga,21-217,2004,0.3,9,0,5,3,1,0,9,0,0,,0,,2,8,0,0,0,0,0,0,4,0,Matches
1124,Hamza Koutoune,ma MAR,DF,Nice,fr Ligue 1,19-046,2006,0.0,6,0,0,2,4,0,6,0,0,,0,,5,17,4,0,1,0,0,0,6,3,Matches
1125,Mateo Kovačić,hr CRO,MF,Manchester City,eng Premier League,31-180,1994,0.1,23,1,8,15,0,0,23,1,1,100.0,0,0.0,13,80,26,0,0,0,0,1,23,0,Matches
1126,Goduine Koyalipou,cf CTA,FW,Levante,es La Liga,25-260,2000,1.7,57,4,10,18,29,5,57,12,7,58.3,5,41.7,30,198,95,2,4,2,2,6,36,8,Matches
1127,Alex Král,cz CZE,MF,Union Berlin,de Bundesliga,27-167,1998,1.5,55,3,14,32,11,3,55,3,1,33.3,2,66.7,33,292,137,2,1,0,1,2,29,4,Matches
1128,Andrej Kramarić,hr CRO,MFFW,Hoffenheim,de Bundesliga,34-136,1991,5.4,314,4,42,153,121,20,313,8,5,62.5,3,37.5,143,758,410,13,6,5,7,6,213,39,Matches
1129,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20-130,2005,1.5,51,41,51,0,0,0,51,0,0,,0,,27,157,88,0,0,0,0,0,21,0,Matches
1130,Jean-Philippe Krasso,ci CIV,FW,Paris FC,fr Ligue 1,28-108,1997,5.0,191,5,15,97,81,30,190,18,4,22.2,14,77.8,84,333,131,3,2,6,25,6,128,28,Matches
1131,Tom Krauß,de GER,DFMF,Köln,de Bundesliga,24-133,2001,3.7,250,12,79,135,40,3,250,6,1,16.7,4,66.7,133,823,333,7,5,1,3,2,154,6,Matches
1132,Ladislav Krejčí,cz CZE,DFMF,Wolves,eng Premier League,26-196,1999,7.0,486,46,189,250,52,15,486,1,0,0.0,1,100.0,302,1531,817,7,9,0,3,3,341,6,Matches
1133,Ladislav Krejčí,cz CZE,DF,Girona,es La Liga,26-196,1999,2.0,119,13,63,53,3,1,119,0,0,,0,,82,374,209,0,1,0,1,0,87,0,Matches
1134,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,de Bundesliga,28-114,1997,5.0,439,18,126,213,103,6,439,8,4,50.0,3,37.5,211,857,498,8,5,2,2,3,277,19,Matches
1135,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,23-289,2002,5.0,324,41,134,178,14,4,324,0,0,,0,,191,1163,664,6,2,0,1,0,223,2,Matches
1136,Nikola Krstović,me MNE,FW,Atalanta,it Serie A,25-211,2000,4.8,188,3,17,74,98,37,188,6,2,33.3,4,66.7,112,511,248,9,2,6,18,3,146,30,Matches
1137,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,33-064,1992,6.3,349,22,125,174,52,10,349,4,2,50.0,2,50.0,143,647,247,6,4,0,2,2,179,15,Matches
1138,Takefusa Kubo,jp JPN,MFFW,Real Sociedad,es La Liga,24-151,2001,5.5,250,4,21,111,121,28,250,24,8,33.3,10,41.7,163,1028,595,21,9,9,13,7,198,57,Matches
1139,Mohammed Kudus,gh GHA,FWMF,Tottenham,eng Premier League,25-092,2000,9.7,435,2,44,146,255,35,435,74,34,45.9,37,50.0,250,1823,745,32,15,9,37,30,288,79,Matches
1140,Nicolas-Gerrit Kühn,de GER,FW,Como,it Serie A,25-305,2000,3.7,148,2,12,60,78,11,148,14,5,35.7,7,50.0,108,856,427,16,10,7,8,7,124,29,Matches
1141,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,20-221,2005,0.7,25,1,11,9,5,1,25,1,0,0.0,1,100.0,12,47,23,1,2,0,0,1,13,1,Matches
1142,Sael Kumbedi,fr FRA,DF,Wolfsburg,de Bundesliga,20-221,2005,1.2,57,7,19,27,11,1,57,1,0,0.0,1,100.0,21,78,42,0,1,0,1,2,30,4,Matches
1143,Marash Kumbulla,al ALB,DF,Mallorca,es La Liga,25-267,2000,2.4,163,25,89,66,8,2,163,1,0,0.0,0,0.0,92,336,152,3,1,0,2,0,115,1,Matches
1144,Jonah Kusi-Asare,se SWE,FW,Fulham,eng Premier League,18-121,2007,0.0,2,0,0,1,1,0,2,0,0,,0,,3,11,8,0,0,0,0,0,3,0,Matches
1145,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,de Bundesliga,18-121,2007,0.1,2,1,1,0,1,0,2,0,0,,0,,0,0,0,0,0,0,1,0,0,0,Matches
1146,Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,fr Ligue 1,24-263,2001,4.7,368,3,17,129,226,41,368,31,12,38.7,17,54.8,238,1364,591,22,10,13,14,9,309,75,Matches
1147,Godson Kyeremeh,fr FRA,FWMF,Le Havre,fr Ligue 1,25-141,2000,1.6,48,1,7,13,28,5,48,5,1,20.0,4,80.0,38,228,129,2,2,0,5,2,37,11,Matches
1148,Adrián de la Fuente,es ESP,DF,Levante,es La Liga,26-249,1999,7.5,407,63,217,163,29,6,407,1,1,100.0,0,0.0,221,871,411,4,4,0,4,0,244,6,Matches
1149,Rémy Labeau Lascary,gp GLP,FWMF,Brest,fr Ligue 1,22-244,2003,1.5,48,0,10,19,20,6,48,3,1,33.3,2,66.7,36,250,81,2,2,3,6,1,35,7,Matches
1150,Maxence Lacroix,fr FRA,DF,Crystal Palace,eng Premier League,25-210,2000,10.0,568,107,332,216,21,13,568,3,2,66.7,1,33.3,303,1199,618,0,2,0,6,3,348,3,Matches
1151,Yoel Lago,es ESP,DF,Celta Vigo,es La Liga,21-222,2004,3.7,243,40,111,128,4,3,243,1,1,100.0,0,0.0,144,623,367,0,0,0,1,0,184,0,Matches
1152,Mayckel Lahdo,se SWE,MFFW,Nantes,fr Ligue 1,22-307,2002,2.5,86,1,6,42,40,8,86,8,4,50.0,4,50.0,58,287,134,5,4,1,8,3,70,15,Matches
1153,Konrad Laimer,at AUT,DF,Bayern Munich,de Bundesliga,28-159,1997,7.9,604,17,104,244,258,36,604,11,4,36.4,7,63.6,371,1772,1102,32,23,8,15,4,433,53,Matches
1154,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,34-030,1991,9.9,614,36,216,291,111,4,614,7,4,57.1,3,42.9,325,1633,872,17,9,2,8,2,352,30,Matches
1155,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23-118,2002,4.0,191,160,191,0,0,0,191,0,0,,0,,106,549,317,0,0,0,0,0,89,0,Matches
1156,Tariq Lamptey,gh GHA,MFDF,Fiorentina,it Serie A,25-033,2000,0.3,15,0,1,9,6,1,15,0,0,,0,,11,29,13,0,1,0,2,0,11,2,Matches
1157,Noa Lang,nl NED,FWMF,Napoli,it Serie A,26-138,1999,1.5,104,0,6,40,59,7,104,5,1,20.0,3,60.0,69,463,258,7,3,2,1,0,78,24,Matches
1158,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,31-159,1994,6.2,447,62,216,214,18,4,447,1,1,100.0,0,0.0,219,1165,817,7,6,0,5,1,270,0,Matches
1159,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,21-128,2004,5.2,315,7,94,148,74,6,315,2,1,50.0,1,50.0,143,479,197,1,3,0,3,1,213,16,Matches
1160,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,31-356,1993,0.2,14,3,11,1,2,2,14,0,0,,0,,3,16,1,0,0,0,0,0,7,1,Matches
1161,Toni Lato,es ESP,DF,Mallorca,es La Liga,27-346,1997,1.8,89,3,21,45,23,1,89,1,1,100.0,0,0.0,44,169,79,2,2,0,3,2,54,13,Matches
1162,Josh Laurent,eng ENG,DFMF,Burnley,eng Premier League,30-180,1995,6.2,244,23,84,118,44,6,244,3,0,0.0,3,100.0,136,523,300,7,4,1,3,1,143,11,Matches
1163,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,26-333,1998,5.9,222,5,25,92,107,12,222,13,1,7.7,8,61.5,119,747,375,16,5,8,23,12,151,43,Matches
1164,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,21-300,2004,1.2,79,2,24,37,18,2,79,2,1,50.0,1,50.0,53,183,91,2,1,1,3,1,60,1,Matches
1165,Valentino Lazaro,at AUT,DFMF,Torino,it Serie A,29-223,1996,6.1,332,19,106,127,100,5,332,6,2,33.3,2,33.3,139,590,287,8,7,1,7,1,173,18,Matches
1166,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,31-338,1993,1.7,99,9,49,38,15,0,99,4,1,25.0,3,75.0,45,287,195,3,2,0,2,0,46,0,Matches
1167,Théo Le Bris,fr FRA,DF,Lorient,fr Ligue 1,23-032,2002,5.5,265,5,36,93,138,13,265,9,4,44.4,5,55.6,158,803,517,16,10,2,4,1,179,38,Matches
1168,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,28-091,1997,3.1,176,31,113,52,11,7,176,1,0,0.0,1,100.0,90,445,194,1,0,0,1,0,96,1,Matches
1169,Enzo Le Fée,fr FRA,FWMF,Sunderland,eng Premier League,25-272,2000,6.0,300,10,60,143,102,7,299,11,3,27.3,7,63.6,173,760,308,8,8,0,14,7,184,29,Matches
1170,Raphael Le Guen,fr FRA,DF,Brest,fr Ligue 1,19-062,2006,0.1,4,0,1,3,0,0,4,0,0,,0,,2,8,4,0,0,0,0,0,2,0,Matches
1171,Robin Le Normand,es ESP,DF,Atlético Madrid,es La Liga,28-356,1996,9.8,634,64,327,296,12,4,634,3,0,0.0,2,66.7,387,1886,1086,3,2,0,7,0,466,0,Matches
1172,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-258,1993,9.0,259,218,256,3,0,0,259,0,0,,0,,143,684,399,0,0,0,1,0,121,0,Matches
1173,Rafael Leão,pt POR,FW,Milan,it Serie A,26-145,1999,3.0,127,2,11,49,67,17,126,8,3,37.5,4,50.0,85,404,176,6,6,4,13,2,108,19,Matches
1174,Pierre Lees-Melou,fr FRA,MF,Paris FC,fr Ligue 1,32-161,1993,8.1,526,34,148,287,95,11,526,8,4,50.0,4,50.0,257,1074,451,6,6,2,7,3,367,13,Matches
1175,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,32-161,1993,2.0,129,4,31,73,27,3,129,3,2,66.7,1,33.3,81,448,156,3,3,1,2,2,77,1,Matches
1176,Jordan Lefort,fr FRA,DF,Angers,fr Ligue 1,32-085,1993,10.0,602,123,398,197,15,3,602,1,1,100.0,0,0.0,286,1475,743,4,1,0,3,2,356,0,Matches
1177,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,26-283,1999,5.6,247,36,116,111,21,2,247,4,1,25.0,2,50.0,98,338,177,1,2,0,5,2,113,1,Matches
1178,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,27-168,1998,0.8,36,4,20,13,3,0,36,0,0,,0,,5,14,8,0,0,0,2,1,12,0,Matches
1179,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,34-166,1991,10.9,779,102,436,317,31,11,779,3,2,66.7,1,33.3,442,1776,995,2,5,0,3,1,537,1,Matches
1180,Youssef Lekhedim,es ESP,DF,Alavés,es La Liga,20-026,2005,4.5,260,12,66,118,78,9,260,5,3,60.0,2,40.0,121,467,231,5,3,3,9,4,129,21,Matches
1181,Iñigo Lekue,es ESP,DFFW,Athletic Club,es La Liga,32-182,1993,1.4,98,7,36,33,29,1,98,2,1,50.0,1,50.0,40,197,114,3,3,0,0,3,54,9,Matches
1182,Thomas Lemar,fr FRA,MFFW,Girona,es La Liga,29-355,1995,2.2,139,0,15,68,58,3,139,7,3,42.9,3,42.9,98,563,241,5,8,0,3,6,105,19,Matches
1183,Félix Lemaréchal,fr FRA,MFFW,Strasbourg,fr Ligue 1,22-087,2003,5.4,304,8,50,139,120,16,304,21,10,47.6,10,47.6,161,912,394,11,6,1,20,9,202,39,Matches
1184,Tim Lemperle,de GER,FW,Hoffenheim,de Bundesliga,23-270,2002,5.4,182,10,16,80,88,27,181,8,3,37.5,5,62.5,77,445,294,13,4,3,13,5,122,40,Matches
1185,Clément Lenglet,fr FRA,DF,Atlético Madrid,es La Liga,30-138,1995,4.4,325,35,133,172,21,3,325,1,1,100.0,0,0.0,226,1225,898,4,3,0,1,1,239,0,Matches
1186,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-243,1992,10.0,416,366,415,1,0,0,416,0,0,,0,,281,1137,590,0,0,0,0,0,235,0,Matches
1187,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-364,1992,8.5,297,238,295,2,0,0,297,1,1,100.0,0,0.0,167,767,436,0,0,0,0,0,142,0,Matches
1188,Esteban Lepaul,fr FRA,FW,Angers,fr Ligue 1,25-198,2000,1.9,42,0,3,28,13,3,42,0,0,,0,,21,104,50,1,2,0,1,2,33,4,Matches
1189,Esteban Lepaul,fr FRA,FW,Rennes,fr Ligue 1,25-198,2000,7.2,186,5,15,91,81,23,186,6,1,16.7,5,83.3,78,319,117,3,3,2,16,2,123,33,Matches
1190,Johann Lepenant,fr FRA,MF,Nantes,fr Ligue 1,23-011,2002,5.9,282,13,85,146,57,6,282,10,3,30.0,7,70.0,142,574,181,4,3,0,8,5,157,8,Matches
1191,Mehdi Léris,dz ALG,DF,Pisa,it Serie A,27-163,1998,3.8,183,11,44,66,76,7,183,11,2,18.2,6,54.5,89,410,212,7,1,4,10,4,94,23,Matches
1192,Jefferson Lerma,co COL,MF,Crystal Palace,eng Premier League,31-008,1994,3.1,167,10,41,83,44,7,167,2,1,50.0,0,0.0,70,244,114,2,2,1,2,1,84,2,Matches
