,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1319,Luca Kilian,de GER,DF,Mainz 05,de Bundesliga,20,1999,4.2,1,0,0,5,3,0,0,1,4,0,0,0,47,13,5,72.2,Matches
1320,Max Kilman,eng ENG,DF,Wolves,eng Premier League,23,1997,14.6,4,0,0,20,4,1,0,18,20,0,1,0,100,23,23,50.0,Matches
1321,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,25,1995,24.4,4,0,0,19,43,0,40,41,34,0,0,0,286,15,17,46.9,Matches
1322,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,24,1995,25.6,6,1,0,31,25,0,2,34,33,0,0,0,219,41,22,65.1,Matches
1323,Joshua King,no NOR,MFFW,Everton,eng Premier League,28,1992,1.6,0,0,0,4,1,3,1,1,1,0,0,0,12,4,6,40.0,Matches
1324,Giorgos Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,24,1996,16.2,3,1,1,17,7,3,49,14,26,0,0,0,121,20,23,46.5,Matches
1325,Simon Kjær,dk DEN,DF,Milan,it Serie A,31,1989,26.6,3,0,0,26,10,1,1,38,21,0,0,0,215,66,40,62.3,Matches
1326,Davy Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,27,1993,2.5,1,0,0,6,4,0,1,2,2,0,0,0,30,2,4,33.3,Matches
1327,Felix Klaus,de GER,DFMF,Wolfsburg,de Bundesliga,27,1992,1.5,0,0,0,2,0,0,1,0,8,0,0,0,11,5,5,50.0,Matches
1328,Klauss,br BRA,FW,Hoffenheim,de Bundesliga,23,1997,0.6,0,0,0,3,1,0,0,0,0,0,0,0,4,2,4,33.3,Matches
1329,Ragnar Klavan,ee EST,DF,Cagliari,it Serie A,34,1985,8.6,1,0,0,8,1,0,0,7,5,0,1,0,71,10,16,38.5,Matches
1330,Philipp Klement,de GER,MFFW,Stuttgart,de Bundesliga,27,1992,4.7,0,0,0,6,2,0,7,5,5,0,0,0,48,4,7,36.4,Matches
1331,Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,30,1990,26.6,6,0,0,45,19,5,37,17,43,0,1,0,267,17,21,44.7,Matches
1332,Mateo Klimowicz,de GER,FWMF,Stuttgart,de Bundesliga,20,2000,13.3,1,0,0,13,17,0,6,3,14,2,0,0,75,7,8,46.7,Matches
1333,Fabian Klos,de GER,FW,Arminia,de Bundesliga,32,1987,30.1,4,0,0,48,56,14,26,10,14,0,0,0,139,222,203,52.2,Matches
1334,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,24,1996,16.1,2,0,0,7,8,1,7,19,13,0,0,0,160,24,25,49.0,Matches
1335,Justin Kluivert,nl NED,FWMF,Roma,it Serie A,21,1999,0.2,0,0,0,1,0,0,2,0,0,0,0,0,5,0,1,0.0,Matches
1336,Justin Kluivert,nl NED,FW,RB Leipzig,de Bundesliga,21,1999,9.0,2,0,0,14,14,7,25,3,3,0,0,0,52,8,13,38.1,Matches
1337,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,24,1996,11.0,0,0,0,4,9,0,9,13,7,0,0,1,102,9,12,42.9,Matches
1338,Ansgar Knauff,de GER,FWMF,Dortmund,de Bundesliga,18,2002,0.8,0,0,0,3,2,0,6,1,0,0,0,0,4,1,1,50.0,Matches
1339,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,28,1992,33.8,4,0,0,38,13,4,0,43,34,0,1,0,429,90,80,52.9,Matches
1340,Gregor Kobel,ch SUI,GK,Stuttgart,de Bundesliga,22,1997,33.0,0,0,0,0,6,0,0,0,0,0,0,0,196,0,0,,Matches
1341,Robin Koch,de GER,DFMF,Leeds United,eng Premier League,24,1996,12.6,1,0,0,17,8,0,1,13,18,0,2,0,159,40,25,61.5,Matches
1342,Giorgi Kochorashvili,ge GEO,MF,Levante,es La Liga,21,1999,0.3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0.0,Matches
1343,Kenan Kodro,ba BIH,FW,Valladolid,es La Liga,26,1993,5.1,1,0,0,8,6,2,0,4,0,1,0,0,16,22,29,43.1,Matches
1344,Kenan Kodro,ba BIH,FWMF,Athletic Club,es La Liga,26,1993,0.5,1,0,0,1,1,2,0,0,0,1,0,0,0,0,2,0.0,Matches
1345,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,26,1994,14.1,3,0,0,26,19,0,3,29,29,0,0,0,162,30,18,62.5,Matches
1346,Dominik Kohr,de GER,MFFW,Eint Frankfurt,de Bundesliga,26,1994,2.9,1,0,0,9,5,0,4,5,11,0,0,0,39,6,7,46.2,Matches
1347,Koba Koindredi,fr FRA,MF,Valencia,es La Liga,18,2001,0.2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,50.0,Matches
1348,Koke,es ESP,MF,Atlético Madrid,es La Liga,28,1992,33.6,9,0,0,46,45,0,19,38,53,0,0,0,337,22,26,45.8,Matches
1349,Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,29,1991,1.0,1,0,0,1,0,0,0,1,0,0,0,0,6,0,1,0.0,Matches
1350,Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,34,1985,4.3,0,0,0,3,4,0,8,2,5,0,1,0,63,13,5,72.2,Matches
1351,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,27,1993,1.0,0,0,0,1,1,0,0,0,0,0,0,0,12,1,1,50.0,Matches
1352,Sead Kolašinac,ba BIH,DFMF,Schalke 04,de Bundesliga,27,1993,15.8,5,0,0,19,14,2,22,36,14,0,1,0,130,14,25,35.9,Matches
1353,Randal Kolo Muani,fr FRA,FW,Nantes,fr Ligue 1,21,1998,33.7,3,0,0,63,73,22,35,19,20,4,0,0,171,69,150,31.5,Matches
1354,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,28,1991,22.6,4,1,0,29,7,0,8,38,21,0,0,0,245,54,35,60.7,Matches
1355,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,24,1995,29.0,5,0,0,24,24,3,43,32,40,0,2,0,230,27,31,46.6,Matches
1356,Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,21,1999,7.7,2,0,0,13,15,0,0,10,5,0,1,0,74,30,10,75.0,Matches
1357,Moussa Konaté,sn SEN,FW,Dijon,fr Ligue 1,27,1993,13.3,4,0,0,22,24,12,4,6,2,0,0,0,47,27,51,34.6,Matches
1358,Geoffrey Kondogbia,cf CTA,MFFW,Atlético Madrid,es La Liga,27,1993,6.8,4,0,0,19,13,0,0,9,20,0,0,0,87,7,8,46.7,Matches
1359,Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,27,1993,4.9,1,0,0,8,10,0,1,4,10,0,0,0,41,5,6,45.5,Matches
1360,Lamine Koné,ci CIV,DF,Strasbourg,fr Ligue 1,31,1989,11.6,3,0,0,10,8,0,2,7,7,0,1,0,104,26,16,61.9,Matches
1361,Moussa Koné,sn SEN,FW,Nîmes,fr Ligue 1,23,1996,19.5,2,0,0,20,42,16,5,8,10,0,0,0,78,16,77,17.2,Matches
1362,Youssouf Koné,ml MLI,DFFW,Elche,es La Liga,25,1995,0.8,0,0,0,1,2,1,1,1,0,0,0,0,5,0,1,0.0,Matches
1363,Terence Kongolo,nl NED,DF,Fulham,eng Premier League,26,1994,1.0,0,0,0,1,1,0,1,0,4,0,0,0,8,2,3,40.0,Matches
1364,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,22,1997,35.5,3,0,0,19,54,1,2,27,22,0,1,0,289,90,62,59.2,Matches
1365,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,34,1985,24.6,3,0,0,12,25,2,0,40,18,1,0,0,242,61,37,62.2,Matches
1366,Filip Kostić,rs SRB,DF,Eint Frankfurt,de Bundesliga,27,1992,28.2,4,0,0,22,20,4,221,31,34,0,0,0,236,20,22,47.6,Matches
1367,Márk Kosznovszky,hu HUN,MF,Parma,it Serie A,18,2002,1.0,0,0,0,2,0,0,0,3,0,0,0,0,8,0,0,,Matches
1368,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,22,1997,11.1,4,0,0,25,33,5,7,4,11,0,0,0,53,47,50,48.5,Matches
1369,Nianzou Kouassi,fr FRA,DFMF,Bayern Munich,de Bundesliga,18,2002,1.3,1,1,0,4,4,0,0,1,1,0,0,0,13,7,0,100.0,Matches
1370,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,29,1991,24.5,10,1,1,29,9,0,6,30,29,0,0,0,218,45,34,57.0,Matches
1371,Jules Koundé,fr FRA,DF,Sevilla,es La Liga,21,1998,33.1,4,0,0,20,23,3,14,42,23,0,2,0,312,118,67,63.8,Matches
1372,Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,23,1997,21.8,10,0,0,40,30,4,0,50,36,0,2,0,167,111,39,74.0,Matches
1373,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,eng Premier League,30,1989,34.7,4,0,0,36,15,0,4,38,36,0,0,0,310,94,51,64.8,Matches
1374,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,26,1994,20.2,4,0,0,17,30,0,6,22,36,0,0,0,158,11,10,52.4,Matches
1375,Viktor Kovalenko,ua UKR,FW,Atalanta,it Serie A,24,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
1376,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,25,1994,14.3,4,0,0,12,9,1,12,21,16,0,0,0,104,22,22,50.0,Matches
1377,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,29,1991,26.4,2,0,0,5,42,9,60,12,5,0,0,0,149,6,20,23.1,Matches
1378,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,29,1991,22.6,5,0,0,32,20,0,5,36,39,0,0,0,272,28,31,47.5,Matches
1379,Jean-Philippe Krasso,fr FRA,FW,Saint-Étienne,fr Ligue 1,23,1997,2.5,0,0,0,3,4,5,3,3,3,0,0,0,11,2,5,28.6,Matches
1380,Toni Kroos,de GER,MF,Real Madrid,es La Liga,30,1990,23.5,6,0,0,27,31,1,40,22,25,0,0,0,154,17,9,65.4,Matches
1381,Filip Krovinović,hr CRO,MF,West Brom,eng Premier League,24,1995,6.1,0,0,0,6,12,0,5,2,10,0,0,0,70,8,13,38.1,Matches
1382,Rade Krunić,ba BIH,MFFW,Milan,it Serie A,26,1993,8.0,3,0,0,11,21,2,2,4,14,0,1,0,61,10,14,41.7,Matches
1383,Max Kruse,de GER,FWMF,Union Berlin,de Bundesliga,32,1988,18.1,0,0,0,5,13,8,29,5,4,0,0,0,102,18,38,32.1,Matches
1384,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,27,1992,9.8,2,0,0,18,10,1,18,17,13,0,2,0,94,24,11,68.6,Matches
1385,Takefusa Kubo,jp JPN,MFFW,Villarreal,es La Liga,19,2001,3.3,2,1,1,3,12,0,10,2,3,0,0,0,25,1,3,25.0,Matches
1386,Takefusa Kubo,jp JPN,MFFW,Getafe,es La Liga,19,2001,8.9,2,0,0,17,22,4,16,12,5,0,0,0,58,5,21,19.2,Matches
1387,Juraj Kucka,sk SVK,MFFW,Parma,it Serie A,33,1987,25.9,8,0,0,65,71,4,14,27,42,0,0,0,183,86,57,60.1,Matches
1388,Kuki,es ESP,MF,Valladolid,es La Liga,22,1998,0.3,0,0,0,1,0,0,1,0,1,0,0,0,3,1,1,50.0,Matches
1389,Dejan Kulusevski,se SWE,MFFW,Juventus,it Serie A,20,2000,21.4,7,0,0,41,29,5,45,12,25,0,0,0,141,12,38,24.0,Matches
1390,Marash Kumbulla,al ALB,DF,Roma,it Serie A,20,2000,15.1,8,0,0,26,14,0,1,15,10,0,0,0,99,32,14,69.6,Matches
1391,Pierre Kunde,cm CMR,MF,Mainz 05,de Bundesliga,25,1995,5.7,1,0,0,10,9,1,3,7,6,0,0,0,74,1,3,25.0,Matches
1392,Fabian Kunze,de GER,MF,Arminia,de Bundesliga,22,1998,14.1,6,0,0,36,26,0,3,15,27,0,0,0,187,48,15,76.2,Matches
1393,Jasmin Kurtić,si SVN,MF,Parma,it Serie A,31,1989,30.4,5,0,0,46,37,3,48,33,34,0,0,0,238,36,28,56.3,Matches
1394,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,27,1992,14.2,4,1,0,33,7,1,39,27,16,1,0,0,137,29,15,65.9,Matches
1395,Dereck Kutesa,ch SUI,MFFW,Reims,fr Ligue 1,22,1997,7.6,2,0,0,13,16,5,14,6,9,0,0,0,27,8,9,47.1,Matches
1396,Ahmed Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,20,2000,1.2,1,0,0,2,1,0,2,0,0,0,0,0,4,5,6,45.5,Matches
1397,Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,23,1997,11.5,4,0,0,15,17,0,14,26,14,0,0,0,112,23,13,63.9,Matches
1398,Antonino La Gumina,it ITA,FW,Sampdoria,it Serie A,24,1996,3.8,0,0,0,5,6,2,4,4,3,0,0,0,13,11,30,26.8,Matches
1399,Gaëtan Laborde,fr FRA,FWMF,Montpellier,fr Ligue 1,26,1994,36.2,3,0,0,63,30,6,54,16,33,0,0,0,214,130,124,51.2,Matches
1400,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,29,1991,21.4,3,0,0,37,54,10,4,14,19,1,0,0,99,30,61,33.0,Matches
1401,Tom Lacoux,fr FRA,MF,Bordeaux,fr Ligue 1,18,2002,5.8,4,1,1,18,1,0,2,12,14,0,0,0,59,4,5,44.4,Matches
1402,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,20,2000,28.8,5,0,0,25,27,1,7,76,34,0,0,0,344,71,63,53.0,Matches
1403,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,21,1999,38.0,2,0,0,1,8,0,0,0,0,0,1,0,186,0,1,0.0,Matches
1404,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,30,1989,29.2,5,1,0,26,12,1,3,26,16,0,0,0,234,65,36,64.4,Matches
1405,Konrad Laimer,at AUT,DFFW,RB Leipzig,de Bundesliga,23,1997,0.9,0,0,0,2,2,1,1,1,2,0,0,0,12,2,1,66.7,Matches
1406,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,27,1992,30.8,2,0,0,29,21,1,83,40,39,1,2,0,208,40,33,54.8,Matches
1407,Diego Lainez,mx MEX,FW,Betis,es La Liga,20,2000,9.6,5,0,0,14,28,2,19,16,9,0,0,0,64,10,8,55.6,Matches
1408,Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,28,1991,20.4,1,0,0,20,16,1,62,13,15,0,0,0,160,18,22,45.0,Matches
1409,Adam Lallana,eng ENG,MFFW,Brighton,eng Premier League,32,1988,17.7,0,0,0,18,20,3,17,16,26,0,1,0,158,13,32,28.9,Matches
1410,Érik Lamela,ar ARG,FWMF,Tottenham,eng Premier League,28,1992,8.0,6,1,1,24,10,0,9,4,11,0,0,0,48,5,17,22.7,Matches
1411,Sam Lammers,nl NED,FWMF,Atalanta,it Serie A,23,1997,3.2,0,0,0,5,5,2,1,0,3,0,0,0,19,10,12,45.5,Matches
1412,Tariq Lamptey,eng ENG,DF,Brighton,eng Premier League,19,2000,9.8,4,1,1,21,28,1,30,13,10,2,1,0,83,5,12,29.4,Matches
1413,Loïck Landre,fr FRA,DF,Nîmes,fr Ligue 1,28,1992,18.1,2,1,0,19,11,0,0,24,15,0,2,0,113,35,27,56.5,Matches
1414,Michael Langer,at AUT,GK,Schalke 04,de Bundesliga,35,1985,2.7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
1415,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,27,1993,6.3,1,0,0,7,10,2,2,6,6,0,0,0,67,1,9,10.0,Matches
1416,Gianluca Lapadula,pe PER,FW,Benevento,it Serie A,30,1990,28.5,2,0,0,48,68,34,17,7,20,3,0,0,112,40,98,29.0,Matches
1417,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,26,1994,14.9,1,0,0,9,10,2,0,8,6,0,1,0,139,46,18,71.9,Matches
1418,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,26,1993,29.5,8,1,1,30,20,0,0,48,40,1,3,0,255,92,39,70.2,Matches
1419,Danilo Larangeira,br BRA,DF,Bologna,it Serie A,36,1984,34.8,8,0,0,39,15,1,3,42,21,0,2,0,335,94,66,58.8,Matches
1420,Gautier Larsonneur,fr FRA,GK,Brest,fr Ligue 1,23,1997,35.0,2,0,0,1,7,0,0,1,0,0,1,0,174,0,0,,Matches
1421,Kevin Lasagna,it ITA,FW,Udinese,it Serie A,27,1992,12.3,1,0,0,20,11,9,10,7,3,0,0,0,54,19,38,33.3,Matches
1422,Kevin Lasagna,it ITA,FW,Hellas Verona,it Serie A,27,1992,14.1,0,0,0,32,21,23,8,4,1,0,0,0,51,25,62,28.7,Matches
1423,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,26,1993,18.1,4,0,0,17,9,0,1,15,12,0,0,0,142,53,20,72.6,Matches
1424,Paul Lasne,fr FRA,MF,Brest,fr Ligue 1,31,1989,18.7,4,1,0,27,19,1,4,34,36,0,1,0,179,24,21,53.3,Matches
1425,Toni Lato,es ESP,DF,Valencia,es La Liga,22,1997,8.1,3,0,0,14,5,1,7,11,6,0,1,1,67,14,8,63.6,Matches
1426,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,30,1989,20.0,8,0,0,32,29,1,16,27,31,0,0,0,228,27,38,41.5,Matches
1427,Armand Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,21,1998,18.0,4,0,0,23,38,8,42,14,17,1,0,0,103,7,21,25.0,Matches
1428,Vincent Laurini,fr FRA,DF,Parma,it Serie A,31,1989,9.7,1,0,0,12,18,0,21,15,13,0,0,0,64,7,12,36.8,Matches
1429,Lauti,uy URU,MFFW,Celta Vigo,es La Liga,19,2001,0.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0,Matches
1430,Wesley Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,32,1987,17.9,4,0,0,41,16,0,2,29,28,0,0,1,163,21,14,60.0,Matches
1431,Valentino Lazaro,at AUT,DFFW,M'Gladbach,de Bundesliga,24,1996,13.8,3,0,0,8,13,3,26,18,9,0,0,0,105,17,20,45.9,Matches
1432,Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,29,1990,27.8,3,0,0,10,3,10,96,20,20,0,0,0,229,26,26,50.0,Matches
1433,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,26,1993,29.0,2,1,0,26,54,2,91,24,15,0,0,1,167,16,22,42.1,Matches
1434,Jérémy Le Douaron,fr FRA,FWMF,Brest,fr Ligue 1,22,1998,9.1,0,0,0,18,17,1,11,6,6,1,0,0,68,29,25,53.7,Matches
1435,Enzo Le Fée,fr FRA,MFFW,Lorient,fr Ligue 1,20,2000,20.2,6,0,0,25,41,1,21,27,36,0,0,0,146,2,21,8.7,Matches
1436,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,30,1989,25.6,0,0,0,16,11,1,57,39,23,0,0,0,177,24,35,40.7,Matches
1437,Maxime Le Marchand,fr FRA,DF,Fulham,eng Premier League,30,1989,1.4,2,0,0,3,1,0,0,0,1,0,0,0,11,4,3,57.1,Matches
1438,Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,23,1996,30.5,5,1,0,41,19,2,3,34,21,1,1,0,323,140,62,69.3,Matches
1439,Damien Le Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,30,1990,13.6,3,1,0,20,10,0,0,23,7,0,0,1,123,33,23,58.9,Matches
1440,James Lea Siliki,cm CMR,MF,Rennes,fr Ligue 1,24,1996,2.8,0,0,0,3,0,0,5,0,4,0,0,0,23,2,2,50.0,Matches
1441,Rafael Leão,pt POR,FW,Milan,it Serie A,21,1999,21.4,5,0,0,28,21,4,35,5,9,1,0,0,79,49,57,46.2,Matches
1442,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,34,1985,36.8,2,0,0,1,10,0,0,0,0,0,1,0,150,0,0,,Matches
1443,Mathew Leckie,au AUS,FWDF,Hertha BSC,de Bundesliga,29,1991,5.6,0,0,0,11,4,2,6,11,9,0,0,0,49,18,21,46.2,Matches
1444,Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,29,1991,28.0,1,0,0,1,3,0,0,0,0,0,1,0,155,0,0,,Matches
1445,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,27,1993,32.0,0,0,0,1,4,0,0,0,0,0,1,0,172,0,0,,Matches
1446,Pierre Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27,1993,22.9,3,1,0,37,24,1,16,32,47,0,0,0,187,17,25,40.5,Matches
1447,Lucas Leiva,br BRA,MF,Lazio,it Serie A,33,1987,23.7,10,0,0,47,25,1,7,45,45,0,0,0,320,53,44,54.6,Matches
1448,Florian Lejeune,fr FRA,DF,Alavés,es La Liga,29,1991,33.5,10,0,0,33,17,2,5,58,29,0,1,0,304,106,51,67.5,Matches
1449,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,27,1993,7.2,1,0,0,17,3,2,22,6,8,0,0,0,68,3,9,25.0,Matches
1450,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,24,1995,15.2,4,0,0,15,23,0,28,12,19,1,0,0,111,7,10,41.2,Matches
1451,Mario Lemina,ga GAB,MF,Fulham,eng Premier League,26,1993,18.9,5,0,0,32,15,0,5,43,36,1,0,0,191,19,27,41.3,Matches
1452,Fabien Lemoine,fr FRA,MF,Lorient,fr Ligue 1,33,1987,21.5,8,0,0,59,23,0,13,30,44,0,2,0,259,30,27,52.6,Matches
1453,Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,25,1995,27.5,11,2,2,50,33,6,6,35,25,0,2,1,254,65,42,60.7,Matches
1454,Bernd Leno,de GER,GK,Arsenal,eng Premier League,28,1992,34.8,0,1,0,2,4,0,0,0,0,0,0,1,149,0,0,,Matches
1455,Christopher Lenz,de GER,DF,Union Berlin,de Bundesliga,25,1994,25.0,3,0,0,27,19,2,72,33,40,0,0,0,262,40,35,53.3,Matches
1456,Pedro León,es ESP,MFFW,Eibar,es La Liga,33,1986,10.4,2,0,0,10,10,4,41,5,7,0,0,0,68,19,16,54.3,Matches
1457,Sergio León,es ESP,FW,Levante,es La Liga,31,1989,8.3,0,0,0,14,6,5,4,4,3,0,0,0,41,11,33,25.0,Matches
1458,Lukas Lerager,dk DEN,MF,Genoa,it Serie A,27,1993,12.9,0,0,0,16,16,3,2,13,20,0,0,0,136,10,14,41.7,Matches
1459,Mehdi Léris,fr FRA,DFMF,Sampdoria,it Serie A,22,1998,4.3,1,0,0,13,3,0,11,12,9,0,0,0,47,9,9,50.0,Matches
1460,Khanya Leshabela,za RSA,MF,Leicester City,eng Premier League,20,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
1461,Karlo Letica,hr CRO,GK,Sampdoria,it Serie A,23,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
1462,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,30,1990,17.4,2,0,0,15,21,0,61,22,27,0,0,0,155,12,7,63.2,Matches
1463,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,31,1988,27.3,4,0,0,41,29,21,22,7,13,2,0,0,116,54,57,48.6,Matches
1464,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,22,1998,20.4,4,0,0,18,18,1,32,20,26,0,1,0,153,14,18,43.8,Matches
1465,Aaron Leya Iseka,be BEL,FW,Metz,fr Ligue 1,22,1997,11.2,4,0,0,26,12,2,4,2,5,0,0,0,31,27,47,36.5,Matches
1466,Yanis Lhery,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,17,2003,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,66.7,Matches
1467,Dimitri Liénard,fr FRA,MF,Strasbourg,fr Ligue 1,32,1988,20.3,2,0,0,19,14,0,69,28,31,0,0,0,180,15,30,33.3,Matches
1468,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,24,1996,33.3,4,0,0,16,35,3,1,44,15,0,0,0,292,68,48,58.6,Matches
1469,Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,20,1999,24.7,4,0,0,40,23,1,5,28,19,0,0,0,218,65,30,68.4,Matches
1470,Isaac Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,18,2002,2.2,0,0,0,3,1,1,5,0,6,0,0,0,23,4,6,40.0,Matches
1471,Dimitris Limnios,gr GRE,MFFW,Köln,de Bundesliga,22,1998,4.2,0,0,0,5,12,1,9,1,5,0,0,0,28,3,6,33.3,Matches
1472,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,26,1994,28.7,0,0,0,24,8,1,1,32,16,0,1,0,265,69,36,65.7,Matches
1473,Karol Linetty,pl POL,MF,Torino,it Serie A,25,1995,20.4,5,0,0,31,30,1,7,16,30,0,0,0,166,8,15,34.8,Matches
1474,Jesse Lingard,eng ENG,MFFW,West Ham,eng Premier League,27,1992,15.8,3,0,0,22,24,6,23,7,10,2,0,0,88,0,6,0.0,Matches
1475,Pol Lirola,es ESP,DFFW,Fiorentina,it Serie A,22,1997,5.5,3,0,0,4,3,1,20,5,5,0,0,0,39,4,5,44.4,Matches
1476,Pol Lirola,es ESP,DF,Marseille,fr Ligue 1,22,1997,17.3,3,0,0,14,16,0,57,31,15,0,0,0,138,18,11,62.1,Matches
1477,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,30,1989,13.8,2,1,0,30,6,0,4,19,19,0,0,1,143,18,19,48.6,Matches
1478,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,26,1993,13.4,1,0,0,15,9,0,2,41,27,0,0,0,117,40,26,60.6,Matches
1479,Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,26,1993,1.0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,1,66.7,Matches
1480,Fernando Llorente,es ESP,FW,Udinese,it Serie A,35,1985,7.9,2,0,0,21,11,3,1,4,2,0,0,0,37,47,33,58.8,Matches
1481,Fernando Llorente,es ESP,FWMF,Napoli,it Serie A,35,1985,0.6,0,0,0,3,1,0,1,0,0,0,0,0,3,3,3,50.0,Matches
1482,Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,25,1995,32.8,6,0,0,59,39,6,72,31,44,0,1,0,237,25,38,39.7,Matches
1483,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,33,1986,38.0,0,0,0,0,3,0,0,0,0,0,0,0,152,0,0,,Matches
1484,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,24,1996,10.5,5,0,0,19,20,0,3,8,23,0,0,0,105,11,18,37.9,Matches
1485,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,25,1994,1.7,2,0,0,5,2,0,0,1,1,0,0,0,15,2,2,50.0,Matches
1486,Manuel Locatelli,it ITA,MF,Sassuolo,it Serie A,22,1998,32.0,9,0,0,53,48,1,34,43,52,1,1,0,326,53,44,54.6,Matches
1487,Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,22,1998,12.5,3,0,0,19,27,2,49,23,16,0,0,0,105,10,12,45.5,Matches
