,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
132,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,7,1,0,39,62,0,33,41,42,0,1,0,386,40,34,54.1,Matches
133,Toluwalas Arokodare,ng NGA,FW,Köln,de Bundesliga,19,2000,1.2,0,0,0,1,1,2,0,0,1,0,0,0,7,9,11,45.0,Matches
134,Sergio Arribas,es ESP,FWDF,Real Madrid,es La Liga,18,2001,1.5,1,0,0,1,2,2,1,3,1,0,0,0,13,1,2,33.3,Matches
135,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,1,0,0,1,0,0,0,0,0,0,0,0,34,0,0,,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,9,0,0,38,47,0,9,21,39,0,1,0,189,13,9,59.1,Matches
137,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,0,0,0,0,4,0,4,5,4,0,0,0,21,2,1,66.7,Matches
138,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,2,0,0,10,4,0,3,11,16,0,0,0,96,11,13,45.8,Matches
139,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,2,0,0,1,2,0,0,0,0,0,1,0,146,0,0,,Matches
140,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,1,0,0,6,28,6,76,15,10,0,0,0,119,10,7,58.8,Matches
141,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,2,0,0,3,1,0,1,1,2,0,0,0,5,1,2,33.3,Matches
142,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,9,0,0,24,53,14,39,17,6,0,1,0,155,20,56,26.3,Matches
143,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,0,1,0,12,26,5,5,7,7,1,0,0,39,9,22,29.0,Matches
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,1,0,0,10,2,0,3,15,19,0,0,0,90,27,16,62.8,Matches
145,Youcef Attal,dz ALG,DFMF,Nice,fr Ligue 1,24,1996,10.6,1,0,0,18,26,7,41,26,22,0,0,0,84,10,19,34.5,Matches
146,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,2,0,0,13,18,18,47,6,5,0,0,1,84,31,64,32.6,Matches
147,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,0,0,0,0,6,0,0,0,0,0,0,0,182,0,0,,Matches
148,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,2,1,0,13,26,2,118,39,25,0,0,0,314,48,37,56.5,Matches
149,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
150,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,26,1994,21.7,4,0,0,15,26,3,83,14,17,0,1,1,184,49,28,63.6,Matches
151,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,0,0,0,23,15,1,21,24,38,0,1,0,156,39,37,51.3,Matches
152,Charlie Austin,eng ENG,FW,West Brom,eng Premier League,31,1989,1.5,0,0,0,0,2,1,1,2,3,0,0,0,6,7,13,35.0,Matches
153,Ezequiel Ávila,ar ARG,MFFW,Osasuna,es La Liga,26,1994,2.2,0,0,0,4,5,2,2,1,2,0,0,0,13,3,8,27.3,Matches
154,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,0,0,0,22,20,15,3,4,6,1,0,0,61,32,86,27.1,Matches
155,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,0,0,0,9,6,1,11,9,6,0,0,0,39,14,12,53.8,Matches
156,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,23.3,4,0,0,45,63,5,18,29,33,0,0,0,132,31,110,22.0,Matches
157,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,3,0,0,8,2,0,3,8,11,0,0,0,53,15,16,48.4,Matches
158,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,7,0,0,29,53,2,70,58,67,0,1,0,404,71,66,51.8,Matches
159,Ramon Azeez,ng NGA,MFDF,Granada,es La Liga,27,1992,1.1,0,0,0,1,1,0,1,0,3,0,0,0,12,4,1,80.0,Matches
160,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,5,1,0,32,14,5,29,37,31,0,0,0,243,58,48,54.7,Matches
161,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,34,1986,3.3,0,0,0,4,7,0,2,2,4,0,0,0,40,8,7,53.3,Matches
162,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,1,0,0,10,6,6,6,4,7,0,0,0,25,13,21,38.2,Matches
163,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29.0,11,1,1,44,17,1,6,52,38,0,0,0,337,130,65,66.7,Matches
164,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,7,0,0,35,32,1,12,92,46,1,0,0,335,18,14,56.3,Matches
165,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30.0,0,0,0,0,4,0,0,0,0,0,0,0,147,0,0,,Matches
