,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1673,Youssef Maziz,fr FRA,MFFW,Metz,fr Ligue 1,22,1998,2.9,84,119,70.6,1630,406,35,49,71.4,32,39,82.1,15,28,53.6,0,0.4,-0.4,9,9,4,0,11,Matches
1674,Antonio Mazzotta,it ITA,DF,Crotone,it Serie A,30,1989,0.6,7,11,63.6,90,5,3,3,100.0,4,6,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1675,Kevin Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,25,1995,18.2,719,1029,69.9,14651,6665,235,300,78.3,386,485,79.6,96,194,49.5,1,1.2,-0.2,13,68,30,11,141,Matches
1676,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,21,1998,26.4,812,1033,78.6,11138,2052,519,618,84.0,232,279,83.2,32,59,54.2,7,4.6,+2.4,35,37,36,6,61,Matches
1677,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,25,1994,4.8,168,208,80.8,2716,1119,88,102,86.3,64,78,82.1,12,17,70.6,0,0.0,0.0,1,9,0,0,8,Matches
1678,Jean-Manuel Mbom,de GER,MFDF,Werder Bremen,de Bundesliga,20,2000,12.9,257,364,70.6,4497,1374,124,158,78.5,106,143,74.1,22,47,46.8,1,0.6,+0.4,7,20,6,2,22,Matches
1679,Nathanael Mbuku,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,24.6,448,584,76.7,7536,2100,219,257,85.2,174,218,79.8,40,73,54.8,1,2.5,-1.5,24,38,31,3,67,Matches
1680,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,32,1987,16.3,627,769,81.5,11897,3424,240,276,87.0,288,327,88.1,83,128,64.8,2,0.9,+1.1,13,63,6,0,60,Matches
1681,Oliver McBurnie,sct SCO,FW,Sheffield Utd,eng Premier League,24,1996,14.7,268,426,62.9,3690,1051,167,246,67.9,82,133,61.7,7,11,63.6,0,1.1,-1.1,14,21,16,0,43,Matches
1682,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,30,1989,30.0,687,1069,64.3,18362,11429,181,182,99.5,284,287,99.0,209,585,35.7,0,0.0,0.0,0,7,2,0,0,Matches
1683,James McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,29,1990,9.1,254,329,77.2,5343,1306,84,100,84.0,116,137,84.7,49,79,62.0,0,0.3,-0.3,6,26,4,3,24,Matches
1684,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,25,1994,37.0,1080,1398,77.3,23732,7706,360,418,86.1,466,569,81.9,227,349,65.0,5,3.0,+2.0,40,179,44,6,179,Matches
1685,David McGoldrick,ie IRL,FWMF,Sheffield Utd,eng Premier League,32,1987,26.6,699,940,74.4,11570,2027,371,464,80.0,255,337,75.7,62,95,65.3,1,1.3,-0.3,15,48,24,3,68,Matches
1686,Weston McKennie,us USA,MF,Juventus,it Serie A,21,1998,18.9,667,784,85.1,11005,2253,337,373,90.3,255,298,85.6,54,72,75.0,2,2.8,-0.8,24,39,17,1,51,Matches
1687,Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,20,1999,34.1,920,1336,68.9,18456,5542,395,452,87.4,336,429,78.3,169,369,45.8,5,6.5,-1.5,50,74,41,24,77,Matches
1688,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,23,1996,23.7,1109,1270,87.3,21728,5711,427,466,91.6,511,567,90.1,155,205,75.6,1,0.9,+0.1,14,109,9,1,104,Matches
1689,Gary Medel,cl CHI,DFMF,Bologna,it Serie A,32,1987,5.7,313,340,92.1,6979,1991,84,89,94.4,157,168,93.5,70,78,89.7,1,0.2,+0.8,1,17,1,0,19,Matches
1690,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,21,1999,22.3,1358,1558,87.2,28373,10698,446,483,92.3,698,749,93.2,207,293,70.6,0,0.3,-0.3,7,118,4,1,139,Matches
1691,Nathan de Medina,be BEL,DF,Arminia,de Bundesliga,22,1997,7.1,210,316,66.5,3562,1591,105,118,89.0,82,130,63.1,16,48,33.3,1,0.6,+0.4,3,13,4,2,13,Matches
1692,Ben Mee,eng ENG,DF,Burnley,eng Premier League,30,1989,29.9,784,1044,75.1,18309,6982,232,270,85.9,341,401,85.0,199,349,57.0,0,0.3,-0.3,6,51,1,0,64,Matches
1693,Joshua Mees,de GER,FW,Union Berlin,de Bundesliga,24,1996,0.1,2,3,66.7,19,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1694,Admir Mehmedi,ch SUI,MFFW,Wolfsburg,de Bundesliga,29,1991,9.1,347,442,78.5,5595,1392,185,223,83.0,119,142,83.8,29,48,60.4,2,2.0,0.0,17,35,17,3,44,Matches
1695,Soualiho Meïté,fr FRA,MF,Torino,it Serie A,26,1994,10.2,314,383,82.0,5712,1024,148,171,86.5,119,137,86.9,41,59,69.5,1,0.3,+0.7,7,29,5,1,21,Matches
1696,Soualiho Meïté,fr FRA,MF,Milan,it Serie A,26,1994,6.5,241,285,84.6,4404,979,103,124,83.1,104,118,88.1,28,33,84.8,0,0.4,-0.4,5,29,4,0,18,Matches
1697,Hannibal Mejbri,tn TUN,MF,Manchester Utd,eng Premier League,17,2003,0.1,3,3,100.0,58,25,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
1698,Farid El Melali,dz ALG,FWMF,Angers,fr Ligue 1,23,1997,4.6,111,147,75.5,1764,596,66,78,84.6,31,45,68.9,10,14,71.4,0,0.1,-0.1,2,6,4,0,10,Matches
1699,Filippo Melegoni,it ITA,MFDF,Genoa,it Serie A,21,1999,4.3,202,242,83.5,3429,820,102,111,91.9,78,92,84.8,20,33,60.6,0,0.4,-0.4,4,10,4,0,15,Matches
1700,Gonzalo Melero,es ESP,MFFW,Levante,es La Liga,26,1994,20.6,934,1048,89.1,15644,3772,461,506,91.1,377,404,93.3,76,99,76.8,1,1.7,-0.7,19,90,11,1,88,Matches
1701,Birger Meling,no NOR,DF,Nîmes,fr Ligue 1,25,1994,25.9,1064,1307,81.4,18812,6384,498,556,89.6,426,494,86.2,118,203,58.1,3,2.5,+0.5,19,86,17,6,104,Matches
1702,Arthur Melo,br BRA,MF,Juventus,it Serie A,23,1996,12.9,1013,1073,94.4,19431,4634,393,417,94.2,471,489,96.3,140,152,92.1,0,0.9,-0.9,17,86,6,0,66,Matches
1703,Houboulang Mendes,fr FRA,DF,Lorient,fr Ligue 1,22,1998,14.4,434,599,72.5,7244,2990,222,254,87.4,172,227,75.8,35,85,41.2,0,0.3,-0.3,3,18,8,5,30,Matches
1704,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,29,1990,18.1,678,802,84.5,16838,5481,149,159,93.7,330,354,93.2,191,268,71.3,0,0.2,-0.2,2,40,2,1,39,Matches
1705,Thiago Mendes,br BRA,MF,Lyon,fr Ligue 1,28,1992,24.9,1327,1499,88.5,25853,7785,543,579,93.8,547,590,92.7,202,277,72.9,1,1.6,-0.6,25,173,24,2,162,Matches
1706,Brais Méndez,es ESP,MFFW,Celta Vigo,es La Liga,23,1997,29.7,936,1188,78.8,14932,4065,509,590,86.3,315,390,80.8,80,131,61.1,0,2.0,-2.0,19,69,33,5,101,Matches
1707,Édgar Méndez,es ESP,MFFW,Alavés,es La Liga,30,1990,23.2,286,499,57.3,5178,1623,137,193,71.0,101,175,57.7,39,89,43.8,1,1.4,-0.4,20,12,19,11,30,Matches
1708,Eñaut Mendía,es ESP,FW,Eibar,es La Liga,21,1999,0.7,5,11,45.5,100,34,2,4,50.0,3,5,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1709,Batista Mendy,fr FRA,MF,Nantes,fr Ligue 1,20,2000,0.8,30,36,83.3,468,100,14,15,93.3,15,18,83.3,1,3,33.3,0,0.0,0.0,0,1,0,0,1,Matches
1710,Benjamin Mendy,fr FRA,DF,Manchester City,eng Premier League,26,1994,10.6,532,651,81.7,9755,2601,205,233,88.0,269,307,87.6,54,90,60.0,1,0.4,+0.6,5,28,10,3,49,Matches
1711,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,28,1992,30.5,852,1007,84.6,20804,10309,208,210,99.0,422,425,99.3,216,366,59.0,0,0.0,0.0,0,4,0,0,0,Matches
1712,Edouard Mendy,sn SEN,GK,Rennes,fr Ligue 1,28,1992,1.0,24,29,82.8,757,439,2,2,100.0,12,12,100.0,10,15,66.7,0,0.1,-0.1,1,1,0,0,0,Matches
1713,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,25,1995,24.5,1324,1475,89.8,21550,6077,718,756,95.0,476,523,91.0,109,148,73.6,0,1.7,-1.7,20,52,26,6,77,Matches
1714,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,28,1992,16.2,882,965,91.4,15259,3059,404,434,93.1,382,409,93.4,81,101,80.2,1,0.4,+0.6,6,78,0,0,49,Matches
1715,Hamza Mendyl,ma MAR,FW,Schalke 04,de Bundesliga,22,1997,1.1,23,29,79.3,340,144,12,16,75.0,9,10,90.0,1,1,100.0,0,0.0,0.0,0,3,0,0,5,Matches
1716,Levent Mercan,de GER,FW,Schalke 04,de Bundesliga,19,2000,0.1,1,1,100.0,30,5,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1717,Jorge Meré,es ESP,DF,Köln,de Bundesliga,23,1997,14.4,603,680,88.7,14241,3552,130,139,93.5,334,355,94.1,133,176,75.6,0,0.2,-0.2,3,32,5,0,23,Matches
1718,Alex Meret,it ITA,GK,Napoli,it Serie A,23,1997,22.0,539,607,88.8,12992,6217,138,138,100.0,255,260,98.1,145,207,70.0,0,0.1,-0.1,2,1,0,0,0,Matches
1719,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,24,1996,23.9,922,1210,76.2,16605,5367,410,506,81.0,366,443,82.6,113,194,58.2,4,2.1,+1.9,21,140,32,1,140,Matches
1720,Martín Merquelanz,es ESP,FWMF,Real Sociedad,es La Liga,25,1995,6.1,173,256,67.6,3112,760,82,98,83.7,64,88,72.7,22,49,44.9,1,1.8,-0.8,10,8,5,0,13,Matches
1721,Yıldırım Mert Çetin,tr TUR,DF,Hellas Verona,it Serie A,23,1997,4.6,149,187,79.7,3391,846,39,55,70.9,72,82,87.8,35,46,76.1,0,0.0,0.0,0,10,0,0,17,Matches
1722,Dries Mertens,be BEL,FWMF,Napoli,it Serie A,33,1987,16.2,367,498,73.7,6287,1777,186,217,85.7,134,171,78.4,38,76,50.0,8,3.7,+4.3,40,29,19,5,56,Matches
1723,Roque Mesa,es ESP,MF,Valladolid,es La Liga,31,1989,19.6,741,941,78.7,14487,3800,306,334,91.6,309,369,83.7,110,196,56.1,0,1.1,-1.1,16,100,16,3,88,Matches
1724,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,20,2000,35.0,1090,1348,80.9,27992,13228,246,248,99.2,522,529,98.7,319,568,56.2,0,0.1,-0.1,1,2,0,0,0,Matches
1725,Lionel Messi,ar ARG,FWMF,Barcelona,es La Liga,33,1987,33.6,1989,2417,82.3,32108,10442,1135,1265,89.7,635,739,85.9,180,311,57.9,9,10.8,-1.8,77,259,145,11,317,Matches
1726,Junior Messias,br BRA,MFFW,Crotone,it Serie A,29,1991,35.7,913,1239,73.7,15959,4240,439,527,83.3,343,435,78.9,103,216,47.7,4,2.9,+1.1,35,63,41,5,107,Matches
1727,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,28,1991,16.4,1024,1253,81.7,18826,5553,450,502,89.6,441,511,86.3,119,191,62.3,1,1.7,-0.7,13,73,22,11,88,Matches
1728,Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,31,1988,7.9,397,447,88.8,8393,2332,124,129,96.1,205,226,90.7,65,86,75.6,0,0.1,-0.1,2,17,0,0,14,Matches
1729,Max Meyer,de GER,MF,Köln,de Bundesliga,24,1995,3.9,216,260,83.1,3599,654,109,121,90.1,72,87,82.8,26,38,68.4,0,0.1,-0.1,2,17,7,0,17,Matches
1730,Omenuke Mfulu,cd COD,MF,Elche,es La Liga,26,1994,8.8,299,337,88.7,5610,968,121,134,90.3,135,141,95.7,36,45,80.0,0,0.0,0.0,1,15,0,0,17,Matches
1731,Míchel,es ESP,MF,Valladolid,es La Liga,32,1988,10.5,528,662,79.8,10261,2593,210,236,89.0,225,256,87.9,83,151,55.0,0,0.8,-0.8,12,40,4,1,40,Matches
1732,Jonas Michel Dirkner,de GER,MF,Hertha BSC,de Bundesliga,18,2002,0.2,2,4,50.0,65,43,0,0,,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches
1733,Jonas Michelbrink,de GER,MF,Hertha BSC,de Bundesliga,19,2001,0.4,11,15,73.3,158,39,5,6,83.3,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1734,Clément Michelin,fr FRA,DF,Lens,fr Ligue 1,23,1997,12.8,490,672,72.9,10046,3852,178,211,84.4,227,280,81.1,79,157,50.3,4,3.2,+0.8,18,23,15,10,43,Matches
1735,Edouard Michut,fr FRA,MF,Paris S-G,fr Ligue 1,17,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1736,Petar Mićin,rs SRB,MF,Udinese,it Serie A,21,1998,0.2,8,9,88.9,199,4,3,3,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1737,Florian Miguel,fr FRA,DF,Nîmes,fr Ligue 1,23,1996,17.1,749,913,82.0,17394,5538,157,169,92.9,435,484,89.9,153,249,61.4,0,0.1,-0.1,1,53,7,2,48,Matches
1738,Valentin Mihaila,ro ROU,FWMF,Parma,it Serie A,20,2000,7.8,136,200,68.0,2253,450,80,98,81.6,37,59,62.7,16,30,53.3,0,0.7,-0.7,8,6,4,3,7,Matches
1739,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,22,1997,33.7,1443,1657,87.1,29961,9601,440,495,88.9,760,833,91.2,232,297,78.1,1,0.3,+0.7,6,112,3,0,97,Matches
1740,Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,26,1994,13.6,221,302,73.2,3129,386,115,150,76.7,71,93,76.3,14,21,66.7,1,1.2,-0.2,7,11,4,1,14,Matches
1741,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,25,1995,30.5,1407,1802,78.1,27320,7484,576,698,82.5,578,683,84.6,213,332,64.2,9,6.4,+2.6,41,138,66,16,161,Matches
1742,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,23,1997,5.0,121,179,67.6,3520,2150,21,21,100.0,68,69,98.6,31,88,35.2,0,0.0,0.0,0,6,0,0,0,Matches
1743,Éder Militão,br BRA,DF,Real Madrid,es La Liga,22,1998,12.6,695,768,90.5,15764,4289,187,199,94.0,348,362,96.1,154,195,79.0,0,0.0,0.0,0,29,1,1,24,Matches
1744,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,29,1991,26.2,1029,1269,81.1,20757,6655,376,424,88.7,460,537,85.7,173,260,66.5,1,1.3,-0.3,20,104,13,2,108,Matches
1745,Luis Milla,es ESP,MF,Granada,es La Liga,25,1994,13.9,416,535,77.8,8696,2524,152,168,90.5,179,210,85.2,77,137,56.2,1,2.1,-1.1,20,38,13,1,40,Matches
1746,Pere Milla,es ESP,FWMF,Elche,es La Liga,27,1992,22.0,424,577,73.5,6344,1133,262,318,82.4,118,160,73.8,31,56,55.4,3,1.7,+1.3,13,27,6,0,26,Matches
1747,Alejandro Millán,es ESP,FW,Villarreal,es La Liga,20,1999,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1748,Vincenzo Millico,it ITA,FWMF,Torino,it Serie A,19,2000,0.2,9,10,90.0,164,44,6,6,100.0,1,1,100.0,2,3,66.7,0,0.0,0.0,1,0,0,0,0,Matches
1749,Enzo Millot,fr FRA,MF,Monaco,fr Ligue 1,18,2002,0.5,19,25,76.0,306,67,13,14,92.9,4,4,100.0,2,5,40.0,0,0.0,0.0,0,1,0,0,1,Matches
1750,James Milner,eng ENG,MFDF,Liverpool,eng Premier League,34,1986,11.9,776,914,84.9,14666,4242,332,360,92.2,331,369,89.7,105,146,71.9,1,1.2,-0.2,13,76,26,5,89,Matches
1751,Santi Mina,es ESP,FW,Celta Vigo,es La Liga,24,1995,26.8,455,614,74.1,6191,1096,285,359,79.4,102,148,68.9,29,45,64.4,3,1.5,+1.5,12,18,5,1,28,Matches
1752,Yerry Mina,co COL,DF,Everton,eng Premier League,25,1994,21.5,1115,1227,90.9,23055,6367,294,313,93.9,634,664,95.5,160,214,74.8,0,0.0,0.0,0,49,0,0,45,Matches
1753,Takumi Minamino,jp JPN,MFFW,Southampton,eng Premier League,25,1995,7.9,186,257,72.4,2866,533,99,125,79.2,69,88,78.4,11,26,42.3,0,0.5,-0.5,5,11,5,0,17,Matches
1754,Takumi Minamino,jp JPN,MFFW,Liverpool,eng Premier League,25,1995,3.3,111,139,79.9,1589,332,66,73,90.4,40,49,81.6,3,12,25.0,0,0.0,0.0,0,11,2,0,4,Matches
1755,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,27,1993,35.5,1262,1585,79.6,29862,11824,288,324,88.9,707,768,92.1,257,462,55.6,2,0.6,+1.4,7,120,6,2,108,Matches
1756,Óscar Mingueza,es ESP,DF,Barcelona,es La Liga,21,1999,21.1,1550,1686,91.9,26276,7561,722,755,95.6,698,737,94.7,107,153,69.9,2,1.0,+1.0,8,118,12,2,58,Matches
1757,Rafa Mir,es ESP,FW,Huesca,es La Liga,23,1997,32.0,280,472,59.3,4553,1132,150,213,70.4,94,165,57.0,22,49,44.9,1,1.8,-0.8,11,20,7,1,33,Matches
1758,Jorge Miramón,es ESP,DF,Levante,es La Liga,31,1989,19.2,824,1053,78.3,15669,6694,351,398,88.2,363,425,85.4,103,194,53.1,3,1.3,+1.7,14,52,31,15,85,Matches
1759,Aleksei Miranchuk,ru RUS,FWMF,Atalanta,it Serie A,24,1995,7.5,321,408,78.7,5229,1252,170,202,84.2,110,134,82.1,31,49,63.3,2,2.5,-0.5,14,30,21,1,44,Matches
1760,Juan Miranda,es ESP,DF,Betis,es La Liga,20,2000,18.4,701,935,75.0,11958,5314,356,396,89.9,263,349,75.4,67,153,43.8,2,1.3,+0.7,13,58,16,9,58,Matches
1761,Antonio Mirante,it ITA,GK,Roma,it Serie A,37,1983,12.8,341,436,78.2,9348,5673,66,66,100.0,160,165,97.0,113,202,55.9,0,0.0,0.0,0,2,0,0,1,Matches
1762,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,20,1999,19.0,547,779,70.2,8911,5506,274,322,85.1,220,308,71.4,40,92,43.5,1,0.4,+0.6,3,50,10,6,55,Matches
1763,Aleksandar Mitrović,rs SRB,FW,Fulham,eng Premier League,25,1994,15.6,292,384,76.0,3977,615,181,223,81.2,76,107,71.0,16,24,66.7,3,2.6,+0.4,22,12,13,1,20,Matches
1764,Stefan Mitrović,rs SRB,DF,Strasbourg,fr Ligue 1,30,1990,30.9,1118,1242,90.0,26991,8281,220,231,95.2,606,642,94.4,281,351,80.1,0,0.0,0.0,3,44,1,0,40,Matches
1765,Maximilian Mittelstädt,de GER,DF,Hertha BSC,de Bundesliga,23,1997,20.0,842,1126,74.8,17180,5985,308,365,84.4,375,447,83.9,150,270,55.6,2,1.9,+0.1,23,63,28,14,81,Matches
1766,Henrikh Mkhitaryan,am ARM,FWMF,Roma,it Serie A,31,1989,30.5,937,1230,76.2,15719,4067,482,588,82.0,345,428,80.6,92,145,63.4,10,9.0,+1.0,50,71,48,5,121,Matches
1767,Jakub Moder,pl POL,DFMF,Brighton,eng Premier League,21,1999,7.2,200,268,74.6,2874,870,118,135,87.4,71,90,78.9,6,24,25.0,0,0.2,-0.2,3,17,7,0,21,Matches
1768,Anthony Modeste,fr FRA,FW,Saint-Étienne,fr Ligue 1,32,1988,3.3,31,54,57.4,472,59,22,35,62.9,6,11,54.5,3,7,42.9,0,0.1,-0.1,2,3,0,0,2,Matches
1769,Anthony Modeste,fr FRA,FWMF,Köln,de Bundesliga,32,1988,2.5,28,48,58.3,391,43,22,30,73.3,3,9,33.3,2,3,66.7,0,0.0,0.0,1,1,0,0,0,Matches
1770,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,34,1985,30.4,2005,2308,86.9,38313,10980,931,1014,91.8,720,805,89.4,324,413,78.5,3,4.1,-1.1,49,231,62,7,219,Matches
1771,Terem Moffi,ng NGA,FW,Lorient,fr Ligue 1,21,1999,23.0,285,401,71.1,4189,823,172,217,79.3,69,103,67.0,25,43,58.1,2,3.9,-1.9,28,17,15,1,30,Matches
1772,Kevin Möhwald,de GER,MF,Werder Bremen,de Bundesliga,27,1993,17.3,832,986,84.4,14393,3098,409,451,90.7,303,341,88.9,95,144,66.0,1,1.0,0.0,12,65,11,2,60,Matches
1773,Niklas Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,34,1985,13.6,797,886,90.0,18052,5795,191,206,92.7,447,474,94.3,156,194,80.4,0,0.0,0.0,2,41,3,0,46,Matches
1774,Dion Moise Sahi,ci CIV,FWMF,Strasbourg,fr Ligue 1,18,2001,1.0,23,30,76.7,307,57,16,20,80.0,6,7,85.7,1,1,100.0,0,0.0,0.0,1,2,0,0,0,Matches
1775,Johan Mojica,co COL,DFFW,Atalanta,it Serie A,27,1992,3.3,182,227,80.2,2950,874,89,101,88.1,74,87,85.1,14,26,53.8,0,0.3,-0.3,3,12,5,3,16,Matches
1776,Johan Mojica,co COL,DF,Elche,es La Liga,27,1992,13.4,519,708,73.3,9655,4870,229,264,86.7,213,265,80.4,69,150,46.0,0,0.8,-0.8,10,30,14,10,44,Matches
1777,Guillem Molina,es ESP,DF,Valencia,es La Liga,20,2000,1.7,56,70,80.0,1012,301,22,26,84.6,32,38,84.2,2,4,50.0,0,0.0,0.0,0,0,0,0,1,Matches
1778,Jorge Molina,es ESP,FWMF,Granada,es La Liga,38,1982,17.9,294,471,62.4,4509,1329,178,243,73.3,87,149,58.4,22,38,57.9,2,2.2,-0.2,21,36,17,1,51,Matches
1779,Nahuel Molina,ar ARG,DF,Udinese,it Serie A,22,1997,20.3,782,1009,77.5,12507,4811,436,487,89.5,260,336,77.4,69,142,48.6,5,2.5,+2.5,22,35,21,14,81,Matches
1780,Salvatore Molina,it ITA,MFDF,Crotone,it Serie A,28,1992,25.7,851,1091,78.0,16123,4895,368,424,86.8,362,426,85.0,109,197,55.3,4,2.7,+1.3,24,52,34,14,93,Matches
1781,Victor Mollejo,es ESP,MFDF,Getafe,es La Liga,19,2001,0.8,24,34,70.6,322,75,16,18,88.9,7,13,53.8,1,1,100.0,0,0.1,-0.1,2,1,0,0,1,Matches
1782,Florent Mollet,fr FRA,MF,Montpellier,fr Ligue 1,28,1991,26.2,1055,1267,83.3,19966,4815,453,502,90.2,418,469,89.1,157,247,63.6,5,3.4,+1.6,38,91,22,2,101,Matches
1783,Jayson Molumby,ie IRL,MF,Brighton,eng Premier League,20,1999,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
1784,Alkhaly Momo Cissé,gn GUI,DFFW,Stuttgart,de Bundesliga,17,2002,0.4,13,18,72.2,194,35,5,7,71.4,6,6,100.0,0,1,0.0,0,0.0,0.0,1,1,0,0,1,Matches
1785,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,22,1998,29.6,935,1141,81.9,19875,4665,326,374,87.2,423,492,86.0,176,246,71.5,0,1.3,-1.3,16,94,13,5,77,Matches
1786,Gabriele Moncini,it ITA,FW,Benevento,it Serie A,24,1996,4.0,52,85,61.2,761,126,29,47,61.7,17,24,70.8,3,6,50.0,0,0.1,-0.1,2,5,0,0,5,Matches
1787,Thomas Monconduit,fr FRA,MF,Lorient,fr Ligue 1,29,1991,12.8,542,679,79.8,10811,3179,208,243,85.6,248,276,89.9,81,135,60.0,0,1.2,-1.2,12,60,9,2,76,Matches
1788,Kévin Monnet-Paquet,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,31,1988,6.3,151,224,67.4,2035,600,98,122,80.3,40,57,70.2,7,15,46.7,0,0.3,-0.3,4,5,3,1,9,Matches
1789,Nacho Monreal,es ESP,DF,Real Sociedad,es La Liga,34,1986,23.1,981,1212,80.9,16601,6468,478,532,89.8,417,485,86.0,71,144,49.3,1,1.2,-0.2,10,41,14,4,60,Matches
1790,Cristóbal Montiel Rodríguez,es ESP,DFFW,Fiorentina,it Serie A,20,2000,0.0,2,3,66.7,55,1,0,0,,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
1791,Lorenzo Montipò,it ITA,GK,Benevento,it Serie A,24,1996,37.0,786,1236,63.6,25590,14961,122,122,100.0,290,296,98.0,368,810,45.4,0,0.0,0.0,0,5,0,0,2,Matches
1792,Ángel Montoro,es ESP,MF,Granada,es La Liga,32,1988,15.1,518,745,69.5,12790,4186,163,200,81.5,209,259,80.7,141,255,55.3,1,1.6,-0.6,22,78,19,8,71,Matches
1793,Martín Montoya,es ESP,DF,Betis,es La Liga,29,1991,2.7,125,163,76.7,1984,606,72,81,88.9,39,54,72.2,11,19,57.9,0,0.3,-0.3,4,9,2,2,10,Matches
1794,Emre Mor,tr TUR,FWMF,Celta Vigo,es La Liga,23,1997,5.6,95,124,76.6,1509,242,53,66,80.3,32,38,84.2,8,14,57.1,0,0.2,-0.2,2,5,3,1,5,Matches
1795,Luca Mora,it ITA,MF,Spezia,it Serie A,32,1988,1.3,41,60,68.3,672,145,20,25,80.0,19,25,76.0,2,9,22.2,0,0.0,0.0,0,4,0,0,4,Matches
1796,Wesley Moraes,br BRA,MFFW,Aston Villa,eng Premier League,23,1996,0.2,4,4,100.0,30,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1797,Álvaro Morata,es ESP,FW,Juventus,it Serie A,27,1992,22.4,458,612,74.8,7753,1290,222,287,77.4,174,215,80.9,45,68,66.2,9,4.8,+4.2,40,29,25,5,47,Matches
1798,Jan Morávek,cz CZE,MF,Augsburg,de Bundesliga,30,1989,3.0,98,144,68.1,1621,389,46,66,69.7,33,43,76.7,12,20,60.0,0,0.0,0.0,1,10,0,0,9,Matches
1799,Jon Morcillo,es ESP,MFFW,Athletic Club,es La Liga,21,1998,15.1,319,518,61.6,6136,2356,143,180,79.4,123,177,69.5,48,132,36.4,2,2.9,-0.9,25,20,18,9,45,Matches
1800,Jérémy Morel,mg MAD,DF,Lorient,fr Ligue 1,36,1984,27.7,1072,1266,84.7,21869,8440,360,393,91.6,517,580,89.1,181,252,71.8,0,0.3,-0.3,7,43,2,0,63,Matches
1801,Alberto Moreno,es ESP,DF,Villarreal,es La Liga,28,1992,2.1,84,100,84.0,1482,380,44,48,91.7,31,32,96.9,9,17,52.9,0,0.0,0.0,0,4,1,0,3,Matches
1802,Álex Moreno,es ESP,DF,Betis,es La Liga,27,1993,19.8,907,1159,78.3,14873,5343,467,517,90.3,351,430,81.6,68,158,43.0,2,2.1,-0.1,17,42,16,8,52,Matches
1803,Gerard Moreno,es ESP,FWMF,Villarreal,es La Liga,28,1992,29.7,771,1122,68.7,14613,3527,341,449,75.9,292,403,72.5,122,189,64.6,7,7.6,-0.6,43,78,46,9,110,Matches
