,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
54,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,27,1.95,21,0,2,1,3,0,3,0.22,2,0,0,1,0,0,Matches
55,Jordi Alba,es ESP,DF,Barcelona,es La Liga,31,1989,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0,Matches
56,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,144,4.95,110,24,4,3,2,1,5,0.17,4,0,1,0,0,0,Matches
57,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,14,0.40,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
58,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,71,3.66,53,5,4,1,2,6,11,0.57,7,2,0,1,0,1,Matches
59,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0,Matches
60,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,61,2.96,51,2,3,2,1,2,2,0.10,2,0,0,0,0,0,Matches
62,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0,Matches
63,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,19,0.76,16,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Matches
65,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,20,2.18,16,1,1,1,1,0,2,0.22,1,0,0,1,0,0,Matches
66,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,57,3.76,29,12,4,6,5,1,2,0.13,2,0,0,0,0,0,Matches
68,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,123,3.65,78,32,7,6,0,0,13,0.39,10,2,0,1,0,0,Matches
70,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,5,1.29,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Ezgjan Alioski,mk MKD,DF,Leeds United,eng Premier League,28,1992,27.3,57,2.08,49,3,0,3,2,0,6,0.22,4,1,0,1,0,0,Matches
73,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,5,0.15,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,38,1.67,32,0,4,1,1,0,2,0.09,2,0,0,0,0,0,Matches
77,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,22,3.19,18,0,0,1,2,1,3,0.44,2,0,0,1,0,0,Matches
78,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,63,2.33,47,1,6,3,4,2,4,0.15,3,0,0,1,0,0,Matches
79,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,33,3.09,24,2,0,5,1,1,2,0.19,1,0,0,1,0,0,Matches
80,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,13,0.75,11,0,0,0,1,1,1,0.06,1,0,0,0,0,0,Matches
81,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,12,0.55,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
82,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,7,0.39,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,21,1998,10.0,25,2.51,20,1,1,3,0,0,1,0.10,1,0,0,0,0,0,Matches
84,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,25,1.50,21,0,0,2,0,2,3,0.18,2,0,0,1,0,0,Matches
85,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,16,1.77,7,1,1,1,6,0,5,0.55,2,0,0,1,2,0,Matches
89,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,23,1997,8.4,25,2.99,18,1,3,1,2,0,2,0.24,2,0,0,0,0,0,Matches
90,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,71,3.38,48,13,4,6,0,0,11,0.52,8,1,2,0,0,0,Matches
92,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,15,0.65,13,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
93,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,34,1.25,31,0,1,2,0,0,2,0.07,1,0,0,1,0,0,Matches
94,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0,Matches
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,26,0.86,24,0,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
97,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,12,0.96,7,0,0,3,1,1,3,0.24,1,0,0,1,1,0,Matches
101,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,55,1.72,47,0,3,2,3,0,4,0.12,4,0,0,0,0,0,Matches
103,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,55,1.96,42,3,4,1,2,3,8,0.29,6,0,0,0,1,1,Matches
104,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,26,1.40,25,0,0,0,1,0,2,0.11,2,0,0,0,0,0,Matches
105,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,15,1.50,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,92,3.83,62,15,6,6,3,0,6,0.25,4,1,1,0,0,0,Matches
109,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,21.6,61,2.82,39,13,3,2,1,3,8,0.37,7,0,1,0,0,0,Matches
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,28,0.93,22,1,0,1,1,3,5,0.17,4,0,0,0,1,0,Matches
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,30,1990,21.9,65,2.96,34,1,8,7,15,0,11,0.50,5,1,0,2,3,0,Matches
115,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,101,5.10,69,2,11,6,8,5,14,0.71,8,0,1,4,1,0,Matches
117,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,94,4.89,50,32,1,2,7,2,8,0.42,5,3,0,0,0,0,Matches
118,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,24,1.39,21,0,2,0,0,1,5,0.29,4,0,1,0,0,0,Matches
119,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0,Matches
121,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,31,1.67,29,0,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
122,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,50,3.01,33,0,10,4,2,1,5,0.30,4,0,0,1,0,0,Matches
123,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,8,0.30,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0,Matches
125,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,30,0.96,17,4,4,2,0,3,3,0.10,1,0,1,1,0,0,Matches
126,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
127,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
128,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,7,2.14,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
129,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,82,2.67,58,3,6,5,6,4,15,0.49,7,0,2,3,2,1,Matches
132,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,92,3.20,34,37,2,6,10,3,12,0.42,5,4,1,0,2,0,Matches
133,Toluwalas Arokodare,ng NGA,FW,Köln,de Bundesliga,19,2000,1.2,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Sergio Arribas,es ESP,FWDF,Real Madrid,es La Liga,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0,Matches
135,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,24,1.19,19,1,1,0,3,0,1,0.05,1,0,0,0,0,0,Matches
137,Kwadwo Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,13,1.54,9,0,2,1,1,0,1,0.12,0,0,0,1,0,0,Matches
139,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
140,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,20.8,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0,Matches
141,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,115,3.61,91,3,12,6,3,0,26,0.82,19,1,4,1,1,0,Matches
143,Roger Assalé,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,9.2,11,1.20,6,0,1,1,2,1,4,0.43,2,0,0,1,1,0,Matches
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,7,0.75,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
145,Youcef Attal,dz ALG,DFMF,Nice,fr Ligue 1,24,1996,10.6,20,1.88,12,1,5,0,2,0,1,0.09,0,0,1,0,0,0,Matches
146,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,45,1.74,36,0,4,2,3,0,7,0.27,6,0,1,0,0,0,Matches
147,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
148,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,49,1.37,44,2,2,1,0,0,4,0.11,4,0,0,0,0,0,Matches
149,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,26,1994,21.7,63,2.90,32,26,0,3,1,1,6,0.28,2,4,0,0,0,0,Matches
