,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
640,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,26,1994,35.6,44,29,21,21,2,20,62,32.3,42,489,136,27.8,189,194,106,59,2,0,57,19,63,23,1,Matches
641,Mattia De Sciglio,it ITA,DF,Lyon,fr Ligue 1,27,1992,16.3,34,23,18,10,6,15,27,55.6,12,173,61,35.3,61,74,38,37,8,0,29,36,70,47,1,Matches
642,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,27,1992,0.3,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,0,Matches
643,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,32,1988,23.8,37,17,21,12,4,15,37,40.5,22,279,79,28.3,129,108,42,67,9,0,58,28,65,73,2,Matches
644,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,22,1998,5.5,12,8,6,6,0,3,14,21.4,11,94,32,34.0,47,38,9,19,2,0,17,5,17,25,0,Matches
645,Lucas Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,31,1988,19.5,59,38,28,26,5,18,61,29.5,43,472,144,30.5,148,251,73,26,6,0,20,14,73,44,4,Matches
646,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,23.4,66,37,43,17,6,37,64,57.8,27,296,88,29.7,155,106,35,49,11,0,38,47,113,84,1,Matches
647,Grégoire Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29,1991,14.9,17,12,6,3,8,3,9,33.3,6,235,65,27.7,35,101,99,16,1,0,15,8,25,2,1,Matches
648,Alessandro Deiola,it ITA,MF,Spezia,it Serie A,24,1995,4.0,9,6,5,4,0,5,9,55.6,4,78,20,25.6,21,43,14,4,1,0,3,2,11,2,0,Matches
649,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,24,1995,6.8,13,7,7,2,4,4,18,22.2,14,128,27,21.1,52,57,19,12,3,0,9,15,28,17,0,Matches
650,Romain Del Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,24,1996,7.2,33,23,7,17,9,8,23,34.8,15,181,67,37.0,35,80,66,9,0,0,9,4,37,2,0,Matches
651,Lorenzo Del Pinto,it ITA,MF,Benevento,it Serie A,30,1990,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,1,0,2,0,0,0,0,0,0,1,0,Matches
652,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,28,1992,19.8,37,18,23,11,3,16,37,43.2,21,217,41,18.9,97,86,34,35,5,0,30,16,53,36,1,Matches
653,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,28,1991,14.3,49,37,19,22,8,16,35,45.7,19,274,100,36.5,105,135,34,33,10,0,23,24,73,28,1,Matches
654,Liam Delap,eng ENG,FW,Manchester City,eng Premier League,17,2003,0.4,0,0,0,0,0,0,0,,0,6,1,16.7,0,5,1,0,0,0,0,0,0,0,0,Matches
655,Jonathan Delaplace,fr FRA,DF,Lorient,fr Ligue 1,34,1986,10.1,18,12,13,3,2,8,17,47.1,9,136,42,30.9,65,55,16,19,5,0,14,20,38,26,1,Matches
656,Sacha Delaye,fr FRA,MF,Montpellier,fr Ligue 1,18,2002,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,1,1,2,0,Matches
657,Cristian Dell'Orco,it ITA,DF,Spezia,it Serie A,26,1994,2.9,1,1,1,0,0,1,2,50.0,1,18,7,38.9,8,5,5,11,6,0,5,4,5,7,0,Matches
658,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,28,1991,27.6,18,15,2,10,6,4,16,25.0,12,239,67,28.0,33,91,115,12,2,0,10,4,22,28,0,Matches
659,Fabian Delph,eng ENG,MFDF,Everton,eng Premier League,30,1989,3.0,5,2,3,2,0,1,2,50.0,1,30,6,20.0,12,18,0,4,0,0,4,4,9,3,0,Matches
660,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,24,1996,7.5,3,3,0,1,2,1,5,20.0,4,80,24,30.0,1,28,51,8,4,0,4,2,5,9,0,Matches
661,Moussa Dembélé,fr FRA,FWMF,Atlético Madrid,es La Liga,24,1996,1.1,0,0,0,0,0,0,0,,0,16,5,31.3,1,10,5,0,0,0,0,0,0,0,0,Matches
662,Ousmane Dembélé,fr FRA,FWDF,Barcelona,es La Liga,23,1997,19.7,17,10,4,10,3,5,14,35.7,9,285,65,22.8,33,116,136,22,0,0,22,14,31,2,0,Matches
663,Merih Demiral,tr TUR,DF,Juventus,it Serie A,22,1998,10.4,17,11,12,5,0,3,9,33.3,6,106,31,29.2,61,37,8,18,8,0,10,12,29,39,0,Matches
664,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,27,1993,19.4,51,35,14,31,6,15,44,34.1,29,444,161,36.3,107,239,98,25,4,0,21,13,64,10,1,Matches
665,Ermedin Demirović,ba BIH,FW,Freiburg,de Bundesliga,22,1998,16.6,17,13,4,6,7,1,19,5.3,18,376,96,25.5,32,161,183,31,5,0,26,5,22,23,1,Matches
666,Diego Demme,de GER,MF,Napoli,it Serie A,28,1991,17.7,62,37,24,29,9,18,63,28.6,45,428,125,29.2,134,216,78,16,1,0,15,17,79,23,0,Matches
667,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,25,1995,29.0,34,21,23,11,0,8,14,57.1,6,179,74,41.3,87,83,9,69,32,1,37,22,56,121,2,Matches
668,Leander Dendoncker,be BEL,MFDF,Wolves,eng Premier League,25,1995,27.8,49,29,31,15,3,23,61,37.7,38,494,149,30.2,223,224,47,59,15,0,44,27,76,75,0,Matches
669,Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,19,2000,5.8,3,3,0,2,1,1,4,25.0,3,90,17,18.9,5,37,48,2,0,0,2,2,5,3,0,Matches
670,Emmanuel Dennis,ng NGA,FW,Köln,de Bundesliga,22,1997,5.3,12,7,5,2,5,2,6,33.3,4,131,29,22.1,16,53,62,5,0,0,5,3,15,0,0,Matches
671,Stefano Denswil,nl NED,DF,Bologna,it Serie A,27,1993,1.3,2,2,0,1,1,1,2,50.0,1,21,7,33.3,14,6,1,3,0,0,3,1,3,4,0,Matches
672,Fabio Depaoli,it ITA,DF,Benevento,it Serie A,23,1997,12.4,29,15,15,8,6,15,29,51.7,14,219,69,31.5,104,81,34,31,6,0,25,16,45,39,1,Matches
673,Fabio Depaoli,it ITA,MF,Sampdoria,it Serie A,23,1997,0.9,1,0,0,0,1,1,3,33.3,2,18,4,22.2,8,6,4,0,0,0,0,0,1,2,0,Matches
674,Fabio Depaoli,it ITA,DF,Atalanta,it Serie A,23,1997,2.1,3,1,0,0,3,0,2,0.0,2,31,9,29.0,9,10,12,9,0,0,9,1,4,3,0,Matches
675,Memphis Depay,nl NED,FW,Lyon,fr Ligue 1,26,1994,32.5,7,6,0,3,4,1,20,5.0,19,330,74,22.4,8,118,204,14,2,0,12,9,16,1,0,Matches
676,Clément Depres,fr FRA,MF,Nîmes,fr Ligue 1,25,1994,0.2,0,0,0,0,0,0,0,,0,8,0,0.0,0,4,4,0,0,0,0,0,0,0,0,Matches
677,Mike van der Hoorn,nl NED,DF,Arminia,de Bundesliga,27,1992,15.1,8,7,2,6,0,1,5,20.0,4,79,32,40.5,50,27,2,22,7,0,15,8,16,102,1,Matches
678,Kastriot Dermaku,al ALB,DF,Parma,it Serie A,28,1992,1.1,1,0,0,1,0,0,0,,0,11,3,27.3,7,4,0,3,1,0,2,1,2,8,0,Matches
679,Kiril Despodov,bg BUL,FW,Cagliari,it Serie A,23,1996,0.1,1,0,0,1,0,1,1,100.0,0,5,2,40.0,0,2,3,1,0,0,1,0,1,0,0,Matches
680,Sergiño Dest,us USA,DF,Barcelona,es La Liga,19,2000,21.2,31,19,23,5,3,12,25,48.0,13,319,93,29.2,135,103,81,43,5,0,38,17,48,23,0,Matches
681,Mattia Destro,it ITA,FW,Genoa,it Serie A,29,1991,17.8,10,7,1,4,5,2,9,22.2,7,267,65,24.3,22,110,135,16,1,0,15,2,12,11,0,Matches
682,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,26,1994,6.6,2,2,0,0,2,1,10,10.0,9,118,30,25.4,19,48,51,2,0,0,2,3,5,0,0,Matches
683,Deyverson,br BRA,FW,Alavés,es La Liga,29,1991,9.7,8,6,4,2,2,4,14,28.6,10,171,50,29.2,15,84,72,18,0,0,18,10,18,13,0,Matches
684,Jacopo Dezi,it ITA,FWMF,Parma,it Serie A,28,1992,0.9,2,1,0,1,1,1,4,25.0,3,22,3,13.6,3,12,7,4,0,0,4,1,3,0,0,Matches
685,Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,31,1988,5.6,0,0,0,0,0,0,3,0.0,3,64,16,25.0,4,23,37,1,1,0,0,0,0,7,0,Matches
686,Samuel Di Carmine,it ITA,FW,Crotone,it Serie A,31,1988,5.3,5,2,2,1,2,1,3,33.3,2,47,8,17.0,6,27,14,3,0,0,3,1,6,5,0,Matches
687,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,26,1993,36.0,85,57,53,24,8,38,78,48.7,40,437,141,32.3,199,153,85,65,13,0,52,40,125,64,0,Matches
688,Ángel Di María,ar ARG,FWMF,Paris S-G,fr Ligue 1,32,1988,20.6,33,22,8,13,12,16,50,32.0,34,320,92,28.8,52,113,155,25,1,0,24,7,40,5,0,Matches
689,Alessandro Di Pardo,it ITA,MFDF,Juventus,it Serie A,21,1999,0.2,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,1,1,0,0,0,0,0,0,Matches
690,Giuseppe Di Serio,it ITA,FWMF,Benevento,it Serie A,19,2001,3.2,2,2,2,0,0,1,6,16.7,5,64,10,15.6,17,28,19,4,0,0,4,1,3,1,0,Matches
691,Boulaye Dia,sn SEN,FWMF,Reims,fr Ligue 1,23,1996,32.6,28,17,8,9,11,4,22,18.2,18,413,104,25.2,59,160,194,18,3,0,15,16,44,31,0,Matches
692,Abdoulay Diaby,ml MLI,MF,Getafe,es La Liga,29,1991,0.2,1,1,0,1,0,0,0,,0,2,0,0.0,0,1,1,2,0,0,2,0,1,0,0,Matches
693,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21,1999,26.5,13,7,6,5,2,2,16,12.5,14,283,73,25.8,40,130,113,16,0,0,16,19,32,10,0,Matches
694,Mbaye Diagne,sn SEN,FW,West Brom,eng Premier League,28,1991,13.2,8,4,3,2,3,1,4,25.0,3,138,40,29.0,13,44,81,7,1,0,6,2,10,17,0,Matches
695,Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,23,1996,23.1,21,15,14,7,0,10,14,71.4,4,157,54,34.4,94,57,6,51,26,0,25,10,31,135,1,Matches
696,Abdou Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,24,1996,16.6,23,15,13,8,2,8,14,57.1,6,126,41,32.5,56,59,11,23,8,0,15,17,40,46,2,Matches
697,Amad Diallo,ci CIV,FW,Manchester Utd,eng Premier League,18,2002,1.8,3,3,1,2,0,0,0,,0,50,14,28.0,13,21,16,2,1,0,1,3,6,3,0,Matches
698,Amad Diallo,ci CIV,MF,Atalanta,it Serie A,18,2002,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
699,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25,1995,25.8,12,10,5,5,2,3,14,21.4,11,264,72,27.3,29,120,115,16,3,0,13,13,25,14,1,Matches
700,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,25,1995,1.6,1,0,0,0,1,1,1,100.0,0,19,6,31.6,2,7,10,1,0,0,1,0,1,5,0,Matches
701,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,21,1999,11.3,30,25,14,14,2,9,23,39.1,14,242,82,33.9,81,144,17,14,1,0,13,16,46,16,0,Matches
702,Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,21,1999,4.9,9,8,1,6,2,2,7,28.6,5,85,24,28.2,22,51,12,4,0,0,4,3,12,3,0,Matches
703,Amadou Diambo,gh GHA,FW,Benevento,it Serie A,19,2001,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
704,Grady Diangana,eng ENG,MFFW,West Brom,eng Premier League,22,1998,13.7,35,19,22,5,8,14,36,38.9,22,309,67,21.7,142,96,71,30,2,0,28,14,49,5,1,Matches
705,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,21,1998,2.2,1,1,1,0,0,0,9,0.0,9,48,10,20.8,13,21,14,7,1,0,6,0,1,0,0,Matches
706,Raphael Dias Belloli,br BRA,MF,Leeds United,eng Premier League,23,1996,26.2,38,19,15,14,9,13,55,23.6,42,402,98,24.4,111,160,131,39,1,0,38,31,69,33,0,Matches
707,Raphael Dias Belloli,br BRA,FWMF,Rennes,fr Ligue 1,23,1996,4.5,6,2,2,3,1,1,6,16.7,5,64,11,17.2,16,24,24,6,0,0,6,4,10,2,0,Matches
708,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,23,1997,31.6,31,21,17,12,2,6,23,26.1,17,181,67,37.0,92,70,19,45,25,0,20,22,53,118,0,Matches
709,Krepin Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,21,1999,4.3,5,2,1,2,2,1,2,50.0,1,71,20,28.2,6,34,31,7,1,0,6,1,6,3,0,Matches
710,Amadou Diawara,gn GUI,MF,Roma,it Serie A,23,1997,7.3,14,12,5,9,0,4,12,33.3,8,195,42,21.5,50,127,18,11,2,0,9,9,23,11,0,Matches
711,Brahim Díaz,es ESP,MFFW,Milan,it Serie A,20,1999,13.6,22,20,10,9,3,5,16,31.3,11,272,76,27.9,53,126,93,12,1,0,11,6,28,2,0,Matches
712,Víctor Díaz,es ESP,DF,Granada,es La Liga,32,1988,9.2,20,16,13,5,2,11,21,52.4,10,113,31,27.4,63,41,9,25,10,1,15,15,35,48,0,Matches
713,Daniel Didavi,de GER,FWMF,Stuttgart,de Bundesliga,30,1990,10.8,15,7,3,8,4,2,9,22.2,7,177,55,31.1,30,61,86,11,0,0,11,6,21,9,0,Matches
714,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,26,1994,28.0,24,15,13,10,1,12,22,54.5,10,166,48,28.9,106,52,8,50,34,0,16,23,47,169,0,Matches
715,Daan Dierckx,be BEL,DF,Parma,it Serie A,17,2003,5.2,6,5,5,1,0,2,4,50.0,2,55,17,30.9,32,20,3,13,7,0,6,11,17,25,0,Matches
716,Lucas Digne,fr FRA,DF,Everton,eng Premier League,27,1993,29.8,78,40,53,14,11,29,50,58.0,21,412,106,25.7,195,141,76,59,4,0,55,26,104,96,0,Matches
717,Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,29,1991,4.1,3,1,1,2,0,0,1,0.0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,Matches
718,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,27,1993,16.5,30,17,21,6,3,13,22,59.1,9,227,74,32.6,101,86,40,28,2,0,26,20,50,36,0,Matches
719,Javairô Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22,1998,5.9,8,5,2,2,4,3,6,50.0,3,121,33,27.3,26,57,38,7,0,0,7,6,14,2,0,Matches
720,Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,22,1997,29.0,40,25,22,16,2,10,29,34.5,19,275,88,32.0,113,116,46,43,10,0,33,42,82,77,1,Matches
721,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,29,1991,0.2,0,0,0,0,0,0,1,0.0,1,3,0,0.0,1,1,1,0,0,0,0,0,0,0,0,Matches
722,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,18,2001,1.2,2,0,1,0,1,0,2,0.0,2,41,2,4.9,9,19,13,3,0,0,3,3,5,1,0,Matches
723,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,19,2001,12.6,12,8,8,4,0,8,19,42.1,11,110,34,30.9,62,39,9,22,14,1,8,23,35,85,1,Matches
724,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,27,1992,19.4,17,12,4,9,4,1,12,8.3,11,329,81,24.6,11,163,155,8,2,0,6,3,20,15,0,Matches
725,Issa Diop,fr FRA,DF,West Ham,eng Premier League,23,1997,15.3,26,19,14,12,0,6,18,33.3,12,113,41,36.3,61,48,4,35,24,1,11,14,40,82,2,Matches
726,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,34,1986,25.8,48,36,16,25,7,16,57,28.1,41,342,114,33.3,88,207,47,31,6,0,25,39,87,54,2,Matches
727,Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20,2000,22.5,64,41,21,35,8,15,51,29.4,36,474,141,29.7,117,231,126,40,1,0,39,16,80,11,0,Matches
728,Andy Diouf,fr FRA,FW,Rennes,fr Ligue 1,18,2002,0.1,0,0,0,0,0,0,0,,0,5,0,0.0,1,3,1,0,0,0,0,0,0,0,0,Matches
729,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,20,1999,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
730,Assane Dioussé,sn SEN,DF,Saint-Étienne,fr Ligue 1,22,1997,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
731,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,22,1998,22.3,29,23,15,13,1,15,35,42.9,20,171,75,43.9,85,79,7,30,13,0,17,27,56,102,1,Matches
732,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,20,2000,9.7,27,17,17,8,2,17,25,68.0,8,111,38,34.2,59,40,12,21,4,0,17,11,38,34,0,Matches
733,Djené,tg TOG,DF,Getafe,es La Liga,28,1991,32.7,61,36,31,27,3,21,34,61.8,13,275,102,37.1,131,128,16,39,13,2,26,55,116,210,1,Matches
734,Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,22,1998,13.8,46,22,25,11,10,18,53,34.0,35,332,95,28.6,122,124,86,27,1,0,26,11,57,16,0,Matches
735,Koffi Djidji,ci CIV,DF,Crotone,it Serie A,27,1992,16.9,47,22,33,10,4,7,20,35.0,13,275,77,28.0,160,95,20,49,22,1,27,28,75,84,0,Matches
736,Alexander Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,25,1994,28.4,65,44,53,11,1,24,49,49.0,25,307,102,33.2,182,109,16,42,14,0,28,80,145,168,2,Matches
737,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,27,1993,29.2,41,26,24,14,3,16,36,44.4,20,308,122,39.6,135,139,34,49,19,1,30,48,89,116,0,Matches
738,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,28,1992,34.7,1,1,1,0,0,0,3,0.0,3,7,0,0.0,7,0,0,0,0,0,0,0,1,1,1,Matches
739,Ritsu Doan,jp JPN,MFFW,Arminia,de Bundesliga,22,1998,30.8,63,44,24,30,9,17,55,30.9,38,649,202,31.1,173,292,184,56,4,0,52,26,89,12,0,Matches
740,Mihai Dobre,ro ROU,FW,Dijon,fr Ligue 1,21,1998,5.9,11,8,5,4,2,5,12,41.7,7,103,28,27.2,22,46,35,13,1,0,12,9,20,6,0,Matches
741,Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,28,1992,13.8,23,8,10,8,5,11,34,32.4,23,186,38,20.4,80,70,36,41,5,0,36,18,41,54,0,Matches
742,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,18,2002,25.7,51,38,15,22,14,16,37,43.2,21,439,136,31.0,86,186,167,19,2,0,17,12,63,6,0,Matches
743,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,22,1997,21.4,7,6,1,4,2,1,14,7.1,13,264,69,26.1,17,92,155,21,3,0,18,4,11,22,1,Matches
744,Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,27,1993,5.0,13,8,7,3,3,2,6,33.3,4,81,15,18.5,23,33,25,6,0,0,6,4,17,2,0,Matches
745,Jaume Doménech,es ESP,GK,Valencia,es La Liga,29,1990,28.0,0,0,0,0,0,0,2,0.0,2,4,1,25.0,4,0,0,1,0,0,1,0,0,3,1,Matches
746,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,19,2001,4.0,6,4,5,1,0,3,5,60.0,2,43,9,20.9,33,10,0,7,4,0,3,7,13,29,0,Matches
747,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,22,1998,13.9,52,35,30,18,4,11,28,39.3,17,350,92,26.3,147,153,50,31,7,0,24,25,77,21,0,Matches
748,John Donald,es ESP,DF,Elche,es La Liga,19,2000,0.6,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
749,Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,29,1991,0.7,2,0,1,0,1,1,1,100.0,0,11,4,36.4,3,4,4,0,0,0,0,0,2,0,0,Matches
750,Anastasios Donis,gr GRE,MF,Reims,fr Ligue 1,23,1996,1.1,1,0,0,1,0,0,1,0.0,1,16,2,12.5,3,7,6,0,0,0,0,0,1,0,0,Matches
751,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,21,1999,37.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,1,1,Matches
752,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,22,1997,22.2,28,17,22,5,1,9,17,52.9,8,151,55,36.4,95,49,7,41,23,0,18,23,51,106,2,Matches
753,Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,31,1989,9.1,4,4,2,2,0,1,4,25.0,3,89,31,34.8,4,45,40,7,1,0,6,2,6,8,0,Matches
754,Lucas Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,16,2003,14.7,38,28,21,15,2,13,30,43.3,17,237,85,35.9,94,117,26,20,0,0,20,22,60,27,1,Matches
755,Abdoulaye Doucouré,fr FRA,MF,Everton,eng Premier League,27,1993,27.1,56,42,30,19,7,17,45,37.8,28,544,158,29.0,228,219,97,43,9,0,34,35,91,29,1,Matches
756,Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,20,2000,29.2,89,59,44,41,4,23,65,35.4,42,471,170,36.1,173,238,60,38,5,0,33,55,144,42,0,Matches
757,Fodé Doucouré,ml MLI,DF,Reims,fr Ligue 1,19,2001,3.7,10,1,5,5,0,0,3,0.0,3,64,9,14.1,34,25,5,4,0,0,4,4,14,16,0,Matches
758,Mahamadou Doucouré,fr FRA,FW,Nîmes,fr Ligue 1,20,2000,0.5,1,0,1,0,0,0,0,,0,14,3,21.4,1,9,4,0,0,0,0,1,2,0,0,Matches
759,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,27,1992,1.1,6,4,2,1,3,3,4,75.0,1,43,8,18.6,8,26,9,3,1,0,2,2,8,2,0,Matches
760,Idrissa Doumbia,ci CIV,MF,Huesca,es La Liga,22,1998,8.7,17,10,5,10,2,5,14,35.7,9,117,39,33.3,44,66,7,8,3,0,5,9,26,11,0,Matches
761,Moussa Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,25,1994,10.0,6,3,2,3,1,1,15,6.7,14,126,28,22.2,36,62,28,14,3,0,11,16,22,3,0,Matches
762,Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,23,1996,24.7,57,34,33,21,3,16,37,43.2,21,267,85,31.8,114,102,51,46,5,0,41,40,97,59,1,Matches
763,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,29,1991,12.6,17,10,6,8,3,6,12,50.0,6,123,49,39.8,46,61,16,22,6,0,16,15,32,49,0,Matches
764,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,22,1997,35.0,0,0,0,0,0,0,0,,0,8,2,25.0,8,0,0,0,0,0,0,0,0,0,1,Matches
765,Denis Drăguș,ro ROU,FWMF,Crotone,it Serie A,21,1999,2.0,3,3,0,0,3,0,5,0.0,5,47,13,27.7,9,19,19,4,0,0,4,1,4,0,0,Matches
766,Radu Drăgușin,ro ROU,DF,Juventus,it Serie A,18,2002,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,1,0,Matches
767,Mouhamadou Drammeh,fr FRA,MF,Reims,fr Ligue 1,21,1999,1.9,1,1,0,0,1,0,1,0.0,1,23,8,34.8,9,10,4,1,1,0,0,2,3,7,0,Matches
768,Julian Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,26,1993,11.8,13,7,5,6,2,5,20,25.0,15,127,31,24.4,26,62,39,8,0,0,8,16,29,3,0,Matches
769,Dominick Drexler,de GER,MFFW,Köln,de Bundesliga,30,1990,13.7,33,23,10,17,6,8,31,25.8,23,281,83,29.5,82,128,71,19,5,0,14,18,51,17,0,Matches
770,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,1989,15.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
771,Domingos Duarte,pt POR,DF,Granada,es La Liga,25,1995,26.3,40,19,26,13,1,13,21,61.9,8,140,47,33.6,68,67,5,40,20,0,20,31,71,112,1,Matches
772,Léo Duarte,br BRA,DF,Milan,it Serie A,24,1996,0.2,1,1,0,1,0,0,0,,0,5,3,60.0,3,2,0,1,0,0,1,0,1,0,0,Matches
773,Óscar Duarte,cr CRC,DF,Levante,es La Liga,31,1989,22.9,23,14,16,6,1,11,27,40.7,16,180,60,33.3,90,81,9,31,19,1,12,25,48,184,1,Matches
774,Rubén Duarte,es ESP,DF,Alavés,es La Liga,24,1995,28.3,61,34,31,23,7,23,48,47.9,25,370,115,31.1,156,162,52,82,7,0,75,42,103,116,1,Matches
775,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,25,1994,32.3,49,34,24,20,5,16,44,36.4,28,355,122,34.4,151,131,73,67,13,0,54,30,79,63,2,Matches
776,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,31,1989,13.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
777,Ondrej Duda,sk SVK,FWMF,Köln,de Bundesliga,25,1994,28.2,51,29,16,28,7,13,46,28.3,33,526,126,24.0,88,300,138,32,2,0,30,19,70,20,0,Matches
778,Unai Dufur,es ESP,DF,Eibar,es La Liga,21,1999,0.7,2,2,2,0,0,1,3,33.3,2,11,5,45.5,8,3,0,1,0,0,1,0,2,6,0,Matches
779,Haris Duljević,ba BIH,MFFW,Nîmes,fr Ligue 1,26,1993,8.6,21,14,7,10,4,4,19,21.1,15,118,34,28.8,22,60,36,4,0,0,4,13,34,2,0,Matches
780,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,28,1991,13.9,21,11,13,7,1,10,20,50.0,10,119,28,23.5,81,32,6,30,10,0,20,17,38,95,1,Matches
781,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,27,1993,1.8,1,1,0,1,0,0,2,0.0,2,20,5,25.0,4,9,7,2,0,0,2,3,4,4,0,Matches
782,Alfred Duncan,gh GHA,MF,Cagliari,it Serie A,27,1993,11.9,23,15,13,8,2,6,17,35.3,11,208,55,26.4,77,106,25,8,0,0,8,16,39,14,0,Matches
